loc_spec_ht,loc_spec_info,loc_type_ht,loc_type_info,loc_na_ht,loc_na_info
NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""the southeastern United States.[¬e]""']",NA,"['Page 4:\n[¬s]""in a large urban=suburban school district[¬e]""']",NA,NA,NA
"['Page 8:\n[¬s]""in the southwestern United States[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 7:\n[¬s]""New York City school district[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""Milton, Pennsylvania,[¬e]""']",NA,"['Page 3:\n[¬s]""Of the three sec t i oru:i from grade three (N \x95 79) which participated in the study., two were studenw fl\'Olll White Towiship, a rural area directly west of Milton.""\n""The third[¬e]""', 'Page 4:\n[¬s]""section of students ""WU from the Pollock Elementacy School in Milton.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"['Page 1:\n[¬s]""Sun-Geun Baek, Professor at the Department of Education, Seoul\nNational University; Eun-Hui Hwang, Science teacher at Baekhyun\nMiddle School.\nCorrespondence concerning this article should be addressed to Sun-\nGeun Baek, Department of Education, Seoul National University,\n599 Kwanak-Ro, Kwanak-Gu, Seoul, 151-748, Korea. Electronic\nmail may be sent to E-mail: dr100@snu.ac.kr; Phone: +82-2-880-\n7645, Fax: +82-2-878-1665[¬e]""']",NA
NA,NA,NA,NA,NA,NA
"['Page 43:\n[¬s]""the St. Vrain School Disctrict, located north of Denver, Colorado[¬e]""']",NA,"['Page 43:\n[¬s]""The district includes both small city and rural areas, and the four schools from which the sample was drawn are representative.[¬e]""']",NA,NA,NA
"['Page 43:\n[¬s]""the St. Vrain School Disctrict, located north of Denver, Colorado,[¬e]""']",NA,"['Page 43:\n[¬s]""The district includes both small city and rural areas[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 2:\n[¬s]""New York City[¬e]""']",NA,NA,NA,NA,NA
"['Page 61:\n[¬s]"" located near a large west coast city.[¬e]""']",NA,"['Page 61:\n[¬s]""suburban,[¬e]""']",NA,NA,NA
NA,NA,"['Page 21:\n[¬s]"" suburban school districts.[¬e]""']",NA,NA,NA
"['Page 4:\n[¬s]""ed in the experiment. Those students came from the Commission Scolaire R? gionale des Vieilles Forges de Trois-Rivi?res and, more specifically, from the Polyvalente Sainte-Ursule. The[¬e]""']",NA,NA,NA,NA,NA
"['Page 4:\n[¬s]"" secondary level participated in the experiment. Those students came from the Commission Scolaire R? gionale des Vieilles Forges de Trois-Rivi?res and, more specifically, from the Polyvalente Sainte-Ursule. The[¬e]""']",NA,NA,NA,NA,NA
NA,NA,"['Page 3:\n[¬s]""2; Lewes, 1981; Stevens, Mad\nSlavin, & Famish, 1987; Ziv, 19[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 1:\n[¬s]""GLENDA BRANDSTETTER and CAROL MERZ are Codirectors, Title I Learning Diagnostic Center, Richland, Washington.[¬e]""']",Washington is assumed based on location of researchers and organisation who provided the intervention. ,NA,NA,NA,NA
"['Page 2:\n[¬s]""central Wisconsin[¬e]""']",NA,"['Page 2:\n[¬s]"" small cities[¬e]""']",NA,NA,NA
"['Page 2:\n[¬s]"" central Wisconsin[¬e]""']",NA,"['Page 2:\n[¬s]"" small cities[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 127:\n[¬s]""Garfield and McLane elementary schools""\n"" Olympia School District No. Ill located in Olympia, Washington.""\n""district has a total student population of approximately seven thousand in grades kindergarten through twelve,""\n""medium sized district for Washington.[¬e]""']",NA,NA,NA,NA,NA
NA,NA,"['Page 2:\n[¬s]"" city elementary schools serving predominantly middle-class populations.[¬e]""']",NA,NA,NA
NA,NA,"['Page 2:\n[¬s]"" city elementary schools serving predominantly middle-class populations.[¬e]""']",NA,NA,NA
NA,NA,"['Page 3:\n[¬s]""ur city elementary schools serving predominantly middle-clas[¬e]""']",NA,NA,NA
NA,NA,"['Page 3:\n[¬s]""ur city elementary schools serving predominantly middle-clas[¬e]""']",NA,NA,NA
NA,NA,"['Page 3:\n[¬s]""ur city elementary schools serving predominantly middle-clas[¬e]""']",NA,NA,NA
"['Page 8:\n[¬s]"" Colorado public school system[¬e]""']",NA,NA,NA,NA,NA
"['Page 12:\n[¬s]""Colorado[¬e]""']",NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""in the city and surrounding area of Trier, West Germany.[¬e]""']",NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""in a public university in southern\nTaiwan.[¬e]""']",NA,NA,NA,NA,NA
"['Page 38:\n[¬s]""Memphis City and Shelby County Public School Systems[¬e]""']",NA,NA,NA,NA,NA
NA,NA,"['Page 4:\n[¬s]""southern US city[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,"['Page 4:\n[¬s]""southwestern state[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 10:\n[¬s]""Berlin-Boylston Public Schools[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 24:\n[¬s]""Waukesha/ Wisconsin[¬e]""']",NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""in Guayana City, Venezuela.[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 51:\n[¬s]""at Walpole High School in Mass\xad achusetts.""\n""Walpole is located 18 miles South of Boston.[¬e]""']",NA,"['Page 51:\n[¬s]""A middle-income community of 18,4-84 people as of\na 1974 town census,[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 10:\n[¬s]""within the same midwestern\ndistrict.[¬e]""']",NA,"['Page 10:\n[¬s]""The study took place in two urban elementary[¬e]""']",urban,NA,urban
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""New York City[¬e]""']",NA,"['Page 3:\n[¬s]""New York City[¬e]""']",NA,NA,NA
"['Page 3:\n[¬s]""school district in northeastern Minnesota. T[¬e]""']",NA,"['Page 3:\n[¬s]""a small, rural\nschool district in northeastern Minnesota. Th[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,'southeastern...district' (p.519),NA,'urban' (p.519),NA,'urban' (p.519)
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 17:\n[¬s]"" The schools involved were located at four different locations in Essex, Sussex, Thornaby and Liverpool[¬e]""']",NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""thern suburb of\nDetroit, Michigan. O[¬e]""']",NA,"['Page 3:\n[¬s]""rthern suburb of[¬e]""']",NA,NA,NA
