class_treat_info,class_treat_ht,class_cont_info,class_cont_ht,class_total_info,class_total_ht,class_na_raw,class_na_info,class_na_ht
2,"['Page 21:\n[¬s]""experimental group consisted of two third grade classes[¬e]""']",2,"['Page 21:\n[¬s]""The control group consisted of two third grade classes[¬e]""']",4,NA,NA,NA,NA
≤3,"['Page 4:\n[¬s]""50 children[¬e]""']",≤3,"['Page 4:\n[¬s]""50 children[¬e]""']",≤6,"['Page 4:\n[¬s]""50 children""\n""50 children[¬e]""']",['not_provided'],"Not provided, approximated from sample size",NA
26,"['Page 9:\n[¬s]""The seven remaining participating\nschools included 43 classrooms, 26 experimental and 17 control[¬e]""']",17,"['Page 9:\n[¬s]""The seven remaining participating\nschools included 43 classrooms, 26 experimental and 17 control.[¬e]""']",43,NA,NA,NA,NA
2,"['Page 57:\n[¬s]""The first two classes used mastery learning strategies[¬e]""']",1,"['Page 57:\n[¬s]""the third class used a more conventional teaching-learning strategy.[¬e]""']",3,"['Page 96:\n[¬s]"" Students were randomly assigned to three classes[¬e]""']",NA,NA,NA
4,"['Page 3:\n[¬s]""There were four classes in the treatment group[¬e]""']",3,"['Page 3:\n[¬s]""three in the comparison group[¬e]""']",7,"['Page 3:\n[¬s]""It took place in seven public elemen- tary school classrooms in the northeast- ern United States. Three classes were grade 3 (N = 46) and four were grade 4 (N = 70).[¬e]""']",NA,NA,NA
≤5,"['Page 7:\n[¬s]""five kindergarten\nclasses[¬e]""']",≤5,"['Page 7:\n[¬s]""five kindergarten\nclasses[¬e]""']",5,"['Page 7:\n[¬s]""five kindergarten\nclasses[¬e]""']",NA,NA,NA
3,"['Page 6:\n[¬s]""Pretest information was used to plan instruction in the three treatment classrooms. [¬e]""']",NA,NA,6,"['Page 4:\n[¬s]""Six classrooms of fifth graders were recruited for participation in the study to represent a range of learning contexts (rural/urban, size of district, size of school, student expenditures) and student types.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
1,"['Page 8:\n[¬s]""the two groups were\nlocated in different classrooms[¬e]""']",1,"['Page 8:\n[¬s]""the two groups were\nlocated in different classrooms[¬e]""']",2,"['Page 8:\n[¬s]""the two groups were\nlocated in different classrooms[¬e]""']",NA,NA,NA
2,"['Page 1:\n[¬s]""experimental group (2 classes, 79 students)[¬e]""']",2,"['Page 1:\n[¬s]""control group (2 classes, 77 students)[¬e]""']",4,"['Page 1:\n[¬s]""4 classes[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],"Not applicable, only students with learning difficulties eligible.",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"['Page 44:\n[¬s]""Treatment""\n""II""\n""22""\n""25""\n""19""\n""25""\n""21""\n""25[¬e]""']",6,"['Page 44:\n[¬s]""Treatment""\n""III""\n""23""\n""19""\n""16""\n""18""\n""23""\n""20[¬e]""']",12,"['Page 44:\n[¬s]""Twelve classrooms[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
1,"['Page 3:\n[¬s]""each group being an intact classroom.[¬e]""']",1,"['Page 3:\n[¬s]""each group being an intact classroom.[¬e]""']",2,"['Page 3:\n[¬s]""each group being an intact classroom.[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets.[¬e]""']",1,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets.[¬e]""']",1,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets.[¬e]""']",NA,NA,NA
