school_treat_info,school_treat_ht,school_cont_info,school_cont_ht,school_total_info,school_total_ht,school_na_raw,school_na_info,school_na_ht
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
7,"['Page 4:\n[¬s]""7 treatment schools[¬e]""']",7,"['Page 4:\n[¬s]""7 control schools[¬e]""']",14,"['Page 4:\n[¬s]""14 elementary schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,8,"['Page 8:\n[¬s]""Eight schools from ﬁve school districts in the southwestern United States partic-\nipated in the study.[¬e]""']",NA,NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
≤3,"['Page 7:\n[¬s]""three elementary schools[¬e]""']",≤3,"['Page 7:\n[¬s]""three elementary schools[¬e]""']",3,"['Page 7:\n[¬s]""three elementary schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,"['Page 4:\n[¬s]""Classrooms were located in different buildings and different school districts. [¬e]""']"
NA,NA,NA,NA,3,"['Page 3:\n[¬s]""Of the three sec t i oru:i from grade three (N \x95 79) which participated in the study., two were studenw fl\'Olll White Towiship, a rural area directly west of Milton. The third[¬e]""', 'Page 4:\n[¬s]""section of students ""WU from the Pollock Elementacy School in Milton. All three sections of grade five (N \x95 108) were f\'mn the borough of Milton and attended the Millward School.[¬e]""']",NA,NA,NA
1,"['Page 8:\n[¬s]""the students’ regular school[¬e]""']",1,"['Page 8:\n[¬s]""the students’ regular school[¬e]""']",1,"['Page 8:\n[¬s]""the students’ regular school[¬e]""']",NA,NA,NA
≥1,"['Page 3:\n[¬s]""The same science teacher taught all students[¬e]""']",≥1,"['Page 3:\n[¬s]""The same science teacher taught all students[¬e]""']",≥1,"['Page 3:\n[¬s]""The same science teacher taught all students[¬e]""']",['not_provided'],Not provided but assumed to be one school,NA
7,"['Page 1:\n[¬s]""seven central Illinois public schools[¬e]""']",7,"['Page 1:\n[¬s]""seven central Illinois public schools[¬e]""']",7,"['Page 1:\n[¬s]""seven central Illinois public schools[¬e]""']",NA,NA,NA
4,"['Page 43:\n[¬s]""four schools from which the sample was drawn are representative[¬e]""']",4,"['Page 43:\n[¬s]""four schools from which the sample was drawn are representative.[¬e]""']",NA,"['Page 43:\n[¬s]""The district includes both small city and rural areas, and the four schools from which the sample was drawn are representative.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,4,"['Page 43:\n[¬s]"" four schools [¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
1,"['Page 61:\n[¬s]""a typical, medium-sized, suburban, elementary school[¬e]""']",1,"['Page 61:\n[¬s]""a typical, medium-sized, suburban, elementary school[¬e]""']",1,"['Page 61:\n[¬s]"" a typical, medium-sized, suburban, elementary school[¬e]""']",NA,NA,NA
15,"['Page 38:\n[¬s]"" Of the 15 teachers providing treatment, each in a different school, one used specific treatment with four children and all others used specific treatment with one or two children. These same 15 teachers also provided traditional treatment for children who were considered contrast group children.[¬e]""']",15,"['Page 38:\n[¬s]""Of the 15 teachers providing treatment, each in a different school, one used specific treatment with four children and all others used specific treatment with one or two children. These same 15 teachers also provided traditional treatment for children who were considered contrast group children.[¬e]""']",15,"['Page 38:\n[¬s]""15 teachers providing treatment, each in a different school[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""Polyvalente Sainte-Ursule[¬e]""']",1,"['Page 4:\n[¬s]""Polyvalente Sainte-Ursule[¬e]""']",1,"['Page 4:\n[¬s]""Polyvalente Sainte-Ursule[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""Polyvalente Sainte-Ursule[¬e]""']",1,"['Page 4:\n[¬s]""Polyvalente Sainte-Ursule[¬e]""']",1,"['Page 4:\n[¬s]""Polyvalente Sainte-Ursule[¬e]""']",NA,NA,NA
