Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10
Primary outcome,Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Secondary outcome(s),Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Secondary outcome(s),Primary outcome,Primary outcome,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Primary outcome,Primary outcome,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Primary outcome,Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),Secondary outcome(s),NA,NA,NA
Secondary outcome(s),Secondary outcome(s),Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,Secondary outcome(s),NA,NA,NA,NA,NA,NA,NA,NA
Secondary outcome(s),Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA
Primary outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA
Secondary outcome(s),Primary outcome,Secondary outcome(s),Secondary outcome(s),NA,NA,NA,NA,NA,NA
