Outcome_ID_1,Outcome_ID_2,Outcome_ID_3,Outcome_ID_4,Outcome_ID_5,Outcome_ID_6,Outcome_ID_7,Outcome_ID_8,Outcome_ID_9,Outcome_ID_10
46356,46357,46358,46359,46360,NA,NA,NA,NA,NA
66177,NA,NA,NA,NA,NA,NA,NA,NA,NA
66611,66612,66613,NA,NA,NA,NA,NA,NA,NA
49729,NA,NA,NA,NA,NA,NA,NA,NA,NA
46229,46251,NA,NA,NA,NA,NA,NA,NA,NA
66334,66335,66336,66337,NA,NA,NA,NA,NA,NA
46195,46196,46207,46212,46215,46218,NA,NA,NA,NA
47394,47395,47396,NA,NA,NA,NA,NA,NA,NA
66338,NA,NA,NA,NA,NA,NA,NA,NA,NA
66344,66345,NA,NA,NA,NA,NA,NA,NA,NA
47675,49732,NA,NA,NA,NA,NA,NA,NA,NA
46370,46371,NA,NA,NA,NA,NA,NA,NA,NA
49773,64029,NA,NA,NA,NA,NA,NA,NA,NA
48085,NA,NA,NA,NA,NA,NA,NA,NA,NA
48088,NA,NA,NA,NA,NA,NA,NA,NA,NA
49774,NA,NA,NA,NA,NA,NA,NA,NA,NA
46278,46279,NA,NA,NA,NA,NA,NA,NA,NA
48104,NA,NA,NA,NA,NA,NA,NA,NA,NA
48142,NA,NA,NA,NA,NA,NA,NA,NA,NA
66346,66347,66348,NA,NA,NA,NA,NA,NA,NA
46384,NA,NA,NA,NA,NA,NA,NA,NA,NA
47541,NA,NA,NA,NA,NA,NA,NA,NA,NA
48123,NA,NA,NA,NA,NA,NA,NA,NA,NA
48143,NA,NA,NA,NA,NA,NA,NA,NA,NA
49733,49734,NA,NA,NA,NA,NA,NA,NA,NA
46656,NA,NA,NA,NA,NA,NA,NA,NA,NA
46659,NA,NA,NA,NA,NA,NA,NA,NA,NA
46661,NA,NA,NA,NA,NA,NA,NA,NA,NA
47110,47111,67528,NA,NA,NA,NA,NA,NA,NA
47112,47113,67529,NA,NA,NA,NA,NA,NA,NA
47114,47115,47116,47117,NA,NA,NA,NA,NA,NA
46186,NA,NA,NA,NA,NA,NA,NA,NA,NA
46876,NA,NA,NA,NA,NA,NA,NA,NA,NA
66537,NA,NA,NA,NA,NA,NA,NA,NA,NA
66297,NA,NA,NA,NA,NA,NA,NA,NA,NA
66301,NA,NA,NA,NA,NA,NA,NA,NA,NA
66546,66547,66548,66549,NA,NA,NA,NA,NA,NA
46259,46260,46261,46262,46263,46264,46265,NA,NA,NA
46361,46362,46363,46364,NA,NA,NA,NA,NA,NA
66298,66299,66300,NA,NA,NA,NA,NA,NA,NA
66315,NA,NA,NA,NA,NA,NA,NA,NA,NA
64593,64594,NA,NA,NA,NA,NA,NA,NA,NA
46914,46915,NA,NA,NA,NA,NA,NA,NA,NA
46941,46943,NA,NA,NA,NA,NA,NA,NA,NA
66314,NA,NA,NA,NA,NA,NA,NA,NA,NA
47530,47542,47866,47867,NA,NA,NA,NA,NA,NA
66364,66365,66366,66367,NA,NA,NA,NA,NA,NA
65214,NA,NA,NA,NA,NA,NA,NA,NA,NA
65215,NA,NA,NA,NA,NA,NA,NA,NA,NA
65216,NA,NA,NA,NA,NA,NA,NA,NA,NA
66363,NA,NA,NA,NA,NA,NA,NA,NA,NA
66318,66319,66320,NA,NA,NA,NA,NA,NA,NA
46820,46821,NA,NA,NA,NA,NA,NA,NA,NA
62718,NA,NA,NA,NA,NA,NA,NA,NA,NA
62719,NA,NA,NA,NA,NA,NA,NA,NA,NA
62720,NA,NA,NA,NA,NA,NA,NA,NA,NA
62721,NA,NA,NA,NA,NA,NA,NA,NA,NA
46365,NA,NA,NA,NA,NA,NA,NA,NA,NA
46285,46286,46287,46288,NA,NA,NA,NA,NA,NA
66321,66322,NA,NA,NA,NA,NA,NA,NA,NA
44711,44917,NA,NA,NA,NA,NA,NA,NA,NA
46607,NA,NA,NA,NA,NA,NA,NA,NA,NA
46387,NA,NA,NA,NA,NA,NA,NA,NA,NA
46945,46946,46947,46948,46951,46953,46949,46950,NA,NA
47868,NA,NA,NA,NA,NA,NA,NA,NA,NA
46961,NA,NA,NA,NA,NA,NA,NA,NA,NA
66323,NA,NA,NA,NA,NA,NA,NA,NA,NA
47185,47186,NA,NA,NA,NA,NA,NA,NA,NA
62816,NA,NA,NA,NA,NA,NA,NA,NA,NA
63085,64705,NA,NA,NA,NA,NA,NA,NA,NA
47121,NA,NA,NA,NA,NA,NA,NA,NA,NA
44712,NA,NA,NA,NA,NA,NA,NA,NA,NA
44713,NA,NA,NA,NA,NA,NA,NA,NA,NA
66281,NA,NA,NA,NA,NA,NA,NA,NA,NA
44918,44919,NA,NA,NA,NA,NA,NA,NA,NA
49740,NA,NA,NA,NA,NA,NA,NA,NA,NA
66282,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45082,45083,45084,NA,NA,NA,NA,NA,NA,NA
44940,44941,NA,NA,NA,NA,NA,NA,NA,NA
66285,NA,NA,NA,NA,NA,NA,NA,NA,NA
63084,NA,NA,NA,NA,NA,NA,NA,NA,NA
62834,NA,NA,NA,NA,NA,NA,NA,NA,NA
44964,NA,NA,NA,NA,NA,NA,NA,NA,NA
47120,NA,NA,NA,NA,NA,NA,NA,NA,NA
44965,NA,NA,NA,NA,NA,NA,NA,NA,NA
64730,64731,NA,NA,NA,NA,NA,NA,NA,NA
45362,45668,45669,49744,49741,49742,49743,45670,45816,NA
47077,47078,47079,47080,47081,47082,47083,NA,NA,NA
49745,49746,NA,NA,NA,NA,NA,NA,NA,NA
66286,66287,66288,NA,NA,NA,NA,NA,NA,NA
65128,NA,NA,NA,NA,NA,NA,NA,NA,NA
65129,NA,NA,NA,NA,NA,NA,NA,NA,NA
65130,65131,NA,NA,NA,NA,NA,NA,NA,NA
65132,65133,NA,NA,NA,NA,NA,NA,NA,NA
65134,65135,NA,NA,NA,NA,NA,NA,NA,NA
65136,65137,NA,NA,NA,NA,NA,NA,NA,NA
44974,44975,NA,NA,NA,NA,NA,NA,NA,NA
45059,45072,45073,NA,NA,NA,NA,NA,NA,NA
65297,NA,NA,NA,NA,NA,NA,NA,NA,NA
65298,NA,NA,NA,NA,NA,NA,NA,NA,NA
