Outcome_ID_1,Outcome_ID_2,Outcome_ID_3,Outcome_ID_4,Outcome_ID_5,Outcome_ID_6,Outcome_ID_7,Outcome_ID_8,Outcome_ID_9,Outcome_ID_10
Two-way ANOVA posttest adjusted results for the Voice aspect of an adapted Kansas Writing Assessment for third graders (intended for 5th graders).,Two-way ANOVA posttest adjusted scores for the Word Choice aspect of an adapted Kansas Writing Assessment for third graders (intended for 5th graders).,Two-way ANOVA posttest adjusted scores for the Ideas and Content aspect of an adapted Kansas Writing Assessment for third graders (intended for 5th graders).,Two-way ANOVA posttest adjusted scores for the Conventions aspect of an adapted Kansas Writing Assessment for third graders (intended for 5th graders).,"Two-way ANOVA posttest adjusted results for Writing Attitude Survey. Consists of 28 questions on student feelings ontypes of writing, how he would feel about more writing, less writing, or writing instead of doing other classroom activities. The survey is a multiple choice continuum using 4 picture options.",NA,NA,NA,NA,NA
"We assessed reading achievement using the DIBELS ORF measure, which is a set of passages and directions for first through third grades that were developed to be consistent in readability, reliability, and validity to the Test of Oral Reading Fluency (Children’s Educational Services, 1987) and other similar assessments (Good & Jefferson, 1998  Good et al., 2003  Good, Wallin, Simmons, Kame’enui, & Kaminski, 2002  Kaminski & Good, 1996, 1998  Laimon, 1994).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woodcock-Johnson Diagnostic Reading Battery, III (WJ- DRB, III  Woodcock, Mather, & Schank, 2004) were administered to all children.","Word Attack, measures skill in applying phonic and structural analysis skills to the pronunciation of unfamiliar printed sounds and words.","Letter/Word Identiﬁcation, measures the child’s word- identiﬁcation skills. The initial items require the child to identify letters that appear in large type, and the remaining items require the child to pronounce words correctly.",NA,NA,NA,NA,NA,NA,NA
"The cognitive achievement measures were tests based on the content which was covered during the one week period of time. The tests were composed of problems which the students were to solve and supply the answer. The same tests were used as the pre-test and the post-test. Combined algebra and arithmetic scores for experimental study (n=82) using QI correlation (cues and rewards)  r to d conversion r 0.5 = 1.15470054 d. SE from Ns (26, 27, 29).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The rubrics given to the treatment group classes referred to seven commonly assessed criteria for writing (e.g., the 6 + 1 Trait􏰀 Writing Method  see Culham, 2003  Spandel & Stiggins, 1997)  ideas and content, organization, voice and tone, word choice, sentence fluency, and conventions. ","The rubrics given to the treatment group classes referred to seven com- monly assessed criteria for writing (e.g., the 6 + 1 Trait􏰀 Writing Method  see Culham, 2003  Spandel & Stiggins, 1997)  ideas and content, organization, voice and tone, word choice, sentence fluency, and conventions",NA,NA,NA,NA,NA,NA,NA,NA
"The Boehm Test of Basic Concepts (BTBC) Form A & B was each administered to half of the subjects in the study (Form A, N=51  Form B, N=52). This was done to obtain baseline diagnostic information on subjects' knowledge of basic concepts.","The Boehm Test of Basic Concepts (BTBC) Form A & B was each administered to half of the subjects in the study (Form A, N=51  Form B, N=52). This was done to obtain baseline diagnostic information on subjects' knowledge of basic concepts.","The Boehm Test of Basic Concepts (BTBC) Form A & B was each administered to half of the subjects in the study (Form A, N=51  Form B, N=52). This was done to obtain baseline diagnostic information on subjects' knowledge of basic concepts.","The Boehm Test of Basic Concepts (BTBC) Form A & B was each administered to half of the subjects in the study (Form A, N=51  Form B, N=52). This was done to obtain baseline diagnostic information on subjects' knowledge of basic concepts.",NA,NA,NA,NA,NA,NA
"Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.","Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.","Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.","Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.","Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.","Students had three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). The topics were written to allow a variety of interpretations and approaches.",NA,NA,NA,NA
"The pretest of one hundred words was selected from the TMI Spelling Program - Modern English. The post­test was taken from the same program but was not selected at random. Instead, an attempt was made to parallel each word in the posttest with one similar in structure in the pretest. ","The pretest of one hundred words was selected from the TMI Spelling Program - Modern English. The post­test was taken from the same program but was not selected at random. Instead, an attempt was made to parallel each word in the posttest with one similar in structure in the pretest. ","The pretest of one hundred words was selected from the TMI Spelling Program - Modern English. The post­test was taken from the same program but was not selected at random. Instead, an attempt was made to parallel each word in the posttest with one similar in structure in the pretest. ",NA,NA,NA,NA,NA,NA,NA
" Considering the heterogeneity of the topics that the text-/ picture-comprehension tasks dealt with, the reliability of the comprehension items was satis- fying, α = .71. The dependent variable was the number ofitems that were answered correctly weighted by the difﬁculty level ofthe task.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Each exam had 30 items that consisted of 10 knowledge items, 10 understanding items and 10 application items, and full marks totaled to 100 points.","Each exam had 30 items that consisted of 10 knowledge items, 10 understanding items and 10 application items, and full marks totaled to 100 points.",NA,NA,NA,NA,NA,NA,NA,NA
