OutcomeType_1,OutcomeType_2,OutcomeType_3,OutcomeType_4,OutcomeType_5,OutcomeType_6,OutcomeType_7,OutcomeType_8,OutcomeType_9,OutcomeType_10
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA
['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA
['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA
['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA
['Toolkit primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA
['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
N,A,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",['Science primary outcome'],['Science primary outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Writing and spelling primary outcome.'],['Writing and spelling primary outcome.'],NA
['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome'],NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Reading primary outcome']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']","['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA
['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA
['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
N,A,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
['Reading primary outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA
N,A,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA
['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
['Toolkit primary outcome'],['Mathematics primary outcome'],['Science primary outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA
