part_assig_raw,part_assig_ht,part_assig_info
Unclear,NA,NA
Random (please specify),"['Page 4:\n[¬s]""To control school effects, we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools.[¬e]""']",NA
Random (please specify),"['Page 9:\n[¬s]""The two single-school districts were matched and randomly assigned in the\nsame manner.[¬e]""']",NA
Random (please specify),"['Page 54:\n[¬s]""In the experimental study, eighth grade students were randomly assigned to three classrooms in the following manner. Xn the school in which the experiment was conducted all eighth grade students were assigned to take mathematics in one of three time periods. From each of these blocks of students, students were randomly assigned to one of the classes used in the ex\xad periment. Further the treatments were randomly assigned to each of the three classes.[¬e]""']",NA
"Non-random, but matched","['Page 3:\n[¬s]""The sample consisted of intact classes, matched by grade level and sub- ject matter: There were four classes in the treatment group (two third grade classes studying ELA, and two fourth grades, one studying ELA and one study- ing social studies), and three in the comparison group (one third grade studying ELA, and two fourth grades, one studying ELA and one studying so- cial studies).[¬e]""', 'Page 4:\n[¬s]"" Previous achieve- ment scores ranged from 209 to 297. The treatment and comparison groups had comparable means (M = 267.49 and M = 266.04, respectively).[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),"['Page 4:\n[¬s]""Six classrooms of fifth graders were recruited for participation""\n""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number. Then, by using the table of randan numbers., each section was divided into exper:lJllental and control groups. Tids was done to remove the teacher as a variable vi thin each sec t i on. Table IV describes the intelligence and reading level of each grade.[¬e]""']",NA
Random (please specify),NA,NA
Unclear,NA,NA
Random (please specify),"['Page 1:\n[¬s]""Fifty-two children with learning dis\xad abilities in seven central Illinois public schools were selected for the present study. These schools follow the Illinois special education administrative code in determining eligibility of learning disabil\xad ities.[¬e]""', 'Page 2:\n[¬s]""After the pretest, the subjects were randomly assigned to experimental and control groups, and the treatment phase began.[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 45:\n[¬s]""The experimental design for this study can be described as a quasi-experimental, posttest only, control group design (Campbell and Stanley, 1963). The term ""quasi-experimental"" refers to the fact that, unlike a true experiment, individual students were not randomly assigned to one of the three experimental treatments. Consequently, analysis of covariance procedures were used to statistically equate the classroom groups on initial writing perfor\xad mance and initial attitude toward writing. Pretest measures were used only as covariates; there was no comparison of pretest and posttest scores for any variables.[¬e]""']",NA
"Non-random, but matched",NA,NA
Random (please specify),"['Page 2:\n[¬s]""le. Random assignment was made to each of three testing conditions: standard, elaborated feedback, and verbalization. To confirm the equality of the groups, scores on the Cattell Culture-Fair Intelligence test were compared and found not to be significantly different (F2,69 = 0.2, NS[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 3:\n[¬s]"" Subjects were selected on the basis of having given no more than 6 (out of 24) correct responses on a screening test (mean = 1.21, SD = 1.46). Of the screened subjects, 69 percent qual\xad ified for Experiment 2. One-way analyses of variance on CA, IQ, MA, and number correct on the screening test, showed no significant differences among training[¬e]""']",NA
Random (please specify),"['Page 61:\n[¬s]"" The students were randomly assigned within classrooms (n = 25 students, approximately, per classroom) to one of five groups.[¬e]""']",NA
"Non-random, but matched","['Page 37:\n[¬s]""An attempt was made to select contrast group children on the basis of similarity on the same beginning reading behaviors as those children given specific treatment. Contrast group children made approximately the same baseline scores on the beginning reading tasks; they were represented by traditional categorical diagnosis in approximately the same numbers; and there was approxi\xad mately the same ratio of boys to girls as the specifically treated children. Thus, an attempt was made to equate the groups undergoing alternative treatment[¬e]""', 'Page 38:\n[¬s]""■ \' U M w n v \\ ( \\ \\ t \\ u W i t N w m \\ m ""\n"" as much as possible although children had to be treated ""where they were"".[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""e specifically, from the Polyvalente Sainte-Ursule. The subjects, randomly assigned, did not know if they were assigned to one of two experimental groups (GE1 and GE2) or to a control group (GC). A[¬e]""', 'Page 5:\n[¬s]"" [¬e]""']",Details of randomisation process not provided 
Random (please specify),"['Page 4:\n[¬s]""re specifically, from the Polyvalente Sainte-Ursule. The subjects, randomly assigned, did not know if they were assigned to one of two experimental groups (GE1 and GE2) or to a control group (GC). A[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 3:\n[¬s]""ung write\nbut such behaviors do not appear consistently. Con\ntency requires more cognitive maturity and consc\ncontrol over language processes than is possessed by\nyoung (Burtis, Bereiter, Scardamalia, & Tetroe, 19\nBirnbaum (1982) suggested[¬e]""']",NA
"Non-random, but matched","['Page 2:\n[¬s]"" The school grouped the children homogeneously for read\xad ing.""\n""In order to avoid problems in matching stu\xad dents, the experiment followed a counterbal\xad anced method.[¬e]""']","It is interpreted that ""homogenously"" means on same attainment/achievement rate. "
"Non-random, not matched prior to treatment","['Page 2:\n[¬s]""In order to avoid problems in matching stu\xad dents, the experiment followed a counterbal\xad anced method.[¬e]""', 'Page 4:\n[¬s]""The children were divided into two groups of nine. The first group had their raw scores recorded on a rate sheet record, as in Figure 1, for the first 2 weeks. During the second 2 weeks the adult manager plotted their scores on 3 cycle semilog paper (Figure 3) and discussed the graph with the child.""\n""The second group of nine children received the same rate sheet sequence, but their scores were charted on sernilog paper during the first 2 weeks and recorded on the rate sheet record during the second 2 weeks.[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""The experimental design was a randomized block factorial with ability nested in sex. Sex was a nested factor, since ability grouping was done separately for males and females, and hence the cutoff scores for the ability levels were not identical in each sex.[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""The experimental design was a randomized block factorial with ability nested in sex. Sex was a nested factor, since ability grouping was done separately for males and females, and hence the cutoff scores for the ability levels were not identical in each sex.[¬e]""']",NA
"Non-random, but matched",NA,"17 remedial reading teachers were chosen to engage in the study, 6 of whom underwent the professional development intervention and 11 who did not. Of the six FA teachers, two taught EDK after-school programmes and four taught primary grades. The students of these 17 teachers formed the basis of the two treatment groups and two controls. "
Random (please specify),"['Page 123:\n[¬s]"" Randomization was accomplished in assigning students to experimental and control groups by[¬e]""', 'Page 124:\n[¬s]""arbitrarily assigning each student a number and then using a table of random numbers (Asher, 1976:343) to place each student in a group, rotating from group to group, as his/her number appeared in the table.[¬e]""', 'Page 22:\n[¬s]""experimental treatment to which the student was randomly assigned[¬e]""', 'Page 27:\n[¬s]"" It was assumed that the procedure of randomly assigning students to the six experimental groups ensured that variables that might influence the learning task under study, and which were not specifically controlled, were distributed evenly across all six groups.[¬e]""']",NA
Random (please specify),"['Page 2:\n[¬s]""Three classes were randomly assigned to each experimental group, yielding 88 subjects in Group 1. 90 in Group 2, and 83 in Group 3.[¬e]""']",NA
Random (please specify),"['Page 2:\n[¬s]"" Three classes were randomly assigned to each experimental group,[¬e]""']",No further details given. 
Random (please specify),"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",200 pupils from 16 randomly selected firth and sixth grade classes from four different elementary schools in Israel. Participants were randomly assigned to the four conditions baded on average class grade. High-achievers (top 25% of class) and low achievers (bottom 25%) were randomly selected. 
Random (please specify),"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",No further details given other than what is coded
Random (please specify),"['Page 3:\n[¬s]"" populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",No further information given other than what is in code 
"Non-random, but matched","['Page 8:\n[¬s]""We are using a matched control group approach in which experimental classes (at each class level) are matched with comparable control classes that do not use 382______________ „, --- , -\' v >"" ,■ /jf-pACCAMISE ET AL. Supplied by the British Library 29 Sep 2017, 08:54 (BST)[¬e]""', 'Page 9:\n[¬s]""15. TECHNOLOGY-BASED SUMMARIZING 383 Summary Street to assist in their reading and writing activities. ""\n""experi\xad mental and control classes were matched demographically.[¬e]""']",NA
Random (please specify),"['Page 12:\n[¬s]"" randomly assigned to condition within each class,[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),NA,NA
Random (please specify),"['Page 40:\n[¬s]""Subjects were randomly assigned to one of 10 treatment conditions in a 2 x 5\nfactorial design.[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""participants were randomly assigned to one of ﬁve\ntreatment groups by their classroom teacher distributing the randomly stacked and\nunlabelled print-based workbooks[¬e]""']",NA
Random (please specify),NA,"The study randomly assigned participants to the treatment and control conditions at school level, rather than teacher and student level. Therefore the study design was a cluster randomised control trial. "
Random (please specify),"['Page 2:\n[¬s]""A stratified random assignment procedure was used to place students in the control and experimental groups.[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""After identifying the pool of eligible at-risk\nstudents at each school, we randomly selected 6\nto 26 students within each school and randomly\nassigned them to one of two groups: RRI or typi-\ncal school practice (TSP).[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""Six children\nof each sex were randomly assigned to each of five\nconditions with the single constraint that the experi-\nmental groups be roughly equal in age.[¬e]""']",NA
Random (please specify),"['Page 11:\n[¬s]""the regular education population was to arrange the\nstudents in alphabetical order for boys and then girls and in progression assign the first student\nto the teacher of the experimental group, the second student to the teacher of the control group[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""Subjects were not ability grouped in any classes. The subjects were randomly assign[¬e]""']",NA
Random (please specify),"['Page 83:\n[¬s]""a sample of 100 subjects who could adequately read material at a seventh to eighth grade level, but who had[¬e]""', 'Page 84:\n[¬s]""difficulty monitoring their comprehension were selected and randomly assigned [¬e]""', 'Page 85:\n[¬s]""Subjects were randomly assigned to""\n"" active cognitive modeling, fullrange cognitive mode l i n g[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""Assignment was made ran-\ndomly.[¬e]""']",NA
Random (please specify),"['Page 72:\n[¬s]""Subjects were stratified by grade and reading level so that equal numbers from each subgroup could be assigned to treatments. From the stratified subgroups, subjects were randomly assigned to treatment groups and passage order.[¬e]""', 'Page 79:\n[¬s]""Subjects were randomly assigned to treatment groups and the order In which they read passages.[¬e]""']",no method given
"Non-random, not matched prior to treatment",NA,NA
Random (please specify),"['Page 8:\n[¬s]""were assigned randosly tc three[¬e]""', 'Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""']",random between the 3 treatments but not random between the treatment and control
"Non-random, not matched prior to treatment","['Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group[¬e]""']",random between the 3 different treatment groups but not random between the treatment of interest in this data extraction and control
"Non-random, not matched prior to treatment","['Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""']",random between the 3 different treatment groups but not random between the treatment of interest in this data extraction and control
Random (please specify),"['Page 2:\n[¬s]""Random\nassignment within triads of the subjects produced three\ntreatment groups of 30 subjects each.[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 10:\n[¬s]""A quasi-experimental,\nnon-equivalent control group design (Campbell & Stanley, 1966) was used to\ncompare these students’ scores with third-grade students who attended a consistently\nhigh performing school within the district.[¬e]""']",NA
Random (please specify),"['Page 5:\n[¬s]"" randomly assigned (counterbalancing for language-arts teacher, sex, and race)[¬e]""']",NA
Unclear,NA,NA
Unclear,NA,NA
Unclear,NA,NA
Unclear,NA,NA
Random (please specify),"['Page 8:\n[¬s]""Thus, assignment to experimental and control condition was made within classes, with roughly half of the children in each class randomly assigned to either condition.[¬e]""']",method not described
"Non-random, not matched prior to treatment","['Page 3:\n[¬s]""Statistical tests revealed that experimental and contrast groups were similar with respect to teachers\' sex and experience as well as students\' sex and grade level. However, there was a relation between treatment group and the distribution of children among program types, x 2 (4) = 24.31, p < .001, with a much greater percentage of brain-injured children in the experimental group.[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""This random sampling resulted in 49 students in the alternative mastery learning treatment (DBI) and 39 pupils in the typical mastery learning treatment (TYP).""\n""ize, with\neach group reading at a different skill level. The reading\ngroups within each of the four classrooms were rank or\ndered with respect to skill level. Then, a stratified ran\ndom sampling procedure was employed to assign read\ning groups to experimental treatments. The stratified\nsampling insured that each teacher would have equal\nnumbers of groups in each experimental treatment and\nthat each treatment group would comprise equal num\nbers of groups from the upper and lower halves of the\nskill rankings.[¬e]""']",NA
Random (please specify),NA,No details given.
Random (please specify),"['Page 1:\n[¬s]""Thirty special educators werc assigned random!v 10 treatment groups. includim: a control condition and differellt levels o/CBM analysis, one ojwhich inclutled graphcd performance indicators With skills analvsis; one, graphed per!rJrlJlalicc indicators only: and another, graphed performance indicators with ordered lists 0/ studen: spellings.[¬e]""']","Teachers were assigned randomly to threegroups: CBM with skills analysis (Group I),CBM without skills analysis (Group 2), and con­trol (Group 3). CBM teachers selected four pupilsto participate, then the four students were as­signed randomly to two subgroups."
Random (please specify),"['Page 1:\n[¬s]""Thirty teachers were assigned randomly to three groups: CBM with expert system advice (CBM-ES), CBM with no expert system advice (CBM-NES), and control (Le., no CBM).[¬e]""']",NA
Random (please specify),NA,"'We randomly assigned general educators to...groups...Teachers implemented treatments with all of their classes...' (p.519) Participating classes were therefore assigned to condition randomly. 3 students within each class were then analysed, with specific selection criteria used for selection - see 'How is the intervention described' for details of this."
Random (please specify),"['Page 46:\n[¬s]""Using a random number table, two hundred and forty male students Cage 12-13) were randomly selected out of these four schools; sixty students for each school.[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""The subjects were 45 high school juniors and seniors ""\n""The students were drawn from two intact classes and could be considered of high ability[¬e]""', 'Page 5:\n[¬s]""Students were randomly assigned[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""Students were randomly\nassigned to groups.[¬e]""']",NA
Random (please specify),"['Page 10:\n[¬s]""the schools themselves randomised the target group into two arms""\n""The evaluators advised the school leads on the process of randomisation, and checked that the two arms of the trial were balanced in terms of KS2 scores in English. [¬e]""', 'Page 30:\n[¬s]""In one of the schools randomisation was by classes rather than eligible individuals. There is no reason to suspect that this has influenced the results, and the impact was similar across all schools.[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),NA,NA
