pub_type,pubtype_ht,pubtype_info
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
"['Technical report', 'Conference paper']",NA,NA
['Conference paper'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Book or book chapter'],NA,NA
['Book or book chapter'],NA,NA
NA,NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,https://journals.sagepub.com/doi/10.1177/001440298605300301
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Technical report'],"['Page 1:\n[¬s]""Reports - Research/Technical (143)[¬e]""']",NA
['Technical report'],"['Page 1:\n[¬s]""Reports - Research/Technical (143)[¬e]""']",NA
['Technical report'],"['Page 1:\n[¬s]""20p.\nReports - Research/Technical (143)[¬e]""']",NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Conference paper'],NA,NA
['Conference paper'],NA,NA
['Conference paper'],NA,NA
['Conference paper'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],"['Page 1:\n[¬s]""Exceptional Children[¬e]""']",NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Conference paper'],NA,Conference papers in a peer reviewed publication with ISBN
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Conference paper'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Journal article'],"['Page 1:\n[¬s]""Journal of General Psychology[¬e]""']",NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Book or book chapter'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Conference paper'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Conference paper'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Conference paper'],NA,NA
['Conference paper'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Technical report'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
['Dissertation or thesis'],NA,NA
['Dissertation or thesis'],NA,NA
['Journal article'],NA,NA
