rand_raw,rand_ht,rand_info
['No/Unclear'],NA,NA
['Yes'],"['Page 4:\n[¬s]""we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools[¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""Two schools were the only elementary schools within their dis-\ntricts. Because of the small number of schools, when possible, schools within each\ndistrict were paired based on demographic characteristics (school size, race/ethnic\ncomposition, Reading First participation, and percentage ofstudents eligible for free[¬e]""', 'Page 9:\n[¬s]""or reduced-price lunch) and randomly assigned to the experimental or control con-\ndition. The two single-school districts were matched and randomly assigned in the\nsame manner. After random assignment, difﬁculties with technology—speciﬁcally,\nthe lack ofdistrict-level technology staffto troubleshoot initial ﬁrewall issues—led to\nthe withdrawal of one experimental school. The seven remaining participating\nschools included 43 classrooms, 26 experimental and 17 control[¬e]""']",NA
['Yes'],"['Page 54:\n[¬s]""Xn the school in which the experiment was conducted all eighth grade students were assigned to take mathematics in one of three time periods. From each of these blocks of students, students were randomly assigned to one of the classes used in the ex\xad periment. Further the treatments were randomly assigned to each of the three classes.[¬e]""']",NA
['Not applicable'],NA,NA
NA,NA,NA
NA,NA,NA
['Yes'],"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number. Then, by using the table of randan numbers., each section was divided into exper:lJllental and control groups. Tids was done to remove the teacher as a variable vi thin each sec t i on.[¬e]""', 'Page 5:\n[¬s]""AB mentioned above, experimental and control groups were selected a t random !ran each eection or grades three and five.[¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""The 72 participants were randomly assigned to\none of the two learning conditions (with vs. without feedback) and the two groups were\nlocated in different classrooms that were equipped with computers.[¬e]""']",Note: Sample size not provided so assumed to be 36 for each for the following codes.
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
