n_cont_ht,n_cont_info
NA,NA
"['Page 4:\n[¬s]""50 children[¬e]""']",50
NA,NA
NA,NA
NA,NA
"['Page 17:\n[¬s]""N = 23[¬e]""']",23
NA,NA
"['Page 29:\n[¬s]"" 40""\n"" 54[¬e]""']",94
"['Page 8:\n[¬s]""72 participants[¬e]""']",36
"['Page 3:\n[¬s]""77[¬e]""']",77
NA,25
NA,119
"['Page 44:\n[¬s]""Treatment""\n""III""\n""23""\n""19""\n""16""\n""18""\n""23""\n""20[¬e]""']",119
NA,24
NA,24
"['Page 62:\n[¬s]""Control (n = 27)[¬e]""']",27
"['Page 53:\n[¬s]"" 23[¬e]""']",23
"['Page 5:\n[¬s]""No feedback. Students of GC (n = 27), [¬e]""']",27
"['Page 5:\n[¬s]""Students of GC (n = 27)[¬e]""']",27
NA,17
"['Page 5:\n[¬s]""14[¬e]""']",14
NA,NA
"['Page 4:\n[¬s]""79[¬e]""']",79
"['Page 4:\n[¬s]""None""\n""79[¬e]""']",79
"['Page 12:\n[¬s]""85[¬e]""']",85
"['Page 140:\n[¬s]""21[¬e]""']",21
"['Page 2:\n[¬s]""83[¬e]""']",83
"['Page 2:\n[¬s]""83[¬e]""']",83
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,216
"['Page 8:\n[¬s]""19[¬e]""']",19
NA,40
NA,NA
NA,1931
NA,NA
"['Page 14:\n[¬s]""240[¬e]""']",240
NA,12
NA,90
"['Page 4:\n[¬s]""22[¬e]""']",22
"['Page 145:\n[¬s]""25[¬e]""']",25
NA,assumed to be 168 as not specified in text
"['Page 89:\n[¬s]""24[¬e]""']",24
"['Page 71:\n[¬s]""21[¬e]""']",NA
"['Page 14:\n[¬s]""10[¬e]""']",10
"['Page 14:\n[¬s]""10[¬e]""']",10
"['Page 14:\n[¬s]""10[¬e]""']",10
NA,30
NA,95
NA,NA
NA,53
"['Page 7:\n[¬s]""53[¬e]""']",53
"['Page 7:\n[¬s]""53[¬e]""']",53
"['Page 7:\n[¬s]""53[¬e]""']",53
NA,NA
"['Page 3:\n[¬s]""57 boys, 20 girls[¬e]""']",77
NA,39
NA,6
NA,NA
NA,20
NA,20
"['Page 63:\n[¬s]""80[¬e]""']",80
NA,15
"['Page 4:\n[¬s]""98[¬e]""']",98
NA,NA
NA,25
"['Page 4:\n[¬s]""Table 2.[¬e]""']",27
"['Page 302:\n[¬s]""70[¬e]""']",70
NA,389
NA,30
"['Page 12:\n[¬s]""3[¬e]""']",33
NA,NA
NA,NA
NA,85
NA,NA
NA,NA
NA,NA
NA,NA
"['Page 6:\n[¬s]""35[¬e]""']",35
NA,36
NA,NA
"['Page 80:\n[¬s]""(n = 22) served as the control[¬e]""']",22
NA,237
"['Page 4:\n[¬s]"" groups of 15[¬e]""']",15
NA,816
"['Page 15:\n[¬s]""Control (n = 36)[¬e]""']",36
NA,NA
"['Page 11:\n[¬s]""Reading Detectives (N = 80)[¬e]""']",80
NA,28
NA,28
NA,NA
NA,NA
NA,NA
NA,NA
NA,14
NA,16
NA,NA
NA,NA
NA,NA
"['Page 11:\n[¬s]""6[¬e]""']",6
NA,175
NA,NA
"['Page 3:\n[¬s]""29[¬e]""']",29
"['Page 5:\n[¬s]""14[¬e]""']",14
NA,90
"['Page 4:\n[¬s]""f 1[¬e]""']",15
"['Page 4:\n[¬s]""f 15 [¬e]""']",NA
NA,16
NA,NA
NA,NA
"['Page 6:\n[¬s]""20[¬e]""']",20
"['Page 7:\n[¬s]"" 25[¬e]""']",25
NA,NA
NA,35
NA,NA
NA,12
"['Page 6:\n[¬s]""10[¬e]""']",10
NA,NA
NA,46
NA,44
"['Page 9:\n[¬s]""N=19[¬e]""']",19
"['Page 4:\n[¬s]""TABLE I[¬e]""']",70
NA,70
NA,NA
NA,NA
NA,NA
"['Page 23:\n[¬s]""1,013[¬e]""']",1013
NA,10
NA,NA
NA,NA
NA,2819
NA,24
NA,11
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"['Page 4:\n[¬s]""The experiment was run in six shifts of from eight to 10 children. Approxi\xad mately equal numbers of children from within each shift received each of the three conditions.[¬e]""']",17
NA,NA
NA,NA
NA,NA
"['Page 8:\n[¬s]""Conventional""\n""(n = 30)""\n""Conventional""\n""(n = 31)[¬e]""']",61
NA,52
NA,NA
NA,NA
NA,NA
"['Page 92:\n[¬s]""248[¬e]""']",248
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,223
NA,1294
NA,887
NA,NA
NA,NA
"['Page 62:\n[¬s]"" 10[¬e]""']",10
"['Page 62:\n[¬s]""10[¬e]""']",10
NA,52
NA,135
NA,NA
NA,NA
