base_n_treat_ht,base_n_treat_info,base_n_cont_ht,base_n_cont_info,base_n_treat2_ht,base_n_treat2_info,base_n_treat3_ht,base_n_treat3_info
"['Page 21:\n[¬s]"" The experimental group had 22 boys and 22 girls[¬e]""']",44,"['Page 21:\n[¬s]"" The control group had 17 girls and 20 boys[¬e]""']",37,NA,NA,NA,NA
"['Page 4:\n[¬s]""50 children[¬e]""']",50,"['Page 4:\n[¬s]""50 children[¬e]""']",50,NA,NA,NA,NA
"['Page 11:\n[¬s]""Experimental\nFocal\n(n ⫽ 112)""\n""Experimental\nNonfocal\n(n ⫽ 125)[¬e]""']",112 (Focal)+ 125 (non-focal),"['Page 11:\n[¬s]""Control\nFocal\n(n ⫽ 63)""\n""Control\nNonfocal\n(n ⫽ 64)[¬e]""']",63(Focal)+64(Non-focal),NA,NA,NA,NA
"['Page 54:\n[¬s]"" 26, 27,[¬e]""']",53,"['Page 54:\n[¬s]""29 students[¬e]""']",29,NA,NA,NA,NA
"['Page 3:\n[¬s]""Three classes were grade 3 (N = 46) and four were grade 4 (N = 70).[¬e]""', 'Page 6:\n[¬s]""Table 3.""\n""Treatment""\n""70[¬e]""']",70,"['Page 3:\n[¬s]""Three classes were grade 3 (N = 46) and four were grade 4 (N = 70)[¬e]""', 'Page 6:\n[¬s]""Table 3.""\n""Comparison""\n""46[¬e]""']",46,NA,NA,NA,NA
"['Page 17:\n[¬s]""N = 23""\n""N = 21""\n""N = \'n.\'n.[¬e]""']",66,"['Page 17:\n[¬s]""N = 23[¬e]""']",23,NA,NA,NA,NA
"['Page 4:\n[¬s]""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition. There were 67 students in the integration group[¬e]""']",67,"['Page 4:\n[¬s]""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.""\n"" 65 students in the observation group.[¬e]""']",65,NA,NA,NA,NA
"['Page 29:\n[¬s]""40""\n""56[¬e]""']",96,"['Page 29:\n[¬s]""40""\n""54[¬e]""']",94,NA,NA,NA,NA
"['Page 8:\n[¬s]""72 participants[¬e]""']",36,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,NA,NA,NA,NA
"['Page 3:\n[¬s]""79[¬e]""']",79,"['Page 3:\n[¬s]""77[¬e]""']",77,NA,NA,NA,NA
"['Page 2:\n[¬s]""Experimental group (n = 27)[¬e]""']",27,"['Page 2:\n[¬s]""Control (n = ""\n""group 25)[¬e]""']",25,NA,NA,NA,NA
NA,156,"['Page 44:\n[¬s]""Figure 3. Breakdown of the Sample by School, Grade,[¬e]""']",119,NA,NA,NA,NA
"['Page 44:\n[¬s]""Treatment""\n""II""\n""22""\n""25""\n""19""\n""25""\n""21""\n""25[¬e]""']",137,"['Page 44:\n[¬s]""Treatment""\n""III""\n""23""\n""19""\n""16""\n""18""\n""23""\n""20[¬e]""']",119,NA,NA,NA,NA
"['Page 2:\n[¬s]""The sample consisted of 72third-grade children""\n""Random assignment was made to each of three testing conditions: standard, elaborated feedback, and verbal[¬e]""']",24,"['Page 2:\n[¬s]""The sample consisted of 72third-grade children""\n""Random assignment was made to each of three testing conditions: standard, elaborated feedback, and verbal[¬e]""']",24,NA,NA,NA,NA
