SESMD_OUTCOME_1,SESMD_OUTCOME_2,SESMD_OUTCOME_3,SESMD_OUTCOME_4,SESMD_OUTCOME_5,SESMD_OUTCOME_6,SESMD_OUTCOME_7,SESMD_OUTCOME_8,SESMD_OUTCOME_9,SESMD_OUTCOME_10
0.223,0.223,0.223,0.226,0.226,NA,NA,NA,NA,NA
0.2081,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.113,0.1128,0.113,NA,NA,NA,NA,NA,NA,NA
0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.1984,NA,NA,NA,NA,NA,NA,NA,NA
0.2452,0.2991,0.3078,0.3023,NA,NA,NA,NA,NA,NA
0.18,0.17,0.17,0.15,0.18,0.17,NA,NA,NA,NA
0.1451,0.2236,0.1907,NA,NA,NA,NA,NA,NA,NA
0.2357,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1612,0.1615,NA,NA,NA,NA,NA,NA,NA,NA
0.2855,0.2858,NA,NA,NA,NA,NA,NA,NA,NA
0.12,0.12,NA,NA,NA,NA,NA,NA,NA,NA
0.1455,0.2473,NA,NA,NA,NA,NA,NA,NA,NA
0.3027,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4056,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2479,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.66,0.437,NA,NA,NA,NA,NA,NA,NA,NA
0.2838,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2664,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.335,0.3199,0.3207,NA,NA,NA,NA,NA,NA,NA
0.4019,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1606,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1602,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2101,0.1869,NA,NA,NA,NA,NA,NA,NA,NA
0.2809,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1742,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1636,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3815,0.2893,0.2303,NA,NA,NA,NA,NA,NA,NA
0.2884,0.2855,0.2026,NA,NA,NA,NA,NA,NA,NA
0.2854,0.2873,0.2389,0.2317,NA,NA,NA,NA,NA,NA
0.2132,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2132,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0972,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3357,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2267,0.2252,0.226,0.2254,NA,NA,NA,NA,NA,NA
0.044,0.038,0.028,0.027,0.023,0.03,0.033,NA,NA,NA
0.2533,0.2519,0.2519,0.2533,NA,NA,NA,NA,NA,NA
0.0999,0.0983,0.0988,NA,NA,NA,NA,NA,NA,NA
0.3312,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.204,0.1703,NA,NA,NA,NA,NA,NA,NA,NA
0.3102,0.308,NA,NA,NA,NA,NA,NA,NA,NA
0.2858,0.2868,NA,NA,NA,NA,NA,NA,NA,NA
0.1211,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3028,0.305,0.3028,0.3044,NA,NA,NA,NA,NA,NA
0.2781,0.217,0.2725,0.2111,NA,NA,NA,NA,NA,NA
0.4807,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4208,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4483,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2255,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2129,0.21,0.2096,NA,NA,NA,NA,NA,NA,NA
0.38,0.3853,NA,NA,NA,NA,NA,NA,NA,NA
0.2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1914,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1925,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2879,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.17,0.169,0.171,0.17,NA,NA,NA,NA,NA,NA
0.2146,0.2168,NA,NA,NA,NA,NA,NA,NA,NA
0.6462,0.606,NA,NA,NA,NA,NA,NA,NA,NA
0.3445,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3715,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3891,0.3981,0.4486,0.4473,0.4538,0.4771,0.3882,0.4138,NA,NA
0.1655,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3673,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1423,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1091,0.1883,NA,NA,NA,NA,NA,NA,NA,NA
0.0781,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2795,0.276,NA,NA,NA,NA,NA,NA,NA,NA
0.1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0719,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2973,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2508,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1707,0.2206,NA,NA,NA,NA,NA,NA,NA,NA
0.2582,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1562,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2371,0.41,0.4086,NA,NA,NA,NA,NA,NA,NA
0.1601,0.1593,NA,NA,NA,NA,NA,NA,NA,NA
0.3566,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2632,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2733,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3163,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0727,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2538,0.2538,NA,NA,NA,NA,NA,NA,NA,NA
