SMD_Outcome_1,SMD_Outcome_2,SMD_Outcome_3,SMD_Outcome_4,SMD_Outcome_5,SMD_Outcome_6,SMD_Outcome_7,SMD_Outcome_8,SMD_Outcome_9,SMD_Outcome_10
0.165,0.153,0.1,-0.458,0.428,NA,NA,NA,NA,NA
0.7951,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3956,0.3688,0.4069,NA,NA,NA,NA,NA,NA,NA
1.1547,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.83,0.8653,NA,NA,NA,NA,NA,NA,NA,NA
0.5069,0.4595,0.5415,0.4487,NA,NA,NA,NA,NA,NA
0.3,0.3,0.2,0.03,0.14,0.13,NA,NA,NA,NA
-0.0058,0.0052,-0.0271,NA,NA,NA,NA,NA,NA,NA
0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3237,0.3652,NA,NA,NA,NA,NA,NA,NA,NA
0.6548,0.6661,NA,NA,NA,NA,NA,NA,NA,NA
0.22,0.3,NA,NA,NA,NA,NA,NA,NA,NA
0.2115,0.2311,NA,NA,NA,NA,NA,NA,NA,NA
0.8552,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.4289,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5191,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.75,1.423,NA,NA,NA,NA,NA,NA,NA,NA
-0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2514,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8458,-0.0356,0.4172,NA,NA,NA,NA,NA,NA,NA
1.0215,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0984,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1738,0.7575,NA,NA,NA,NA,NA,NA,NA,NA
-0.2205,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.539,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1185,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.4566,0.584,1.2681,NA,NA,NA,NA,NA,NA,NA
0.541,-0.3701,0.0807,NA,NA,NA,NA,NA,NA,NA
