int_design_raw,int_design_ht,int_design_info
['Prospective QED'],"['Page 21:\n[¬s]""The control classes were chosen because the teachers were not concentrating on Six Trait writing at this time and the teachers were willing to have their students submit two writing samples.[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools[¬e]""']",NA
['Cluster RCT'],"['Page 4:\n[¬s]""This study was a cluster-randomized design in which schools were randomly as-\nsigned to experimental and control conditions.[¬e]""']",NA
"['Individual RCT', 'Retrospective QED  ']","['Page 52:\n[¬s]""Two separate studies were conducted. The first, con\xad cerning two different classes at two different grade levels, was a naturalistic study while the second, concerning three classes at the same grade level, was an experimental study.[¬e]""', 'Page 54:\n[¬s]""In the experimental study, eighth grade students were randomly assigned to three classrooms[¬e]""']",NA
['Prospective QED'],NA,NA
['Individual RCT'],"['Page 7:\n[¬s]""Subjects\nwere randomly assigned to one control and three experimental\ngroups.[¬e]""']",NA
['Multisite RCT'],"['Page 4:\n[¬s]""Classrooms were located in different buildings and different school districts. Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number. Then, by using the table of randan numbers., each section was divided into exper:lJllental and control groups. Tids was done to remove the teacher as a variable vi thin each sec t i on.[¬e]""', 'Page 5:\n[¬s]""AB mentioned above, experimental and control groups were selected a t random !ran each eection or grades three and five.[¬e]""']",NA
['Individual RCT'],"['Page 8:\n[¬s]""The 72 participants were randomly assigned to\none of the two learning conditions (with vs. without feedback)[¬e]""']",NA
['Prospective QED'],"['Page 1:\n[¬s]""quasi-experimental research design""\n""Classes were divided into an\nexperimental group (2 classes, 79 students) and a control group (2 classes, 77 students)[¬e]""']",NA
['Prospective QED'],"['Page 1:\n[¬s]""Fifty-two children with learning dis\xad abilities in seven central Illinois public schools were selected for the present study. These schools follow the Illinois special education administrative code in determining eligibility of learning disabil\xad ities.[¬e]""']",NA
['Prospective QED'],"['Page 45:\n[¬s]""The experimental design for this study can be described as a quasi-experimental, posttest only, control group design[¬e]""']",NA
['Prospective QED'],"['Page 45:\n[¬s]""The experimental design for this study can be described as a quasi-experimental, posttest only, control group design (Campbell and Stanley, 1963). The term ""quasi-experimental"" refers to the fact that, unlike a true experiment, individual students were not randomly assigned to one of the three experimental treatments.[¬e]""']",NA
['Individual RCT'],"['Page 2:\n[¬s]"" testing conditions: standard, elaborate""\n""Random assignment was made to e[¬e]""']",NA
['Prospective QED'],"['Page 3:\n[¬s]""Subjects were selected on the basis of having given no more than 6 (out of 24) correct responses on a screening test (mean = 1.21, SD = 1.46).""\n""Of the screened subjects, 69 percent qual\xad ified for Experiment 2.[¬e]""']",NA
['Individual RCT'],"['Page 61:\n[¬s]"" The students were randomly assigned within classrooms (n = 25 students, approximately, per classroom) to one of five groups. One quarter of each class was assigned to the control group which would learn the algebra to no required Par unit performance level. The remaining learners were assigned to four experimental groups.[¬e]""']",NA
['Retrospective QED  '],"['Page 38:\n[¬s]""Because children reported in this study attended different schools, true randomization procedures could not be used in assigning treatment. Rather, natural randomization occurred as a phenomenon of location.""\n""Of the 15 teachers providing treatment, each in a different school, one used specific treatment with four children and all others used specific treatment with one or two children. These same 15 teachers also provided traditional treatment for children who were considered contrast group children.[¬e]""']",NA
