eco_valid_raw,eco_valid_ht,eco_valid_info
['Low ecological validity'],NA,NA
['High ecological validity'],NA,NA
['Unclear'],NA,"The intervention requires classroom teachers to teach students one-on-one, other students were required to work independently, with other staff/teaching assistants, etc. Teachers could only work with up to five students per year. Would appear to be difficult to implement widely, however, the interventions were administered by classroom teachers in this study."
['Low ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],"['Page 5:\n[¬s]""The teachers used a process of systematic and intentional inquiry (Moss 2002) focused on examining the beliefs and assumptions they held about formative assessment. Teachers were encouraged to experiment with formative assessment in their own contexts (Wiliam et al. 2004).""\n"" an area of concern that they had regarding the use of formative assessment in their classroom; their learning agenda; what they assumed to be true regarding formative assessment and how their assump- tions were changing; and in what ways their focus on formative assessment was connecting to their classroom practice.[¬e]""']",NA
['High ecological validity'],NA,Note: Ecological validity in this instance relies upon the availability of micro-computers and appropriate programming or the resources/funding to avail of these intervention mediums. 
['High ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['High ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['Low ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['Low ecological validity'],NA,"Indicative that this study was complete under laboratory conditions. Many students use smartphones nowadays, but it is difficult to determine whether this study could be implemented under real conditions."
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
['High ecological validity'],NA,NA
