treat_group_raw,treat_group_ht,treat_group_info
['No'],NA,NA
['No'],NA,NA
['Yes (Please specify)'],NA,"Experimental Focal
Experimental NonFocal
Control Focal
Control NonFocal "
['Yes (Please specify)'],"['Page 57:\n[¬s]"" Three eighth grade classes were used. The three classes learned under two different strategies. The first two classes used mastery learning strategies while the third class used a more conventional teaching-learning strategy. The basic difference between the instructional method of the groups was that the students in the mastery learning classes were given additional time and help to attain a pre-set criterion level while the students in the conventional class were not given the additional time and help nor were they required to attain a pre-set criterion level. The two mastery learning classes differed in the pre-set criterion level: one class (85% ML) was expected to attain scores of at least 85% on the criterion test for each unit while the other class (75% ML) was expected to attain scores of at least 75% on the criterion.[¬e]""']",NA
['No'],NA,NA
['Yes (Please specify)'],"['Page 3:\n[¬s]""Three conditions of feedback were presented\nand were characterized asTextual KR;Symbolic KR;\nand Pictorial KR. A control group participated\nin a color-matching game on the computer.[¬e]""']","Yes, however, at the request of the coding team I will be coding for the computer feedback condition (3 combined) vs control."
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes (Please specify)'],NA,"While this dissertation outlines three treatment groups (peer feedback, positive peer feedback, control) only two of these treatments will be coded for the purposes of the EEF toolkit. 2 treatments: Peer feedback (on writing process) Control (no group activity/feedback)."
['Yes (Please specify)'],NA,"This study describes three treatment groups (2 interventions, 1 control). However, for the purposes of coding for EEF database, only one intervention and the control are coded here. Intervention: Positive Peer FeedbackControl"
['Yes (Please specify)'],"['Page 2:\n[¬s]""ple. Random assignment was made to each of three testing conditions: standard, elaborated feedback, and verbal[¬e]""']","There were 3 groups, however focus is on the control group and elaborated feedback treatment group only, as instructed by the coding team."
['Yes (Please specify)'],"['Page 3:\n[¬s]""The design of Experiment 2 corre\xad sponded to a 3 x 2 x 2 x 2 x 3 factorial design. The factors were training method (feedback training, feedback-counting training, or control), training format (picto\xad rial or pictorial-numerical), posttest order (pictorial followed by pictorial-numerical format or the reverse), posttest format (pic\xad torial or pictorial-numerical), and posttest phase (immediate, delayed-screening set, delayed-training set). Posttest format and posttest phase were within-subjects vari\xad ables. Posttest order was determined by the order to which subjects had been randomly assigned for screening.[¬e]""']","In study 2 there was more than one treatment group. However, as instructed by the coding team, focus is upon the training method condition, and within that the feedback training group and control group only. "
['Yes (Please specify)'],"['Page 61:\n[¬s]"" The students were randomly assigned within classrooms (n = 25 students, approximately, per classroom) to one of five groups. One quarter of each class was assigned to the control group which would learn the algebra to no required Par unit performance level. The remaining learners were assigned to four experimental groups. These subjects were required and assisted to learn each algebra unit to a particular per unit ^Performance level—65, 75 > 85 , or 95 per cent.[¬e]""']","Groups 2, 3, 4 and 5 were treated as one single group, as instructed by the coding team. "
['No'],NA,NA
['No'],NA,"3 arms but as per instructions: 'There are three idenitifiable groups: Group 1 = Written feedback, Group 2 = Oral feedback, Group 3 = Control. Please focus on recording data for Group 1 and Group 3. Ignore any data relating to Group 2.'"
['No'],NA,"3 arms but as per instructions: 'There are three idenitifiable groups: Group 1 = Written feedback, Group 2 = Oral feedback, Group 3 = Control. Please focus on recording data for Group 1 and Group 3. Ignore any data relating to Group 2.'"
['Yes (Please specify)'],NA,"Revision Instruction/Peer Partners (RI/PP)
Revision Instruction Only (RI)
Peer Partners (PP)
Control

For purposes of coding I am only interested in RI/PP vs control"
"['Yes (Please specify)', 'No']","['Page 2:\n[¬s]""The first group had their raw scores recorded on a rate sheet record (Figure 1) for the first 2 weeks. During the sec\xad ond 2 weeks the adult manager plotted their scores on linear graph paper (Figure 2) and discussed the graph with the child. The second group of seven children received the same rate sheets, but their scores were charted on linear graphs first and on the rate sheet record sec\xad ond.[¬e]""']",NA
['No'],NA,NA
['No'],NA,"3 groups. As per instructions: 'Group 1 = Success feedback, Group 2 = Failure feedback, Group 3 = No feedback/Control. Please focus on recording data for Group 1 and Group 3.'"
['No'],NA,"3 groups. As per instructions: 'Group 1 = Success feedback, Group 2 = Failure feedback, Group 3 = No feedback/Control. Please focus on recording data for Group 2 and Group 3. Ignore any data relating to Group 1.'"
['Yes (Please specify)'],NA,"There were four treatment groups, two Extended Day Kindergarten (EDK) classes and two First Grade classes. One EDK and First Grade class engaged in the formative assessment (FA) experiment with their teachers.Both FA treatment groups had corresponding control/comparison groups of the same age, whose teachers did not engage in the intervention. "
['No'],NA,Experimental group = KORControl group = NFB
['Yes (Please specify)'],NA,"There were three treatment groups:1. Receipt of non-threatening task-related feedback 2. Non-receipt of feedback 3. Receipt of controlling normative grades For the purposes of coding, we are focusing only on group 1 and 3. "
