StudyID,Strand,CurriculumSubjectsTested,CurriculumSubjectsTestedComments,CurriculumSubjectsTestedCommentsHT
37116221,Peer Tutoring,"['Languages', 'Reading comprehension', 'Reading other']",NA,"['Page 26:\n[¬s]""comprehension levels, fluency levels, and attitude towards reading of student[¬e]""', 'Page 81:\n[¬s]""oral reading fluency, (b) reading comprehension, and (c) attitudes toward reading[¬e]""']"
37092570,Feedback,['Writing'],NA,NA
39253274,Summer schools,"['Decoding/phonics', 'Spelling', 'Reading other']",NA,NA
37133863,Peer Tutoring,['Mathematics'],algebra problem-solving skills,NA
37092749,Feedback,['Mathematics'],NA,NA
37092571,Feedback,['Writing'],NA,NA
37093532,Peer Tutoring,['Reading other'],Phonics Sight words Quotation marks Question marks Exclamation marks Use of sentence ,"['Page 2:\n[¬s]""Companion Reading is a mastery-based approach to reading and other ‘language arts’ such as handwriting, spelling and sentence writing. A typical lesson contains the following activities: 1. Teacher demonstration of a variety of reading skills and concepts (e.g. phonics, sight words, quotation marks, question marks, exclama\xad tion marks, use of sentences, etc.) in conjunction with unison respond\xad ing to test and rehearse children.[¬e]""']"
37092572,Feedback,['Writing'],NA,NA
37093533,Peer Tutoring,['Reading other'],"Primary Reading Test, France 1979",NA
37061105,Feedback,['Spelling'],NA,NA
37092622,Feedback,['Reading comprehension'],NA,NA
40117187,Extending school time,"['Mathematics', 'Reading comprehension']",NA,NA
37133865,Peer Tutoring,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']",fluency vocabulary,NA
39253276,Summer schools,"['Mathematics', 'Reading comprehension']",Specifies only 'reading' and 'language usage',NA
37093467,Peer Tutoring,['Mathematics'],"Standard Arithmetic Test by Israel Ministry of Education Also, teachers' marks in maths were reported",NA
40117110,NA,"['Mathematics', 'Languages', 'Reading comprehension', 'Reading other']",NA,NA
40117111,NA,"['Writing', 'Spelling', 'Reading comprehension', 'Reading other']",NA,NA
37671594,Teaching assistants,NA,NA,NA
37092573,Feedback,['Writing'],NA,NA
40294885,Feedback,"['Writing', 'Spelling']",NA,NA
40117190,NA,"['Mathematics', 'Other curriculum test', 'Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,"['Page 7:\n[¬s]""ndence; Visual, which requires visual matching and pattern find[¬e]""']"
40117239,Extending school time,"['Decoding/phonics', 'Speaking and listening/Oral language', 'Reading comprehension', 'Reading other']","measuring accuracy, rate, and phrasing when reading a text passage aloud","['Page 12:\n[¬s]""Reading comprehension. The GatesÐ MacGinitie Reading Comprehension Test (GMG; MacGinitie & MacGinitie, 1989) was administered, in which children read graded paragraphs and answered multiple choice questions about the passages. [¬e]""']"
40117240,Extending school time,"['Writing', 'Spelling']",NA,NA
37092626,Feedback,['Other curriculum test'],No curriculum subjects were specifically tested. ,NA
38296603,Teaching assistants,['Reading comprehension'],NA,NA
37092628,Feedback,['Other curriculum test'],No curriculum subjects were specifically tested. ,NA
40294886,Small Group Tuition,"['Reading other', 'Speaking and listening/Oral language', 'Decoding/phonics', 'Spelling']",NA,NA
37671632,Teaching assistants,"['Writing', 'Mathematics', 'Science', 'Reading comprehension']",NA,NA
37092755,Feedback,['Mathematics'],NA,NA
40294887,NA,"['Other curriculum test', 'Spelling']",NA,"['Page 1:\n[¬s]"" spatial skills (an incomplete picture task)[¬e]""', 'Page 1:\n[¬s]""activity tapping different skills (i.e., anagrams)[¬e]""']"
37091022,Feedback,['Reading other'],NA,NA
39253250,Summer schools,"['Reading comprehension', 'Reading other']",NA,NA
39253387,Summer schools,"['Reading other', 'Decoding/phonics']",NA,NA
37092604,Feedback,['Arts'],Music,NA
40294889,Feedback,['Arts'],Music,NA
37093538,Peer Tutoring,['Languages'],  This study was intended to isolate the effects of the reading component of CIRC,"['Page 3:\n[¬s]"" a sequence of instructional activities and curricular materials for reading and writing was utilized along with cooperative learning.[¬e]""', 'Page 5:\n[¬s]""study was intended to isolate the effects of the reading component.[¬e]""']"
37091024,Feedback,"['Reading other', 'Decoding/phonics', 'Speaking and listening/Oral language']",NA,NA
40294890,Feedback,['Reading other'],NA,NA
37092631,Feedback,"['Other curriculum test', 'Reading other']","This material implies that whilst it may appear this way to the pupil, the test actually is not independent of vocab and reading ability.","['Page 2:\n[¬s]""For the pretest, items were selected from the first subtest in the nonverbal battery. These items consist of three drawings with something in com- mon, and the student must select from five choices which figure ""goes with the first group."" Items for the criterion test ""\n"" the subject is asked to figure out the way in which a series of[¬e]""', 'Page 3:\n[¬s]""items is arranged and then to pick the next number from five choices.[¬e]""', 'Page 2:\n[¬s]""The nonverbal bat- tery was selected because it would appear to the student to be independent of vocabulary and read- ing ability, and hence students who were weak in those areas might still believe they could get high scores.[¬e]""']"
40294891,Feedback,['Other curriculum test'],Problem solving questions.,NA
39253196,Summer schools,"['Writing', 'Mathematics', 'Speaking and listening/Oral language']",NA,NA
37092605,Feedback,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,"['Page 6:\n[¬s]""DIBELS provides a quick overview of a childÕs decoding skills.[¬e]""', 'Page 6:\n[¬s]""Word use fluency.[¬e]""', 'Page 6:\n[¬s]"" Phoneme segmentation fluency, Nonsense word fluency,""\n""Letter naming fluency,[¬e]""', 'Page 6:\n[¬s]"" Initial sound fluency,""\n""Oral reading fluency[¬e]""']"
37671541,Teaching assistants,['Reading other'],NA,NA
37133869,Peer Tutoring,['Writing'],"writing process behaviors, writing attitudes and confidence level, and writing achievement o f the students who acted in the role o f the tutor.","['Page 69:\n[¬s]""writing process behaviors, writing attitudes and confidence level, and writing achievement o f the students who acted in the role o f the tutor.""\n""This will be measured (pre and post program) by three subscales o f The Writer Self- Perception Scale (WSPS) (Bottomly, Henk, 8c Melnick , 1998).[¬e]""']"
37093539,Peer Tutoring,['Mathematics'],Achievement and Attitude,NA
38296605,Small Group Tuition,"['Writing', 'Mathematics', 'Spelling', 'Reading comprehension']",NA,NA
38296604,Small Group Tuition,"['Writing', 'Mathematics', 'Reading comprehension']",NA,NA
37061108,Feedback,['Mathematics'],NA,NA
37671596,Teaching assistants,"['Spelling', 'Reading comprehension']",NA,NA
37671542,Teaching assistants,"['Decoding/phonics', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
37092634,Feedback,"['Writing', 'Spelling']",NA,NA
40294895,Feedback,['Spelling'],NA,NA
37092633,Feedback,NA,NA,NA
40294893,Feedback,NA,NA,NA
40294894,Feedback,NA,NA,NA
37092575,Feedback,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
40294896,Feedback,['Reading comprehension'],NA,NA
37093518,Peer Tutoring,['Mathematics'],NA,"['Page 1:\n[¬s]""mathematics performance[¬e]""']"
40117116,NA,['Reading comprehension'],NA,NA
37116223,Peer Tutoring,['Reading comprehension'],NA,"['Page 110:\n[¬s]""he children were assessed for Reading Comprehension, Word Attack skills and Reading Vocabulary[¬e]""', 'Page 111:\n[¬s]""Comprehension and Vocabulary sub-tests[¬e]""']"
37093351,Peer Tutoring,['Reading other'],Sight-Word Recognition Ability vocabulary and reading,"['Page 2:\n[¬s]""This study was designed to investigate the effects of an intraclass peer tutoring program on the sight\xad word recognition skills of students who were mildly mentally retarded.[¬e]""']"
40117117,Extending school time,"['Mathematics', 'Reading other']",NA,NA
39253388,NA,"['Decoding/phonics', 'Reading comprehension']",NA,"['Page 17:\n[¬s]""Perception of Ability Scale Score (PASS),[¬e]""']"
40117193,Extending school time,"['Mathematics', 'Reading comprehension']",NA,NA
40117118,NA,"['Mathematics', 'Writing', 'Science', 'Social studies', 'Spelling', 'Reading comprehension', 'Reading other']","Reading, language  Vocabulary","['Page 82:\n[¬s]""Th e m a t h e m a t i c s sections m e a s u r e a s t u d e n t \'s a b i l i t y to use and r e a s o n w i t h numbers or mathem a t i c a l concepts. T h e s e s e ctions test a student\'s a b i l i t y to h an d l e general n u m b e r c o n c e p t s rather t h a n specific a c h ievement in mathematics.[¬e]""', 'Page 83:\n[¬s]""10 q u e s t i o n s in reading, w r i t t e n expression,[¬e]""', 'Page 82:\n[¬s]""P art of the t est deals w i t h verbal skills, i n c l u d i n g the a b i l i t y to r ead w i t h u n d e r s t a n d i n g and to use w o r d s correctly.""\n"" a b i l i t y to interpret and relate ideas, and a b i l i t y to r e a s o n logi c a l l y and to d raw conc l u s i o n s correctly.[¬e]""', 'Page 81:\n[¬s]""m e a s u r e students\' a c h i e v e m e n t in reading, language,[¬e]""', 'Page 82:\n[¬s]""vocabulary[¬e]""']"
37116229,Peer Tutoring,['Mathematics'],NA,NA
37671546,Teaching assistants,"['Reading comprehension', 'Reading other']",NA,NA
39253281,Summer schools,['Decoding/phonics'],NA,NA
37092576,Feedback,['Writing'],NA,NA
37671598,Teaching assistants,['Mathematics'],NA,NA
40117120,Extending school time,"['Mathematics', 'Reading other']",NA,NA
43090135,Extending school time,['Mathematics'],NA,NA
37671620,Teaching assistants,['Mathematics'],NA,NA
40117121,Teaching assistants,"['Mathematics', 'Reading comprehension', 'Reading other']",NA,NA
37093542,Peer Tutoring,['Reading other'],NA,"['Page 3:\n[¬s]""The investigators felt that these measures, alone or in combination, would best demonstrate changes in reading ""\n"" [¬e]""', 'Page 4:\n[¬s]""Gap test Pre-iesi 8.03 3 mth. delay 9.10 Cloze test Pre-test 17.92 3 mth delay 23.15 Speed test Pre-test 78.75 3 mth delay 87.58 Comprehend\xad ing test Pre-test 64.50 3 mth delay 70.42 behaviour over the experimental period[¬e]""']"
37091026,Feedback,['Mathematics'],NA,NA
39253200,NA,"['Mathematics', 'Reading other']",NA,NA
39253314,Summer schools,"['Mathematics', 'Reading comprehension']",NA,NA
37093543,Peer Tutoring,['Mathematics'],Addition Subtraction,"['Page 5:\n[¬s]""The addition and subtraction problems[¬e]""']"
39253203,Summer schools,"['Mathematics', 'Reading other']",NA,NA
43090138,Summer schools,"['Mathematics', 'Other curriculum test', 'Decoding/phonics', 'Reading other']",NA,"['Page 113:\n[¬s]"" Math[¬e]""', 'Page 113:\n[¬s]""WRAT[¬e]""', 'Page 113:\n[¬s]"" Word -&■ • . f e Analysis[¬e]""', 'Page 113:\n[¬s]""Total Reading[¬e]""']"
40117246,NA,NA,NA,NA
40117123,NA,NA,NA,NA
37093616,Peer Tutoring,['Languages'], reading problems and skills acquisition fluency Reading comprehension,"['Page 4:\n[¬s]"" Reading comprehension[¬e]""', 'Page 4:\n[¬s]""eading skills acquisition[¬e]""', 'Page 4:\n[¬s]""recog- nition of grapheme-phoneme correspondence was assessed[¬e]""', 'Page 4:\n[¬s]""word recognition skills[¬e]""']"
37671548,Teaching assistants,['Writing'],NA,NA
43090143,NA,['Reading other'],NA,NA
37091027,NA,NA,NA,NA
37093544,Peer Tutoring,['Reading other'],reading achievement scores reading skills,"['Page 3:\n[¬s]""reading achievement""\n""self-concept[¬e]""']"
37671600,Teaching assistants,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,"['Page 3:\n[¬s]""Taught vocabulary.[¬e]""']"
40117126,NA,"['Mathematics', 'Reading other']",NA,NA
39253282,Summer schools,['Decoding/phonics'],NA,NA
39253283,Summer schools,"['Mathematics', 'Reading other']",NA,NA
40117194,NA,"['Mathematics', 'Science', 'Social studies', 'Reading other']",English,NA
37133886,Peer Tutoring,['Mathematics'],ACADEMIC SKILLS MATHEMATICS PERFORMANCE,NA
37092761,Feedback,['Reading comprehension'],NA,NA
40294902,Feedback,['Reading comprehension'],NA,NA
38878251,Small Group Tuition,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']",reading high-frequency words vocabulary reading aloud nonwords reading accuracy,"['Page 13:\n[¬s]"" read a list of decodable nonwords.[¬e]""', 'Page 14:\n[¬s]""Word Decoding. T[¬e]""', 'Page 8:\n[¬s]"" alphabetic knowledge[¬e]""', 'Page 9:\n[¬s]"" (a) named lowercase letters, (b) named uppercase letters, (c) gave sounds of the letters or examples of words beginning with the letter sounds,""\n"" blended spo\xad ken sounds to form words,""\n"" segmented words into phonemes,[¬e]""', 'Page 8:\n[¬s]"" word writing (i.e., students had 10 minutes to write all the words they knew how to spell)""\n"" developmen\xad tal spelling (i.e., 10 words were dictated and students wrote letters for the sounds they heard).[¬e]""', 'Page 14:\n[¬s]"" Reading Comprehension.[¬e]""', 'Page 9:\n[¬s]"" word reading accuracy and compre\xad hension.[¬e]""', 'Page 13:\n[¬s]""read a list of real words[¬e]""', 'Page 8:\n[¬s]"" ability to read high-frequency words.""\n"" vocabulary test.[¬e]""', 'Page 9:\n[¬s]"" read aloud nonwords,""\n"" read sight words from graded lists of the informal reading inventory.""\n"" word reading accuracy and compre\xad hension.[¬e]""']"
39253253,Summer schools,"['Writing', 'Mathematics', 'Reading other']",described as language arts - reading and writing,NA
37061114,Feedback,['Reading comprehension'],NA,"['Page 75:\n[¬s]""Immediately following the reading of each passage, a cloze test of the passage and a multiple-choice question comprehension test consisting of both factual and Inferential questions were given in printed form.[¬e]""']"
40117128,Extending school time,"['Writing', 'Mathematics', 'Reading other']",NA,NA
37093353,Peer Tutoring,['Reading comprehension'],"All the students in the seventh-grade class were given the Gates-MacGinitie Reading Test (6), Survey E, Comprehension, Forms 1 and 3, as pre- and posttests respectively. All the pupils in the third grade class were given the Gates-MacGinitie Reading Test, Primary C, Comprehension, Forms 1 and 2. ",NA
40117129,NA,"['Mathematics', 'Reading other']",ITBS reading score,NA
37093472,Peer Tutoring,['Mathematics'],"Mathematics computation test. This test is a curriculum-based assessment measure of children's performance in mathematics designed specifically for the fourth- and fifth-gradestudent participants (Tucker, 1985)  The diagnostic test contained 45 mathematics computation problems taken from the Enright Diagnostic Inventory of Basic Arithmetic Skills (Enright, 1983)",NA
37093471,Peer Tutoring,['Mathematics'],NA,NA
38878265,Small Group Tuition,['Speaking and listening/Oral language'],relational vocabulary  retelling a narrative story  recognising 8 taught and 8 untaught words,NA
