StudyID,ProportionLowSES/FSM,PercentLowSES/FSM
37116221,NA,NA
37092570,NA,NA
39253274,NA,NA
37133863,Lunch status was primarily paid lunch. One-hundred eighty-nine students (72%) paid for their lunch; 9 students (3%) paid a reduced fee for lunch; and 64 students (24%) had free lunch.,NA
37092749,NA,NA
37092571,NA,NA
37093532,NA,NA
37092572,NA,NA
37093533,"It is not explained in the article, what SPA stands for. SES/FSM have no part in this study.",NA
37061105,NA,NA
37092622,NA,NA
40117187,NA,Free/reduced price lunch = 87% (Table 2)
37133865,Not mentioned, Approximately 41% o f the students qualified for free or reduced lunches -control group  Approximately 71% o f the students qualified for free or reduced lunches -intervention group
39253276,NA,NA
37093467,NA,NA
40117110,NA,NA
40117111,NA,NA
37671594,NA,NA
37092573,NA,NA
40294885,NA,NA
40117190,NA,NA
40117239,NA,NA
40117240,NA,NA
37092626,NA,NA
38296603,NA,Intervention group FSM - yes 54% FSM - no 46%  Control group FSM - yes 49% FSM - no 51%
37092628,NA,NA
40294886,NA,28.1% FSM (Table 1)
37671632,NA,NA
37092755,NA,NA
40294887,NA,NA
37091022,NA,NA
39253250,NA,"See table 2, page 34 "
39253387,NA,Table 2 has wrong calculations!  Treatment: 72/90=80% Control: 27/29=93% TOTAL: 99/119=83%   
37092604,NA,NA
40294889,NA,NA
37093538,NA,NA
37091024,NA,NA
40294890,NA,NA
37092631,NA,NA
40294891,NA,NA
39253196,NA,NA
37092605,Not reported.,NA
37671541,NA,NA
37133869,Not reported,NA
37093539,"  As a result of the low socioeconomic levels in the community, approximately 43% of the students served by this school were eligible for free or reduced- price lunches under federal guidelines",NA
38296605,NA,870 out of 1528
38296604,NA,"27.25% (average of 27%, 27%, 29% and 26% calculated from Table 10 and 11)"
37061108,NA,NA
37671596,NA,NA
37671542,NA,NA
37092634,"SES was not specified, but the authors do make a link between socio-economic status and ""internal orientation"" (i.e. motivation and attitudes) which could be interpreted as suggestive/biased. ",NA
40294895,NA,NA
37092633,NA,NA
40294893,NA,NA
40294894,NA,NA
37092575,Assumed that SES makeup of sample was mixed based on geographical location/neighbourhood. ,NA
40294896,NA,NA
37093518,Not mentioned,NA
40117116,NA,NA
37116223,NA,NA
37093351,NA,NA
40117117,NA,NA
39253388,NA,NA
40117193,NA,NA
40117118,NA,Intervention school: 32.68% Control school: 37.15%
37116229,NA,NA
37671546,NA,NA
39253281,NA,NA
37092576,NA,NA
37671598,NA,NA
40117120,NA,"Percentage given for whole school, not specific sample within the school"
43090135,NA,NA
37671620,NA,NA
40117121,NA,NA
37093542,NA,NA
37091026,Not specified,NA
39253200,NA,NA
39253314,NA,NA
37093543,not reported,NA
39253203,NA,NA
43090138,NA,"Poverty Intervention: 76%  Control: 91% (Table 17, page 87)  See Appendix D for explanation for the poverty classification"
40117246,NA,NA
40117123,NA,NA
37093616,Not mentioned,NA
37671548,NA,Approximately 20% of pupils in the intervention groups were FSM and just over 15% FSM in the comparison groups. 
43090143,NA,NA
37091027,NA,NA
37093544,NA,NA
37671600,NA,NA
40117126,NA,Austin YRE: 80% of students economically disadvantaged Conroe: 24% population in disadvantage Waxahachie: 50% economically disadvantage
39253282,NA,NA
39253283,NA,NA
40117194,NA,NA
37133886,"O f the 289 subjects in this study, 44, or 15.22%, were clas sified as being economically disadvantaged.",NA
37092761,NA,NA
40294902,NA,NA
38878251,NA,95% of the students in the schools (not the sample) qualified for free or reduced-price lunch. 
39253253,NA,NA
37061114,NA,NA
40117128,NA,Intervention: 97.4% Control: 84.6%
37093353,NA,NA
40117129,NA,Figure 2. Page 29  YRS: Low income c. 90% NYRS: Low income c. 85% 
37093472,Schoolwide family income data indicate that the majority of the families represent lower middle to lower socioeconomic groups (85% of children attending the school qualify for federal lunch assistance).,NA
37093471,All students in the study qualified for the federally subsidized lunch programme. ,NA
38878265,NA,NA
40117274,NA,NA
37093506,NA,NA
37092577,NA,NA
37133895,NA,NA
39253205,NA,NA
37092578,NA,NA
37671552,NA,NA
37671553,NA,NA
37091029,NA,NA
37092579,NA,NA
37092580,NA,NA
37092581,NA,NA
40294904,NA,NA
37093553,"The percentages of students with free and re­ duced lunch in these respective schools were 95.3, 96.0, 74.2, 60.2, 55.6, 54.5, 35.6, 22.6, and 19.7.",NA
37093549,Not mentioned,NA
37093550,Not mentioned,NA
37093524,NA,NA
37133902,"Reduced/free lunch  Individual  -  n= 25,  37% Cooperative - n=28, 44% ",NA
37093618,"PALS group - n=26, 59% No PALS group - n= 20, 40%",NA
37093551,48 students recieved free lunch,NA
37093523,Does not specifiy,NA
37116212,Stated in Table 1 (split by achievement group)  Total children on free school lunches (199/327) = 61% ,NA
