id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37116221,Abbondanza (2013),2013,['Peer tutoring'],NA,['Yes'],NA,NA,,NA,84,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 110:\n[¬s]""28.5[¬e]""']",28.50,,"['Page 110:\n[¬s]""9.16[¬e]""']",9.16,,NA,NA,,NA,80,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 110:\n[¬s]""32.30[¬e]""']",32.30,,NA,8.24,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40375708,Abbott (1997),1997,['Mentoring'],NA,['Yes'],"['Page 8:\n[¬s]""performance in school of boys with a Big Brother decreased from\nTime I (M = 2.13) to Time 2 (M = 2.43), F( I, 39) = 3.0, p < .09 ( I = high GPA,\n5 = low GPA). The boys without a Big Brother showed no significant change in\ngrade point average from Time I (M\n= 2. 71) to Time 2 (M\n= 2.56 ).[¬e]""', 'Page 9:\n[¬s]""TABLE2\nA Comparison of Boys With and Without a Big Brother on Major Dependent Variables""\n""Grade point average[¬e]""']","Note  Reflects analysed sample numbers after attrition. Note2  For GPA outcomes, a decrease in numbers are an improvement in academic attainment and vice versa. See highlighted portion for an explanation as 1 = High GPA and 5 = Low GPA.",,"['Page 5:\n[¬s]""22 in the intervention group[¬e]""']",22,,"['Page 9:\n[¬s]""2. 13[¬e]""']",2.13,,"['Page 9:\n[¬s]""1.0[¬e]""']",1.0,,"['Page 9:\n[¬s]""2.43[¬e]""']",2.43,,"['Page 9:\n[¬s]""I. I[¬e]""']",1.1,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""22 in the\ncompari son group[¬e]""']",22,,"['Page 9:\n[¬s]""2.71[¬e]""']",2.71,,"['Page 9:\n[¬s]""I.I[¬e]""']",1.1,,"['Page 9:\n[¬s]""2.56[¬e]""']",2.56,,"['Page 9:\n[¬s]""1.2[¬e]""']",1.2,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
39717125,Acalin (1995),1995,['One to one tuition'],NA,['Yes'],NA,NA,,NA,33,,"['Page 48:\n[¬s]"" 76.03[¬e]""']",75.73,,NA,10.24,,"['Page 48:\n[¬s]"" 81.54[¬e]""']",81.55,,NA,11.94,,NA,5.82,,NA,6.76,,NA,NA,,NA,33,,"['Page 48:\n[¬s]"" 75.96[¬e]""']",75.97,,NA,9.89,,"['Page 48:\n[¬s]""82.84[¬e]""']",82.85,,NA,11.00,,NA,6.88,,NA,7.46,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,['Yes'],"['Page 13:\n[¬s]""TABLE X\nADVANCED READING TEST SCORES[¬e]""']",NA,,"['Page 10:\n[¬s]""88[¬e]""']",88,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""68.78[¬e]""']",68.78,,"['Page 10:\n[¬s]""10.21[¬e]""']",10.21,,NA,NA,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""88[¬e]""', 'Page 10:\n[¬s]""88[¬e]""']",88,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""68.39[¬e]""']",68.39,,"['Page 10:\n[¬s]""11.53[¬e]""', 'Page 10:\n[¬s]""11.53[¬e]""']",11.53,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092570,Adler (1998),1998,['Feedback'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40375710,Aiello (1988),1988,['Mentoring'],NA,['Yes'],NA,NA,,"['Page 157:\n[¬s]""GROUPS N""\n""EXPERIMENTAL 55[¬e]""', 'Page 161:\n[¬s]""55[¬e]""']",55,,"['Page 161:\n[¬s]""1.796[¬e]""']",1.796,,"['Page 161:\n[¬s]"".550[¬e]""']",0.550,,"['Page 157:\n[¬s]""GROUPS""\n""MEAN""\n""EXPERIMENTAL""\n""2.08[¬e]""', 'Page 161:\n[¬s]""2.029[¬e]""']",2.092,,"['Page 157:\n[¬s]""GROUPS""\n""STANDARD""\n""DEVIATION""\n""EXPERIMENTAL""\n""0.58[¬e]""', 'Page 161:\n[¬s]"".588[¬e]""']",0.588,,NA,NA,,NA,NA,,NA,NA,,"['Page 157:\n[¬s]""GROUPS""\n""N""\n""CONTROL""\n""42[¬e]""', 'Page 161:\n[¬s]""42[¬e]""']",42,,"['Page 161:\n[¬s]""1.993[¬e]""']",1.993,,"['Page 161:\n[¬s]"".598[¬e]""']",0.598,,"['Page 157:\n[¬s]""GROUPS""\n""MEAN""\n""CONTROL""\n""2.12[¬e]""', 'Page 161:\n[¬s]""2.130[¬e]""']",2.130,,"['Page 157:\n[¬s]""GROUPS""\n""STANDARD DEVIATION""\n""CONTROL""\n""0.75[¬e]""', 'Page 161:\n[¬s]"".863[¬e]""']",0.863,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
47269763,Aist (2001) 1 1,2001,['One to one tuition'],NA,"['Yes', 'No']",NA,NA,,NA,65,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,65,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
