id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,AVERAGE_ITBS Regular students,,Iowa Test of Basic Skills,,['Toolkit primary outcome'],,-0.4793,,0.0963,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,-0.668,,-0.2906,,Primary outcome,,['Sample: Average'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37116221,Abbondanza (2013),2013,['Peer tutoring'],NA,TE Reading comprehension (Daze) gain scores,,Reading comprehension measure Dynamic Indicators of Basic Early Literacy Skills Next Maze (DIBELS DAZE) ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5174,,0.1767,,Literacy: reading comprehension,,60.0,,2.1,,5.55,,74.0,,-2.94,,12.03,,0.1712,,0.8637,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,TE Reading comprehension (Daze) gain scores,,Reading comprehension measure Dynamic Indicators of Basic Early Literacy Skills Next Maze (DIBELS DAZE) ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5174,,0.1767,,Literacy: reading comprehension,,60.0,,2.1,,5.55,,74.0,,-2.94,,12.03,,0.1712,,0.8637,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40375708,Abbott (1997),1997,['Mentoring'],NA,GPA,,The children's school performance was evaluated by obtaining The child's school grades after receiving written permission from the parents. Grades were based on a 5-point scale with a 1 indicating superior performance or a grade of A.,,"['Toolkit primary outcome', 'Other outcome']",,0.5721,,0.3042,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0241,,1.1683,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39717125,Acalin (1995),1995,['One to one tuition'],NA,Woodcock Reading Recovery v. Small Group post test only,,This instrument was individually administered to each student by Resource Specialists to measure students' reading achievement. The standard scores from the Woodcock Johnson were the main scores utilized for purpose of comparison in this study. Post-test scores for Reading Recovery vs Project Read (comparison) were extracted as primary outcomes.,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1119,,0.2464,,Literacy: reading comprehension,,33.0,,81.55,,11.94,,33.0,,82.85,,11.0,,-0.5948,,0.371,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Woodcock Reading Recovery v. Small Group post test only,,This instrument was individually administered to each student by Resource Specialists to measure students' reading achievement. The standard scores from the Woodcock Johnson were the main scores utilized for purpose of comparison in this study. Post-test scores for Reading Recovery vs Project Read (comparison) were extracted as primary outcomes.,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1119,,0.2464,,Literacy: reading comprehension,,33.0,,81.55,,11.94,,33.0,,82.85,,11.0,,-0.5948,,0.371,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,ALL_Full Sample Math Overall ES (Meta Analysis),,Computation + Arithmetic concepts + Arithmetic Application Subset - Full Sample x3,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.0866,,0.0311,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0257,,0.1475,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ALL_Full Sample Math Overall ES (Meta Analysis),,Computation + Arithmetic concepts + Arithmetic Application Subset - Full Sample x3,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.0866,,0.0311,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0257,,0.1475,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,HIGH_ACCEL_SATO Verbal - Streaming and Setting,,Post-test only score of the Scholastic Aptitude Test (Ontario edition).,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2348,,0.0944,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0498,,0.4198,,Primary outcome,,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,HIGH_ACCEL_SATO Verbal - Streaming and Setting,,Post-test only score of the Scholastic Aptitude Test (Ontario edition).,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2348,,0.0944,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0498,,0.4198,,Primary outcome,,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,HIGH_ACCEL_SATO  mathematical - Streaming and Setting,,Post-test only score for the Scholastic Aptitude Test (Ontario Edition),,['Mathematics primary outcome'],,0.021,,0.0941,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1633,,0.2053,,Secondary outcome(s),,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,HIGH_ACCEL_English Composition (Final Examinations) - Setting or Streaming,,Post-test unadjusted mean score.,,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.0357,,0.1508,,Literacy: writing,,88.0,,68.78,,10.21,,88.0,,68.39,,11.53,,-0.2598,,0.3312,,Primary outcome,,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,HIGH_ACCEL_Overall Maths ES ,,NA,,['Mathematics primary outcome'],,0.2463,,0.1096,,Mathematics,,0.2463351,,0,,0,,0.10958714,,0,,0,,0.0315,,0.4611,,Secondary outcome(s),,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,HIGH_ACCEL_HIGH_ACCEL_Overall Science ES,,NA,,['Science primary outcome'],,0.0887,,0.1198,,Science,,0.08866933,,0,,0,,0.11980657,,0,,0,,-0.1462,,0.3235,,Secondary outcome(s),,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37092570,Adler (1998),1998,['Feedback'],NA,SCORE Feedback - Writing Voice KWA,,Two-way ANOVA posttest adjusted results for the Voice aspect of an adapted Kansas Writing Assessment for third graders (intended for 5th graders).,,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.165,,0.223,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2721,,0.6021,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40375710,Aiello (1988),1988,['Mentoring'],NA,GPA - Mentoring,,Post-test unadjusted mean score.  Subject areas not specified.,,"['Toolkit primary outcome', 'Other outcome']",,-0.1392,,0.2052,,Combined subjects,,55.0,,2.029,,0.588,,42.0,,2.13,,0.863,,-0.5414,,0.2629,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269763,Aist (2001) 1:1,2001,['One to one tuition'],NA,Woodcock Mastery of Reading Test,,Combined means and SD's for gain scores normed by grade.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1112,,0.2348,,Literacy: reading comprehension,,34.0,,3.883,,6.598,,39.0,,3.076,,7.645,,-0.349,,0.5715,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Woodcock Mastery of Reading Test,,Combined means and SD's for gain scores normed by grade.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1112,,0.2348,,Literacy: reading comprehension,,34.0,,3.883,,6.598,,39.0,,3.076,,7.645,,-0.349,,0.5715,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
