id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
40397347,Abadzi (1984),1984,['Journal article'],['Setting or streaming'],['Toolkit primary outcome'],-0.4793,0.0963,['Pre-post gain'],AVERAGE_ITBS Regular students,With business as usual,['Sample: Average'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667,8,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Regression Discontinuity - not randomised'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,Not stated.,Not stated.,['Toolkit: Setting or streaming']
37116221,Abbondanza (2013),2013,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5174,0.1767,['Pre-post gain'],TE Reading comprehension (Daze) gain scores,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5174,0.1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,1,4,['Secondary/High school'],"['11', '12', '13']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",13,3,40,['Toolkit: Peer Tutoring']
40375708,Abbott (1997),1997,['Journal article'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",0.5721,0.3042,['Post-test unadjusted (select one from this group)'],GPA,With business as usual,['Sample: All'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,['Other educational setting (please specify)'],"['8', '9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['Yes'],['Evenings and/or weekends'],['Lay persons/volunteers'],60,1, ,['Toolkit: Mentoring']
39717125,Acalin (1995),1995,['Dissertation or thesis'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1119,0.2464,['Post-test unadjusted (select one from this group)'],Woodcock Reading Recovery v. Small Group post test only,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1119,0.2464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,5,['Primary/elementary school'],"['5', '6', '7', '8', '9', '10']",NA,NA,['USA'],['Retrospective QED  '],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],40,5,30,['Toolkit: One to one tuition']
40642366,Adamson (1972),1972,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0866,0.0311,['Post-test unadjusted (select one from this group)'],ALL_Full Sample Math Overall ES (Meta Analysis),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0866,0.0311,NA,NA,NA,NA,NA,NA,180,2,12,['Middle school'],"['12', '13', '14']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Teaching assistants', 'Class teachers']",36,5,Not stated. ,['Toolkit: Setting or streaming']
40642368,Adler (1963) 1_1,1963,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2348,0.0944,['Post-test unadjusted (select one from this group)'],HIGH_ACCEL_SATO Verbal - Streaming and Setting,With business as usual,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2348,0.0944,NA,NA,NA,['Mathematics primary outcome'],0.021,0.0941,NA,NA,NA,NA,NA,NA,862,9,NA,['Secondary/High school'],"['14', '15']",NA,NA,['Canada'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],108,5,Not stated,['Toolkit: Setting or streaming']
45336713,Adler (1963) 1_2,1963,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.0357,0.1508,['Post-test unadjusted (select one from this group)'],HIGH_ACCEL_English Composition (Final Examinations) - Setting or Streaming,With business as usual,"['Sample: High achievers', 'Sample: Average', 'Sample: Exceptional']",Literacy  writing,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862 ,9,NA,['Secondary/High school'],"['13', '14']",NA,NA,['Canada'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],108,5,Not stated. ,['Toolkit: Setting or streaming']
37092570,Adler (1998),1998,['Dissertation or thesis'],['Feedback'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.165,0.223,['Post-test adjusted for baseline attainment'],SCORE Feedback - Writing Voice KWA,With business as usual,['Sample: All'],Literacy  writing,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,4,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",17,2.5,35,['Toolkit: Feedback']
40375710,Aiello (1988),1988,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",-0.1392,0.2052,['Post-test unadjusted (select one from this group)'],GPA - Mentoring,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2,NA,['Middle school'],"['12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Evenings and/or weekends']",['Other school staff'],28,1, ,['Toolkit: Mentoring']
47269763,Aist (2001) 1 1,2001,['Book or book chapter'],['One to one tuition'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1112,0.2348,NA,Woodcock Mastery of Reading Test,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1112,0.2348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'One to one']",['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],40,"Not specified, not sure whether they undertook the intervention for one subject or multiple, the frequency of those subjects are also not mentioned","Not specified, the length of a typical classroom session is to be assumed, although one-to-one human tutoring portion of the condition does not appear to occur throughout a whole class period.",NA
