id,pub_author,pub_year,strand_raw,strand_info,sample_analysed_info,strand_CLEAN,sample_analysed_ht,part_gen_raw,sample_analysed_CLEAN,part_gen_ht,part_gen_info,fsm_prop_info,part_gen_CLEAN,fsm_prop_ht,fsm_perc_info,fsm_prop_CLEAN,fsm_perc_ht,fsm_info_info,fsm_perc_CLEAN,fsm_info_ht,fsm_na_raw,fsm_info_CLEAN,fsm_na_info,base_n_treat_ht,fsm_na_CLEAN,base_n_treat_info,base_n_cont_ht,base_n_treat_CLEAN,base_n_cont_info,base_n_treat2_ht,base_n_cont_CLEAN,base_n_treat2_info,base_n_treat3_ht,base_n_treat2_CLEAN,base_n_treat3_info,n_treat_ht,base_n_treat3_CLEAN,n_treat_info,n_cont_ht,n_treat_CLEAN,n_cont_info,n_treat2_ht,n_cont_CLEAN,n_treat2_info,n_cont2_ht,n_treat2_CLEAN,n_cont2_info,attri_raw,n_cont2_CLEAN,attri_ht,attri_info,attri_treat_ht,attri_CLEAN,attri_treat_info,attri_perc_ht,attri_treat_CLEAN,attri_perc_info,attri_perc_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,667,,"['Page 2:\n[¬s]"" 667 fourth-grade stu\xad dents present that day in the schools samp led, o f wh ich 284 were in high ability (vanguard) classes and 383 were in regular classes.[¬e]""']",['No information provided'],,NA,NA,NA,,NA,NA,,NA,NA,,"['Page 2:\n[¬s]""n order not to introduce large socio-economic differences between schools, 24 buildings which received Chapter 1 funds for low achievers were excluded from the population. [¬e]""']",NA,,NA,"['Page 2:\n[¬s]""284 were in high ability (vanguard)[¬e]""']",,284,"['Page 2:\n[¬s]""383 were\nin regular classes[¬e]""']",,383,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
37116221,Abbondanza (2013),2013,['Peer tutoring'],NA,134,,NA,['Mixed gender'],,NA,53.5 ,NA,,NA,NA,,NA,NA,,NA,['No SES/FSM Information Provided'],,NA,"['Page 75:\n[¬s]"" two treatment group classrooms (n = 84)[¬e]""']",,84,"['Page 74:\n[¬s]"" Two control group classrooms[¬e]""', 'Page 75:\n[¬s]""(n = 80)[¬e]""']",,80,NA,,NA,NA,,NA,NA,,84,NA,,80,NA,,NA,NA,,NA,['No'],,NA,"Overall sample is 84 intervention, 80 control, but analysed data is 60 and 74 respectively. No reasons provided.",NA,,29,NA,,18,
40375708,Abbott (1997),1997,['Mentoring'],NA,44,,NA,['Male only'],,"['Page 4:\n[¬s]"" Because the great majority of clients at this chapter of Big Brothers/Big Sisters were boys, only boys 8-14 years of age were selected for the study. All children came from mother-headed, single-parent households.[¬e]""']",NA,NA,,NA,NA,,NA,boys all came from single-parent (=mother) families,,"['Page 4:\n[¬s]""All children came from mother-headed, single-parent households[¬e]""']",NA,,NA,"['Page 4:\n[¬s]""approximately 40 in the intervention group[¬e]""']",,40,"['Page 4:\n[¬s]""80 in the comparison group[¬e]""']",,80,NA,,NA,NA,,NA,"['Page 5:\n[¬s]""22 in the intervention group[¬e]""']",,22,"['Page 5:\n[¬s]""22 in the\ncompari son group[¬e]""']",,22,NA,,NA,NA,,NA,['Yes'],,"['Page 5:\n[¬s]""Over the 2-year span of the study, about 60% of the boys dropped out of the program because of relocation or loss of contact with the organization. The final sample consisted of 44 boys: 22 in the intervention group. who had had at least weekly contact with a Big Brother for 12- 18 months, and 22 in the compari son group. who had been on the waiting list for 12-1 8 months and had not yet received an adult companion.[¬e]""']","Only whole sample attrition, study states that the initial sample size and attrition percentages provided are estimates.",NA,,0,"['Page 5:\n[¬s]""Over the\n2-year span of the study, about 60% of the boys dropped out of the program\nbecause of relocation or loss of contact with the organization.[¬e]""']",,60,
39717125,Acalin (1995),1995,['One to one tuition'],NA,66,,"['Page 39:\n[¬s]""eading Recovery instruction was received by 33 students, and Project READ instruction was received by 33 students (N = 66)[¬e]""']",['Mixed gender'],,"['Page 40:\n[¬s]""Gender Male 20 60.6 Female 13 39.4[¬e]""']",NA,NA,,NA,NA,,NA,NA,,"['Page 39:\n[¬s]"" The schools were all located in urban middle-class areas, and all of the students came from m iddle socioeconomic households, as determined by State of California standards (i.e., lack of participation in free lunch programs).[¬e]""']",NA,,NA,"['Page 42:\n[¬s]""33 received Reading Recovery instruction[¬e]""']",,33,"['Page 42:\n[¬s]""33 received Project READ instruc\xad tion.[¬e]""']",,33,NA,,NA,NA,,NA,NA,,33,NA,,33,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,180,,"['Page 43:\n[¬s]""A total of one hundred eighty students were selected from the experimental school. Ninety were seventh graders and ninety were eighth graders as the distribution in Figure 1 indicates.[¬e]""', 'Page 44:\n[¬s]"" A total of one hundred eighty students were selected from the control school[¬e]""']",['Mixed gender'],,"['Page 43:\n[¬s]"" Thirty students were randomly selected by using a table of random numbers from each of the achievement groups (high, middle, and low) from both the seventh and the eighth grades at the experimental junior high. Fifteen of the selected subjects were male and fifteen were female.""\n""The statistical program was designed for samples of equal size, making it necessary to select equal numbers of males and females [¬e]""']",50 ,NA,,NA,NA,,NA,NA,,NA,['No SES/FSM Information Provided'],,NA,"['Page 43:\n[¬s]""A total of one hundred eighty students were selected\nfrom the experimental school.[¬e]""']",,180,"['Page 44:\n[¬s]""A total of one hundred eighty\nstudents were selected from the control school.[¬e]""']",,180,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,0,NA,,0,
40642368,Adler (1963) 1_1,1963,['Setting or streaming'],NA,862,,NA,['Mixed gender'],,NA,51,NA,,NA,NA,,NA,"Socio-economic level given in Table 2, page 4",,NA,NA,,NA,"['Page 5:\n[¬s]""361[¬e]""']",,361,"['Page 5:\n[¬s]""361[¬e]""']",,361,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['Unclear (please add notes)'],,"['Page 14:\n[¬s]""WITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS[¬e]""', 'Page 6:\n[¬s]""transfers, drop-outs, etc., in the latter drastically reduced the[¬e]""', 'Page 7:\n[¬s]""number of students in Groups A and C, frequently destroying the matching\nof pairs.[¬e]""']","Attrition was provided as the number of withdrawals in two years but instructions ask to code for year 2 of the study.  Also, transfers from one school to the other are not counted as part of withdrawals. But the paper fails to specify if these transfers occur strictly between participating schools.","['Page 14:\n[¬s]""109""\n""TABLE XI\nWITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS[¬e]""']",,30.194 ,"['Page 14:\n[¬s]""109 (32%)\n2 (,6%)[¬e]""']",,15.097,
45336713,Adler (1963) 1_2,1963,['Setting or streaming'],NA,862 ,,NA,['Mixed gender'],,NA,"Male = 420, Female = 442",NA,,NA,NA,,NA,NA,,NA,['No SES/FSM Information Provided'],,NA,"['Page 4:\n[¬s]""361 matched pairs[¬e]""']",,361,"['Page 4:\n[¬s]""361 matched pairs[¬e]""']",,361,NA,,NA,NA,,NA,"['Page 10:\n[¬s]""88[¬e]""']",,88,"['Page 10:\n[¬s]""88[¬e]""', 'Page 10:\n[¬s]""88[¬e]""']",,88,NA,,NA,NA,,NA,['Unclear (please add notes)'],,"['Page 14:\n[¬s]""WITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS""\n""withdrawal will refer specifically either to reversion to\n:regular class or to leaving school for work, and will not include moving\n· m one school to another[¬e]""', 'Page 6:\n[¬s]""transfers, drop-outs, etc., in the latter drastically reduced the[¬e]""', 'Page 7:\n[¬s]""number of students in Groups A and C, frequently destroying the matching\nof pairs. In addition, one academic school discontinued its acceleration\nprogramme after two years[¬e]""']",The number of participants who withdrew does not include students who changed schools. It is unclear whether changing schools means moving from one participating school to another.,"['Page 14:\n[¬s]""109[¬e]""']",,30.194,"['Page 14:\n[¬s]""109 (32%)\n2 (,6%)""\n""WITHDRA w ALS FROM GROUPS A AND C l>URING THE FIRST Two YEARS[¬e]""']",,15.097,
37092570,Adler (1998),1998,['Feedback'],NA,81,,"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']",['Mixed gender'],,"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']",48.14,NA,,NA,NA,,NA,NA,,NA,NA,,NA,"['Page 21:\n[¬s]"" The experimental group had 22 boys and 22 girls[¬e]""']",,44,"['Page 21:\n[¬s]"" The control group had 17 girls and 20 boys[¬e]""']",,37,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,0,NA,,0,
40375710,Aiello (1988),1988,['Mentoring'],NA,97,,"['Page 136:\n[¬s]""pproximately 97 students participated in the experimental research study; 55 in the experimental group at Glasgow Intermediate and 42 in the control group[¬e]""']",['No information provided'],,NA,"Asssumed mixed gender as the report mentions trying to match groups on gender  however, no numbers are given to describe the breakdown. ",NA,,NA,NA,,NA,"No specific information given for the sample  however, both schools involved were recruited due to them being 'special schools'. One of the four factors involved in this classification was the school's socioeconomic status",,"['Page 133:\n[¬s]"" The four factors considered in determining whether or not a school was considered 5 . ""sJ^i\'e\'fcial needs"" school were:""\n"" Socioeconomic Status[¬e]""']",NA,,NA,"['Page 135:\n[¬s]""the final sample of students remaining in the experimental group totaled fifty- five.[¬e]""', 'Page 9:\n[¬s]""experimental group of 55 underachieving students[¬e]""']",,55,"['Page 135:\n[¬s]""forty-two remained in the control sample.[¬e]""', 'Page 9:\n[¬s]""A 42 student\ncontrol group of underachievers in another Fairfax County\nintermediate school were monitored.[¬e]""']",,42,NA,,NA,NA,,NA,"['Page 157:\n[¬s]""GROUPS N""\n""EXPERIMENTAL 55[¬e]""', 'Page 161:\n[¬s]""55[¬e]""']",,55,"['Page 157:\n[¬s]""GROUPS""\n""N""\n""CONTROL""\n""42[¬e]""', 'Page 161:\n[¬s]""42[¬e]""']",,42,NA,,NA,NA,,NA,['Yes'],,NA,NA,NA,,27.6 ,NA,,22.4,
47269763,Aist (2001) 1 1,2001,['One to one tuition'],NA,73,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,34,NA,,39,NA,,NA,NA,,NA,NA,,65,NA,,65,NA,,NA,NA,,NA,['Yes'],,NA,NA,NA,,NA,NA,,"9%     (this is the overall attrition, including the third experimental group)",
