id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,cl_approach_spec,cl_grp_size,cl_collab_kind,cl_stud_collab,cl_extr_rewards,cl_what_rewards,cl_comp_elem,cl_teacher_role_info,cl_pup_feedback,cl_pup_feedback_who
43099420,Acar (2007),2007,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",2.4708,0.4242,['Post-test unadjusted (select one from this group)'],Electrochemistry concept test,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.4708,0.4242,NA,NA,NA,41,1,2,['Secondary/High school'],['17'],NA,NA,['Turkey'],['Cluster RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],3,2,45,['Toolkit: Collaborative learning'],['Other (please specify)'],['5'],"['Peer collaboration during the tasks or activities, BUT with an individual outcome']",['No'],['No'],NA,['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099421,Acar (2008),2008,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",2.6978,0.3725,['Post-test unadjusted (select one from this group)'],Metallic Bonding Concept Test,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.6978,0.3725,NA,NA,NA,57,1,2,['Secondary/High school'],['15'],NA,NA,['Turkey'],['Cluster RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,NA,NA,['Toolkit: Collaborative learning'],['Other (please specify)'],"['5', '6']","['Peer collaboration during the tasks or activities, BUT with an individual outcome']",['No'],['No'],NA,['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099422,Adeyemi (2008),2008,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Other outcome']",2.4608,0.2674,NA,Social Studies Achievement Test,With business as usual,NA,Social Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,['Secondary/High school'],"['11', '12', '13', '14', '15']",NA,NA,['Nigeria'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],4,3,35,NA,['Other (please specify)'],['5'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['No'],NA,['No'],['No'],['No'],NA
47269762,Aguirre (1997) CL,1997,['Dissertation or thesis'],['Collaborative learning'],"['Toolkit primary outcome', 'Other outcome']",-0.0213,0.3536,NA,Geographical locations,With active control,NA,Curriculum  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,['Primary/elementary school'],"['9', '10', '11', '12']",NA,NA,['USA'],['Retrospective QED  '],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],1,5,25,['Toolkit: Collaborative learning'],"['Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)', 'Aronson: JIGSAW groups or Home/Expert groups', 'Slavin & Madden: Cooperative Integrated Reading and Composition (CIRC)', 'Other (please specify)', 'Sharan and Sharan: Group investigation model']",['4'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['Yes (Please highlight the relevant text.)'],['No'],NA,['Yes (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099123,Araz (2007),2007,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.158,0.1378,['Post-test unadjusted (select one from this group)'],Genetic Achievement Test-academic knowledge (posttest),With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.158,0.1378,NA,NA,NA,217,1,2,['Secondary/High school'],"['14', '13', '15']",NA,NA,['Turkey'],['Cluster RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],5,4,40,['Toolkit: Collaborative learning'],['Other (please specify)'],['More than 8'],"['Peer collaboration during the tasks or activities, BUT with an individual outcome']",['No'],['No'],NA,['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099265,Armstrong (1998),1998,['Dissertation or thesis'],['Collaborative learning'],"['Toolkit primary outcome', 'Other outcome']",0.0859,0.3037,['Post-test adjusted for baseline attainment'],Posttest Academic Achievement Total Scores,With business as usual,['Sample: All'],Social Studies,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,2,['Secondary/High school'],"['17', '18']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],6,1,NA,['Toolkit: Collaborative learning'],['Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)'],"['4', '5', '6']","['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['Yes (Please highlight the relevant text.)'],['Group rewards for individual performance? (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],['No'],NA
43099584,Artzt (1983),1983,['Dissertation or thesis'],['Collaborative learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.74,0.13,['Post-test adjusted for baseline attainment'],Achievement,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.74,0.13,NA,NA,NA,NA,NA,NA,342,3,14,['Secondary/High school'],"['14', '15', '16', '17']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,1.5,20,['Toolkit: Collaborative learning'],['Other (please specify)'],"['3', '4', '5']",['Peer collaboration during the task or process of the activity AND with a joint collaborative outcome BUT with different collaborative groups at different stages of the activity'],['No'],['Yes (Please highlight the relevant text.)'],['Group rewards for individual performance? (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],['No'],NA
47269766,Atkins (1993) CL,1993,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7442,0.3672,['Post-test unadjusted (select one from this group)'],Math achievement ,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7442,0.3672,NA,NA,NA,NA,NA,NA,33,1,2,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],"['No', 'Yes']",['During regular school hours '],['Research staff'],10,2,40,['Toolkit: Collaborative learning'],"['Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)', 'Other (please specify)']",['4'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['Yes (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['Group rewards for group performance? (Please highlight the relevant text.)'],['No'],['No'],['No'],NA
43099549,Balfakih (2003),2003,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.7595,0.1952,['Post-test unadjusted (select one from this group)'],Science Multi-Choice Exam,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.7595,0.1952,NA,NA,NA,486,4,16,['Secondary/High school'],['16'],NA,NA,['United Arab Emirates'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['No'],['No'],['No'],['During regular school hours '],['Class teachers'],12,2,50,['Toolkit: Collaborative learning'],['Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)'],"['4', '5']","['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['Yes (Please highlight the relevant text.)'],['Individual rewards for group performance?  (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],['No'],NA
43099586,Banghart (1963),1963,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.047,0.1491,NA,California Arithmetic Achievement,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.047,0.1491,NA,NA,NA,NA,NA,NA,180,1,1,['Middle school'],"['12', '13']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],3,5,NA,['Toolkit: Collaborative learning'],['No research basis mentioned'],NA,"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout', 'Peer collaboration during the tasks or activities, BUT with an individual outcome']",['No'],['No'],NA,['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
