id,pub_author,pub_year,pub_type_raw,out_strand,smd_tool,se_tool,out_tit,out_out_type_tool,out_samp,out_comp,out_es_type,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,strand_raw,loc_country_raw,int_training_raw,int_approach_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,int_setting_raw,part_age_raw,school_total_info,class_total_info,int_desig_raw,sample_analysed_info,fsm_perc_info,school_target,eligibility,elig_targ_pop_info,means_tested,means_tested_thresh_info,recipient,month_avg_amount,month_avg_prim_recip,month_avg_prim_recip_info,prim_recip_dom_curr_type_info,month_avg_sec_recip,month_avg_sec_recip_info,sec_recip_dom_curr_type_info,transfer_limit,transf_lim_yes_max_per_fam_info,transf_lim_yes_max_ben_info,transfer_variation,transfer_regularity,transfer_regularity_info,time_limit,time_limit_info,primary_condition,addit_condition,health_cond_comp,health_conditions,monitoring,verification,min_attend_req,perc_attend_req,perc_attend_req_other_info,enforcement,enforcement_other_info,supply_incentive,savings_comp,savings_comp_yes_info,econ_out,econ_out_yes_info,prog_type
53902058,Aber (2016),2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['USA'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],3 years,"Variable. Payments given on monthly, yearly and per test basis etc. (See Table 1, page 53)","Not specified, N/A",['Secondary/High school'],"['13', '14', '15', '16']",NA,NA,['Individual RCT'],NA,NA,['Not reported/Unclear'],['Village/neighbourhood income'],NA,['No'],NA,"['Parent or head of household', 'Student (or student and parent/guardian)']",['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['None (flat transfer)'],"['Monthly', 'Annually', 'Other']",Some transfers were one off payments (e.g. obtaining a library card/graduating high-school). Other payments were given on a 'per test' basis.,['Yes - time limited'],a 3 year program,['School enrolment and attendance'],"['School completion', 'Academic achievement (details in info box)', 'Grade promotion', 'Other']",['Yes'],"['Student attendance at health check-ups', 'Other (details in info box)']","['School attendance', 'School completion', 'Academic achievement']",['Not reported/Unclear'],['Yes'],['95%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['Yes (details in info box)'],The study reported saving behaviour for students education,['Yes (details in info box)'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53901222,Ahmed (2006),2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Turkey'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],"2 Surveys began 1 year after the CCT was implemented. First surveys took place over 3 months. A two-round panel survey took place, first in September 2005 and then again 9 months later",NA,n/a,['No information provided'],['No information provided'],NA,NA,['Regression Discontinuity with randomisation'],NA,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],['Primary recipient'],['Transfer in domestic currency (numeric value only)'],Education support  18 - 39 Health support  17 Pregnancy Support  17,YTL (Yeni Turkish Lira),NA,NA,NA,['Not reported/Unclear'],NA,NA,"['Gender', 'Age']",['Monthly'],NA,['No time limit'],"Introduced in 2004, no specified completion of the program",['School enrolment and attendance'],['Not reported'],['Yes'],['Student attendance at health check-ups'],['School attendance'],['School attendance'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901693,Alam (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Pakistan'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],NA,NA,Quarterly (every 3 months),N/A. ,['Middle school'],['No information provided'],NA,NA,['Regression Discontinuity with randomisation'],~4000,NA,['Secondary only'],['Village/neighbourhood income'],NA,['No'],NA,['Parent or head of household'],NA,['Transfer in domestic currency (numeric value only)'],600,PKR (Pakistani Rupee),NA,NA,NA,['Not reported/Unclear'],NA,NA,['None (flat transfer)'],['Quarterly/Trimesterly'],NA,['No time limit'],government funded ,['School enrolment and attendance'],NA,['No'],NA,"['School enrolment', 'School attendance']","['School enrolment', 'School attendance']",['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,NA,NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901694,Alatas (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Indonesia'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],2 years,quarterly,n/a,['No information provided'],['No information provided'],NA,NA,['Cluster RCT'],NA,NA,['Not reported/Unclear'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],NA,['Transfer in domestic currency (numeric value only)'],"200,000 - 600,000 (Quarterly)",Rupiah (Rp),NA,NA,NA,"['Yes, maximum amount per family (details in info box)']","2,200,000 per household per family",NA,"['None (flat transfer)', 'Other']",['Quarterly/Trimesterly'],NA,['Not reported/Unclear'],not indicated,['School enrolment and attendance'],NA,['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Health visits for pregnant and breastfeeding women']","['School enrolment', 'School attendance']","['School enrolment', 'School attendance', 'Health attendance']",['Yes'],['85%'],NA,"['Attendance at school', 'Enrolment at school']",NA,"['Transfer unaccompanied by supply-side intervention', 'Not reported/Unclear']",['No'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53902648,Alviar (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Kenya'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],2 years,monthly,N/A,['No information provided'],"['6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",NA,NA,['Cluster RCT'],NA,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']","Not specified, and too many people qualified for the proxy means test of eligibility, so further ranking was established to select a sample",['Parent or head of household'],NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",1500,Ksh (Kenyan Shilling),NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",1500 Ksh per month,NA,['None (flat transfer)'],['Monthly'],NA,['No time limit'],"The study was conducted over a 2 year period, but the program had already been implemented previously and was continued after investigation.",['No conditions'],['No additional conditions'],['No'],['Not reported/Unclear'],['No monitoring'],['No verification'],['No'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 1 - Unconditional program with the aim to improve educational outcomes']
53903049,Amarante (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Uruguay'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],The intervention lasted 34 months. Surveys began 18 months into the program and after the program had finished.,Monthly Instalments,Not specified or N/A,['No information provided'],"['14', '15', '16', '17', '18']",NA,NA,['Regression Discontinuity with randomisation'],NA,NA,['Not reported/Unclear'],['Targeted population (please provide details in info box)'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",NA,NA,['None (flat transfer)'],['Monthly'],NA,['Yes - time limited'],34 months,['School attendance'],['School attendance'],['Yes'],['Student attendance at health check-ups'],['No monitoring'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['Yes (details in info box)'],NA,['Type 3 - Conditional transfers where conditions are not monitored or enforced']
53901795,Ambler (2015),2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['El Salvador'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],1 academic year,Monthly,N/A,"['Secondary/High school', 'Further education/junior or community college']",['No information provided'],NA,NA,['Individual RCT'],728 migrants (each with their respective El Salvadorian student/beneficiary in this study),NA,"['Secondary only', 'Other']",['Other'],NA,['No'],NA,['Student (or student and parent/guardian)'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],Appears to be one academic year,['No conditions'],['Not reported'],['No'],['Not reported/Unclear'],['No monitoring'],['No verification'],['No'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,"['Type 2 - Labelled transfers where participants are explicitly told that they are for use for education, but without any conditions']"
53901989,Angelucci (2010),2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],1 year,NA,N/A,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Cluster RCT'],A unit of this sample was a household,NA,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],"Eligibility was determined by poor vs non poor households, but no threshold was specified.",['Mother or female head of household'],NA,['Transfer in domestic currency (numeric value only)'],Varies by multiple factors  Third grade = 160 Ninth Grade  Male student = 530 Female student = 610,pesos,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",1500 pesos bimonthly,NA,"['Gender', 'Grade']",['Bi-monthly'],NA,['Not reported/Unclear'],"The program was implemented for this study over a 1 year period, however it was later implemented over a year later",['School attendance'],"['School enrolment', 'No additional conditions']",['Yes'],['Other (details in info box)'],['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['85%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901695,Armand (2018),2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Macedonia'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],3 years,quarterly,N/A,['Secondary/High school'],['No information provided'],NA,NA,['Cluster RCT'],807 households,NA,['Secondary only'],['Household income'],NA,['Not reported/Unclear'],NA,"['Mother or female head of household', 'Parent or head of household']",NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",1000,MKD,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",NA,NA,['None (flat transfer)'],['Quarterly/Trimesterly'],NA,['Not reported/Unclear'],Unclear,['School enrolment and attendance'],['No additional conditions'],['No'],['Not reported/Unclear'],['School attendance'],['School attendance'],['Yes'],['85%'],NA,['Attendance at school'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['Not reported/Unclear'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53901988,Arraiz (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Panama'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],NA,once every 2 months,N/A,"['Primary/elementary school', 'Secondary/High school', 'Middle school']","['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",NA,NA,NA,NA,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']","A proxy means test was used, but a threshold was not specified in the report","['Mother or female head of household', 'Parent or head of household']",['Primary recipient'],['Transfer in US $ (numeric value only)'],35,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",The cash transfer was fixed at $35 per month,NA,['None (flat transfer)'],['Bi-monthly'],NA,['Yes - time limited'],NA,['School enrolment and attendance'],['Other'],['Yes'],['Not reported/Unclear'],"['School enrolment', 'School attendance']","['School enrolment', 'School attendance', 'Health attendance']",['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
