id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,school_target,eligibility,elig_targ_pop_info,means_tested,means_tested_thresh_info,recipient,month_avg_amount,month_avg_prim_recip,month_avg_prim_recip_info,prim_recip_dom_curr_type_info,month_avg_sec_recip,month_avg_sec_recip_info,sec_recip_dom_curr_type_info,transfer_limit,transf_lim_yes_max_per_fam_info,transf_lim_yes_max_ben_info,transfer_variation,transfer_regularity,transfer_regularity_info,time_limit,time_limit_info,primary_condition,addit_condition,health_cond_comp,health_conditions,monitoring,verification,min_attend_req,perc_attend_req,perc_attend_req_other_info,enforcement,enforcement_other_info,supply_incentive,savings_comp,savings_comp_yes_info,econ_out,econ_out_yes_info,prog_type
53902058,Aber (2016),2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA,['Secondary/High school'],"['13', '14', '15', '16']",NA,NA,['USA'],['Individual RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],156,0.25,"Not specified, N/A",NA,['Not reported/Unclear'],['Village/neighbourhood income'],NA,['No'],NA,"['Parent or head of household', 'Student (or student and parent/guardian)']",['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['None (flat transfer)'],"['Monthly', 'Annually', 'Other']",Some transfers were one off payments (e.g. obtaining a library card/graduating high-school). Other payments were given on a 'per test' basis.,['Yes - time limited'],156,['School enrolment and attendance'],"['Other', 'School completion', 'Academic achievement (details in info box)', 'Grade promotion']",['Yes'],"['Student attendance at health check-ups', 'Other (details in info box)']","['School attendance', 'School completion', 'Academic achievement']",['Not reported/Unclear'],['Yes'],['95%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['Yes (details in info box)'],The study reported saving behaviour for students education,['Yes (details in info box)'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53901222,Ahmed (2006),2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905,NA,NA,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Turkey'],['Regression Discontinuity with randomisation'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],104,0.25,n/a,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],['Primary recipient'],"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",4.56,YTL (Yeni Turkish Lira),NA,NA,NA,['Not reported/Unclear'],NA,NA,"['Gender', 'Age']",['Monthly'],NA,['No time limit'],"Introduced in 2004, no specified completion of the program",['School enrolment and attendance'],['Not reported'],['Yes'],['Student attendance at health check-ups'],['School attendance'],['School attendance'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901693,Alam (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,['Middle school'],['No information provided'],NA,NA,['Pakistan'],['Regression Discontinuity with randomisation'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],NA,312,0.083,N/A. ,NA,['Secondary only'],['Village/neighbourhood income'],NA,['No'],NA,['Parent or head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",3.71,PKR (Pakistani Rupee),NA,NA,NA,['Not reported/Unclear'],NA,NA,['None (flat transfer)'],['Quarterly/Trimesterly'],NA,['No time limit'],government funded ,['School enrolment and attendance'],NA,['No'],NA,"['School attendance', 'School enrolment']","['School attendance', 'School enrolment']",['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,NA,NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901694,Alatas (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73563,NA,NA,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Indonesia'],['Cluster RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],104,0.083,n/a,NA,['Not reported/Unclear'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],['Primary recipient'],"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",13.79,Rupiah (Rp),NA,NA,NA,"['Yes, maximum amount per family (details in info box)']","2,200,000 per household per family",NA,"['None (flat transfer)', 'Other']",['Quarterly/Trimesterly'],NA,['Not reported/Unclear'],not indicated,['School enrolment and attendance'],NA,['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Health visits for pregnant and breastfeeding women']","['School enrolment', 'School attendance']","['School enrolment', 'School attendance', 'Health attendance']",['Yes'],['85%'],NA,"['Attendance at school', 'Enrolment at school']",NA,"['Transfer unaccompanied by supply-side intervention', 'Not reported/Unclear']",['No'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53902648,Alviar (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6190,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",NA,NA,['Kenya'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],104,0.25,N/A,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']","Not specified, and too many people qualified for the proxy means test of eligibility, so further ranking was established to select a sample",['Parent or head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",13.81,Ksh (Kenyan Shilling),NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",1500 Ksh per month,NA,['None (flat transfer)'],['Monthly'],NA,['No time limit'],"The study was conducted over a 2 year period, but the program had already been implemented previously and was continued after investigation.",['No conditions'],['No additional conditions'],['No'],['Not reported/Unclear'],['No monitoring'],['No verification'],['No'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 1 - Unconditional program with the aim to improve educational outcomes']
53903049,Amarante (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['Uruguay'],['Regression Discontinuity with randomisation'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],136,0.25,Not specified or N/A,NA,['Not reported/Unclear'],['Targeted population (please provide details in info box)'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",NA,NA,['None (flat transfer)'],['Monthly'],NA,['Yes - time limited'],102,['School attendance'],['School attendance'],['Yes'],['Student attendance at health check-ups'],['No monitoring'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['Yes (details in info box)'],NA,['Type 3 - Conditional transfers where conditions are not monitored or enforced']
53901795,Ambler (2015),2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,NA,NA,"['Secondary/High school', 'Further education/junior or community college']",['No information provided'],NA,NA,['El Salvador'],['Individual RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],52,0.25,N/A,NA,"['Secondary only', 'Other']",['Other'],NA,['No'],NA,['Student (or student and parent/guardian)'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],52,['No conditions'],['Not reported'],['No'],['Not reported/Unclear'],['No monitoring'],['No verification'],['No'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,"['Type 2 - Labelled transfers where participants are explicitly told that they are for use for education, but without any conditions']"
53901989,Angelucci (2010),2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,NA,NA,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Mexico'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],52,0.125,N/A,NA,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],"Eligibility was determined by poor vs non poor households, but no threshold was specified.",['Mother or female head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",30.56,pesos,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",1500 pesos bimonthly,NA,"['Gender', 'Grade']",['Bi-monthly'],NA,['Not reported/Unclear'],"The program was implemented for this study over a 1 year period, however it was later implemented over a year later",['School attendance'],"['No additional conditions', 'School enrolment']",['Yes'],['Other (details in info box)'],['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['85%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901695,Armand (2018),2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,NA,NA,['Secondary/High school'],['No information provided'],NA,NA,['Macedonia'],['Cluster RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],156,0.083,N/A,NA,['Secondary only'],['Household income'],NA,['Not reported/Unclear'],NA,"['Mother or female head of household', 'Parent or head of household']",NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",1000,MKD,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",NA,NA,['None (flat transfer)'],['Quarterly/Trimesterly'],NA,['Not reported/Unclear'],Unclear,['School enrolment and attendance'],['No additional conditions'],['No'],['Not reported/Unclear'],['School attendance'],['School attendance'],['Yes'],['85%'],NA,['Attendance at school'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['Not reported/Unclear'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53901988,Arraiz (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6933,NA,NA,"['Primary/elementary school', 'Secondary/High school', 'Middle school']","['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",NA,NA,['Panama'],NA,['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],192,0.125,N/A,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']","A proxy means test was used, but a threshold was not specified in the report","['Mother or female head of household', 'Parent or head of household']",['Primary recipient'],['Transfer in US $ (numeric value only)'],35,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",The cash transfer was fixed at $35 per month,NA,['None (flat transfer)'],['Bi-monthly'],NA,['Yes - time limited'],192,['School enrolment and attendance'],['Other'],['Yes'],['Not reported/Unclear'],"['School enrolment', 'School attendance']","['School enrolment', 'School attendance', 'Health attendance']",['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
