id,pub_author,pub_year,strand_raw,strand_info,sample_analysed_info,strand_CLEAN,sample_analysed_ht,part_gen_raw,sample_analysed_CLEAN,part_gen_ht,part_gen_info,fsm_prop_info,part_gen_CLEAN,fsm_prop_ht,fsm_perc_info,fsm_prop_CLEAN,fsm_perc_ht,fsm_info_info,fsm_perc_CLEAN,fsm_info_ht,fsm_na_raw,fsm_info_CLEAN,fsm_na_info,base_n_treat_ht,fsm_na_CLEAN,base_n_treat_info,base_n_cont_ht,base_n_treat_CLEAN,base_n_cont_info,base_n_treat2_ht,base_n_cont_CLEAN,base_n_treat2_info,base_n_treat3_ht,base_n_treat2_CLEAN,base_n_treat3_info,n_treat_ht,base_n_treat3_CLEAN,n_treat_info,n_cont_ht,n_treat_CLEAN,n_cont_info,n_treat2_ht,n_cont_CLEAN,n_treat2_info,n_cont2_ht,n_treat2_CLEAN,n_cont2_info,attri_raw,n_cont2_CLEAN,attri_ht,attri_info,attri_treat_ht,attri_CLEAN,attri_treat_info,attri_perc_ht,attri_treat_CLEAN,attri_perc_info,attri_perc_CLEAN
38296602,Biggart (2015),2015,['Collaborative learning'],NA,2117,,"['Page 18:\n[¬s]""Original sample (n=3641) Sample for analysis (n=2117)[¬e]""']",['Mixed gender'],,"['Page 18:\n[¬s]""44%[¬e]""']",Sample for analysis  F = 44% M = 56%,NA,,NA,NA,,"['Page 17:\n[¬s]""Sample for analysis (n=19)""\n""26.1%[¬e]""']",NA,,NA,NA,,NA,"['Page 16:\n[¬s]""Allocated to intervention (school n=13; pupil n=2050)[¬e]""']",,2050,"['Page 16:\n[¬s]""Allocated to control (school n=12; pupil n=1591)[¬e]""']",,1591,NA,,NA,NA,,NA,"['Page 18:\n[¬s]""Table 3.6: Pupil characteristics""\n""Intervention (n=2050)[¬e]""']",,2050,"['Page 18:\n[¬s]""Table 3.6: Pupil characteristics""\n""Control (n=1591)[¬e]""']",,1591,NA,,NA,NA,,NA,['Yes'],,"['Page 14:\n[¬s]""While schools were initially interested in the programme, when they found out it would involve a complete change of approach to their planned Year 7 English curriculum many declined further participation. Others had hoped they could use the programme as a targeted intervention for those who were most struggling with English and declined when they realised that they would need to implement the programme across the whole of Year 7. In total, 61 schools assessed for eligibility subsequently decided not to take part in the evaluation.""\n""schools withdrew after being made aware of their allocation""\n""Two of the schools in the intervention group subsequently withdrew because the programme conflicted with planned Year 7 provision. Another four intervention schools withdrew at the beginning of the autumn term: one school was in the process of closing and pupils were being relocated to other schools; two schools were dissatisfied with the programme; and one school decided it was not in a position to begin implementing Quest fully until the spring term.[¬e]""', 'Page 16:\n[¬s]""Did not receive allocated intervention (school n=6; pupil n=1028) (reasons: conflict with planned provision; dissatisfaction with programme; school closure)""\n""Lost to follow-up (school n=4; pupil n=589) (within the remaining 9 schools, post-test data not available for 1091 pupils) Lost to follow-up total n=1091""\n""Lost to follow-up (school n=2; pupil n=220) (within the remaining 10 schools, post-test data not available for 433 pupils) Lost to follow-up total n=653""\n""Not included in model due to missing covariates (pupil n=28)""\n""Not included in model due to missing covariates (pupil n=6)[¬e]""']",NA,NA,,54.59,NA,,42.79%,
38296603,Biggart (2015),2015,"['Digital technology', 'Teaching assistants']",NA,72,,"['Page 5:\n[¬s]""72 pupil[¬e]""']",['Mixed gender'],,"['Page 17:\n[¬s]"" 19 (54%) 22 (60%)""\n"" 16 (46%) 15 (41%)[¬e]""']",43,NA,,NA,51.5%,,"['Page 17:\n[¬s]"" 17 (49%) 20 (54%)""\n"" 18 (51%) 17 (46%)[¬e]""']",NA,,"['Page 10:\n[¬s]"" Schools were targeted on the basis of both a higher than average proportion of pupils receiving free school meals[¬e]""']",NA,,NA,"['Page 12:\n[¬s]"" 125 pupils being allocated to Tutoring with Alphie[¬e]""']",,125,"['Page 12:\n[¬s]""123 to the business as usual control[¬e]""']",,123,NA,,NA,NA,,NA,"['Page 19:\n[¬s]""37[¬e]""']",,37,"['Page 19:\n[¬s]""35[¬e]""']",,35,NA,,NA,NA,,NA,['Yes'],,"['Page 15:\n[¬s]""4 pupils were excluded on the basis of their assessed reading levels, which were below the intended use of the programme (below level 1a)""\n"" Fifteen of the 21 participating schools failed to provide pupil data for the New Group Reading Test, the main outcome measure of reading comprehension. This represented a dropout rate of 72% of those recruited to the original trial.[¬e]""', 'Page 16:\n[¬s]""Lost to follow-up (n=88)""\n""Lost to follow-up (n=90)[¬e]""', 'Page 30:\n[¬s]""There was substantial attrition of more than 70%.[¬e]""']",NA,"['Page 15:\n[¬s]""125""\n""37[¬e]""']",,70.4,"['Page 15:\n[¬s]""125""\n"" 123""\n""37 and 35 [¬e]""']",,70.967%,
68655319,Bogiatzis-Gibbons (2021),2021,NA,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,
40398940,Boylan (2018),2018,['Digital technology'],NA,"Total = 5,818  Intervention = 2,803  Control = 3,015 (Figure 5)",,NA,['Mixed gender'],,NA,49.7% female (Table 9) (Note  This is baseline data. At analysis there were 414 cases missing/6.6% of all baseline cases),NA,,NA,28.5% ever eligible for FSM (Table 9) (Note  This is baseline data. At analysis there were 414 cases missing/6.6% of all baseline cases),,NA,NA,,NA,NA,,NA,"['Page 18:\n[¬s]""2,986 pupils[¬e]""']",,2986,"['Page 18:\n[¬s]""3,246[¬e]""']",,3246,NA,,NA,NA,,NA,"['Page 40:\n[¬s]""2,877 [¬e]""']",,2877,"['Page 40:\n[¬s]""3,111[¬e]""']",,3111,NA,,NA,NA,,NA,['Yes'],,NA,NA,"['Page 34:\n[¬s]""183[¬e]""']",,6%,"['Page 34:\n[¬s]""183""\n""231[¬e]""']",,7%,
68655320,Boyle (2020),2020,['Metacognition and self-regulation'],NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,
68655321,Boyle (2021),2021,"['Feedback', 'Homework']",NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,
38296605,Buchanan (2015) Pri,2015,['Small group tuition'],NA,2640,,"['Page 23:\n[¬s]""121""\n""207""\n""2,312[¬e]""']",['Mixed gender'],,"['Page 24:\n[¬s]""Female 54% 58%[¬e]""', 'Page 25:\n[¬s]""Female 54% 56% 2%[¬e]""']",4% difference between Intervention percentage of female participants (54%) and Comparison percentages of female participants (58%) ,NA,,NA,56.93,,"['Page 23:\n[¬s]""FSM subset (n=61)""\n""FSM subset (n=43)""\n""FSM subset (E=396; M=370)[¬e]""']",NA,,NA,NA,,NA,"['Page 23:\n[¬s]""Figure 1: Participant flow Tutor Trust pupils receiving tutoring in English Assessed for eligibility (n=121)""\n""Tutor Trust pupils receiving tutoring in mathematics Assessed for eligibility (n=207)[¬e]""']",,328,"['Page 23:\n[¬s]""Comparison Group Pupils: E = n(English), M = n(mathematics) Assessed for eligibility (E=M=2,312)[¬e]""']",,2312,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['Yes'],,"['Page 14:\n[¬s]""four of the secondary schools withdrawing from the evaluation[¬e]""', 'Page 23:\n[¬s]""Tutor Trust pupils receiving tutoring in English""\n""Excluded (n=39: 32%) \uf0a7 School did not participate in testing (n=34: 28%) \uf0a7 School only administered PIM test (n=2: 2%) \uf0a7 Individual pupil missing post-test score23 (n=2: 2%) \uf0a7 Outside common support24 (n=1: 1%)""\n""Tutor Trust pupils receiving tutoring in mathematics""\n""Excluded (n=148: 71%) \uf0a7 School did not participate in testing (n=111: 54%) \uf0a7 School only administered PIE test (n=35: 17%) \uf0b7 Individual pupil missing post-test score (n=1: 0.5%) \uf0a7 Missing KS1 or background data (n=1: 0.5%)""\n""Comparison Group Pupils: E = n(English), M = n(mathematics)""\n""Excluded (E=1,619; M=1,695) \uf0a7 School did not administer either test (E=M=1,141) \uf0a7 Attended Tutor Trust primary (E=M=256) \uf0a7 School only administered one test (E=90; M=72) \uf0a7 No KS1 or background data (E=80;M=92) \uf0a7 Outside common support (E=11; M=65)[¬e]""']",NA,NA,,57.01,NA,,32.66%,
38296604,Buchanan (2015) Sec,2015,['Small group tuition'],"Most schools chose to use small group tuition, rather than one-to-one tuition p 5",165111,,"['Page 17:\n[¬s]""781""\n""100,991[¬e]""', 'Page 18:\n[¬s]""409""\n""62,970[¬e]""']",['Mixed gender'],,"['Page 23:\n[¬s]""58""\n""50[¬e]""', 'Page 24:\n[¬s]""46""\n""50[¬e]""']","F = 51% (average of 58%, 50%, 46% and 50% calculated from Table 10 and 11)",NA,,NA,27.25,,"['Page 23:\n[¬s]""27""\n""27[¬e]""', 'Page 24:\n[¬s]""29""\n""26[¬e]""']",NA,,NA,NA,,NA,"['Page 17:\n[¬s]""Figure 2: Participant flow for pupils receiving tutoring in mathematics Tutor Trust pupils receiving tutoring in mathematics Participating in tutoring (n pupils = 1,004[¬e]""', 'Page 18:\n[¬s]""Figure 3: Participant flow for pupils receiving tutoring in English Tutor Trust pupils receiving tutoring in English Participating in tutoring (n pupils = 765,[¬e]""']",,1769,"['Page 17:\n[¬s]""Comparison group pupils in mathematics NPD data for Manchester\'s statistical neighbours (n = 124,964)[¬e]""', 'Page 18:\n[¬s]""Comparison group pupils in English NPD data for Manchester\'s statistical neighbours (n = 80,034)[¬e]""']",,204998,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['Yes'],,"['Page 17:\n[¬s]""Excluded (n = 223) \uf0a7 not matched to NPD (n = 164) \uf0a7 missing GCSE mathematics grade (n = 0) \uf0a7 missing KS3 data (n = 59)""\n""Excluded (n = 23,973) \uf0a7 missing GCSE mathematics grade (n = 8,976) \uf0a7 missing KS3 mathematics level (n = 11,337) \uf0a7 missing school background data (n = 3,660)[¬e]""', 'Page 18:\n[¬s]""Excluded (n = 277 11 ) \uf0a7 not matched to NPD (n = 208) \uf0a7 missing GCSE English grade (n = 15) \uf0a7 missing KS3 data (n = 54)""\n""Excluded (n = 17,064) \uf0a7 missing GCSE English grade (n = 8,438) \uf0a7 missing KS3 English level (n = 5,837) \uf0a7 missing school background data (n = 2,793)[¬e]""']",NA,NA,,32.73,NA,,20.13%,
38296606,Callanan (2017),2017,NA,NA,"Not given, however participants are from 9 schools.",,"['Page 11:\n[¬s]""Table 2: Number of schools participating in the pilot""\n""38[¬e]""']",['Mixed gender'],,NA,Not given,NA,,NA,NA,,"['Page 16:\n[¬s]""from 13.4% to 22.5% across the participating secondary schools[¬e]""']",NA,,NA,NA,,NA,NA,,"Not given, however participants are from 9 schools.",NA,,"Not given, however participants are from 9 schools.",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['No'],,NA,NA,NA,,NA,NA,,NA,
38296678,Crawford (2014),2014,"['Reading comprehension strategies', 'Collaborative learning', 'Metacognition and self-regulation']",NA,2202,,NA,['Mixed gender'],,NA,47.3 ,NA,,NA,33.48 ,,NA,NA,,NA,NA,,NA,"['Page 23:\n[¬s]""3,457[¬e]""']",,3457,"['Page 23:\n[¬s]""2,108 [¬e]""']",,2108,NA,,NA,NA,,NA,"['Page 24:\n[¬s]""2,889[¬e]""']",,2889,"['Page 24:\n[¬s]""1,524[¬e]""']",,1524,NA,,NA,NA,,NA,['Yes'],,NA,NA,NA,,16,"['Page 20:\n[¬s]"" 79% sat both the baseline and follow-up tests.[¬e]""']",,21,
38296607,Crawford (2016),2016,NA,NA,8841,,"['Page 24:\n[¬s]""3,907[¬e]""', 'Page 24:\n[¬s]""3,907[¬e]""', 'Page 24:\n[¬s]""4,586[¬e]""', 'Page 24:\n[¬s]""4,586[¬e]""', 'Page 5:\n[¬s]""8,600[¬e]""']",['Mixed gender'],,"['Page 28:\n[¬s]""Female""\n""48.8[¬e]""']","F = 48.8%, M = 51.2%",NA,,NA,NA,,"['Page 28:\n[¬s]""35.7[¬e]""']",NA,,NA,NA,,NA,"['Page 24:\n[¬s]""pupil n=4,803[¬e]""']",,4803,"['Page 24:\n[¬s]""pupil n=4,038[¬e]""']",,4038,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,['Yes'],,"['Page 24:\n[¬s]""Not analysed (pupil n=217) [moved school (n=146); missing demographics (n=64); missing results (n=7)]""\n""Not analysed (pupil n=131) [moved school (n=49); missing demographics (n=66); missing results (n=16)][¬e]""']",Attrition of treatment group cannot be calculated as the size of the recruited sample has not been split into separate frequencies for treatment and control groups.,NA,,NA,NA,,3.94%,
68655322,Culliney (2019),2019,NA,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,
