id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
67335193,Associates (2007),2007,NA,NA,['Yes'],"['Page 56:\n[¬s]""Exhibit A16\nImpact of Treatments 1 and 3 Combined on Child Outcomes for Children with English\nas Their Home Language (TOPEL, Spring 2005)[¬e]""']",NA,,NA,149,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,105,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
68127032,Beach (2004),2004,NA,NA,['Yes'],NA,NA,,"['Page 191:\n[¬s]""252 in the comparison group (12% mortality or 32 students)[¬e]""']",220,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 191:\n[¬s]""93 in die treatment group (9% mortality or 8 students)[¬e]""']",85,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67335195,Bierman (2008),2008,NA,NA,['Yes'],"['Page 10:\n[¬s]""Table 3\nIntervention Effects on Child Skills[¬e]""']","From Table 3, Vocabulary (EOPVT) chosen as primary outcome as the main full assessment (not a subtest) which aligned with the core objectives of the intervention. Grammatical Understanding (TOLD) is a second primary outcome. The remaining standardised measures 'Emergent Literacy Skills' are subtests of TOPEL.",,"['Page 4:\n[¬s]""356[¬e]""']",178,,"['Page 10:\n[¬s]""34.94[¬e]""']",34.94,,"['Page 10:\n[¬s]""11.10[¬e]""']",11.10,,"['Page 10:\n[¬s]""42.79[¬e]""']",42.79,,"['Page 10:\n[¬s]""11.55[¬e]""']",11.55,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""356[¬e]""']",178,,"['Page 10:\n[¬s]""34.62[¬e]""']",34.62,,"['Page 10:\n[¬s]""10.76[¬e]""']",10.76,,"['Page 10:\n[¬s]""41.03[¬e]""']",41.03,,"['Page 10:\n[¬s]""11.24[¬e]""']",11.24,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67335214,Blachman (1994),1994,NA,NA,['Yes'],"['Page 7:\n[¬s]""Table 1. Pretest and posttest means for treatment and control groups*[¬e]""']",Woodcock Reading Mastery Tests-Revised as primary outcome as only standardised post test outcome in both pre-test and post-test,,"['Page 6:\n[¬s]""84 treatment children[¬e]""']",84,,"['Page 7:\n[¬s]""0.1[¬e]""']",0.1,,"['Page 7:\n[¬s]""0.4[¬e]""']",0.4,,"['Page 7:\n[¬s]""0.6[¬e]""']",0.6,,"['Page 7:\n[¬s]""1.6[¬e]""']",1.6,,NA,NA,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""75 control children[¬e]""']",75,,"['Page 7:\n[¬s]""0.1[¬e]""']",0.1,,"['Page 7:\n[¬s]""0.4[¬e]""']",0.4,,"['Page 7:\n[¬s]""1.0[¬e]""']",1.0,,"['Page 7:\n[¬s]""3.0[¬e]""']",3.0,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
68127036,Bortnem (2005),2005,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
67335215,Boyle (2006),2006,NA,NA,['Yes'],NA,NA,,"['Page 39:\n[¬s]""6""\n""10[¬e]""']",16,,"['Page 47:\n[¬s]""35.06[¬e]""']",35.06,,"['Page 47:\n[¬s]""33.27[¬e]""']",33.27,,"['Page 47:\n[¬s]""46.00[¬e]""']",46.00,,"['Page 47:\n[¬s]""39.25[¬e]""']",39.25,,NA,NA,,NA,NA,,NA,NA,,"['Page 39:\n[¬s]""6""\n""5[¬e]""']",11,,"['Page 47:\n[¬s]""23.36[¬e]""']",23.36,,"['Page 47:\n[¬s]""25.61[¬e]""']",25.61,,"['Page 47:\n[¬s]""27.45[¬e]""']",27.45,,"['Page 47:\n[¬s]""30.36[¬e]""']",30.36,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
68127039,Byrne (1967),1967,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
67335218,Castle (1994),1994,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
67335197,Cosgrove (2006),2006,NA,NA,['Yes'],NA,"only means, no SDs",,"['Page 18:\n[¬s]""ELLM (n=222)[¬e]""']",222,,"['Page 18:\n[¬s]""84.62[¬e]""']",84.62,,NA,NA,,"['Page 18:\n[¬s]""91.81[¬e]""']",91.81,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 18:\n[¬s]""(n=244)[¬e]""']",244,,"['Page 18:\n[¬s]""84.73[¬e]""']",84.73,,NA,NA,,"['Page 18:\n[¬s]""88.76[¬e]""']",88.76,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
67335198,Davidson (2009),2009,NA,NA,['Yes'],NA,NA,,"['Page 9:\n[¬s]""129 experimental[¬e]""']",129,,"['Page 9:\n[¬s]""6.88[¬e]""']",6.88,,"['Page 9:\n[¬s]""2.12[¬e]""']",2.12,,"['Page 17:\n[¬s]""5.91[¬e]""']",5.91,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 9:\n[¬s]""125 control[¬e]""']",125,,"['Page 9:\n[¬s]""6.40[¬e]""']",6.40,,"['Page 9:\n[¬s]""2.74[¬e]""']",2.74,,"['Page 17:\n[¬s]""5.60[¬e]""']",5.60,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
