id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
67335193,Associates (2007),2007,NA,NA,TOPEL,,A standardized assessment of the aspects of language development and pre-literacy skills that research has shown to predict later reading success.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.36,,0.1284,,Literacy: decoding/phonics,,149,,97.153,,14.391,,105,,92,,14.102,,0.1082,,0.6117,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,TOPEL,,A standardized assessment of the aspects of language development and pre-literacy skills that research has shown to predict later reading success.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.36,,0.1284,,Literacy: decoding/phonics,,149,,97.153,,14.391,,105,,92,,14.102,,0.1082,,0.6117,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
68127032,Beach (2004),2004,NA,NA,Initial sounds fluency (ISF) ,,"Selected as primary outcome due to  ""The program was designed to build on existing family literacy practices and to increase phonological awareness skills including  word comparison, rhyming, syllable segmentation, sentence segmentation, initial sounds, onsets/rimes segmentation and blending, and phoneme manipulation, segmentation and blending. As a prerequisite for phonological awareness instruction, concepts of print, visual discrimination, letter naming fluency, numeral recognition, one-to-one correspondence, and alphabetic principle were integrated briefly into instruction.""The ISF and LNF measures were created to assess student development of phonological awareness and were based upon the essential early literacy domains.",,['Toolkit primary outcome'],,0.184,,1.373,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,-2.5071,,2.8751,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335195,Bierman (2008),2008,NA,NA,Vocabulary - Expressive One-Word Picture Vocabulary Test,,"In the Expressive One-Word Picture Vocabulary Test (Brownell, 2000), children gave the word that best described pictures they were shown.",,['Toolkit primary outcome'],,0.1541,,0.1062,,Literacy: speaking and listening/oral language,,178,,42.79,,11.55,,178,,41.03,,11.24,,-0.054,,0.3622,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335214,Blachman (1994),1994,NA,NA,Word Identification subtest - Woodcock Reading Mastery Tests-Revised,,"On the Word Identification subtest of the Woodcock Reading Mastery Tests-Revised, children were asked to read single words on a graded word list.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1683,,0.1592,,Literacy: decoding/phonics,,84,,0.6,,1.6,,75,,1,,3,,-0.4802,,0.1436,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Word Identification subtest - Woodcock Reading Mastery Tests-Revised,,"On the Word Identification subtest of the Woodcock Reading Mastery Tests-Revised, children were asked to read single words on a graded word list.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1683,,0.1592,,Literacy: decoding/phonics,,84,,0.6,,1.6,,75,,1,,3,,-0.4802,,0.1436,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
68127036,Bortnem (2005),2005,NA,NA,EVT,,Combined non-fiction & Fiction groups vs control on the EVT post-test (means and SD's),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0196,,0.276,,Literacy: reading other,,29,,52.21,,10.16,,24,,52,,10.97,,-0.5212,,0.5605,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,EVT,,Combined non-fiction & Fiction groups vs control on the EVT post-test (means and SD's),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0196,,0.276,,Literacy: reading other,,29,,52.21,,10.16,,24,,52,,10.97,,-0.5212,,0.5605,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335215,Boyle (2006),2006,NA,NA,PALS-PreK,,"ND  Adjusted for clustering but not baseline. The assessment, the Phonological Awareness Literacy Screening for Preschool (PALS-PreK) was designed to measure emergent literacy skills, such as rhyme awareness, beginning sound awareness, alphabet knowledge, letter sound knowledge, concepts o f print and name writing (Invemizzi. Sullivan, & Meier. 2001). The maximum possible score was 125 points.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5002,,0.3985,,Literacy: decoding/phonics,,16,,46,,39.25,,11,,27.45,,30.36,,-0.2809,,1.2814,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,PALS-PreK,,"ND  Adjusted for clustering but not baseline. The assessment, the Phonological Awareness Literacy Screening for Preschool (PALS-PreK) was designed to measure emergent literacy skills, such as rhyme awareness, beginning sound awareness, alphabet knowledge, letter sound knowledge, concepts o f print and name writing (Invemizzi. Sullivan, & Meier. 2001). The maximum possible score was 125 points.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5002,,0.3985,,Literacy: decoding/phonics,,16,,46,,39.25,,11,,27.45,,30.36,,-0.2809,,1.2814,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
68127039,Byrne (1967),1967,NA,NA,ITPA,,"Posttest means and SD's for the combined experimental group (made of 3 subgroups) and control. Haven't combined this myself, this is how the results are presented in the paper. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0,,0.4206,,Literacy: reading other,,13,,89.2,,30.8,,10,,89.2,,23.7,,-0.8244,,0.8244,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ITPA,,"Posttest means and SD's for the combined experimental group (made of 3 subgroups) and control. Haven't combined this myself, this is how the results are presented in the paper. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0,,0.4206,,Literacy: reading other,,13,,89.2,,30.8,,10,,89.2,,23.7,,-0.8244,,0.8244,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335218,Castle (1994),1994,NA,NA,Clay Word Reading,,posttest means and SD's for clay word reading,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1421,,0.3435,,Literacy: decoding/phonics,,17,,9.85,,4.25,,17,,9.37,,1.92,,-0.5311,,0.8154,,Primary outcome,,['Sample: Low achievers'],,,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Clay Word Reading,,posttest means and SD's for clay word reading,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1421,,0.3435,,Literacy: decoding/phonics,,17,,9.85,,4.25,,17,,9.37,,1.92,,-0.5311,,0.8154,,Primary outcome,,['Sample: Low achievers'],,,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335197,Cosgrove (2006),2006,NA,NA,TERA-3 - Reading Quotient - EYL,,TERA-3 - Reading Quotient  ELLM curriculum vs wait-list control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.44,,0.05,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.342,,0.538,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,TERA-3 - Reading Quotient - EYL,,TERA-3 - Reading Quotient  ELLM curriculum vs wait-list control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.44,,0.05,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.342,,0.538,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
67335198,Davidson (2009),2009,NA,NA,Woodcock comprehension: EYL,,"Woodcock Johnson Passage comprehension   RSL (Ready, Set, Leap!) curriculum vs control (t-tests from the HLM results in Table 4 -  group means for classes and class sample size rather individuals)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1887,,0.3862,,Literacy: reading comprehension,,14,,0.49,,0,,13,,0,,0,,-0.5682,,0.9456,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,Woodcock comprehension: EYL,,"Woodcock Johnson Passage comprehension   RSL (Ready, Set, Leap!) curriculum vs control (t-tests from the HLM results in Table 4 -  group means for classes and class sample size rather individuals)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1887,,0.3862,,Literacy: reading comprehension,,14,,0.49,,0,,13,,0,,0,,-0.5682,,0.9456,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
