id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
40117187,Baker (1996),1996,['Journal article'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3006,0.14,['Post-test adjusted for baseline attainment'],Reading comprehension - TAAS,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3006,0.14,NA,NA,NA,['Mathematics primary outcome'],0.3035,0.14,NA,NA,NA,NA,NA,NA,302,2,NA,['Primary/elementary school'],"['12', '8', '9', '10', '11']",TRUE,87.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['Before/after school'],"['Class teachers', 'External teachers', 'Lay persons/volunteers']",24,2,45,['Toolkit: Extending school time']
40117110,Barron (1993),1993,['Dissertation or thesis'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2356,0.071,['Post-test unadjusted (select one from this group)'],CTBS Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2356,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,2,≤18,['Primary/elementary school'],"['7', '8', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],160,5,50,['Toolkit: Extending school time']
40117111,Bechtel (1991),1991,['Dissertation or thesis'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2315,0.1181,['Post-test adjusted for baseline attainment'],Comprehensive Test of Basic Skills (CTBS) Form - U,,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2315,0.1181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,8,NA,['Primary/elementary school'],"['9', '8']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],40,5,50,['Toolkit: Extending school time']
40117190,Bergin (1992),1992,['Journal article'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",0.9091,0.6464,['Post-test unadjusted (select one from this group)'],Combined - Reading & Math,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",0.9091,0.6464,NA,NA,NA,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",0.9091,0.6464,NA,NA,NA,NA,NA,NA,22,1,2,['Other educational setting (please specify)'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one', 'Paired learning']",['Yes (Please specify)'],['No'],['Yes'],['Before/after school'],"['Class teachers', 'Lay persons/volunteers']",80,4,90,['Toolkit: Extending school time']
40117239,Berninger (2006),2006,['Journal article'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.58,0.21,['Post-test adjusted for baseline attainment'],WRMT-R Word Attack (F-test),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.58,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,8,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Before/after school'],"['Research staff', 'Class teachers']",20,2,60,['Toolkit: Extending school time']
40117240,Berninger (2006),2006,['Journal article'],['Extending school time'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.3171,0.2148,['Post-test adjusted for baseline attainment'],Woodcock Johnson Writing Samples,With business as usual,['Sample: Low achievers'],Literacy  writing,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,10,NA,['Primary/elementary school'],['9'],NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Before/after school'],"['Research staff', 'External teachers']",28,2,60,['Toolkit: Extending school time']
40117116,Campbell (1994),1994,['Journal article'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0581,0.0283,['Post-test unadjusted (select one from this group)'],Gates MacGinitie Read­ ing Test Third Edition Form K,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0581,0.0283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,5,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6', '7', '8']",TRUE,67.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],['Class teachers'],40,5,60,['Toolkit: Extending school time']
40117117,Cason (1995),1995,['Dissertation or thesis'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2031,0.09,['Post-test adjusted for baseline attainment'],SAT Reading (ANOVA),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2031,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,6,NA,['Primary/elementary school'],"['9', '10']",TRUE,63.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],80,5,50,['Toolkit: Extending school time']
40117193,Chase (2000),2000,['Technical report'],['Extending school time'],"['Toolkit primary outcome', 'Reading primary outcome']",0.16,0.3,['Post-test adjusted for baseline attainment'],Woodcock-Passage Comprehension-cohort 1 (ANOVA),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.16,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,7,NA,['Primary/elementary school'],"['9', '10', '11', '12']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['Yes'],['Before/after school'],['Lay persons/volunteers'],4,2,60,['Toolkit: Extending school time']
40117118,Chen (1994),1994,['Dissertation or thesis'],['Extending school time'],['Toolkit primary outcome'],0.0054,0.1021,['Post-test unadjusted (select one from this group)'],CAP,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,2,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",FALSE,34.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],400,5,60,['Toolkit: Extending school time']
