id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
38111471,Ammon (1971),1971,['Oral language interventions'],NA,,48,"['Page 1:\n[¬s]""Seventy-two children were divided equally into vocabulary train- ing, sentence training, and control groups[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""A sample of 72 children, half boys and half girls, was drawn from seven prekiudergarten classes[¬e]""']",50,,NA,NA,,NA,"['Page 2:\n[¬s]""most of them came from lower-class homes[¬e]""']",,NA,NA,,"['Page 1:\n[¬s]""Seventy-two children were divided equally into vocabulary train- ing, sentence training, and control groups.[¬e]""']",24,,NA,24,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 4:\n[¬s]""(23 SUBJECTS PER GROUP)[¬e]""']",24 reduced to 23 in treatment and contol groups,,NA,4.166,,NA,4.166%,
38111637,Aram (2004) OL,2004,['Oral language interventions'],NA,,71,"['Page 5:\n[¬s]""(38 in each intervention group""\n"" 24 children from two other untreated preschools to serve as a control group""\n"" only 71 of these children completed the posttest measures ""\n"" 35 in joint reading)""\n""All 24 children in the control group completed measures at both the pretest and posttest intervals.[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""boy:girl ratio in the preschools was 18:18 for the joint writing group, 17:18 for the joint reading group, and 11:13 for the control group[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],"There is information about the area of Jaffa, but nothing specific about the participants",,"['Page 5:\n[¬s]""In the present study, to evaluate the effectiveness of these two intervention programs, we randomly sampled 76 children (38 in each intervention group) f[¬e]""']",38,,"['Page 5:\n[¬s]""In addition, we sampled 24 children from two other untreated preschools to serve as a control group.[¬e]""']",24,,NA,NA,,NA,NA,,NA,35,,NA,24,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""We administered pretests to the 76 children sampled from the intervention preschools (38 children in each of the two intervention programs), but only 71 of these children completed the posttest measures (36 children in the joint writing program and 35 in joint reading).[¬e]""']",NA,,"['Page 5:\n[¬s]""We administered pretests to the 76 children sampled from the intervention preschools (38 children in each of the two intervention programs), but only 71 of these children completed the posttest measures (36 children in the joint writing program and 35 in joint reading).[¬e]""']",8,,NA,8,
38111536,Aram (2006),2006,['Oral language interventions'],NA,,75,"['Page 7:\n[¬s]"" 42 children were randomly sampled from each of the three programs and from the comparison group, yielding a total of 168 children.""\n""12 children could not be assessed because they moved out of town or were absent at the time of the assessment. Table 1 presents the characteristics of the sample (n=156).[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""n for gender: boys/girls 18/19 18/20 24/16 22/19[¬e]""']",51,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],"The paper does not given specific socio-economic or FSM info about the students  however does given an overview of the citiens of Jaffa, where the research was carried out",,"['Page 7:\n[¬s]"" 42 children were randomly sampled from each[¬e]""']",42,,"['Page 7:\n[¬s]"" 42 children were randomly sampled from each[¬e]""']",42,,NA,NA,,NA,NA,,NA,37,,NA,38,,NA,NA,,NA,NA,,['Yes'],"['Page 7:\n[¬s]""42 children were randomly sampled from each of the""\n""programs""\n"" At the end of the school year, 12 children could not be assessed because they moved out of town or were absent at the time of the assessment.[¬e]""', 'Page 8:\n[¬s]""Storybook reading program (n=37)""\n""Alphabetic skills program (n=38)[¬e]""']","Highlighted text is for the sample including all three groups, whereas this analysis is only for two groups. Attrition is 12 overall, but just 9 for the groups in this extraction (42+42)-(37+38). ",,"['Page 7:\n[¬s]""42 children were randomly sampled from each[¬e]""', 'Page 8:\n[¬s]""Storybook reading program (n=37)[¬e]""']",11.904,,"['Page 7:\n[¬s]""42 children were randomly sampled from each[¬e]""', 'Page 8:\n[¬s]""Storybook reading program (n=37) Alphabetic skills program (n=38)[¬e]""']",10.714%,
38111473,Beck (2007),2007,['Oral language interventions'],NA,,98,"['Page 6:\n[¬s]""we were only able to collect pretest and posttest data from 98 children (52 in experimental class- rooms and 46 children in comparison class- rooms), 85 of whom had begun the year at the school and 13 who entered school dur- ing the ﬁrst semester.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,"['Page 6:\n[¬s]""The school in which the study took place was located in a small urban district with a lower-SES population. The children were all African American, and 82% were eligible""\n""for free or reduced-price lunch.[¬e]""']",,NA,NA,,"['Page 6:\n[¬s]""52 in experimental class- rooms[¬e]""']",52,,"['Page 6:\n[¬s]"" 46 children in comparison class- room[¬e]""']",46,,NA,NA,,NA,NA,,NA,KG  23 1st Grade  26,,NA,KG  23 1st Grade  26,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
38111679,Bochna (2006),2006,['Oral language interventions'],NA,,36,"['Page 13:\n[¬s]""In the current study, seventeen children enrolled in Head Start, a preschool program for disadvantaged children, were taught to identify topic and main idea in expository children\x92s books through nineteen shared book reading sessions with the author.[¬e]""', 'Page 38:\n[¬s]"" thirty-six of the forty-five children in the initial sample were assessed at both pre and posttest [¬e]""', 'Page 44:\n[¬s]""At the onset of the study, four groups of four children and one group of five children comprised the intervention condition, and two groups of four children, two groups of five children, and one group of six children were part of the comparison condition.[¬e]""']",,['Mixed gender'],NA,"numbers not provided, however, see Appendix D (Lesson Scripts) for evidence of mixed gender.",,NA,NA,,NA,"['Page 37:\n[¬s]""This study investigated the impact of explicit expository text instruction in a population of disadvantaged preschool age children. [¬e]""', 'Page 38:\n[¬s]""The children qualified for full-day, full-year services based upon their socioeconomic status[¬e]""', 'Page 64:\n[¬s]""The children in this study were from[¬e]""', 'Page 65:\n[¬s]""57 disadvantaged homes where literacy activities were most likely limited. [¬e]""']",,NA,NA,,"['Page 38:\n[¬s]""Forty-five children enrolled in central Pennsylvania\x92s Head Start were participants in the study.[¬e]""', 'Page 44:\n[¬s]"" At the onset of the study, four groups of four children and one group of five children comprised the intervention condition[¬e]""']",21,,"['Page 38:\n[¬s]""Forty-five children enrolled in central Pennsylvania\x92s Head Start were participants in the study.[¬e]""', 'Page 44:\n[¬s]"" two groups of four children, two groups of five children, and one group of six children were part of the comparison condition[¬e]""']",24,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 38:\n[¬s]"" While informed consent was obtained for forty-five children, there was some attrition during the study. Four children turned six years old and subsequently graduated from Head Start, four children were absent during the posttest days, and one child refused to participate in the study after the pretest. As such, thirty-six of the forty-five children in the initial sample were assessed at both pre and posttest and included in the analyses presented here.[¬e]""']",NA,,"['Page 38:\n[¬s]""While informed consent was obtained for forty-five children, there was some attrition during the study. Four children turned six years old and subsequently graduated from Head Start, four children were absent during the posttest days, and one child refused to participate in the study after the pretest. As such, thirty-six of the forty-five children in the initial sample were assessed at both pre and posttest and included in the analyses presented here.[¬e]""', 'Page 44:\n[¬s]"" At the onset of the study, four groups of four children and one group of five children comprised the intervention condition, and two groups of four children, two groups of five children, and one group of six children were part of the comparison condition.[¬e]""', 'Page 54:\n[¬s]""Condition Identification of Topic Experimental N Comparison N 0 12 16 1 5 3 Total 17 19[¬e]""']",19.05,,"['Page 38:\n[¬s]"" Four children turned six years old and subsequently graduated from Head Start, four children were absent during the posttest days, and one child refused to participate in the study after the pretest. As such, thirty-six of the forty-five children in the initial sample were assessed at both pre and posttest and included in the analyses presented here.[¬e]""', 'Page 44:\n[¬s]""At the onset of the study, four groups of four children and one group of five children comprised the intervention condition, and two groups of four children, two groups of five children, and one group of six children were part of the comparison condition.[¬e]""']",20,
38111474,Bonds (1987),1987,['Oral language interventions'],NA,,87,NA,,['Mixed gender'],"['Page 3:\n[¬s]""This balance is sought in the areas of race, sex, and socio-economic characteristics.[¬e]""']",NA,,NA,NA,,NA,"['Page 3:\n[¬s]""The socio-economic qualities of both the control group and the experimental group are considered similiar. Every effort is made by the Bulloch County School System and the Laboratory School administration to insure that a representative sample of students is enrolled in the Laboratory School. This balance is sought in the areas of race, sex, and socio-economic characteristics.[¬e]""']",,NA,NA,,"['Page 3:\n[¬s]"" The experimental group consisted of two classes totaling 45 kindergarteners attending the Laboratory School of the local college.[¬e]""']",45,,"['Page 3:\n[¬s]"" TVo groups of kindergarteners totaling 42 attending another public school in the system comprised the control group.[¬e]""']",42,,NA,NA,,NA,NA,,"['Page 24:\n[¬s]""EXPERIMENTAL 45[¬e]""']",45,,"['Page 24:\n[¬s]""CONTROL 42[¬e]""']",42,,NA,NA,,NA,NA,,['No'],"['Page 24:\n[¬s]""TABLE 2 SUMMARY STATISTICS FOR CONTROL AND EXPERIMENTAL 2 GROUPS ON THE READING COMPREHENSION SUBTEST OF THE CALIFORNIA ACHIEVEMENT TEST[¬e]""']",NA,,NA,NA,,NA,NA,
38111475,Bortnem (2005),2005,['Oral language interventions'],NA,,59,"['Page 45:\n[¬s]""59""\n""nonfiction read-alouds had 15 preschoolers""\n""fiction read-alouds had 13 children""\n""control group included 23 preschoolers[¬e]""']",,['Mixed gender'],"['Page 53:\n[¬s]""Control, M ale 9""\n""Control, Female 15""\n""Fiction, M ale 6""\n""Fiction, Female 7""\n""Nonfiction, Male 7""\n""Nonfiction, Female 9[¬e]""']",58.49,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 45:\n[¬s]""The treatment group using nonfiction read-alouds had 15 preschoolers and the other treatment group using fiction read-alouds had 13 children.[¬e]""']",28,,"['Page 45:\n[¬s]"" The control group included 23 preschoolers[¬e]""']",23,,NA,NA,,NA,NA,,NA,29,,NA,24,,NA,NA,,NA,NA,,['Yes'],"['Page 52:\n[¬s]""Because six children had missing test scores, their scores were removed from the data. This included three from the fiction group, one from the nonfiction, and two from the control group.[¬e]""', 'Page 57:\n[¬s]""Nonfiction""\n""Control""\n""16""\n""24[¬e]""']","Nb. Current attrition for treatment and overall considers nonfiction intervention alone as treatment, rather than nonfiction and fiction interventions combined. The study reports final analysed numbers in main text while attrition is difference between analysed sample and recruited sample. I.e. recruited sample  NF - 16, C - 25, analysed Sample - NF - 15, C - 23",,"['Page 52:\n[¬s]"" one from the nonfiction,[¬e]""', 'Page 57:\n[¬s]""16[¬e]""', 'Page 57:\n[¬s]""Nonfiction""\n""16[¬e]""']",6.25,,"['Page 52:\n[¬s]""This included three from the fiction group, one from the nonfiction, and two from the control group.[¬e]""', 'Page 57:\n[¬s]""Nonfiction""\n""Control""\n""16""\n""24[¬e]""']",7.317%,
38111680,Box (1993),1993,['Oral language interventions'],NA,,48,"['Page 1:\n[¬s]""Differences among three groups of 24 4-yr.-old Head Start children’s\nresponses[¬e]""', 'Page 48:\n[¬s]""Five children were[¬e]""', 'Page 49:\n[¬s]""randomly selected from each teacher\'s total number of 4-year\nolds in the classroom for the experimental, control and\nplacebo groups, which gave a total of 25 children in each\ngroup[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,"['Page 49:\n[¬s]""The population from\nwhich the subjects of all three groups were drawn can be\nassumed to be similar with respect to socioeconomic level.[¬e]""']",,NA,NA,,"['Page 49:\n[¬s]""25 children in each\ngroup[¬e]""']",25,,"['Page 49:\n[¬s]""25 children in each\ngroup[¬e]""']",25,,NA,NA,,NA,NA,,NA,23,,NA,23,,NA,NA,,NA,NA,,['Yes'],"['Page 65:\n[¬s]""Of the 75 children, two moved during the investigation\nand one was absent during the posttesting phase. The final\nsample was 72 children, with 25 assigned to the experimental\ngroup, 24 to the placebo group, and 23 to the control group.[¬e]""']",NA,,NA,0%,,"['Page 65:\n[¬s]""23 to the control group.[¬e]""']",4%,
38111478,Brooks (2006),2006,['Oral language interventions'],NA,,78,"['Page 44:\n[¬s]""78 students[¬e]""']",,['Mixed gender'],"['Page 44:\n[¬s]""(46 girls and 32 boys)[¬e]""']",59% girls,,NA,"['Page 44:\n[¬s]""Students who receive free or reduced lunch make up 37% of the population[¬e]""']",,NA,NA,,NA,NA,,"['Page 52:\n[¬s]""Analyses included all participants, as well as those categorized receiving storybook readings with explicit instruction of target words (n=28),[¬e]""']",28,,"['Page 52:\n[¬s]""and those who 39[¬e]""', 'Page 53:\n[¬s]""participated in phonics activities (n=21)[¬e]""']",21,,NA,NA,,NA,NA,,"['Page 52:\n[¬s]""categorized receiving storybook readings with explicit instruction of target words (n=28),[¬e]""']",28,,"['Page 18:\n[¬s]""and a control group that participated in phonics games.[¬e]""', 'Page 52:\n[¬s]""those who 39[¬e]""', 'Page 53:\n[¬s]""participated in phonics activities (n=21).[¬e]""']",21,,NA,NA,,NA,NA,,['No'],"['Page 52:\n[¬s]""Analyses included all participants, as well as those categorized receiving storybook readings with explicit instruction of target words (n=28), storybook reading without explicit instruction of target words (n=27), and those who 39[¬e]""', 'Page 53:\n[¬s]""participated in phonics activities (n=21).[¬e]""']",NA,,NA,NA,,NA,NA,
38111602,Buckner (1978),1978,['Oral language interventions'],NA,,44,NA,,['Mixed gender'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 1:\n[¬s]""22 students[¬e]""']",22,,"['Page 1:\n[¬s]"" 22 students[¬e]""']",22,,NA,NA,,NA,NA,,"['Page 1:\n[¬s]""22[¬e]""']",22,,"['Page 1:\n[¬s]""22[¬e]""']",22,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0%,
