id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111471,Ammon (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test (PPVT),['Other outcome'],Secondary outcome(s),Sentence Imitation Test (SIT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111637,Aram (2004) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,['Writing and spelling primary outcome.'],Secondary outcome(s),Word Writing (Post-test Means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111536,Aram (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111473,Beck (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-(pre-post gain means/SDs)-KG,['Other outcome'],Secondary outcome(s),PPVT-(pre-post gain means/SDs)-Grade 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111679,Bochna (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening comprehension - oral language,['Other outcome'],Secondary outcome(s),Listening comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111474,Bonds (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,California Achievement Test(Reading comprehension)-Success approach-Success in Kindergarten Reading and Writing (1980),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111475,Bortnem (2005),['Other outcome'],Secondary outcome(s),The Peabody Picture Vocabulary Test-III (PPVT) ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,The Expressive Vocabulary Test (EVT) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945720,Bowyer‐Crane (2008),['Other outcome'],Secondary outcome(s),Letter Identification ,['Other outcome'],Secondary outcome(s),EWR,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension,['Other outcome'],Secondary outcome(s),Phonological Awareness,['Other outcome'],Secondary outcome(s),Phoneme segmentation,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling ,['Other outcome'],Secondary outcome(s),Listening comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111680,Box (1993),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESI-Print Concepts (ANCOVA),['Other outcome'],Secondary outcome(s),ESI-Part C/Story Structure (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111478,Brooks (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,24-item vocabulary posttest scores -storybook readings with explicit instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
