id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
38111471,Ammon (1971),1971,['Oral language interventions'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111637,Aram (2004) OL,2004,['Oral language interventions'],NA,['Yes'],NA,NA,,NA,35,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""13.34[¬e]""']",13.34,,"['Page 11:\n[¬s]""3.77[¬e]""']",3.77,,NA,NA,,NA,NA,,NA,NA,,NA,24,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""11.91[¬e]""']",11.91,,"['Page 11:\n[¬s]""4.07[¬e]""']",4.07,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111536,Aram (2006),2006,['Oral language interventions'],NA,['Yes'],NA,"Data from Table 2 - Receptive Vocabulary - PPVT pre-test results, gain scores in Table 3 have been added to pre-test scores to calculate post test means. ",,NA,37,,NA,31.68,,NA,6.85,,NA,35.46,,NA,6.21,,NA,NA,,NA,NA,,NA,NA,,NA,38,,NA,31.03,,NA,7.93,,NA,35.19,,NA,7.23,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111473,Beck (2007),2007,['Oral language interventions'],NA,['Yes'],NA,NA,,NA,KG  23 1st Grade  26,,"['Page 9:\n[¬s]""9.96""\n""12.25[¬e]""']",KG  9.96 1st grade  12.25,,"['Page 9:\n[¬s]""2.74""\n""2.93[¬e]""']",KG  2.74 1st grade  2.93,,"['Page 9:\n[¬s]""14.54""\n""15.89[¬e]""']",KG  14.54 1st grade  15.89,,"['Page 9:\n[¬s]""3.68""\n""3.98[¬e]""']",KG  3.68 1st grade  3.98,,"['Page 9:\n[¬s]""4.58""\n""3.64[¬e]""']",KG  4.58 1st grade  3.64,,"['Page 9:\n[¬s]""2.75""\n""2.45[¬e]""']",KG  2.75 1st Grade  2.45,,NA,NA,,NA,KG  23 1st Grade  26,,"['Page 9:\n[¬s]""9.32""\n""11.54[¬e]""']",KG  9.32 1st Grade  11.54,,"['Page 9:\n[¬s]""2.17""\n""2.77[¬e]""']",KG  2.17 1st Grade  2.77,,"['Page 9:\n[¬s]""10.36""\n""13.25[¬e]""']",KG  10.36 1st Grade  13.25,,"['Page 9:\n[¬s]""2.3""\n""2.59[¬e]""']",KG  2.3 1st Grade  2.59,,"['Page 9:\n[¬s]""1.04""\n""1.71[¬e]""']",KG  1.04 1st Grade  1.71,,"['Page 9:\n[¬s]""3.26""\n""2.73[¬e]""']",KG  3.26 1st Grade  2.73,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111679,Bochna (2006),2006,['Oral language interventions'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111474,Bonds (1987),1987,['Oral language interventions'],NA,['Yes'],NA,NA,,"['Page 24:\n[¬s]""EXPERIMENTAL 45[¬e]""']",45,,NA,NA,,NA,NA,,"['Page 24:\n[¬s]""EXPERIMENTAL""\n""574.37[¬e]""']",574.37,,"['Page 24:\n[¬s]""EXPERIMENTAL""\n"" 47.23[¬e]""']",47.23,,NA,NA,,NA,NA,,NA,NA,,"['Page 24:\n[¬s]""CONTROL 42[¬e]""']",42,,NA,NA,,NA,NA,,"['Page 24:\n[¬s]""CONTROL""\n"" 503.57[¬e]""']",503.57,,"['Page 24:\n[¬s]"" 91.19[¬e]""']",91.19,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
38111475,Bortnem (2005),2005,['Oral language interventions'],NA,['Yes'],NA,"The Peabody Picture Vocabulary Test-Ill (PPVT) has been used to compare pretest scores between Non-fiction and Fiction intervention to the control group (using Table 3), combined means were formed using the Campbell Calculator  https //handbook-5-1.cochrane.org/chapter_7/table_7_7_a_formulae_for_combining_groups.htm",,NA,29,,NA,58.897,,NA,16.251,,NA,68.106,,NA,16.771,,NA,NA,,NA,NA,,NA,NA,,NA,24,,NA,60.79,,NA,21.08,,NA,72.25,,NA,17.34,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
77945720,Bowyer‐Crane (2008),2008,['EY_Communication and language approaches'],NA,['Yes'],NA,NA,,NA,76,,NA,NA,,NA,NA,,NA,4.72,,NA,1.54,,NA,NA,,NA,NA,,NA,NA,,NA,76,,NA,NA,,NA,NA,,NA,5.11,,NA,1.86,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38111680,Box (1993),1993,['Oral language interventions'],NA,['Yes'],NA,Early School Inventory - Print Concepts (data entered from thesis.pdf which could not be highlighted  Treatment vs Control ,,NA,23,,NA,9.21,,NA,NA,,NA,15.20,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,23,,NA,7.87,,NA,NA,,NA,10.70,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38111478,Brooks (2006),2006,['Oral language interventions'],NA,['Yes'],NA,NA,,"['Page 52:\n[¬s]""categorized receiving storybook readings with explicit instruction of target words (n=28),[¬e]""']",28,,NA,NA,,NA,NA,,"['Page 53:\n[¬s]""Means and Standard Deviations of Vocabulary Knowledge by Instruction Instruction Posttest Scores M SD Explicit Instruction 18.03 2.91 Nonexplicit Instruction 16.43 3.29 Control 15.76 3.05[¬e]""']",18.03,,"['Page 53:\n[¬s]""Table 1 Means and Standard Deviations of Vocabulary Knowledge by Instruction Instruction Posttest Scores M SD Explicit Instruction 18.03 2.91 Nonexplicit Instruction 16.43 3.29 Control 15.76 3.05[¬e]""']",2.91,,NA,NA,,NA,NA,,NA,NA,,"['Page 18:\n[¬s]""and a control group that participated in phonics games.[¬e]""', 'Page 52:\n[¬s]""those who 39[¬e]""', 'Page 53:\n[¬s]""participated in phonics activities (n=21).[¬e]""']",21,,NA,NA,,NA,NA,,"['Page 53:\n[¬s]""Table 1 Means and Standard Deviations of Vocabulary Knowledge by Instruction Instruction Posttest Scores M SD Explicit Instruction 18.03 2.91 Nonexplicit Instruction 16.43 3.29 Control 15.76 3.05[¬e]""']",15.76,,"['Page 53:\n[¬s]""Table 1 Means and Standard Deviations of Vocabulary Knowledge by Instruction Instruction Posttest Scores M SD Explicit Instruction 18.03 2.91 Nonexplicit Instruction 16.43 3.29 Control 15.76 3.05[¬e]""']",3.05,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
