id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,int_name_ht,int_name_info,int_name_CLEAN,int_desc_ht,int_desc_info,int_desc_CLEAN,int_objec_ht,int_objec_info,int_objec_CLEAN,int_prov_raw,int_prov_ht,int_prov_info,int_prov_CLEAN,int_training_raw,int_training_ht,int_training_info,int_training_CLEAN,int_part_raw,int_part_ht,int_part_info,int_part_CLEAN,int_approach_raw,int_approach_ht,int_approach_info,int_approach_CLEAN,digit_tech_raw,digit_tech_ht,digit_tech_info,digital_tech_CLEAN,parent_partic_raw,parent_partic_ht,parent_partic_info,parent_partic_CLEAN,int_when_raw,int_when_ht,int_when_info,int_when_CLEAN,int_who_raw,int_who_ht,int_who_info,int_who_CLEAN,int_dur_ht,int_dur_info,int_dur_CLEAN,int_freq_ht,int_freq_info,int_freq_CLEAN,int_leng_ht,int_leng_info,int_leng_CLEAN,int_fidel_raw,int_fidel_ht,int_fidel_info,int_fidel_CLEAN,int_cost_raw,int_cost_ht,int_cost_info,int_cost_CLEAN,out_eval_raw,out_eval_ht,out_eval_info,out_eval_CLEAN,eef_eval_raw,eef_eval_CLEAN,base_diff_raw,base_diff_ht,base_diff_info,base_diff_CLEAN,comp_anal_raw,comp_anal_ht,comp_anal_info,comp_anal_CLEAN,comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_rep_CLEAN,comp_var_raw,comp_var_ht,comp_var_info,comp_var_CLEAN,clust_anal_raw,clust_anal_ht,clust_anal_info,clust_anal_CLEAN
67322407,Arnold (2002),2002,NA,NA,,"['Page 1:\n[¬s]""Accelerating Math Development[¬e]""']",NA,,"['Page 3:\n[¬s]""o incorporate math into the regular classroom routine. The activities were designed to be fun""\n""Teachers chose from a wide\nvariety ofsuggested math-relevant activities, adapted these, or created their\nown.""\n""e structured\naround specific times of the day, with an initial 3-week unit for circle time,\nand then a second unit with 3 weeks of activities for small groups and for\ntransitions and meal times (circle-time activities were continued as de-\nsired). Teachers were asked to implement at least one activity each day\nduring the first unit, and two transition and mealtime activities and one\nsmall-group activity per day during the second unit""\n""n activity book with a total of85\nchoices""\n""books, music, games, discussions, and\ngroup projects""\n""counting, recognizing and writing numbers,\none-to-one correspondence, comparison, change operations, and under-\nstanding numbers and quantit""\n""University of Chicago School Mathematics Project[¬e]""', 'Page 4:\n[¬s]""finding objects that are bigger and smaller than the children, creating bar\ngraphs with pictures of each child (e.g., of eye color), adding circles to a\ncaterpillar based on dice rolls, and partner-matching based on paired\npaper-strip lengths or dot numbers[¬e]""']",NA,,"['Page 1:\n[¬s]""promote emergent math skills and\nmath interest in preschool-aged children[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 4:\n[¬s]""Teacher training involved one 2-hr meeting prior to the start of the\nintervention.[¬e]""']",NA,,"['Students', 'Teachers']",NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,6,,"['Page 1:\n[¬s]""daily routine[¬e]""']",5,,NA,10,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],NA,NA,,['Yes'],"['Page 5:\n[¬s]""ANCOVA) with\npretest scores as a covariate[¬e]""']",NA,,['Yes'],NA,NA,,['Educational attainment'],NA,NA,,['No'],NA,NA,
67322408,Aunio (2005),2005,NA,NA,,"['Page 4:\n[¬s]""Let’s think! programme[¬e]""', 'Page 5:\n[¬s]""The Maths! programme[¬e]""']",NA,,"['Page 4:\n[¬s]""concrete preparation, cognitive conflict, metacognition, bridging and (social) construction""\n""Concrete preparation refers to the fact that the terms need to\nbe established before particular problems are tackled. Cognitive conflict is based on\nthe idea of Jean Piaget (1896–1980) that thinking develops in response to cognitive\nchallenge, hence experiences that are puzzling to a child, which cannot be easily\nexplained using existing schemata, can stimulate the development of more powerful\nschemata. Reflection on the process of problem-solving is essential for the develop-\nment of metacognition.[¬e]""', 'Page 5:\n[¬s]""both aim to support the metacognitive abilities of children by focusing their attention\non the ways in which they solve problems. Secondly, the idea of the zone of proximal\ndevelopment is embedded in them both[¬e]""']",NA,,"['Page 2:\n[¬s]""enhancing the level of preschoolers’ number sense[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Unclear/ Not specified'],NA,NA,,"['Students', 'Teachers']",NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 2:\n[¬s]""nine months[¬e]""']",9,,NA,2,,NA,30,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 7:\n[¬s]""Table 1[¬e]""']",NA,,['Yes'],"['Page 10:\n[¬s]""we calculated gain scores[¬e]""']",NA,,['Yes'],NA,NA,,"['Educational attainment', 'Other (please specify)']","['Page 10:\n[¬s]""ANCOVA, with the intelligence\nquotient as a covariate[¬e]""']",IQ,,['No'],NA,NA,
67322409,Baroody (2009),2009,NA,NA,,"['Page 14:\n[¬s]""Mental-arithmetic task[¬e]""']",NA,,"['Page 15:\n[¬s]""The computer presented items as a si- multaneous visual and auditory display (e.g.,3+1 along with “Three cookies and one more cookie is?”""\n""(0 + 2,0+3,1\n+0,2+0,and3+0""\n""(1 + 1,1+2,1+3,2+1,and3+1""\n""0 + 4,4+0,1+4,and4+1""\n""2 + 4,3+3,4+2,2–0,2–2,3–0,3–2,4–0,4–1,4–2,and4–3[¬e]""']",NA,,"['Page 2:\n[¬s]""number sense""\n""pre-kindergarten[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 12:\n[¬s]""two, four, two, and two 3-hour training sessions on\nTest of Early Mathematics Ability–Third Edition (TEMA-3) testing, core training,\nmental-arithmetic testing, and mental-arithmetic training[¬e]""']",NA,,"['Students', 'Teachers']",NA,NA,,['One to one'],NA,NA,,['Yes'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Research staff'],"['Page 12:\n[¬s]""one male and seven female academic professionals\nand three female and three male research assistants[¬e]""']",NA,,NA,36,,NA,5,,NA,10,,['No implementation details provided.'],NA,NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['Yes'],NA,analysis compares gains,,['Yes'],NA,NA,,['Educational attainment'],NA,NA,,['No'],NA,NA,
67322410,Casey (2008),2008,NA,NA,,"['Page 14:\n[¬s]""TheStorytelling+ BlockBuilding Intervention[¬e]""']",NA,,"['Page 14:\n[¬s]""supplementary lessons consisted of three introductory non-block spatial activities followed by four block building activities (along with the standard mathematics curriculum). Teachers were given the story and block building activities from a book entitled, Sneeze Builds a Castle (Casey, Paugh, & Ballard, 2002), along with an accompanying poster and puppet""\n""before each lesson, by having the\nchildren sit down, one behind the other, holding on, and imagining that they\nwere riding on the back of Sneeze, the dragon puppet""\n""who then pretended to ﬂy\nthem back in time—to the Time of the Castles""\n""It seems that when helping to construct model components[¬e]""', 'Page 15:\n[¬s]""of a new castle complex for the King and Queen of Middle Land, Sneeze had\naccidentally knocked down the wooden block models of each part of the castle.\nSneeze was worried about how she could rebuild them, until she realized that she\ncould ask the children of\nand block building.[¬e]""']",NA,,"['Page 2:\n[¬s]""develop spatial-\nreasoning skills in kindergartners[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 12:\n[¬s]""Prior to the beginning of the\nproject, teachers in the intervention conditions were given a brief training session\nin a two-hour meeting on how to implement the lessons; the instructional materials\nwere designed to be mainly self-explanatory for the teachers[¬e]""']",NA,,"['Students', 'Teachers']",NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 15:\n[¬s]""6–8 weeks to complete the interventions[¬e]""']",7,,"['Page 15:\n[¬s]""once a week[¬e]""']",1,,NA,30,,['Qualitative'],"['Page 12:\n[¬s]""?delity of the\nimplementations for the two types of interventions, a member of the research\nteam observed and videotaped 2–3 small groups for each activity within each\nintervention classroom.""\n""The measure of ﬁdelity across the four activities for each\nteacher included 12 criteria, based on the main objectives[¬e]""']",NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 30:\n[¬s]""TABLE 2[¬e]""', 'Page 31:\n[¬s]""Analyses ofthePre-TestPerformance[¬e]""']",NA,,['Yes'],"['Page 31:\n[¬s]""pre-test Block Design\nscore, and pre-test mental rotation score as covariates and their post-test coun-\nterparts as dependent measures[¬e]""']",NA,,['Yes'],"['Page 31:\n[¬s]""pre-test Block Design\nscore, and pre-test mental rotation score as covariates and their post-test coun-\nterparts as dependent measures[¬e]""']",NA,,['Educational attainment'],NA,NA,,['No'],NA,NA,
67322411,Chard (2008),2008,NA,NA,,"['Page 2:\n[¬s]""Early Learning in Mathematics (ELM) Program[¬e]""']",NA,,"['Page 4:\n[¬s]""s one hundred lesson""\n""30-minute lesso""\n""es multiple activ-\nities across four strands: numbers and operations,\ngeometry, measurement, and vocabular""\n""h counting along a\nnumber line, ordering the numerals, and identifying\nnumerals with finger representati""\n""Children each select a shape and then discuss with part-\nners how their shape is the ""same"" as and/or ""different""\nfrom their partner\'s. Children then identify possible\nways to group the shapes and make different sort[¬e]""']",NA,,"['Page 1:\n[¬s]""build on young children\'s early\nunderstanding of mathemati[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 5:\n[¬s]""Classroom teachers participated in a half-day profes-\nsional development session at the beginning of the\nschool year and prior to implementation of the ELM\nprogram[¬e]""']",NA,,"['Students', 'Teachers']",NA,NA,,['Large group/class teaching (+6)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,38,,"['Page 7:\n[¬s]""four days per week[¬e]""']",4,,"['Page 7:\n[¬s]""30 minutes daily[¬e]""']",30,,['Qualitative'],"['Page 8:\n[¬s]"". Teachers reported on teacher logs that\nthey completed the majority of the 100 lessons in the\nELM and were able to complete most of the activities in\neach lesso[¬e]""']",NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 6:\n[¬s]""Table 1[¬e]""']",NA,,['Yes'],"['Page 5:\n[¬s]""mixed-model analysis of covariance (ANCOVA) with\npretest scores as covariate[¬e]""']",NA,,['Yes'],NA,NA,,['Educational attainment'],NA,NA,,['Yes'],NA,NA,
67322380,Ciancio (2001),2001,NA,NA,,"['Page 9:\n[¬s]""oddity games[¬e]""']",NA,,"['Page 9:\n[¬s]""children met in trios with college students for about 15 min every school day""\n""each trio played the preliminary classifica-\ntion and seriation games until proficient in them, then the learning set oddity games until\nproficient, then the learning set seriation games until mid-May[¬e]""']",NA,,"['Page 1:\n[¬s]""numeracy[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Unclear/ Not specified'],NA,NA,,"['Students', 'Teachers']",NA,NA,,['Small group/intensive support (3-5)'],NA,trios,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Research staff'],"['Page 9:\n[¬s]""college students[¬e]""']",NA,,"['Page 9:\n[¬s]""mid-May""\n""mid-January[¬e]""']",20,,"['Page 9:\n[¬s]""every school day[¬e]""']",5,,"['Page 9:\n[¬s]""15 min[¬e]""']",15,,['Qualitative'],"['Page 6:\n[¬s]""Hence, there is reason to believe that all the children had roughly similar experiences in\ntheir respective classrooms[¬e]""']",NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],"['Page 6:\n[¬s]""Fall\nscores on a preschool readiness measure were unavailable because of program confidenti-\nality policies[¬e]""']",NA,,['No'],NA,this study reports results only in analysis of differences in post-test between conditions- this seem to be due to data protection preventing access to prior attainment and no planned pretesting,,['N/A'],NA,NA,,NA,NA,NA,,['No'],NA,NA,
67322412,Clarke (2011),2011,NA,NA,,"['Page 6:\n[¬s]""Early Learning in Mathematics\nELM[¬e]""']",NA,,"['Page 6:\n[¬s]""a comprehensive mathematics curriculum speciﬁcally designed to support a\nwide range of learners in kindergarten classrooms. The program consists of 120 45-\nminute lessons, with supplemental 15-minute calendar activities. Every ﬁfth lesson\ncomprises a whole-class problem-solving activity. On average, lessons contain four\nto ﬁve activities, each of which focuses on one of three content areas or strands:\nnumber and operations, measurement, and geometry. A fourth stand, vocabulary, is\nimbedded across the three content strands and is designed to increase the amount of\nmath discourse and use of critical mathematics vocabulary.[¬e]""']",NA,,"['Page 6:\n[¬s]""ELM was constructed around two main principles that speciﬁcally target at-risk\nstudents. First, it was designed to cover the most essential mathematics knowledge\nkindergarten children need to develop. Second, it includes the use ofresearch-based\ninstructional design principles found to be effective with at-risk students in mathe-\nmatics. Together, these two components were hypothesized to speciﬁcally target the\nlearning needs of at-risk students.[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 11:\n[¬s]""Treatment teachers received three 4-hour ELM cur-\nriculum trainings throughout the school year (fall, winter, and spring) led by the lead\nauthor of the curriculum, a math teacher-educator from the University of Oregon.[¬e]""']",NA,,['Students'],NA,NA,,"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,NA,36,,NA,NA,,NA,45,,['Quantitative'],NA,see table 2,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],NA,NA,,['Yes'],NA,NA,,['Yes'],NA,NA,,"['Educational attainment', 'Gender', 'Socio-economic status', 'Special educational needs', 'Other (please specify)']",NA,"age, first language",,['Yes'],NA,NA,
67961475,Clarke (2016),2016,NA,NA,,"['Page 7:\n[¬s]""ROOTS[¬e]""']",NA,,"['Page 7:\n[¬s]""50-lesson""\n""designed to build students’\nproﬁciency with critical concepts and skills of whole numbers""\n""20-minute, small-group sessions, ﬁve days per week for\napproximately 10 weeks""\n""support students who struggle with mathematics in\ndeveloping procedural ﬂuency with and conceptual understanding of whole-number con-\ncepts""\n""focused whole-number content[¬e]""', 'Page 8:\n[¬s]""Compare two numbers between 1 and 10 presented as written numerals""\n""example, by using objects or drawings, and record each decomposition by a\ndrawing or equation (e.g., 5 D 2 C 3 and 5 D 4 C 1).[¬e]""']",NA,,"['Page 7:\n[¬s]""support students who struggle with mathematics in\ndeveloping procedural ﬂuency with and conceptual understanding of whole-number con-\ncepts[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 11:\n[¬s]""Participating interventionists attended two ﬁve-hour professional development workshops\nfocused on the ROOTS intervention. The initial workshop targeted the instructional objec-\ntives of Lessons 1–25, whole-number concepts[¬e]""']",NA,,"['Students', 'Teachers']",NA,NA,,['Small group/intensive support (3-5)'],NA,NA,,['No'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Research staff'],"['Page 5:\n[¬s]""Interventionists[¬e]""']",NA,,"['Page 7:\n[¬s]""10 weeks[¬e]""']",10,,"['Page 7:\n[¬s]""ﬁve days per week[¬e]""']",5,,"['Page 7:\n[¬s]""20-minute[¬e]""']",20,,['Qualitative'],"['Page 12:\n[¬s]""Trained research staff observed each ROOTS group three times across the intervention time\nperiod. Observations were used to gauge implementation ﬁdelity or the extent to which\ninterventionists implemented the intervention as intended. The ﬁdelity measure focused on\nfour features of implementation adherence, including the extent to which ROOTS interven-\ntionists: (a) delivered the prescribed number of activities in the observed lesson, (b) met the\nobserved lesson’s instructional objectives, (c) followed the teacher scripting, and (d) used the\nprescribed mathematics models[¬e]""']",NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 17:\n[¬s]""12.58[¬e]""']",NA,,['Yes'],NA,NA,,['Yes'],"['Page 18:\n[¬s]""differences between conditions at pretest\n(condition effect), gains across time, and the interaction between the two. We found no sta-\ntistically signiﬁcant differences at pretest (p > .30 for all measures), which suggested that stu-\ndents were similar in the fall of kindergarten.[¬e]""']",NA,,['Educational attainment'],NA,NA,,['Yes'],"['Page 15:\n[¬s]""we tested an\nadditional set of models that extended those discussed above to account for clustering within\nclassrooms or schools.[¬e]""']",NA,
67322413,Clements (2007),2007,NA,NA,,"['Page 2:\n[¬s]""Building Blo[¬e]""']",NA,,"['Page 13:\n[¬s]""The Building Blocks curriculum has gone through several iterations, the final one\n(Clements & Sarama, 2007) includes a teacher\'s edition, including daily whole- and\nsmall-group activities and games, free-choice learning centers, and ideas for inte-\ngrating mathematics throughout the school day; computer software; and books, game\nsheets, and manipulatives. The Building Blocks Pre-K software includes 11 activity\nsets or scenarios, each including between two and six activities. For example,[¬e]""', 'Page 15:\n[¬s]""""Pizza Pizzazz"" scenario includes activities on recognizing and comparing number,\ncounting, and arithmetic. In the first three activities, children match pizzas with the\nsame number of toppings (early number recognition and comparing), create a\npizza with the same number of toppings as a given pizza (counting to produce a\nset), and create a pizza that has a given number of toppings given only a numeral\n(counting to produce a set that matches a numeral). Later activities in that setting\ninvolve addition (see the third column for Nonverbal Addition and Find Change in\nFigure 1). T[¬e]""']",NA,,"['Page 9:\n[¬s]""was to describe the degree to which the materials developed\nspecific mathematics concepts and[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Unclear/ Not specified'],NA,NA,,['Students'],NA,NA,,"['Large group/class teaching (+6)', 'Small group/intensive support (3-5)']",NA,NA,,['Yes'],NA,NA,,['No'],NA,NA,,['During regular school hours '],NA,NA,,['Class teachers'],NA,NA,,"['Page 16:\n[¬s]""r the 25\nschool weeks between pretesting and posttes[¬e]""']",25,,NA,3,,NA,NA,,['Qualitative'],"['Page 12:\n[¬s]""the other hand, obser-\nvations of the class assured a close evaluation of, and a moderate (site 2) or high\n(site 1) degree of, implementation fidelity. That is, one or more staff members were\neasily available and the teacher occasionally asked them questions about the\ncurriculum; also, if any aspect of the implementation was faulty, staff discussed the\naspect with the teacher. The moderate implementation at site 2 was due to the avail-\nability of about 3 days per week for mathematics and the resulting use of most, but\nnot all, of the curriculum\'s components. That is, there was little use of ""every day""\nmathematics, such as discussion of mathematics during play. However, this was an\noptional component and, because all required activities were conducted, the overall\nimplementation was judged to be adequate.[¬e]""']",NA,,['No'],NA,NA,,['The developer'],NA,NA,,No,,['Yes'],"['Page 19:\n[¬s]""9.6[¬e]""']",NA,,['Yes'],"['Page 17:\n[¬s]""ial repeated measures a[¬e]""']",NA,,['Yes'],NA,NA,,['Educational attainment'],"['Page 18:\n[¬s]""main effects for time (p[¬e]""']",NA,,['No'],NA,NA,
67322414,Clements (2008) 1_1,2008,NA,NA,,"['Page 1:\n[¬s]""(Building Blocks[¬e]""']",NA,,"['Page 6:\n[¬s]""Building Blocks (experimental), was developed and evaluated using Phases 1 to 9 of the CRF (with the present study represent- ing Phase 10),""\n""It typically conducted small-group\nmathematics sessions once per week for 10 to 15 minutes per session per[¬e]""', 'Page 8:\n[¬s]""group of approximately 4 to 6 children and whole-group activities for 5 to\n15 minutes about four times per week. Children spent about 10 minutes in\ncomputer activities twice per week. In addition, letters describing the math-\nematics children were learning and family activities that support that learn-\ning were sent home each week. Building Blocks emphasizes use of learning\ntrajectories.[¬e]""']",NA,,"['Page 5:\n[¬s]""evaluating the effects of a complete preschool mathematics curriculum\non the mathematical knowledge[¬e]""']",NA,,['University/ researcher design'],NA,NA,,['Yes (Please specify)'],"['Page 20:\n[¬s]""We planned, in addition to direct training and practice\nwith the curricula, that intervention teachers would receive in-class coaching.\nTherefore, local teachers experienced in teaching the curriculum were trained\nto be coaches during the summer[¬e]""', 'Page 22:\n[¬s]""Teacher training and curriculum implementation. Teachers in both\nintervention groups received training, including 4 days and 2-hour\nrefresher classes once every other month. Both groups addressed the fol-\nlowing topics but always in the context of the specific curriculum to\nwhich they were assigned: supporting mathematical development in the\nclassroom, recognizing and supporting mathematics throughout the day,\nsetting up mathematics learning centers, teaching with computers\n(including use of the management system and research-based teaching\nstrategies), small-group activities, and supporting mathematical develop-\nment in the home.[¬e]""']",NA,,['Students'],NA,NA,,"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']","['Page 6:\n[¬s]""It typically conducted small-group\nmathematics sessions once per week for 10 to 15 minutes per session per[¬e]""', 'Page 8:\n[¬s]""group of approximately 4 to 6 children[¬e]""', 'Page 9:\n[¬s]""Small group 15 min/week[¬e]""', 'Page 8:\n[¬s]""and whole-group activities for 5 to\n15 minutes about four times per week. C[¬e]""', 'Page 9:\n[¬s]""Whole group 10-15 min 4/week[¬e]""']",NA,,['Yes'],"['Page 8:\n[¬s]""Children spent about 10 minutes in\ncomputer activities twice per week.[¬e]""', 'Page 9:\n[¬s]""Computer 10 min 2/week[¬e]""']",NA,,['Yes'],"['Page 8:\n[¬s]""Children spent about 10 minutes in\ncomputer activities twice per week.[¬e]""', 'Page 9:\n[¬s]""Computer 10 min 2/week[¬e]""']",NA,,NA,NA,NA,,NA,NA,NA,,"['Page 1:\n[¬s]""participating in 26 weeks of instruction in between[¬e]""']",26,,"['Page 6:\n[¬s]""It typically conducted small-group\nmathematics sessions once per week[¬e]""', 'Page 8:\n[¬s]""group of approximately 4 to 6 children and whole-group activities for 5 to 15 minutes about four times per week.""\n""Children spent about 10 minutes in\ncomputer activities twice per week[¬e]""']",5,,"['Page 6:\n[¬s]""for 10 to 15 minutes per session[¬e]""', 'Page 8:\n[¬s]""for 5 to\n15 minutes about four times per week.[¬e]""']",15,,['Quantitative'],"['Page 1:\n[¬s]""Observational measures indicated that the curricula were implemented with\nfidelity,[¬e]""']",NA,,NA,NA,NA,,['The developer'],NA,NA,,No,,['No/Unclear'],NA,NA,,['Yes'],NA,NA,,NA,NA,NA,,NA,NA,NA,,['Yes'],"['Page 28:\n[¬s]""Table 6\npresents the HLM analyses on these data[¬e]""']",NA,
