ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
67322407,['EY_Early numeracy approaches'],Arnold (2002),Arnold D H; Fisher P H; Doctoroff G L; Dobbs J ; ,2002,Accelerating math development in Head Start classrooms,Journal of Educational Psychology,NA,"Journal, Article","Teachers implemented a 6-week classroom intervention designed to promote emergent math skills and math interest in preschool-aged children. Teachers in experimental classrooms incorporated math-relevant activities into their daily routine during circle time, transitions, mealtime, and small-group activities. Control classrooms engaged in their typical activities. After the program, experimental children scored significantly higher than control children on a standardized test of math ability and enjoyed math activities more than the control children, as measured by both teacher and self-report. Teachers rated the program as highly satisfactory and reported that they increased their own enjoyment and skill in implementing math activities in their classrooms. The intervention effects were largely accounted for by substantial gains by boys, whereas girls showed much smaller program response.",94,4,762–770,https://doi.org/10.1037/0022-0663.94.4.762,https://psycnet.apa.org/record/2002-06506-010,NA,NA,NA
67322408,['EY_Early numeracy approaches'],Aunio (2005),Aunio Pirjo ; Hautamäki Jarkko ; Johannes E H Van Luit; ,2005,Mathematical thinking intervention programmes for preschool children with normal and low number sense,European Journal of Special Needs Education,NA,"Journal, Article","This study investigated the possibility of enhancing the level of preschoolers’ number sense by introducing two intervention programmes, Let’s think! and Young children with special educational needs count, too! .Forty‐five preschoolers, mean age 66.4 months, were randomly assigned to the experimental and control groups. The experimental group received instruction twice a week, for half an hour, and for a period of nine months. Pretest–postest comparison revealed that the experimental group showed enhanced number‐sense performance immediately after the instruction ended, but the between‐group difference faded after six months. There were no statistically significant differences between the groups in general mathematical thinking abilities (transfer tasks) after the intervention.",20,2,131–146,https://doi.org/10.1080/08856250500055578,https://www.tandfonline.com/doi/full/10.1080/08856250500055578,"Copyright Taylor and Francis Group, LLC",NA,NA
67322409,['EY_Early numeracy approaches'],Baroody (2009),Baroody Arthur J; Eiland Michael ; Thompson Bradley ; ,2009,Fostering at-risk preschoolers' number sense,Early Education and Development,NA,"Journal, Article","Research Findings  A 9-month study served to evaluate the effectiveness of a pre-kindergarten number sense curriculum. Phase 1 of the intervention involved manipulative-, game-based number sense instruction  Phase 2, computer-aided mental-arithmetic training with the simplest sums. Eighty 4- and 5-year-olds at risk for school failure were randomly assigned to (a) structured discovery of the n+0/0+n=n pattern and the n+1/1+n = the number after n relation  (b) structured discovery with explicit instruction  (c) blocked practice of (zero, one, and number-after) items  and (d) haphazard practice. Analyses with a Wilcoxon signed-rank test of follow-up Test of Early Mathematics Ability–Third Edition and mental-arithmetic testing indicated that general achievement and fluency with n+0/0+n combinations improved significantly. Significant improvement for n+1/1+n combinations was evident only if success included slow or counted answers. Practice or Policy  Theoretical, methodological, and educational implications are discussed, including the need to “score in context” (e.g., consider responses to other items).",20,1,80–128,https://doi.org/10.1080/10409280802206619,https://www.tandfonline.com/doi/full/10.1080/10409280802206619,NA,NA,"Copyright Taylor and Francis Group, LLC"
67322410,['EY_Early numeracy approaches'],Casey (2008),Casey Beth M; Andrews Nicole ; Schindler Holly ; Kersh Joanne E; Samper Alexandra ; Copley Juanita ; ,2008,The development of spatial skills through interventions involving block building activities,Cognition and Instruction,NA,"Journal, Article","This study investigated the use of block-building interventions to develop spatial-reasoning skills in kindergartners. Two intervention conditions and a control condition were included to determine, first, whether the block building activities themselves benefited children's spatial skills, and secondly, whether a story context further improved learning. Spatial measures included  spatial visualization, mental rotation, and block building. Results showed  for block building, interventions within a story context improved performance compared to the other two conditions. For spatial visualization, both types of block-building interventions improved performance compared to the control condition. Findings suggest  (1) storytelling provides an effective context for teaching spatial content, (2) teaching block building develops wider spatial skills, and (3) 3-dimensional mental rotation tasks show a male advantage in kindergartners.",26,3,269–309,https://doi.org/10.1080/07370000802177177,https://www.tandfonline.com/doi/full/10.1080/07370000802177177,NA,NA,NA
67322411,['EY_Early numeracy approaches'],Chard (2008),Chard David J; Baker Scott K; Clarke Ben ; Jungjohann Kathleen ; Davis Karen ; Smolkowski Keith ; ,2008,Preventing early mathematics difficulties: The feasibility of a rigorous kindergarten mathematics curriculum,Learning Disability Quarterly,NA,"Journal, Article","Concern about poor mathematics achievement in U.S. schools has increased in recent years. In part, poor achievement may be attributed to a lack of attention to early instruction and missed opportunities to build on young children's early understanding of mathematics. This study examined the development and feasibility testing of a kindergarten mathematics curriculum designed to focus on the development of early number sense, geometry, measurement, and mathematics vocabulary. A mixed-model analysis of covariance, using pretest score as a covariate, was used to determine the effect of the experimental curriculum on student achievement on a standardized measure of early mathematics. Achievement results as well as implementation fidelity and teacher satisfaction suggest that further empirical research on the efficacy of the curriculum is warranted.",31,1,11-20,https://doi.org/10.2307/30035522,https://journals.sagepub.com/doi/abs/10.2307/30035522,NA,NA,NA
67322380,['EY_Early numeracy approaches'],Ciancio (2001),Ciancio Dennis ; Rojas A Cristina; McMahon Kelly ; Pasnak Robert ; ,2001,Teaching oddity and insertion to Head Start children: An economical cognitive intervention,Journal of Applied Developmental Psychology,NA,"Journal, Article","Two interventions were offered to Head Start preschoolers. Half of the children played numerous learning set games designed to teach the children (1) the oddity principle and (2) how to insert objects into a series. Mastery of these concepts is theoretically an important aspect of school readiness. The other half of the children engaged in the I Can Problem Solve (ICPS) exercises, a program designed to increase the children's competency in recognizing and responding to other people's feelings. The children who played the learning set games became superior at oddity and insertions with manipulable objects, and generalized these games to workbook-like formats resembling those encountered in kindergarten. They also scored higher on the numeracy and memory scales of the McCarthy Scales of Children's Abilities, indicating that mastery of oddity and insertions may have served as foundations for further cognitive growth. The children who participated in the ICPS exercises became superior at creating solutions to interpersonal problems, as measured by the Preschoolers Interpersonal Problem Solving Scale. The differences in the outcomes indicate that both interventions were successful in their own domains. The advantage the cognitive intervention produced on the McCarthy Scales suggests that oddity and insertion abilities may be a foundation in fact as well as in theory for general cognitive growth at this age.",22,6,603-621,https://doi.org/10.1016/S0193-3973(01)00096-X,https://www.sciencedirect.com/science/article/abs/pii/S019339730100096X,NA,NA,NA
67322412,['EY_Early numeracy approaches'],Clarke (2011),Clarke Ben ; Smolkowski Keith ; Baker Scott K; Fine Hank ; Doabler Christian T; Chard David J; ,2011,The impact of a comprehensive Tier I core kindergarten program on the achievement of students at risk in mathematics,The Elementary School Journal,NA,"Journal, Article","This study examined the efficacy of a core kindergarten mathematics program, ELM, a 120-lesson comprehensive curriculum providing instruction in (a) number operations, (b) geometry, (c) measurement, and (d) vocabulary. ELM is designed to address the learning needs of all students, including at-risk students in the general education or Tier I classroom setting. The study utilized a randomized block design, with 64 classrooms randomly assigned within schools to treatment (ELM) or control (standard district practices) conditions. Measures of achievement were collected at pretest and posttest to measure student achievement. Students did not differ on mathematics assessments at pretest. Gain scores of at-risk treatment students were significantly greater than control peers, and the gains of at-risk treatment students were greater than the gains of peers not at risk, effectively reducing the achievement gap. Implications for Tier I instruction in a Response to Intervention (RTI) model are discussed.",111,4,NA,https://doi.org/10.1086/659033,https://www.journals.uchicago.edu/doi/abs/10.1086/659033,The University of Chicago. All rights reserved.,NA,NA
67961475,['EY_Early numeracy approaches'],Clarke (2016),Clarke B ; Doabler C ; Smolkowski K ; Nelson E K; Fien H ; Baker S K; Kosty D ; ,2016,Testing the immediate and long-term efficacy of a Tier 2 kindergarten mathematics intervention,Journal of Research on Educational Effectiveness,NA,"Journal, Article","This study examined the efficacy of a kindergarten mathematics intervention program, ROOTS, focused on developing whole-number understanding in the areas of counting and cardinality and operations and algebraic thinking for students at risk in mathematics. The study utilized a randomized block design with students within classrooms randomly assigned to treatment or control conditions. Measures of mathematics achievement were collected in the fall (pretest) and spring (posttest) in kindergarten and in the winter of first grade (delayed posttest). Significant differences between conditions favoring treatment students were found on four of six measures at posttest. Treatment students reduced the achievement gap with their not-at-risk peers. No effect was found on follow-up first-grade achievement scores. Implications for Tier 2 mathematics instruction in a Response to Intervention model are discussed.",9,4,607– 634.,https://doi.org/10.1080/19345747.2015.1116034,https://www.tandfonline.com/doi/full/10.1080/19345747.2015.1116034,NA,NA,NA
67322413,['EY_Early numeracy approaches'],Clements (2007),Clements Douglas H; Sarama Julie ; ,2007,Effects of a preschool mathematics curriculum: Summative research on the building blocks project,Journal for Research in Mathematics Education,NA,"Journal, Article","This study evaluated the efficacy of a preschool mathematics program based on a comprehensive model of developing research-based software and print curricula. Building Blocks, funded by the National Science Foundation, is a curriculum development project focused on creating research-based, technology-enhanced mathematics materials for pre-K through grade 2. In this article, we describe the underlying principles, development, and initial summative evaluation of the first set of resulting materials as they were used in classrooms with children at risk for later school failure. Experimental and comparison classrooms included two principal types of public preschool programs serving low-income families  state funded and Head Start prekindergarten programs. The experimental treatment group score increased significantly more than the comparison group score  achievement gains of the experimental group approached the sought-after 2-sigma effect of individual tutoring. This study contributes to research showing that focused early mathematical interventions help young children develop a foundation of informal mathematics knowledge, especially for children at risk for later school failure.",38,2,NA,https://doi.org/10.2307/30034954,https://pubs.nctm.org/view/journals/jrme/38/2/article-p136.xml,NA,NA,NA
67322414,['EY_Early numeracy approaches'],Clements (2008) 1_1,Clements Douglas H; Sarama Julie ; ,2008,Experimental evaluation of the effects of a research-based preschool mathematics curriculum,American Educational Research Journal,NA,"Journal, Article","A randomized-trials design was used to evaluate the effectiveness of a preschool mathematics program based on a comprehensive model of research-based curricula development. Thirty-six preschool classrooms were assigned to experimental (Building Blocks), comparison (a different preschool mathematics curriculum), or control conditions. Children were individually pre- and posttested, participating in 26 weeks of instruction in between. Observational measures indicated that the curricula were implemented with fidelity, and the experimental condition had significant positive effects on classrooms’ mathematics environment and teaching. The experimental group score increased significantly more than the comparison group score (effect size = 0.47) and the control group score (effect size = 1.07). Early interventions can increase the quality of the mathematics environment and help preschoolers develop a foundation of mathematics knowledge.",45,2,443-494,https://doi.org/10.310/0002831207312908,https://journals.sagepub.com/doi/abs/10.3102/0002831207312908,NA,NA,NA
