id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
71101036,Alper (1979) 1_1,1979,['Extending school time'],NA,,167,"['Page 40:\n[¬s]""Nine groups of\ntwelve children each were assigned to the Extended Day Kindergarten\nexperimental treatment and nine matched groups of children were\nassigned to the non-extended day control condition.[¬e]""', 'Page 40:\n[¬s]""The twelve lowest achieving students in a l l treatment groups\nwere selected to participate in the experiment. There were eighty-one\nstudents in the to ta l experimental group and eighty-six students in\nthe control group.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 55:\n[¬s]""There were eighty-one students in\nthe to ta l experimental group[¬e]""']",81,,"['Page 55:\n[¬s]""eighty-six students in the total\ncontrol group.[¬e]""']",86,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,
74577986,Alper (1979) 1_2,1979,['Extending school time'],NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 56:\n[¬s]""There were seventeen students in the experi\xad\nmental group[¬e]""']",17,,"['Page 56:\n[¬s]""twenty-two students in the control group fo r this\nfacet of the study.[¬e]""']",22,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,
71101075,Baldus (2001),2001,NA,NA,,56,NA,,['Mixed gender'],NA,NA,,NA,NA,,NA,"['Page 50:\n[¬s]""These schools qualified for Title I services based on the number of students receiving free and reduced lunch.""\n""School A had an[¬e]""', 'Page 51:\n[¬s]""average of 100 students per year receiving free and reduced lunch from\n1996 to 1999 and School B had an average of 94 students receiving free\nand reduced lunch during the same time period.[¬e]""']",,NA,NA,,NA,28,,"['Page 72:\n[¬s]""Table 2. Group Characteristics[¬e]""']",28,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71101037,Basketta (2005),2005,NA,NA,,228,"['Page 6:\n[¬s]""The participants\nconsisted of 228 kindergarten children[¬e]""']",,['Mixed gender'],NA,NA,,NA,NA,,NA,"['Page 6:\n[¬s]""Auburn is an ‘Enti-\ntlement Community’, qualifying it for Federal Block grants, and the average rate of\nfree or reduced fare lunch in the elementary schools is 43%.[¬e]""']",,NA,NA,,"['Page 6:\n[¬s]""The 119 children from full-day kindergarten[¬e]""']",119,,"['Page 6:\n[¬s]""109 children\nfrom the half-day kindergarten class were comprised of a convenience sample d[¬e]""']",109,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71101038,Bower (1985),1985,NA,NA,,58,NA,,['Mixed gender'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 52:\n[¬s]""32[¬e]""']",32,,"['Page 52:\n[¬s]""26[¬e]""']",26,,NA,NA,,NA,NA,,NA,32,,NA,26,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71101076,Bowman (1992),1992,['Early years intervention'],NA,,188,"['Page 76:\n[¬s]""The original groups\ncontained approximately 140 children enrolled in full-day\nprekindergarten and subseguent full-day kindergarten and 120\nchildren enrolled in half-day prekindergarten and subsequent\nhalf-day kindergarten. When the data were gathered in Fall\n1991, when both groups were in third grade, the group sizes\nhad decreased to 100 and 88 pupils, respectively.[¬e]""']",,['Mixed gender'],"['Page 116:\n[¬s]""Results of Chi-Sauare Test on Gender of the Samole Grouns[¬e]""']","44 (full day), 51.14 (half day)",,NA,NA,,NA,"['Page 21:\n[¬s]""The socio-economic range of\nboth districts ranged from children of welfare parents to\nmiddle-class professionals.[¬e]""']",,NA,NA,,"['Page 76:\n[¬s]""The original groups\ncontained approximately 140 children enrolled in full-day\nprekindergarten and subseguent full-day kindergarten and 120\nchildren enrolled in half-day prekindergarten and subsequent\nhalf-day kindergarten. When the data were gathered in Fall\n1991, when both groups were in third grade, the group sizes\nhad decreased to 100 and 88 pupils, respectively.[¬e]""']",100,,"['Page 76:\n[¬s]""The original groups\ncontained approximately 140 children enrolled in full-day\nprekindergarten and subseguent full-day kindergarten and 120\nchildren enrolled in half-day prekindergarten and subsequent\nhalf-day kindergarten. When the data were gathered in Fall\n1991, when both groups were in third grade, the group sizes\nhad decreased to 100 and 88 pupils, respectively.[¬e]""']",88,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71101102,Coco-Burden (1982),1982,NA,NA,,342,"['Page 44:\n[¬s]""The total number of subjects tested was 342[¬e]""']",,['Mixed gender'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 44:\n[¬s]""120.""\n""21""\n""91.[¬e]""']",112,,"['Page 44:\n[¬s]""36 half-day children""\n""half-day kindergarten programs from which 74[¬e]""']",110,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71101040,da Costa (2000),2000,NA,NA,,27,NA,,['Mixed gender'],NA,NA,,53,"['Page 6:\n[¬s]""Fifty-three percent of households sending children to Fox Elementary School earned less\nthan $15,000[¬e]""']",,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""16[¬e]""']",16,,"['Page 5:\n[¬s]""11[¬e]""']",11,,NA,NA,,NA,NA,,NA,16,,NA,11,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""21 to a low of 20 at Fox Elementary""\n""20 to a low of 14 at Eagle Elementary[¬e]""']",NA,,NA,30%,,NA,30,
71101041,da Costa (2001),2001,NA,NA,,83,"['Page 5:\n[¬s]""17),\nFalcon Elementary School (n = 15), and at Hawk Elementary School (n = 41[¬e]""']",,['Mixed gender'],NA,NA,,53,"['Page 7:\n[¬s]""Fifty-\nthree percent of households sending children to Fox Elementary School earned less than $15,000[¬e]""']",,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""Eagle Elementary School (n = 17),\nFalcon Elementary School (n = 15)[¬e]""']",32,,"['Page 5:\n[¬s]""Hawk Elementary School (n = 41)[¬e]""']",41,,NA,NA,,NA,NA,,NA,42,,NA,41,,NA,NA,,NA,NA,,['Yes'],NA,25,,NA,25,,NA,25,
40117246,DeCicca (2007),2007,['Extending school time'],NA,,8164,"['Page 8:\n[¬s]"" produces an analysis sample of 8599 children, of whom 5785 are white, 1583 are black and 1231 are Hispanic. As previously mentioned, I estimate models with and without school-level covariates. Without the school-level characteristics, complete case analysis yields a sample of 7303, which includes 5075 white, 1216 black and 1012 Hispanic children. With the school-level covariates included, the corresponding sample size drops to 5734, including 4189 white, 861 black and 684 Hispanic children. Most of the reduction in sample size is due to missing informa- tion on household income and school characteris- tics. 9 To understand the potential sensitivity of my results to the impact of missing data, I include separate binary indicators for those individuals with missing information on these covariates. 10 This increases sample size to 8164, which includes 5559 white, 1445 black and 1160 Hispanic children. These numbers represent 96 percent (5559 of 5785), 91 percent (1445 of 1583) and 94 percent (1160 of 1231) of the white, black and Hispanic analysis samples, respectively.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 5:\n[¬s]""2615""\n""1122""\n""552[¬e]""']",4289,,"['Page 5:\n[¬s]""2944""\n""323""\n""608[¬e]""']",3875,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""2615""\n""1122""\n""552[¬e]""']",4289,,"['Page 5:\n[¬s]""2944""\n""323""\n""608[¬e]""']",3875,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0%,
