id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
74671364,Baumer (2005),2005,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090268,Bierman (2015),2015,NA,NA,['Yes'],"['Page 8:\n[¬s]""Vocabulary[¬e]""']",NA,,NA,95,,"['Page 8:\n[¬s]""41.31[¬e]""']",41.31,,"['Page 8:\n[¬s]""(11.09[¬e]""']",11.09,,"['Page 8:\n[¬s]""56.04[¬e]""']",56.04,,"['Page 8:\n[¬s]""13.11[¬e]""']",13.11,,NA,NA,,NA,NA,,NA,NA,,NA,105,,"['Page 8:\n[¬s]""40.50[¬e]""']",40.50,,"['Page 8:\n[¬s]""11.39[¬e]""']",11.39,,"['Page 8:\n[¬s]""53.38[¬e]""']",53.38,,"['Page 8:\n[¬s]""(12.03[¬e]""']",12.03,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090269,Bleses (2020),2020,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090272,Casey (2008) 1_1,2008,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74577994,Casey (2008) 1_2,2008,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090274,Christie (1983),1983,NA,NA,['Yes'],"['Page 5:\n[¬s]""ppyjb[¬e]""']",NA,,NA,10,,"['Page 5:\n[¬s]""68.1[¬e]""']",68.1,,"['Page 5:\n[¬s]""16.3[¬e]""']",16.3,,"['Page 5:\n[¬s]""80.2[¬e]""']",80.2,,NA,18.1,,NA,NA,,NA,NA,,NA,NA,,NA,10,,"['Page 5:\n[¬s]""66.1[¬e]""']",66.1,,"['Page 5:\n[¬s]""13.2[¬e]""']",13.2,,"['Page 5:\n[¬s]""77.4[¬e]""']",77.4,,"['Page 5:\n[¬s]""19.7[¬e]""']",19.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""Delayed[¬e]""']",NA,
71090275,Cohrssen (2019),2019,NA,NA,['Yes'],NA,NA,,NA,22,,"['Page 11:\n[¬s]""−.05[¬e]""']",-.05,,"['Page 11:\n[¬s]""(1.03)[¬e]""']",1.03,,"['Page 11:\n[¬s]"".28[¬e]""']",.28,,"['Page 11:\n[¬s]""(1.04)[¬e]""']",1.04,,NA,NA,,NA,NA,,NA,NA,,NA,38,,"['Page 11:\n[¬s]"".15[¬e]""']",.15,,"['Page 11:\n[¬s]""(.88)[¬e]""']",.88,,"['Page 11:\n[¬s]"".01[¬e]""']",.01,,"['Page 11:\n[¬s]""(.80)[¬e]""']",.80,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090278,Dejonckheere (2016),2016,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090280,Dickinson (2019),2019,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090283,Fisher (2011) 1_1,2011,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
74578000,Fisher (2011) 1_2,2011,NA,NA,['Yes'],"['Page 85:\n[¬s]""Experiment 3: Mean percent of shapes (SD) accepted across exemplar type for\nshape knowledge tasks during Time 1 and Time 2\nShape Sorting Task\nTypical Atypical Non-valid\nTime 1\nGuided Play\nDidactic\nInstruction\nEnriched\nFree Play\nTime 2\nGuided Play\nDidactic\nInstruction\nEnriched\nFree Play\n.92 (.20) .80 (.31)\n.72 (.22) .42 (.30)\n.50 (.28) .11 (.19)\n.08 (.15)\n.18 (.16)\n.09 (.16)\n.76 (.16)\n.54 (.23)\n.56 (.21)\n.67 (.27)\n.50 (.25)\n.32 (.22)\n.96 (.10) .79 (.25)\n.71 (.25) .34 (.30)\n.53 (.19) .14 (.20)\n.14 (.19)\n.09 (.10)\n.07 (.14)\n.58 (.20)\n.53 (.23)\n.52 (.25)\n.65 (.26)\n.43 (.23)\n.30 (.19)\nEmbedded Shapes Task\nTypical\nAtypical[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
71090284,Fisher (2013) 1_1,2013,NA,NA,['Yes'],"['Page 5:\n[¬s]""Guided play .85 (.25) .87 (.27)\n.60 (.35) .65 (.38)\nDidactic\ninstruction\nFree play\nDidactic\n.55 (.36) .68 (.38)\nAtypical exemplars\nGuided play .68 (.38) .70 (.42)\n.43 (.43) .33 (.42)\ninstruction\nFree play\nDidactic\n.10 (.22) .22 (.31)\nNonvalid exemplars\nGuided play .18 (.27) .16 (.19)\n.14 (.27) .19 (.25)\ninstruction\nFree play\nFigure 2. Mean percent of shapes accepted during Time 1 and\nTime 2 in shape-sorting task.\n.10 (.17) .06 (.14)\n.92 (.21)\n.67 (.34)\n.40 (.41)\n.77 (.38)\n.33 (.42)\n.17 (.28)\n.16 (.22)\n.19 (.28)\n.10 (.17)\n.85 (.28)\n.68 (.38)\n.52 (.33)\n.67 (.36)\n.38 (.36)\n.17 (.32)\n.15 (.19)\n.23 (.28)\n.11 (.25)[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74578001,Fisher (2013) 1_2,2013,NA,NA,['Yes'],"['Page 5:\n[¬s]""Guided play .85 (.25) .87 (.27)\n.60 (.35) .65 (.38)\nDidactic\ninstruction\nFree play\nDidactic\n.55 (.36) .68 (.38)\nAtypical exemplars\nGuided play .68 (.38) .70 (.42)\n.43 (.43) .33 (.42)\ninstruction\nFree play\nDidactic\n.10 (.22) .22 (.31)\nNonvalid exemplars\nGuided play .18 (.27) .16 (.19)\n.14 (.27) .19 (.25)\ninstruction\nFree play\nFigure 2. Mean percent of shapes accepted during Time 1 and\nTime 2 in shape-sorting task.\n.10 (.17) .06 (.14)\n.92 (.21)\n.67 (.34)\n.40 (.41)\n.77 (.38)\n.33 (.42)\n.17 (.28)\n.16 (.22)\n.19 (.28)\n.10 (.17)\n.85 (.28)\n.68 (.38)\n.52 (.33)\n.67 (.36)\n.38 (.36)\n.17 (.32)\n.15 ([¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
71090288,Han (2010),2010,NA,NA,['Yes'],NA,NA,,NA,24,,NA,8.28,,NA,NA,,NA,12.16,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,25,,NA,6.71,,NA,NA,,NA,14.08,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
