id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
74671364,Baumer (2005),2005,NA,NA,,38,"['Page 5:\n[¬s]""The participants in the experimental group included the entire class, 20 children,""\n""The participants in the control group also included an entire class, 18 children,[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""13 girls and 7\nboys:""\n"", 9 girls and 9\nboys:[¬e]""']",57.89 ,,50,"['Page 5:\n[¬s]""50% of the students qualify for free or reduced-cost lunch.[¬e]""']",,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""The participants in the experimental group included the entire class, 20 children,[¬e]""']",20,,"['Page 5:\n[¬s]""The participants in the control group also included an entire class, 18 children[¬e]""']",18,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""Because of high mobility in the school, we did not obtain post-test measures for 3 of the 20\nchildren in the experimental group (15%),and6ofthe 18 children in the control group (33%)[¬e]""']",NA,,NA,15,,NA,NA,
71090268,Bierman (2015),2015,NA,NA,,200,"['Page 4:\n[¬s]""Participants included 200 children""\n""and par-\nents[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""Participants included 200 children (55% Euro-\npean American, 26% African American, 19% Latino;\n56% male), age 4.45 years old (SD = 0.29), and par-\nents (39% single; 54% unemployed; median annual\nfamily income = $18,000).[¬e]""']",44,,NA,NA,,NA,"['Page 4:\n[¬s]""54% unemployed; median annual\nfamily income = $18,000).[¬e]""']",,NA,NA,,"['Page 4:\n[¬s]""(n = 95 for REDI-\nP intervention group[¬e]""']",95,,"['Page 4:\n[¬s]""n = 105 for the compar-\nison group[¬e]""']",105,,NA,NA,,NA,NA,,NA,95,,NA,105,,NA,NA,,NA,NA,,['Yes'],"['Page 4:\n[¬s]""Attrition before the\nend of kindergarten was quite low, with posttest\nkindergarten data missing for only eight families\n(4% of the sample).[¬e]""']",NA,,NA,NA,,NA,NA,
71090269,Bleses (2020),2020,NA,NA,,1116,NA,,['Mixed gender'],NA,49,,NA,NA,,"Information about parental education, employment and living arrangements (i.e. single parents, married, cohabiting) provided in Table 1 (page 4).",NA,,NA,NA,,NA,766,,NA,742,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,"['Page 4:\n[¬s]""Thus, the attrition rates were 30% (treatment group) and 22%\n(control group), however, these attrition rates are not signiﬁcantly\ndifferent when we adjust for clustering at the childcare center level\n(p = 0.091), so no differential attrition could be detected[¬e]""']",30,,NA,26,
71090272,Casey (2008) 1_1,2008,NA,NA,,100,"['Page 11:\n[¬s]""One hundred kindergarten student[¬e]""']",,['No information provided'],NA,NA,,NA,"['Page 11:\n[¬s]""Seventy-three percent of students\nin this school system qualiﬁed for free or reduced priced meals in 2006–2007\n(Massachusetts Department of Education, 2008).[¬e]""']",,NA,NA,,NA,NA,,NA,36,,NA,41,,NA,NA,,NA,NA,,NA,29,,NA,36,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74577994,Casey (2008) 1_2,2008,NA,NA,,100,"['Page 11:\n[¬s]""One hundred kindergarten students[¬e]""']",,['No information provided'],NA,NA,,NA,"['Page 11:\n[¬s]""Seventy-three percent of students\nin this school system qualiﬁed for free or reduced priced meals in 2006–2007\n(Massachusetts Department of Education, 2008)[¬e]""']",,NA,NA,,NA,NA,,NA,35,,NA,36,,NA,NA,,NA,NA,,NA,35,,NA,36,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71090274,Christie (1983),1983,NA,NA,,20,"['Page 3:\n[¬s]""Twenty children,[¬e]""']",,['No information provided'],NA,NA,,85,"['Page 3:\n[¬s]""These 17 subjects were from predominantly\nlow income families. Mo[¬e]""']",,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""h treatment group\nhad ten subjects, f[¬e]""']",10,,"['Page 3:\n[¬s]""ch treatment group\nhad ten subjects, f[¬e]""']",10,,NA,NA,,NA,NA,,NA,10,,NA,10,,NA,NA,,NA,NA,,['No'],"['Page 3:\n[¬s]""Three subjects moved away before the delayed\nposttest was completed, l[¬e]""']",Only during delayed post test,,NA,NA,,NA,NA,
71090275,Cohrssen (2019),2019,NA,NA,,60,"['Page 6:\n[¬s]""Seventy-nine children attending one ofthe four preschool programmes were assessed at\nt1.[¬e]""', 'Page 6:\n[¬s]""Seventy-nine children[¬e]""', 'Page 8:\n[¬s]""1) children in Room 4 whose\nteacher applied the complete intervention (the immediate intervention group; N= 22), and\n(2) children in Rooms 1 and 2 whose educators did not receive the NT Math Games at all\n(the delayed intervention group; N= 38).[¬e]""']",,['Mixed gender'],"['Page 6:\n[¬s]""Girls (58.2%) outnumbered boys (41.8%) in the sample at t1,[¬e]""', 'Page 6:\n[¬s]""Girls (58.2%) outnumbered boys (41.8%)[¬e]""']",58.2,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 8:\n[¬s]""(the immediate intervention group; N= 22)[¬e]""']",22,,"['Page 8:\n[¬s]""(the delayed intervention group; N= 38[¬e]""']",38,,NA,NA,,NA,NA,,NA,22,,NA,38,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71090278,Dejonckheere (2016),2016,NA,NA,,57,"['Page 4:\n[¬s]""Fifty-seven children[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""31 were boys and 26 were girls.[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""intervention group (27 children[¬e]""']",27,,"['Page 4:\n[¬s]""control group (30 children[¬e]""']",30,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
71090280,Dickinson (2019),2019,NA,NA,,222,"['Page 8:\n[¬s]""138 children participated in the R + P condition and 84 participated in the RO\ncondition.[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""Across\nphases and conditions, approximately 52% of children were female,[¬e]""', 'Page 8:\n[¬s]""Across\nphases and conditions, approximately 52% of children were female[¬e]""']",52,,100,"['Page 7:\n[¬s]""All classrooms served low-income popu-\nlations.[¬e]""']",,NA,NA,,NA,NA,,NA,138,,NA,84,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 8:\n[¬s]""In the fall, consent forms were obtained for 234 children across both sites. Seven\nchildren withdrew from the study before data collection, and 17 were excluded from\nanalyses based on developmental delays. Thus, the ﬁnal sample of children who partici-\npated in the fall phase was 129 children in the R + P condition and 81 children in the RO\ncondition (see online supplemental Figure 1 for the study consort chart).[¬e]""']",NA,,NA,10,,NA,10,
71090284,Fisher (2013) 1_1,2013,NA,NA,,40,"['Page 2:\n[¬s]""60 children for data analysis. Children were pre-\ndominantly Caucasian and upper middle-class, and\ndivided equally among three conditions: guided\nplay (Mage = 56.77 months, SD = 6.09; 10 males),\ndidactic instruction (Mage = 57.11, SD = 6.77; 11\nmales), and free play (Mage = 55.83, SD = 5.91; 10\nmale children).[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""Children were pre-\ndominantly Caucasian and upper middle-class, and\ndivided equally among three conditions: guided\nplay (Mage = 56.77 months, SD = 6.09; 10 males),\ndidactic instruction (Mage = 57.11, SD = 6.77; 11\nmales), and free play (Mage = 55.83, SD = 5.91; 10\nmale children).[¬e]""']",55.71,,NA,NA,,NA,"['Page 2:\n[¬s]""Children were pre-\ndominantly Caucasian and upper middle-class[¬e]""']",,NA,NA,,"['Page 2:\n[¬s]""Data from 10 children were discarded due\nto inattentiveness (e.g., did not ﬁxate on task during\ntraining or left training area; 5 children), inability\nto count (3), and experimenter error (2), leaving\n60 children for data analysis. Children were pre-\ndominantly Caucasian and upper middle-class, and\ndivided equally among three conditions: guided\nplay (Mage = 56.77 months, SD = 6.09; 10 males),\ndidactic instruction (Mage = 57.11, SD = 6.77; 11\nmales), and free play (Mage = 55.83, SD = 5.91; 10\nmale children).[¬e]""']",20,,NA,20,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
