id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
78361735,Battaglia (2019),2019,"['Physical activity', 'EY_Physical development approaches']",NA,['Yes'],NA,NA,,NA,90,,NA,3.3,,NA,2.73,,NA,2.6,,NA,2.83,,NA,NA,,NA,NA,,NA,NA,,NA,29,,NA,3.7,,NA,2.50,,NA,3.6,,NA,2.73,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
77945718,Becker (2014),2014,['EY_Physical development approaches'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
78361737,Bedard (2020),2020,['Physical activity'],NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
52131591,Callcott (2015),2015,['Physical activity'],NA,['Yes'],NA,NA,,"['Page 7:\n[¬s]""65""\n""Literacy[¬e]""']",65,,"['Page 7:\n[¬s]""5 90.37[¬e]""']",90.37,,"['Page 7:\n[¬s]""(25.79)[¬e]""']",25.79,,"['Page 7:\n[¬s]""109.34[¬e]""']",109.34,,"['Page 7:\n[¬s]""14.05[¬e]""']",14.05,,"['Page 7:\n[¬s]""19.17[¬e]""']",19.17,,"['Page 7:\n[¬s]""(21.53[¬e]""']",21.53,,NA,NA,,"['Page 7:\n[¬s]""78""\n""Control[¬e]""']",78,,"['Page 7:\n[¬s]""91.33[¬e]""']",91.33,,"['Page 7:\n[¬s]""(21.84)[¬e]""']",21.84,,"['Page 7:\n[¬s]""105.45[¬e]""']",105.45,,"['Page 7:\n[¬s]""13.56)[¬e]""']",13.56,,"['Page 7:\n[¬s]""14.46[¬e]""']",14.46,,"['Page 7:\n[¬s]""(20.85)[¬e]""']",20.85,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
52131597,Elofsson (2018),2018,['Physical activity'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
52131607,Kirk (2014),2014,"['Physical activity', 'EY_Play-based learning']",NA,['Yes'],NA,NA,,NA,51,,"['Page 6:\n[¬s]""0.3[¬e]""']",0.3,,NA,NA,,"['Page 6:\n[¬s]""1.0[¬e]""']",1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,21,,"['Page 6:\n[¬s]""0.3[¬e]""']",0.3,,NA,NA,,"['Page 6:\n[¬s]""0.5[¬e]""']",0.5,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 6:\n[¬s]""Alliteration (letters sounds/two min) signiﬁcantly improved\nfrom baseline to 3 and 6 months at the intervention pre-\nschool compared to no signiﬁcant changes at the control\npreschool, resulting in between group differences at 3 and\n6 months, p\\0.01 (Table 2).[¬e]""']",NA,
52131608,Kirk (2016),2016,"['Physical activity', 'EY_Physical development approaches']",NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
52131682,Lazroe (1968),1968,"['Physical activity', 'EY_Physical development approaches']",NA,['Yes'],NA,NA,,"['Page 94:\n[¬s]""173[¬e]""']",173,,"['Page 93:\n[¬s]""40.94[¬e]""']",40.94,,"['Page 93:\n[¬s]""19.78[¬e]""']",19.78,,"['Page 93:\n[¬s]""51.12[¬e]""']",51.12,,"['Page 93:\n[¬s]""21.02[¬e]""']",21.02,,NA,NA,,NA,NA,,NA,NA,,"['Page 94:\n[¬s]""173[¬e]""']",173,,"['Page 93:\n[¬s]""43.26[¬e]""']",43.26,,"['Page 93:\n[¬s]""23.00[¬e]""']",23,,"['Page 93:\n[¬s]""50.40[¬e]""']",50.4,,"['Page 93:\n[¬s]""23.00[¬e]""']",23,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
52131739,Mavilidi (2015),2015,['EY_Physical development approaches'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
52131616,Mavilidi (2016) 1_1,2016,"['Physical activity', 'EY_Physical development approaches']",NA,['No'],"['Page 5:\n[¬s]""children performed\nbetter at the immediate posttest compared to the delayed\nposttest. In addition, there was a signiﬁcant eﬀect of condi-\ntion on the test scores, F(1, 84)= 13.11, p≤ .001, η2\np = .24.\nTable 1 shows the mean scores ofperformance at the imme-\ndiate and delayed test as a function of condition. However,\nthe interaction between time of testing and condition was\nnot signiﬁcant, F(2, 84)< 1, p= .804[¬e]""']",NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""Delayed (0–24)\nIntegrated condition\nNonintegrated condition\nControl condition""\n""15.14 (4.02)\n13.62 (4.35)\n10.23 (4.38[¬e]""']",NA,
