id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
55203411,Aral (2011),2011,NA,NA,['Yes'],NA,NA,,NA,68,,NA,92.53,,NA,20.51,,NA,103.18,,NA,15.35,,NA,NA,,NA,NA,,NA,NA,,NA,94.41,,NA,94.19,,NA,20.41,,NA,104.62,,NA,21.37,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
42025413,Baker (1998) 1_1,1998,['Parental engagement'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 1:\n[¬s]""and One Year Later""\n""were assessed at baseline, at the end of the\nprogram, and one year later.[¬e]""', 'Page 9:\n[¬s]""One Year Follow-Up Posttest Data Collection. Children\'s school perfor-\nmance during the first grade year was assessed through school records (N = 144).\nAt the beginning of second grade, teachers rated children\'s adaptation to the class-\nroom (N = 152).[¬e]""']",NA,
42024853,Barkley (2000),2000,['Parental engagement'],NA,['Yes'],NA,WJ Achievement Test - Academic Skills - PT Only vs Control,,"['Page 4:\n[¬s]""parent training only (PT, Nl39)[¬e]""']",39,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""98.4[¬e]""']",98.4,,"['Page 10:\n[¬s]""11.3[¬e]""']",11.3,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""no-treatment control (Nl42)[¬e]""']",42,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""95.2[¬e]""']",95.2,,"['Page 10:\n[¬s]""14.3[¬e]""']",14.3,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,['No'],NA,NA,,NA,93,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,244,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
73032950,Bekman (2004),2004,['Parental engagement'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 15:\n[¬s]""In these analyses, the dependent variable was the final score obtained 1 year after\nthe termination of the program.[¬e]""']",NA,
42025142,Bertram Von Lossberg (1974),1974,['Parental engagement'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
42025212,Bertram Von Lossberg (1974),1974,['Parental engagement'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
42024854,Beveridge (1981),1981,['Parental engagement'],NA,['Yes'],NA,Grp2+Grp3 (treatment) Grp1+Grp4 (control),,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a t[¬e]""']",20,,"['Page 7:\n[¬s]""20.8\n8.75""\n""21.0[¬e]""']",20.900 ,,"['Page 7:\n[¬s]""8.75""\n""9.10[¬e]""']",8.689 ,,"['Page 7:\n[¬s]""31.8""\n""30.2[¬e]""']",31.000 ,,"['Page 7:\n[¬s]""8.96""\n""9.55[¬e]""']",9.050 ,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20,,"['Page 7:\n[¬s]""21.2""\n""21.3[¬e]""']",21.250 ,,"['Page 7:\n[¬s]""8.65""\n""7.77[¬e]""']",8.003 ,,"['Page 7:\n[¬s]""27.8""\n""25.8[¬e]""']",26.800 ,,"['Page 7:\n[¬s]""9.90""\n""7.92[¬e]""']",8.786 ,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 1:\n[¬s]""Results of an immediate\npost-test and another 18 months later showed that both the groups whose parents\nparticipated in the PAP showed significantly greater increase in language developmen[¬e]""', 'Page 4:\n[¬s]""EPVT, once\nimmediately after the intervention period and then again 18 months later[¬e]""']",18 months,
67335215,Boyle (2006),2006,['Parental engagement'],NA,['Yes'],NA,NA,,"['Page 39:\n[¬s]""6""\n""10[¬e]""']",16,,"['Page 47:\n[¬s]""35.06[¬e]""']",35.06,,"['Page 47:\n[¬s]""33.27[¬e]""']",33.27,,"['Page 47:\n[¬s]""46.00[¬e]""']",46.00,,"['Page 47:\n[¬s]""39.25[¬e]""']",39.25,,NA,NA,,NA,NA,,NA,NA,,"['Page 39:\n[¬s]""6""\n""5[¬e]""']",11,,"['Page 47:\n[¬s]""23.36[¬e]""']",23.36,,"['Page 47:\n[¬s]""25.61[¬e]""']",25.61,,"['Page 47:\n[¬s]""27.45[¬e]""']",27.45,,"['Page 47:\n[¬s]""30.36[¬e]""']",30.36,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
47269778,Brickman (2002) PE,2002,['Parental engagement'],NA,['Yes'],NA,NA,,NA,14,,"['Page 89:\n[¬s]""58.14[¬e]""']",58.14,,NA,11.24,,"['Page 89:\n[¬s]""62.43[¬e]""']",62.43,,"['Page 89:\n[¬s]""(20.14)[¬e]""']",20.14,,"['Page 89:\n[¬s]""4.29[¬e]""']",4.29,,"['Page 89:\n[¬s]""(18.94)[¬e]""']",18.94,,NA,NA,,NA,17,,"['Page 89:\n[¬s]""56.47[¬e]""']",56.47,,"['Page 89:\n[¬s]""(15.61)[¬e]""']",15.61,,NA,56.53,,"['Page 89:\n[¬s]""(15.65)[¬e]""']",15.65,,"['Page 89:\n[¬s]"".06[¬e]""']",0.06,,"['Page 89:\n[¬s]""06\n(10.89[¬e]""']",10.89,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
