id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
55203411,Aral (2011),2011,NA,NA,,208,"['Page 3:\n[¬s]""There were 104 parents who\nvolunteered to participate in the parent education program and their children\nwere assigned to the experimental group, while another 104 randomly selected\nparents who stated that they would not be able to participate because of their\nwork commitments but who agreed to provide data for the study were assigned,\nalong with their children, to the control group.[¬e]""']",,['Mixed gender'],"['Page 3:\n[¬s]"". The parents of children aged from 60 to 72 months[¬e]""', 'Page 4:\n[¬s]""he ratio\nof girls to boys in the experimental and control groups was similar;[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,104,,NA,104,,NA,NA,,NA,NA,,"['Page 1:\n[¬s]""xperimental group: 68 children,[¬e]""']",68,,"['Page 1:\n[¬s]""control group: 68 children[¬e]""']",68,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,35%,,NA,35%,
42025413,Baker (1998) 1_1,1998,"['Parental engagement', 'EY_Parental engagement']",NA,,182,"['Page 1:\n[¬s]""One hundred and eighty-two low-income families (84 in\nHIPPY and 98 in the control group) were assessed at baseline, at the end of the\nprogram, and one year later.[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""Table 1. Sample Characteristics at Baseline[¬e]""']",46,,28.7,"['Page 8:\n[¬s]""One third of the families reported that public assistance was their primary source of income. Fam- ilies were evenly divided between single parents and couples. As can be seen, a substantial proportion (28% to 41%) of the families had educations beyond high school. Despite this educational advantage, many families did not speak English as their primary language (n = 63, 34.6%).""\n""Table 1. Sample Characteristics at Baseline""\n""Education of adult:\nLess than high school\nHigh School\nMore than high school\nHousehold composition:\nSingle adult alone\nSingle adult with family\nCouple alone\nCouple with extended family\n% Public assistance as primary income:\n% Girls:\nAge of child in months\nBaseline score on CPI:\n35%\n24%\n41%\n32%\n14%\n43%\n11%\n38%\n49%\n58(3.1)\n43.7(11)\n28%\n44%\n28%\n25%\n13%\n47%\n16%\n28%\n59%\n59(3.4)\n40.5(9.7)[¬e]""']",,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""HIPPY\nn = 37[¬e]""']",37,,"['Page 8:\n[¬s]""Control\nn = 32[¬e]""']",32,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 11:\n[¬s]""A threat to internal validity was self-selected attrition from the study. The sam- ple at baseline included 182 families. Attrition ranged from 12.1% to 21%, depending upon data collection session. Although attrition in this study was well within the norm for the field, we still needed to ask if the HIPPY and control sam- ples available for posttesting were similar. Therefore, for each data collection session, the HIPPY and control samples with posttest data were compared on age of child, gender of child, ethnicity of adult, level of education of adult, family structure, source of income, and CPI baseline scores. Cohorts were also compared. Results revealed no differences related to attrition.""\n""Attrition from the Program\nWe also were concerned with attrition from the HIPPY program.""\n""Not all families who began the\nHIPPY program completed all 60 activity packets. Thus, it was necessary to deter-\nmine how much of the HIPPY program the families who were posttested had\nreceived. For these analyses, the amount of HIPPY received was coded as the\nhighest activity packet (from 0 to 60). 27.6% of the families who started the pro-[¬e]""', 'Page 12:\n[¬s]""gram received less than half of the program (1-30 packets). 22.4% of the families\nwho started the program received between half and three quarters of the program\n(31--45 packets). 50% of the families who started the program received between\nthree quarters and all of the program (45-60 packets).[¬e]""']",they describe attrition in terms of % of the program completed -  see highlighted section - rather than drop out of the program,,"['Page 11:\n[¬s]""Thus, it was necessary to deter-\nmine how much of the HIPPY program the families who were posttested had\nreceived. For these analyses, the amount of HIPPY received was coded as the\nhighest activity packet (from 0 to 60). 27.6% of the families who started the pro-[¬e]""', 'Page 12:\n[¬s]""gram received less than half of the program (1-30 packets). 22.4% of the families\nwho started the program received between half and three quarters of the program\n(31--45 packets). 50% of the families who started the program received between\nthree quarters and all of the program (45-60 packets).[¬e]""']",not specified,,NA,NA,
74577989,Baker (1998) 1_2,1998,"['Parental engagement', 'EY_Parental engagement']",NA,,113,"['Page 8:\n[¬s]""Cohort II""\n""HIPPY\nn = 47""\n""Control\nn = 66[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""% Girls:""\n""49%""\n""n = 37""\n""n = 32""\n""59%""\n""n = 47""\n""36%""\n""n = 66""\n""46% ns[¬e]""', 'Page 8:\n[¬s]""Table 1. Sample Characteristics at Baseline[¬e]""']",41.6,,25.66,"['Page 8:\n[¬s]""% Public assistance as primary income:""\n""34%""\n""20% ns""\n""Control\nn = 66""\n""HIPPY\nn = 47[¬e]""']",,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""HIPPY\nn = 47[¬e]""']",47,,"['Page 8:\n[¬s]""Control\nn = 66[¬e]""']",66,,NA,NA,,NA,NA,,NA,47,,NA,66,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 11:\n[¬s]""A threat to internal validity was self-selected attrition from the study. The sam-\nple at baseline included 182 families. Attrition ranged from 12.1% to 21%,\ndepending upon data collection session[¬e]""']",NA,,NA,NA,,NA,NA,
42024853,Barkley (2000),2000,['Parental engagement'],NA,,158,NA,,['Mixed gender'],"['Page 4:\n[¬s]""Randomi-\nzation within gender was done to insure that relatively equal\nnumbers of each sex were assigned to each treatment group.\nThere were 23 boys and 19 girls in the no-treatment group, 29\nboys and 10 girls in the PT group, 27 boys and 10 girls in the\nSTC group, and 26 boys and 14 girls in the combined group.[¬e]""']",33,,NA,"['Page 3:\n[¬s]""drawn\nfrom an urban school district predominated by low-\nincome families.[¬e]""']",,Table 1 on page 325 provides the parents' social class according to Hollingshead scale,NA,,NA,NA,,"['Page 4:\n[¬s]""(2) parent training only (PT, Nl39)[¬e]""']",39,,"['Page 3:\n[¬s]""no-treatment control (Nl42),[¬e]""']",42,,"['Page 4:\n[¬s]""(3) special treatment\nclassroom only (STC, Nl37),[¬e]""']",37 ,,"['Page 4:\n[¬s]""(4) parent training com-\nbined with special classroom (combined, Nl40)[¬e]""']",40,,"['Page 4:\n[¬s]""parent training only (PT, Nl39)[¬e]""']",39,,"['Page 3:\n[¬s]""no-treatment control (Nl42)[¬e]""']",42,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,,337,"['Page 191:\n[¬s]""368 total N number\n252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""', 'Page 191:\n[¬s]""368 total N number\n252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""', 'Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the\nLCSD Kindergarten Readiness Screening (93 children) received treatment in the\nprogram. Those children, who scored above the cut point on the LCSD\nKindergarten Readiness Screening (244 children) were placed in the comparison\ngroup.[¬e]""']",,['No information provided'],NA,NA,,62,"['Page 192:\n[¬s]""62% of participants were on free and reduced lunch[¬e]""']",,NA,NA,,NA,NA,,"['Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the LCSD Kindergarten Readiness Screening (93 children) received treatment in the program.""\n""The sample in this study was limited to children who entered\nkindergarten in the LCSD during the 2003-2004 school year.[¬e]""']",93,,"['Page 38:\n[¬s]""Those children, who scored above the cut point on the LCSD Kindergarten Readiness Screening (244 children) were placed in the comparison group.""\n""The sample in this study was limited to children who entered\nkindergarten in the LCSD during the 2003-2004 school year.[¬e]""']",244,,NA,NA,,NA,NA,,NA,93,,NA,244,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
73032950,Bekman (2004),2004,['Parental engagement'],NA,,217,"['Page 9:\n[¬s]""There were 92 experimental and 85 control mother–child pairs in the follow-up study.""\n""There were 102 experimental and 115 control mother–child\npairs in the study.[¬e]""']",,['Mixed gender'],"['Page 10:\n[¬s]""98 were girls and 125 boys.[¬e]""']",44,,NA,NA,,NA,"['Page 10:\n[¬s]""The education level of the sample was\ngenerally low, as can be expected from a low-income group. A majority of both the mothers\nand fathers were elementary school graduates (mothers 66%, fathers 50%). Most of the\nfamilies had two children (52%) and lived in apartment houses with 2 or 3 rooms (60.4%).\nThe households had either four (48%) or five people (45%). Nearly all the mothers (92%)\nwere housewives. More than half of the fathers were semi-skilled (27%) or skilled (28%)\nworkers.[¬e]""']",,NA,NA,,"['Page 9:\n[¬s]""There were 102 experimental a[¬e]""']",102,,"['Page 9:\n[¬s]""115 control mother–child\npairs in the study.[¬e]""']",115,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 9:\n[¬s]""Most of the original study sample referred to above was reached in the second phase of the\nstudy that investigated initial school success. From the original sample, all children who\nstarted school were included in the follow-up research. Twenty-five children had not started\nschool, 13 families could not be reached, and 3 dropped out of the study. There were 92\nexperimental and 85 control mother–child pairs in the follow-up study.[¬e]""']",41,,"['Page 9:\n[¬s]""There were 102 experimental and 115 control mother–child\npairs in the study.""\n""There were 92\nexperimental and 85 control mother–child pairs in the follow-up study.[¬e]""']",9.8,,"['Page 9:\n[¬s]""There were 102 experimental and 115 control mother–child\npairs in the study.""\n""Twenty-five children had not started\nschool, 13 families could not be reached, and 3 dropped out of the study. There were 92\nexperimental and 85 control mother–child pairs in the follow-up study.[¬e]""']",18.43,
42025142,Bertram Von Lossberg (1974),1974,['Parental engagement'],NA,,16,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,27,,NA,13,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,58%,,NA,60%,
42025212,Bertram Von Lossberg (1974),1974,['Parental engagement'],NA,,16,"['Page 53:\n[¬s]""popul.ation of fort,. bOJ\'S[¬e]""']",,['Male only'],NA,NA,,NA,NA,,NA,"['Page 44:\n[¬s]""Fam ilies i n the a re a were cha ra c te r\xad\nized as lower-middle c la s s by the School P r in c ip a l .[¬e]""']",,NA,NA,,NA,27,,NA,13,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,58,,NA,60,
42024854,Beveridge (1981),1981,['Parental engagement'],NA,,40,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10[¬e]""', 'Page 4:\n[¬s]""All 40 children were post-tested[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""20 boys and 20 girls[¬e]""']",50,,NA,NA,,NA,"['Page 3:\n[¬s]""The school’s catchment area is mainly inhabited by unskilled working class\nfamilies of the Registrar General’s Social Class V. The surrounding property is a\nvast sprawling estate built also in the early 1930s and was one of Manchester’s first\nhousing complexes. As a Social Priority Area, it has many of the problems which\ndemand considerable attention by the social services. This area was recently quoted\nas having the highest crime rate throughout the whole of Europe, and offenders are\nsaid to be becoming younger. Psychiatric illness is relatively common, and many\nmothers were treated for depression and neurotic symptoms. Some of the mothers\nhad made suicide attempts. Yet those parents who participated in the project, and\nmany others who wished to become involved, showed a real concern for their children\nand wished a better future for them[¬e]""']",,NA,NA,,"['Page 3:\n[¬s]""group 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20 ,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20 ,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a t[¬e]""']",20,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20,,NA,NA,,NA,NA,,['No'],NA,"no attrition for the post-test,  1 child per group attrition in the follow-up",,NA,NA,,NA,NA,
67335215,Boyle (2006),2006,"['EY_Early literacy approaches', 'Parental engagement', 'EY_Parental engagement']",NA,,27,"['Page 37:\n[¬s]""Twenty-\nseven children[¬e]""']",,['Mixed gender'],"['Page 38:\n[¬s]""Fifteen o f the children were\nfemale (55.6%)[¬e]""']",55.6,,NA,NA,,NA,"['Page 36:\n[¬s]""Head Start is one\ntype o f early intervention designed to ameliorate or reduce risk o f poverty on future academic\nachievement with the program focus on child well-being and development, and a new\nemphasis on literacy skills and knowledge development.[¬e]""', 'Page 37:\n[¬s]""children enrolled in Head Start programs in Baltimore City and their\nparents/caregivers initially enrolled in the study[¬e]""']",,NA,NA,,"['Page 39:\n[¬s]""6""\n""10[¬e]""']",16,,"['Page 39:\n[¬s]""6""\n""5[¬e]""']",11,,NA,NA,,NA,NA,,"['Page 39:\n[¬s]""6""\n""10[¬e]""']",16,,"['Page 39:\n[¬s]""6""\n""5[¬e]""']",11,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 37:\n[¬s]""Five more parents and their children dropped out prior to the posttesting.""\n""Results are reported for\nonly the 27 children completing the study.[¬e]""']",Provided with whole sample attrition but not by group (intervention/ control),,NA,0,,"['Page 37:\n[¬s]""Five more parents and their children dropped out prior to the posttesting.""\n""Results are reported for\nonly the 27 children completing the study.[¬e]""']",16.625,
