id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
55203411,Aral (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic/Cognitive Skills,['Writing and spelling primary outcome.'],Secondary outcome(s),Receptive/Expressive Language Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025413,Baker (1998) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading - MAT,['Mathematics primary outcome'],Secondary outcome(s),Maths (MAT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577989,Baker (1998) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT (Reading),['Other outcome'],Secondary outcome(s),MAT (Mathematics),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024853,Barkley (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ Academic Skills (PT vs Control),['Other outcome'],Secondary outcome(s),WJ Letter ID,['Science primary outcome'],Secondary outcome(s),WJ Science (PT vs Control),['Other outcome'],Secondary outcome(s),WJ Social Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059739,Beach (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032950,Bekman (2004),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Passing Grades,['Reading primary outcome'],Secondary outcome(s),Post-test Pre-literacy score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025212,Bertram Von Lossberg (1974),['Other outcome'],Secondary outcome(s),Naming Letters,['Other outcome'],Secondary outcome(s),Isolated Words,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Words in Context,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024854,Beveridge (1981),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,EPVT : language - Parental Engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67335215,Boyle (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PALS-PreK,['Other outcome'],Secondary outcome(s),PALS-PreK adjusted by Parent self-reading time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269778,Brickman (2002) PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test ,['Other outcome'],Secondary outcome(s),Concept About Print Test,['Other outcome'],Secondary outcome(s),Mean Length of Utterance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203417,Cadieux (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement,['Other outcome'],Secondary outcome(s),Phonological Awareness,['Other outcome'],Secondary outcome(s),OLSAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577995,Chacko (2017) PE,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Pre School Language Scale (Auditory),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203372,Chao (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Receptive Language,['Other outcome'],Secondary outcome(s),Expressive Language,['Other outcome'],Secondary outcome(s),Spoken Language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74577996,Cheung (2017) PE,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Rote Counting,['Other outcome'],Secondary outcome(s),Number Identification,['Other outcome'],Secondary outcome(s),Addition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025488,Chow (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPCLS posttest Dialogic v control,['Other outcome'],Secondary outcome(s),PPVT Posttest Dialogic v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025489,Chow (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Chinese character recognition (DR vs Control),['Other outcome'],Secondary outcome(s),Cantonese receptive vocabulary test (DR vs Control),['Other outcome'],Secondary outcome(s),Morpheme identification task (DR vs Control),['Other outcome'],Secondary outcome(s),Morphological Construction Task (DR vs Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025415,Crain-Thoreson (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,EOWPVT-R,['Other outcome'],Secondary outcome(s),PPVT-R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048252,Davis (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Texas Reading Primary Inventory: School Home Links,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025417,DeBaryshe (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TERA-3  - Emergent Reading,['Other outcome'],Secondary outcome(s),Expressive 1-Word Vocab. – vocabulary,['Other outcome'],Secondary outcome(s),TERA-3 -Reading vs Maths,NA,Secondary outcome(s),Expressive 1-Word Vocab. – vocabulary vs Maths ,['Other outcome'],Secondary outcome(s),Emergent writing,['Other outcome'],Secondary outcome(s),Pre-School Phonol. Awareness - Phonemic awareness,['Other outcome'],Secondary outcome(s),Pre-School - Phonemic awareness vs Maths,['Writing and spelling primary outcome.'],Secondary outcome(s),Emergent writing - vs Maths,NA,NA,NA,NA,NA,NA
42024828,Donachy (1976),['Other outcome'],Primary outcome,Reynell:  Expres. - Parental Engagm.,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reynell: Compreh. - Parental Engagm.,['Other outcome'],Secondary outcome(s),EPVT - Parental Engagm.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032952,Dulay (2019) 1_1,['Other outcome'],Secondary outcome(s),Numeral identification; numeracy coaching,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Object counting; numeracy coaching,['Other outcome'],Secondary outcome(s),Rote counting; numeracy coaching,['Other outcome'],Secondary outcome(s),Missing number; numeracy coaching,['Other outcome'],Secondary outcome(s),Numerical magnitude comparison; numeracy coaching,['Other outcome'],Secondary outcome(s),Addition; numeracy coaching,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032953,Dulay (2019) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Book vocabulary: dialogic reading ,['Other outcome'],Secondary outcome(s),Receptive vocabulary: dialogic reading ,['Other outcome'],Secondary outcome(s),Expressive vocabulary: dialogic reading ,['Other outcome'],Secondary outcome(s),Numeral identification: dialogic reading ,['Mathematics primary outcome'],Secondary outcome(s),Addition: dialogic reading ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032954,Dulay (2019) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Book vocabulary: Early Literacy,['Other outcome'],Secondary outcome(s),Receptive vocabulary: Early Literacy,['Other outcome'],Secondary outcome(s),Expressive vocabulary: Early Literacy,['Mathematics primary outcome'],Secondary outcome(s),Addition: Early Literacy,['Other outcome'],Secondary outcome(s),Numeral identification: Early Literacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025494,Evangelou (2007),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Verbal Comprehension (BAS),['Mathematics primary outcome'],Primary outcome,Early Number Concepts,['Other outcome'],Secondary outcome(s),"Phonological Awareness (Bryant & Bradley, 1995)",['Other outcome'],Secondary outcome(s),Vocabulary (BPVS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032956,Fernandez (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Neale Analysis of Reading Ability Revised; paired reading,['Other outcome'],Secondary outcome(s),Neale Analysis of Reading Ability Revised; paired reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032957,Fielding-Barnsley (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT: share book reading vs control,['Other outcome'],Secondary outcome(s),Concepts of Print: shared book reading vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025509,Fielding-Barnsley (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT (time 2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203434,Ford (2009),['Reading primary outcome'],Primary outcome,Non word repetition posttest ,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Quantity judgments postest ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032958,Fryer (2020) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Standardized Cognitive Score: pre-school group vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032959,Fryer (2020) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Standardized Cognitive Score: Kinderprep vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578007,Goldfeld (2012) PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Child literacy(SPAT-R),['Other outcome'],Secondary outcome(s),Child literacy(SPAT-R),['Other outcome'],Secondary outcome(s),Child Literacy(SPAT-R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203439,Hadeed (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,British Ability Scale total posttest age 7 years ,['Other outcome'],Primary outcome,British Ability Scale total postest age 12 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
