ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
55203411,"['Parental engagement', 'EY_Parental engagement']",Aral (2011),Aral Neriman ; Baran Gülen ; Gürsoy Figen ; Akyol Aysel Köksal; Ayhan Aynur Bütün; Biçakçi Müdriye Yildiz; Erdoğan Serap ; ,2011,The effects of parent education programs on the development of children aged between 60 and 72 months,Social Behavior and Personality: An International Journal,NA,"Journal, Article","The effects of a parent education program on the development of children aged between 60 and 72 months attending preschool were assessed. Participants were children attending 9 kindergartens located in central Ankara and their parents (experimental group  68 children, 68 parents, control group  68 children, 68 parents). Data were gathered using a general information form, and the version of the Brigance Early Development Inventory II (Brigance, 2004), that was adapted for use in Turkey by Aral et al. (2008). There was a significant difference between the scores on the subtests of the Brigance Early Development Inventory II and the total pretest and corrected posttest scores independent of group, but no significant difference was found between the scores of the groups on the Brigance Early Development Inventory II or the total pretest and corrected posttest scores. The results also revealed that the parent education program had a minimal effect on children’s daily life and social emotional skills.",39,2,241-250,https://doi.org/10.2224/sbp.2011.39.2.241,https://www.ingentaconnect.com/content/sbp/sbp/2011/00000039/00000002/art00011,NA,NA,NA
42025413,"['Parental engagement', 'EY_Parental engagement']",Baker (1998) 1_1,Baker A J. L; Piotrkowski C S; Brooks-Gunn J ; ,1998,The effects of the Home Instruction Program for Preschool Youngsters (HIPPY) on children's school performance at the end of the program and one year later,Early Childhood Research Quarterly,NA,"Journal, Article","The effectiveness of the Home Instruction Program for Preschool Youngsters (HIPPY) - a two-year, free, home-based, family-oriented, early childhood education intervention - was assessed in a longitudinal, two cohort, randomized experimental evaluation. One hundred and eighty-two low-income families (84 in HIPPY and 98 in the control group) were assessed at baseline, at the end of the program, and one year later. Outcomes included assessments of children's cognitive skills, adaptation to the classroom, and standardized achievement at the end of the two-year program, and classroom adaptation and standardized achievement one year later. Data were collected from objective measures, teacher ratings, and school records. Analyses of covariance were conducted controlling for baseline scores on child and family background variables. Results revealed that for Cohort I there were significant and educationally meaningful differences in children's school performance both at the end of the program and one year later. These results were not replicated in Cohort II. Attrition analyses did not reveal differences between groups and cohorts which would account for the lack of replication. Findings are interpreted as mixed support for the effectiveness of the HIPPY program to improve the chances that poor children will succeed in school.",13,4,571-588,https://doi.org/10.1016/S0885-2006(99)80061-1,https://www.sciencedirect.com/science/article/pii/S0885200699800611,NA,NA,NA
74577989,"['Parental engagement', 'EY_Parental engagement']",Baker (1998) 1_2,Baker A J. L; Piotrkowski C S; Brooks-Gunn J ; ,1998,The effects of the Home Instruction Program for Preschool Youngsters (HIPPY) on children's school performance at the end of the program and one year later,Early Childhood Research Quarterly,NA,"Journal, Article","The effectiveness of the Home Instruction Program for Preschool Youngsters (HIPPY) - a two-year, free, home-based, family-oriented, early childhood education intervention - was assessed in a longitudinal, two cohort, randomized experimental evaluation. One hundred and eighty-two low-income families (84 in HIPPY and 98 in the control group) were assessed at baseline, at the end of the program, and one year later. Outcomes included assessments of children's cognitive skills, adaptation to the classroom, and standardized achievement at the end of the two-year program, and classroom adaptation and standardized achievement one year later. Data were collected from objective measures, teacher ratings, and school records. Analyses of covariance were conducted controlling for baseline scores on child and family background variables. Results revealed that for Cohort I there were significant and educationally meaningful differences in children's school performance both at the end of the program and one year later. These results were not replicated in Cohort II. Attrition analyses did not reveal differences between groups and cohorts which would account for the lack of replication. Findings are interpreted as mixed support for the effectiveness of the HIPPY program to improve the chances that poor children will succeed in school.",13,4,571-588,https://doi.org/10.1016/S0885-2006(99)80061-1,https://www.sciencedirect.com/science/article/pii/S0885200699800611,NA,NA,NA
42024853,"['Parental engagement', 'EY_Parental engagement']",Barkley (2000),Barkley Russell A; Shelton Terri L; Crosswait Cheryl ; Moorehouse Maureen ; Fletcher Kenneth ; Barrett Susan ; Jenkins Lucy ; Metevia Lori ; ,2000,Multi-method psycho-educational intervention for preschool children with disruptive behavior: Preliminary results at post-treatment,The Journal of Child Psychology and Psychiatry and Allied Disciplines,NA,"Journal, Article","Annual screenings of preschool children at kindergarten registration identified 158 children having high levels of aggressive, hyperactive, impulsive, and inattentive behavior. These 'disruptive' children were randomly assigned to four treatment conditions lasting the kindergarten school year  no treatment, parent training only, full-day treatment classroom only, and the combination of parent training with the classroom treatment. Results showed that parent training produced no significant treatment effects, probably owing largely to poor attendance. The classroom treatment produced improvement in multiple domains  parent ratings of adaptive behavior, teacher ratings of attention, aggression, self-control, and social skills, as well as direct observations of externalizing behavior in the classroom. Neither treatment improved academic achievement skills or parent ratings of home behavior problems, nor were effects evident on any lab measures of attention, impulse control, or mother-child interactions. It is concluded that when parent training is offered at school registration to parents of disruptive children identified through a brief school registration screening, it may not be a useful approach to treating the home and community behavioral problems of such children. The kindergarten classroom intervention was far more effective in reducing the perceived behavioral problems and impaired social skills of these children. Even so, most treatment effects were specific to the school environment and did not affect achievement skills. These findings must be viewed as tentative until follow-up evaluations can be done to determine the long-term outcomes of these interventions.",41,3,319-332,https://doi.org/10.1111/1469-7610.00616,https://acamh.onlinelibrary.wiley.com/doi/10.1111/1469-7610.00616,NA,NA,NA
42059739,"['Parental engagement', 'Phonics', 'Summer schools', 'EY_Parental engagement']",Beach (2004),Beach D W; ,2004,The effects of a school district's kindergarten readiness summer program on phonological awareness skills of at-risk prekindergarten students: A regression discontinuity analysis,NA,NA,Dissertation,"Although there is considerable evidence linking phonological awareness to early reading performance, few research studies have been conducted to measure early interventions of explicit phonological awareness instruction, including parents as teachers, with 4- and 5-year-old prekindergarten children  among those that have been completed, research methods have often been seriously flawed. The purpose of this study was to determine if prekindergarten children who participated in an explicit phonological-awareness training program, which included their parents as teachers, entered kindergarten at a reading readiness level higher than would have been expected had they not participated in the program. An additional goal of this research was to demonstrate the utility of the regression discontinuity design in program evaluation. The independent variable (program treatment) was participation in a phonological awareness-based, kindergarten-readiness, summer program. The dependent variable (post-program measure) was the level of phonological awareness as measured by the Dynamic Indicators of Basic Early Literacy Skills (DIBELS) kindergarten subtests. A kindergarten-readiness screening was used to assign students to program or nonprogram status. Results of this study yielded standardized effect sizes of 0.18 and 0.16. These treatment effects of the kindergarten-readiness summer program on the initial sounds fluency (ISF) and letter naming fluency (LNF) subtests of the DIBELS were small, but comparable to other studies of phonological awareness. Program gains of this magnitude are very important considering feasibility and duration of the independent variable. Additionally, students' scores increased 3.3 points on the DIBELS ISF and a 5.1 points on the DIBELS LNF. Comparing these scores to benchmarks of performance established in DIBELS research indicate that the program treatment contributed to substantial gains that warrant consideration in program evaluation. This study of the effectiveness of phonological awareness instruction with prekindergarten children added to current research on assessment procedures for early identification and early intervention of children who are at-risk, and provided data concerning the effectiveness of school readiness programs, specifically phonological awareness instruction for prekindergarten students.",NA,NA,NA,NA,https://search.proquest.com/docview/85629540,NA,"Logan, UT",Utah State University
73032950,"['Parental engagement', 'EY_Parental engagement']",Bekman (2004),Bekman Sevda ; ,2004,Early home intervention to promote school readiness: A Turkish experience,Nhsa Dialog A Research To Practice Journal For The Early Intervention Field,NA,"Journal, Article","The paper presents the results of an evaluation research that studied the impact of a nationwide home intervention program, the Mother-Child Education Program, on both children and mothers immediately after the termination of the program and at the end of the children's first year of formal schooling. A prebost control group quasiexperimental design was used. There were 102 experimental and 115 control mother-child pairs, the total sample being 217. The results revealed that the Program has important effects on the cognitive development of the child as reflected in the significant increase in the performance of the group receiving training with respect to preliteracy and prenumeracy skills. When the children were followed in their first year of schooling, the experimental children were found to be better at in literacy and numeracy skills and had started to read earlier than the control group. Furthermore, their end-of-year grades were better than their counterparts. Teachers also perceived them as meeting the cognitive and social requirements of the school and being more curious, attentive, and creative.",7,1,16-34,https://doi.org/10.1207/s19309325nhsa0701_4,https://www.tandfonline.com/doi/abs/10.1207/s19309325nhsa0701_4,NA,NA,NA
42025212,"['Parental engagement', 'EY_Parental engagement']",Bertram Von Lossberg (1974),"Bertram Von Lossberg, Henry; ",1974,Father to son reading: Its effects on boys reading achievement ,Dissertation Abstracts International,NA,Dissertation,"The purpose of this study was to determine whether boys read to by their fathers for the six-month period immediately preceding entrance into first grade would score significantly higher on predictor instruments for first-grade reading achievement when compared with boys read to by their mothers or boys in an unplanned situation for the same period. All boys in a central New York State school's kindergarten sections were assigned to a father -read- to , a mother-read- to , a father -not-participating, or a control (unplanned reading ) group for a six-month treatment period. The experimental groups were read to by the assigned parent reader about two or three times a week. The dependent variables were letter naming and word recognition (isolated words and words in context). The predictor criterion measures were administered individually at the conclusion of treatment, which coincided with the beginning of the boys ' first-grade school year. Within the context of the study's limitations, the results indicated that father -read- to boys had significantly higher mean scores on the words in context or criterion measure than the mother-read- to , the father -not-participating, or the control group of boys .",36,NA,41A-42A,NA,https://eric.ed.gov/?id=ED110947,NA,NA,Syracuse University
42024854,"['Parental engagement', 'EY_Parental engagement']",Beveridge (1981),Beveridge M ; Jerrams Ann ; ,1981,Parental involvement in language development: An evaluation of a school-based parental assistance plan,British Journal of Educational Psychology,NA,"Journal, Article","In 4 groups of nursery school children (N = 10 per group, aged 3 5-4 5), each S was matched with 1 member of each of the other groups on the English Picture Vocabulary Test (EPVT), Reynell Language Development Scales, & Raven's Progressive Matrices. A parental assistance plan (PAP) was devised to involve parents in working on language with their children at home 20 minutes a day & brought the parents into school a few hours per week for 12 weeks. The mothers of 2 groups followed the PAP (1 group also received the Distar language program), 1 group received only the Distar, & 1 group received no formal intervention but merely played with toys in the presence of a teacher for an equivalent period. Results of an immediate EPVT posttest & another one 18 months later showed that the groups with the PAP showed significantly greater increase in language development.",51,3,259-269,https://doi.org/10.1111/j.2044-8279.1981.tb02484.x,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1111/j.2044-8279.1981.tb02484.x,NA,NA,NA
67335215,"['EY_Early literacy approaches', 'Parental engagement', 'EY_Parental engagement']",Boyle (2006),Boyle Elizabeth A; ,2006,The effects of a parent-child early literacy intervention on children's phonemic awareness and preliteracy skills,NA,NA,Dissertation,"Parents of Head Start children at risk for reading difficulties were trained to engage their children in daily phonemic awareness and letter knowledge activities. Twenty-seven Head Start children, ages 3 to 5, and their parents/caregivers participated in the study. An experimental-control group design to investigate the effectiveness of the intervention and the Phonological Awareness Literacy Screening for Preschoolers (PALS-PreK) was used as a pre and post-test assessment. Results indicated there were no significant interactions of the intervention and children's scores for the intact groups. There were also no significant changes in parent behaviors and attitudes toward reading, as measured by a family reading survey, as a result of the intervention. During post hoc analyses, an age effect was investigated and results indicated 4-year-old children in the intervention group scored significantly higher than 4-year-old children in the control group. In addition, 4- and 5-year-old children in the intervention group also made significant gains on the print awareness subtest of the PALS-PreK. Anecdotal changes in parent and children behavior as a result of the intervention are also reported. Recommendations include expanding parent-child literacy activities from shared story-book reading and addressing attrition problems in studies with families from impoverished backgrounds.",NA,NA,105,NA,https://www.proquest.com/docview/305322911,NA,NA,The Johns Hopkins University
47269778,"['Parental engagement', 'EY_Parental engagement']",Brickman (2002) PE,Brickman Sharon Olivia; ,2002,Effects of a joint book reading strategy on Even Start,NA,NA,Dissertation,"Effects of teaching Spanish-speaking Even Start mothers to use dialogic reading strategies with their preschool children were examined in this experimental study. Thirty-four children and their mothers participated. Mothers in the treatment group were taught to use the strategy to engage their children in conversation while reading storybooks. Data gathered from the children at pretest and posttest were measures of receptive vocabulary (Peabody Picture Vocabulary Test-Revised), expressive vocabulary by calculating mean length of utterance and concepts about print using a checklist. Use of the Adult/Child Interactive Reading Inventory (ACIRI) provided data about mother and child behaviors at pretest and posttest. An attitudinal measure assessed the trained mothers' self-efficacy as a literacy coach. Findings include direct effects on the mothers' ability to use the strategy as well as indirect effects on the children's emergent literacy behaviors. Statistically significant effects were found for concepts about print (p < .05) using an ANOVA. A strong positive correlation (r(12) = .85, p < .001) between the treatment group mother's and child's ACIRI score was found. Time spent in Even Start (p < .02) and the mother's ACIRI score (p < .01) were positively related to the child's mean length of utterance in a multiple linear regression analysis. A moderate positive correlation was found (r(12) = .54, p < .05) for the relation between the mother's ACIRI score and the self-efficacy measure at posttest. Implications include a promising reading strategy resulting in the growth of emergent literacy skills for bilingual children and changed reading behaviors for their mothers in workshop format that could be easily and inexpensively incorporated into existing curriculum in intergenerational literacy programs.",NA,NA,NA,NA,https://search.proquest.com/docview/305504308,NA,NA,The University of Oklahoma
