id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
38224167,Adey (2002),2002,['Metacognition and self-regulation'],NA,['Yes'],NA,Description for the outcome 'Drawing',,"['Page 15:\n[¬s]""302[¬e]""']",302,,"['Page 15:\n[¬s]""7.53[¬e]""']",7.53,,"['Page 15:\n[¬s]""5.55[¬e]""']",5.55,,"['Page 15:\n[¬s]""13.93[¬e]""']",13.93,,"['Page 15:\n[¬s]""4.58[¬e]""']",4.58,,"['Page 15:\n[¬s]""6.40[¬e]""']",6.40,,"['Page 15:\n[¬s]"" 4.65[¬e]""']",4.65,,NA,NA,,NA,166,,"['Page 15:\n[¬s]"" 8.40[¬e]""']",8.40,,"['Page 15:\n[¬s]"" 5.62[¬e]""']",5.62,,"['Page 15:\n[¬s]""12.17[¬e]""']",12.17,,"['Page 15:\n[¬s]"" 5.50[¬e]""']",5.50,,"['Page 15:\n[¬s]""3.77[¬e]""']",3.77,,"['Page 15:\n[¬s]""5.28[¬e]""']",5.28,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
47063511,Barnett (2008),2008,['Metacognition and self-regulation'],NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
47063512,Blair (2014),2014,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224206,de Koning (2002),2002,['Metacognition and self-regulation'],NA,['Yes'],NA,Raven’s Standard Progressive Matrices. Note  Table 4 Administration 2 used as post-test.,,"['Page 12:\n[¬s]""98[¬e]""']",98,,NA,NA,,NA,NA,,"['Page 22:\n[¬s]""29.67[¬e]""']",29.67,,"['Page 22:\n[¬s]"".95[¬e]""']",0.95,,NA,NA,,NA,NA,,NA,NA,,"['Page 12:\n[¬s]""81[¬e]""']",81,,NA,NA,,NA,NA,,"['Page 22:\n[¬s]""25.59[¬e]""']",25.59,,"['Page 22:\n[¬s]""1.09[¬e]""']",1.09,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38223850,Ennis (1969),1969,['Metacognition and self-regulation'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
55203434,Ford (2009),2009,NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224214,Hamers (1998) 1_1,1998,['Metacognition and self-regulation'],NA,['Yes'],NA,Only overall is reported for combined experimental groups,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38224059,Kernaghan (1995),1995,['Metacognition and self-regulation'],NA,['Yes'],NA,Dictated Spelling Test (Training Words),,NA,11,,"['Page 6:\n[¬s]""3.27[¬e]""']",3.27,,"['Page 6:\n[¬s]""2.53[¬e]""']",2.53,,"['Page 6:\n[¬s]""10.36[¬e]""']",10.36,,"['Page 6:\n[¬s]""2.17[¬e]""']",2.77,,NA,NA,,NA,NA,,NA,NA,,NA,11,,"['Page 6:\n[¬s]""3.09[¬e]""']",3.09,,"['Page 6:\n[¬s]""2.63[¬e]""']",2.63,,"['Page 6:\n[¬s]""7.55[¬e]""']",7.55,,"['Page 6:\n[¬s]""2.88[¬e]""']",2.88,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38224234,Klauer (1992),1992,['Metacognition and self-regulation'],NA,['Yes'],"['Page 14:\n[¬s]""Table 4.[¬e]""']",NA,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,"['Page 14:\n[¬s]""24.63[¬e]""']",24.63,,"['Page 14:\n[¬s]""2.20[¬e]""']",2.2,,"['Page 14:\n[¬s]""29.00[¬e]""']",29.00,,"['Page 14:\n[¬s]""3.30[¬e]""']",3.30,,"['Page 14:\n[¬s]""4.4[¬e]""']",4.4,,"['Page 14:\n[¬s]""2.0[¬e]""']",2.0,,NA,NA,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,"['Page 14:\n[¬s]""23.50[¬e]""']",23.50,,"['Page 14:\n[¬s]""3.55[¬e]""']",3.55,,"['Page 14:\n[¬s]""23.00[¬e]""']",23.00,,"['Page 14:\n[¬s]""4.04[¬e]""']",4.04,,"['Page 14:\n[¬s]""-0.5[¬e]""']",-0.5,,"['Page 14:\n[¬s]""2.3[¬e]""']",2.3,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38224233,Klauer (1996) 1_1,1996,['Metacognition and self-regulation'],NA,['Yes'],NA,Combined means and SD from Table 2. Note  Post-test are not adjusted for pre-test means. F test used in Primary outcome is adjusted.,,"['Page 6:\n[¬s]""Paradigmatic\ntraining (N = 15)""\n""Alternative training (N = 15)[¬e]""']",30,,"['Page 6:\n[¬s]""22.86""\n""22.93[¬e]""']",22.895,,"['Page 6:\n[¬s]""5.44""\n""6.26[¬e]""']",5.762,,"['Page 6:\n[¬s]""28.60""\n""29.13[¬e]""']",28.865,,"['Page 6:\n[¬s]""4.79""\n""3.44[¬e]""']",4.106,,NA,NA,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""No training control (N = 15)[¬e]""']",15,,"['Page 6:\n[¬s]""22.86[¬e]""']",22.86,,"['Page 6:\n[¬s]""5.31[¬e]""']",5.31,,"['Page 6:\n[¬s]""25.53[¬e]""']",25.53,,"['Page 6:\n[¬s]""5.64[¬e]""']",5.64,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
