id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
38224167,Adey (2002),2002,['Metacognition and self-regulation'],NA,Drawing (ANCOVA),,"This test is based on original Piagetian protocols. It assesses children 's ability to perceive the horizontality of the surface of water in a bottle as the bottle is tilted, and the verticality of a plumb line under similar circumstances.",,"['Toolkit primary outcome', 'Other outcome']",,0.54,,0.1,,Cognitive: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.344,,0.736,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47063511,Barnett (2008),2008,['Metacognition and self-regulation'],NA,PPVT-III ,,"The PPVT-III was administered to all children regardless of their home language to obtain a measure of standard English vocabulary development. The PPVT-III (Dunn & Dunn, 1997) is a 204-item test of receptive vocabulary in standard English. The test is administered by having children point to one of four pictures shown when given a word to identify. T",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.22,,1.79,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-3.2884,,3.7284,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,PPVT-III ,,"The PPVT-III was administered to all children regardless of their home language to obtain a measure of standard English vocabulary development. The PPVT-III (Dunn & Dunn, 1997) is a 204-item test of receptive vocabulary in standard English. The test is administered by having children point to one of four pictures shown when given a word to identify. T",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.22,,1.79,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-3.2884,,3.7284,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47063512,Blair (2014),2014,['Metacognition and self-regulation'],NA,EOWPVT Raw Score,, The EOWPVT is a norm-referenced measure of vocabulary that assesses the child’s ability to use words and requires the child to access and retrieve words from memory. The internal consistency reliability of the measure is .98.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1553,,0.076,,Literacy: reading other,,417.0,,71.73,,16.9,,297.0,,69.09,,17.1,,0.0062,,0.3043,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,EOWPVT Raw Score,, The EOWPVT is a norm-referenced measure of vocabulary that assesses the child’s ability to use words and requires the child to access and retrieve words from memory. The internal consistency reliability of the measure is .98.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1553,,0.076,,Literacy: reading other,,417.0,,71.73,,16.9,,297.0,,69.09,,17.1,,0.0062,,0.3043,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
75313870,Blair (2014),2014,['Metacognition and self-regulation'],NA,WJ-III: Letter-Word W Score: Self Regulation,,Letter-Word subtests from Woodcock-Johnson III Tests of Achievement   post-test unadjusted means spring in Kindergarten - Tools of the Mind vs wait-list control ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0461,,0.0766,,Literacy: reading other,,413.0,,404.66,,32.1,,290.0,,403.22,,29.9,,-0.1041,,0.1963,,Primary outcome,,['Sample: All'],,,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,WJ-III: Letter-Word W Score: Self Regulation,,Letter-Word subtests from Woodcock-Johnson III Tests of Achievement   post-test unadjusted means spring in Kindergarten - Tools of the Mind vs wait-list control ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0461,,0.0766,,Literacy: reading other,,413.0,,404.66,,32.1,,290.0,,403.22,,29.9,,-0.1041,,0.1963,,Primary outcome,,['Sample: All'],,,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,WJ III-Maths: Self Regulation,,Applied Problems from Woodcock-Johnson III Tests of Achievement  post-test unadjusted means spring in Kindergarten - Tools of the Mind vs wait-list control ,,['Mathematics primary outcome'],,0.1496,,0.0762,,Mathematics,,410,,446.08,,16.6,,298,,443.49,,18.2,,0.0002,,0.299,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224206,de Koning (2002),2002,['Metacognition and self-regulation'],NA,Raven’s Standard Progressive Matrices,,"The test consists of 60 items divided into ﬁve parts (called sets A through E). Each of the 60 pages, one item per page, is divided into two half-pages. On the upper half, a matrix of ﬁgures is depicted con- taining a missing element. This element has to be detected among the six alternatives (sets A and B) or eight alternatives (sets C through E) printed at the bottom of the page. ",,"['Toolkit primary outcome', 'Other outcome']",,0.4041,,0.1517,,Cognitive: reasoning,,98.0,,29.67,,0.95,,81.0,,25.59,,1.09,,0.1067,,0.7014,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38223850,Ennis (1969),1969,['Metacognition and self-regulation'],NA,Conditional logic - metacognition,,"The test was presented in two parts, each part using a different set of materials. One part, hereafter referred to as the house part, involved questions about a model house.The other, hereafter referred to as the chemicals part, involved questions about chemical reactions with safe, household chemicals.The model househad two handles (knife switches)and a push button switch on the outside,and a doorbell and a light inside.The light was visible through a small window when the light was on and the window open. TESTThe test consisted of 24 itemsin all.Six items applied to eachof the four principles.Each group of*six items is referredto as an itemgroup.Three of the items in each itemgroup were the suppositional formof the questions asked ofthe children while the otherthree were the factual forms. Some of the items for each principlewere from the house part and the rest from the chemicals part.",,"['Toolkit primary outcome', 'Other outcome']",,-0.1315,,0.1505,,Cognitive: reasoning,,90.0,,12.3,,5.1,,87.0,,13.0,,5.5,,-0.4265,,0.1635,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
75313883,Flook (2015),2015,['Metacognition and self-regulation'],NA,Grades—Language: kindness vs control,,"School grades (Language Development and Communication (nine items, retells a familiar story in sequence - Children’s grades reflecting performance for the second half of the academic year…   Teachers assigned grades using a 4-point scale with higher scores indicating the child met or exceeded expectations) – kindness-based curriculum vs control (same smd as the authors reported d)",,"['Toolkit primary outcome', 'Other outcome']",,0.091,,0.2636,,Literacy: speaking and listening/oral language,,25.0,,3.5,,0.41,,34.0,,3.46,,0.45,,-0.4256,,0.6077,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
55203434,Ford (2009),2009,NA,NA,Non word repetition posttest ,,Non word repetition posttest table 1,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.5095,,0.2949,,Literacy: decoding/phonics,,30.0,,87.3,,13.3,,30.0,,46.0,,35.8,,0.9314,,2.0876,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Non word repetition posttest ,,Non word repetition posttest table 1,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.5095,,0.2949,,Literacy: decoding/phonics,,30.0,,87.3,,13.3,,30.0,,46.0,,35.8,,0.9314,,2.0876,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Quantity judgments postest ,,Quantity judgments postest table 1,,['Mathematics primary outcome'],,0.8966,,0.2717,,Mathematics,,30,,87.5,,10.6,,30,,73.3,,19.4,,0.364,,1.4292,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224214,Hamers (1998) 1_1,1998,['Metacognition and self-regulation'],NA,SPM Total Scores (ANOVA),,"M3, M4, and M5 items from SPM task were included in the test. ",,"['Toolkit primary outcome', 'Other outcome']",,0.59,,0.4,,Cognitive: reasoning,,NA,,NA,,NA,,NA,,NA,,NA,,-0.194,,1.374,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224059,Kernaghan (1995),1995,['Metacognition and self-regulation'],NA,Dictated Spelling Test-training words (immediate post-test mean/sd),,"The dictated spelling test consisted of 15 of the 20 training words plus five transfer words. The transfer words rhymed with the target words and differed only in the beginning letter. During spelling dictation, each word was presented alone, in the content of a sentence, and then alone again  the students were instructed to make their best guess when they were unsure of a correct spelling. It was stressed that students should attempt a spelling for each word.",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.9567,,0.4551,,Literacy: spelling,,11.0,,10.36,,2.77,,11.0,,7.55,,2.88,,0.0646,,1.8488,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
