id,pub_author,out_tit_tool,out_desc_tool,out_type_tool,smd_tool
47063511,Barnett (2008),PPVT-III ,"The PPVT-III was administered to all children regardless of their home language to obtain a measure of standard English vocabulary development. The PPVT-III (Dunn & Dunn, 1997) is a 204-item test of receptive vocabulary in standard English. The test is administered by having children point to one of four pictures shown when given a word to identify. T","['Toolkit primary outcome', 'Reading primary outcome']",0.22
75313870,Blair (2014),EOWPVT - Self regulation,post-test EOWPVT is a norm-referenced measure ofvocabulary that assesses the child’s ability to use words and requires the child to access and retrieve words from memory,"['Toolkit primary outcome', 'Reading primary outcome']",0.1553
75313883,Flook (2015),Grades—Learning  kindness vs control,School grades  Approaches to Learning (Children’s grades reflecting performance for the second half of the academic year…   Teachers assigned grades using a 4-point scale with higher scores indicating the child met or exceeded expectations) - – kindness-based curriculum vs control (same smd as the authors reported d),"['Toolkit primary outcome', 'Other outcome']",0.5484
55203434,Ford (2009),Quantity judgments postest ,Quantity judgments postest table 1 (mathematics as primary outcome as more conservative effect size compared to pre-reading- SR intervention) ,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.8966
77945731,Hong (2012),Problem-Solving,Problem-Solving I Time 2 (0–10)  RT vs control,"['Toolkit primary outcome', 'Science primary outcome']",0.4996
38224234,Klauer (1992),Raven's Progressive Matrices test,"A standardised test of the level of cognitive functioning. [d is as athors’ corrected d (d ‘corrected’ adjusted for pre-test differences, by deducting the d pre-test from d post-test) with the SE taken from the post-test means/SDs effect size’s SE] ","['Toolkit primary outcome', 'Other outcome']",1.24
75313918,Liu (2015),Raven’s Progressive Matrices - Self Regulation,"Nonverbal abstract rea- soning ability test (Raven’s Colored Progressive Matrices Test, 36 items)","['Toolkit primary outcome', 'Other outcome']",0.7471
75313894,O'Connor (2014),WJ-III Maths  INSIGHTS vs control,"Applied Problems subtest from WJ-III (Woodcock - (I used T2 as post-test as this was taken at the end of kindergarten after 10 weeks of intervention (the other measures are at Grade 1  I used the total number of those recruited in K only n=329, split it in half to get treatment and control  - further down it says that half of the children were in treatment, half in attention control, 225 and 210 for all sample including Grade 1)  INSIGHTS vs attention control (Maths as primary outcome as there are statistically significant differences at baseline for reading)","['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0384
75313896,Pears (2014),DIBELS- LNF  Self Regulation,Letter Naming Fluency (LNF) from Dynamic Indicators of Basic Early Literacy Skills (DIBELS)  KITS Group  vs control service as usual (SAU) Group ,"['Toolkit primary outcome', 'Reading primary outcome']",0.2395
40294945,Peskin (2004) MSR,Metacognitive Verb Comprehension Task (f-test),"This test was based on the comprehension test in Astington and Pelletier (2003). After preliminary training on how to answer forced choice questions, children were told a story with accompanying pictures and eight questions each of which required differentiation between two metacognitive verbs.","['Toolkit primary outcome', 'Reading primary outcome']",0.24
75313922,Pozuelos (2019),K-BIT IQ fluid and verbal composite ,aggregated measure of fluid/matrices and verbal IQ K-BIT Kaufman,"['Toolkit primary outcome', 'Other outcome']",0.4783
75313897,Raver (2011),PPVT Score posttest table 1,Peabody picture vocab,"['Toolkit primary outcome', 'Reading primary outcome']",0.1245
75313928,Rueda (2012), K-BIT Verbal - Self Regulation,K-BIT (Kaufman Brief Intelligence Test) – Verbal intelligence,"['Toolkit primary outcome', 'Other outcome']",0.1215
75313930,Schmitt (2015),WJ-Letter-word identiﬁcation  Self Regulation,Letter-Word Identiﬁcation subtest of the WJ-III (Woodcock Johnson) – post-test means  self regulation vs control (English speaking participants only),"['Toolkit primary outcome', 'Reading primary outcome']",0.1143
75313935,Zhang (2019),RSPM - Self Regulation,RSPM (correct trials)  Raven’s Standard Progressive Matrices   IC (inhibitory control) vs control group (CG),"['Toolkit primary outcome', 'Other outcome']",0.1135
