id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,toolkit_version,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
47063511,Barnett (2008),2008,"['Metacognition and self-regulation', 'EY_Self-regulation strategies', 'EY_Play-based learning']",NA,,['EY_January 2023'],218,"['Page 5:\n[¬s]""Ofthe group of274 randomly assigned children, 224 families (82%)\nconsented to have their child participate in testing for the study.""\n""A total of 274 three- and four-year-old children were randomly assigned to either Tools curriculum classrooms (n=106)\nor district curriculum classrooms (n=168).""\n""This left us with an initial sample of 218 children[¬e]""']",,['Mixed gender'],"['Page 6:\n[¬s]""hey were 47% females[¬e]""']",47,,80,"['Page 5:\n[¬s]""Median income for families living in the city was $34,935 according to data\nfrom the 2000 U.S. census. Data reported by the district to the state Department of Education indicate that over 80% of the\ndistrict’s public school students qualiﬁed for free or reduced price lunch, and 70% came fromhomes where English is not the\nprimary language.[¬e]""']",,NA,"['Page 5:\n[¬s]""Median income for families living in the city was $34,935[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""Tools curriculum classrooms (n=106)[¬e]""']",106,,"['Page 5:\n[¬s]""district curriculum classrooms (n=168).[¬e]""']",168,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""A total of 274 three- and four-year-old children were randomly assigned""\n""85 Tools (92%) and 120 control (95%) children were assessed in the\nSpring[¬e]""']",NA,,"['Page 5:\n[¬s]""Tools curriculum classrooms (n=106)""\n""85 Tools[¬e]""']",8,,"['Page 5:\n[¬s]""A total of 274 three- and four-year-old children""\n""85 Tools (92%) and 120 control (95%) children were assessed in the\nSpring.[¬e]""']",6,
75313870,Blair (2014),2014,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,,['EY_January 2023'],759,"['Page 1:\n[¬s]""759 children[¬e]""']",,['Mixed gender'],"['Page 7:\n[¬s]""For all analyses, treatment versus control group status was\nincluded as a binary indicator along with the pretreatment [fall]\nmeasure of the outcome variable and child-level [age, sex, parent[¬e]""']",NA,,48.5,"['Page 3:\n[¬s]""Participating schools ranged from 5% to 92% of students\neligible for free or reduced-price lunch. Approximately 15% of the""\n""schools in the sample are considered high-poverty schools as\ndefined by the National Center for Education Statistics [46] as\nschools with greater than 75% of students eligible for free or\nreduced-price lunch. Approximately 50% of the schools in the\nsample are considered low-poverty schools, meaning that less than\n25% of students are eligible. The remaining schools ranged from\n27% to 68% of students eligible for free or reduced-price lunch.[¬e]""']",,NA,"['Page 3:\n[¬s]""Participating schools ranged from 5% to 92% of students eligible for free or reduced-price lunch. Approximately 15% of the""\n""schools in the sample are considered high-poverty schools as\ndefined by the National Center for Education Statistics [46] as\nschools with greater than 75% of students eligible for free or\nreduced-price lunch. Approximately 50% of the schools in the\nsample are considered low-poverty schools, meaning that less than\n25% of students are eligible. The remaining schools ranged from\n27% to 68% of students eligible for free or reduced-price lunch.[¬e]""']",,NA,NA,,"['Page 6:\n[¬s]""413[¬e]""']",413,,"['Page 6:\n[¬s]""293[¬e]""']",293,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""413""\n""417[¬e]""']",417,,"['Page 7:\n[¬s]""297[¬e]""']",297,,NA,NA,,NA,NA,,['Yes'],"['Page 3:\n[¬s]""Approxi- mately 5% of participants [N= 34] were lost to follow-up from fall to spring and replaced with participants on waiting lists in classrooms in which more than 6 participants expressed interest in participating in the study or in some classrooms with newly recruited participants. Additionally, 2 new participants were recruited in the spring in classrooms in which fewer than 6 children had been recruited in the fall.""\n""All children entering the\nstudy in the spring had been in the classroom since the fall. Total\nsample size was N=723 in the fall and N=725 in the spring. Fall\nto spring attrition was unrelated to treatment or control group\nstatus.[¬e]""', 'Page 5:\n[¬s]""For the academic measures, Raven\nmatrices, forward/backward span, and simple reaction time\nmeasures, fewer than 5% of children were missing data, generally\nas a result of fatigue or absence from school and the data are\nconsidered to be missing at random.[¬e]""']","since these children were replaced, this should be taken into account on the RoB",,NA,NA,,"['Page 3:\n[¬s]""Approxi-\nmately 5% of participants [N= 34] were lost to follow-up from fall\nto spring and replaced with participants on waiting lists in\nclassrooms in which more than 6 participants expressed interest in\nparticipating in the study or in some classrooms with newly\nrecruited participants.[¬e]""']",5,
75313883,Flook (2015),2015,['EY_Self-regulation strategies'],NA,,['EY_January 2023'],68,"['Page 1:\n[¬s]""sample of 68 preschool\nchildren.[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""34 girls (50.0%) a[¬e]""']",50,,37.9,"['Page 2:\n[¬s]"". Within these schools, 37.9% of children are consid-\nered socioeconomically disadvantaged. A[¬e]""']",,NA,NA,,NA,NA,,"['Page 2:\n[¬s]""(n ⫽ 30 from three classrooms and 38 from\nfour classrooms, for KC a[¬e]""']",30,,"['Page 2:\n[¬s]""(n ⫽ 30 from three classrooms and 38 from\nfour classrooms, for KC and control group respectively). P[¬e]""']",38,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""25[¬e]""']",25,,"['Page 4:\n[¬s]""34[¬e]""']",34,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
55203434,Ford (2009),2009,"['EY_Communication and language approaches', 'EY_Self-regulation strategies', 'Oral language interventions', 'Metacognition and self-regulation', 'Parental engagement', 'EY_Parental engagement']",NA,,['EY_January 2023'],60,"['Page 6:\n[¬s]""60[¬e]""']",,['Mixed gender'],"['Page 6:\n[¬s]""16 boys and 14 girls in each case[¬e]""']",46.66 ,,100,NA,,NA,"['Page 6:\n[¬s]""Participants were recruited from districts identiﬁed by the local education\nauthority as having markers of severe social and economic deprivation. Approximately,\nhalf the children’s families were headed by young, single mothers and the majority were\nsurviving on unemployment or sickness beneﬁts. In 85% of the families, the primary\ncaregiver had left school at or before the age of 16 years. Most families lived on council\nestates and ethnicity comprised approximately 90% White and 10% Asian. All children\ncame from homes in which English was the primary spoken language.[¬e]""']",,NA,NA,,"['Page 7:\n[¬s]""30[¬e]""']",30,,"['Page 7:\n[¬s]""30[¬e]""']",30,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 7:\n[¬s]""Six families assigned to the intervention condition failed to complete the\nprogramme due to moving out of the area, producing a ﬁnal sample of 30 children that\nparticipated in the post-intervention assessments.[¬e]""']",NA,,"['Page 7:\n[¬s]""Six families assigned to the intervention condition failed to complete the\nprogramme[¬e]""']",10,,NA,8,
77945731,Hong (2012),2012,['EY_Self-regulation strategies'],NA,,['EY_January 2023'],67,"['Page 1:\n[¬s]""104 children[¬e]""', 'Page 3:\n[¬s]""RT (n = 35)""\n""RT + EI (n = 37)[¬e]""']",,['Mixed gender'],"['Page 1:\n[¬s]""Participants included 104 children (51 boys)[¬e]""']",51.45,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 6:\n[¬s]""RT""\n""35[¬e]""']",35,,"['Page 6:\n[¬s]""32[¬e]""']",32,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""35[¬e]""']",35,,"['Page 6:\n[¬s]""32[¬e]""']",32,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
38224234,Klauer (1992),1992,"['Metacognition and self-regulation', 'EY_Communication and language approaches', 'EY_Self-regulation strategies']",NA,,"['MT_Sept_2021', 'EY_January 2023']",16,"['Page 13:\n[¬s]"" 16 children and how they were matched to form eight pairs.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,NA,NA,,NA,NA,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,"['Page 13:\n[¬s]""eight pairs[¬e]""']",8,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
75313918,Liu (2015),2015,['EY_Self-regulation strategies'],NA,,['EY_January 2023'],36,"['Page 4:\n[¬s]""36[¬e]""']",,['Mixed gender'],"['Page 3:\n[¬s]""a training group (N = 20; 12 boys, mean age: 4.87 ± 0.26 years) or a control group (N = 20;\n10 boys, mean age: 4.88 ± 0.20 years).[¬e]""']",45,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 3:\n[¬s]""20[¬e]""']",20,,"['Page 3:\n[¬s]""20[¬e]""']",20,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""16 in the training group[¬e]""']",9,,"['Page 4:\n[¬s]""d 20 in the control group (10 boys,[¬e]""']",10,,"['Page 5:\n[¬s]""girl[¬e]""']",7,,"['Page 5:\n[¬s]""girls[¬e]""']",10,,['Yes'],NA,NA,,NA,10,,NA,10,
75313894,O'Connor (2014),2014,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,,['EY_January 2023'],329,"['Page 2:\n[¬s]""Data on 435 students[¬e]""', 'Page 4:\n[¬s]""Most\nparent–child dyads (n ⫽ 329) enrolled in the study when the\nchildren were in kindergarten. T[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""Half (52%) of the children were boys.[¬e]""']",48,,87,"['Page 4:\n[¬s]""Eighty-seven percent of the children qualified for free or reduced-\nprice lunch program[¬e]""']",,NA,"['Page 2:\n[¬s]""Twenty-two urban\nelementary schools serving low-income families[¬e]""', 'Page 4:\n[¬s]""Approximately 75% of children were Black,\nnon-Hispanic; 16% were Hispanic, non-Black; and the remaining\nchildren were biracial. A[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""Half of the children were in the\nINSIGHTS program (n ⫽ 225)[¬e]""']",225,,"['Page 5:\n[¬s]""the remaining child participants\n(n ⫽ 210) were enrolled in the attention-control condition[¬e]""']",210,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""Most\nparent–child dyads (n ⫽ 329) enrolled in the study when the\nchildren were in kindergarten. T[¬e]""']",165,,"['Page 4:\n[¬s]""Most\nparent–child dyads (n ⫽ 329) enrolled in the study when the\nchildren were in kindergarten. T[¬e]""']",164,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 7:\n[¬s]""Missing data analysis. For the child-level variables, there\nwas 0%–20% missing data across study variables""\n""To achieve\nmaximum power given the sample size (n ⫽ 435), individual\nstudents who were missing data points were compared with stu-\ndents who were not missing data points on all baseline character-\nistics.[¬e]""']",attrition is reported in relation to missingness for specific variables,,NA,NA,,NA,NA,
75313896,Pears (2014),2014,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,,['EY_January 2023'],29,"['Page 26:\n[¬s]""KITS Group (n = 25)""\n""SAU Group (n = 14)[¬e]""']",,['Mixed gender'],"['Page 6:\n[¬s]""There were no significant\ndifferences between the KITS and SAU groups on any of the demographic variables except\nfor the significantly higher proportion of girls in the SAU group than in the KITS group,[¬e]""']",NA,,85.5,"['Page 12:\n[¬s]""There were no significant differences between the proportions of\nFRL eligible families in the KITS group in the general population of the KITS schools (87\nand 84%, respectively;[¬e]""']",,NA,"['Page 1:\n[¬s]""with families\nfrom disadvantaged neighborhoods.[¬e]""', 'Page 12:\n[¬s]""Statistics on the number of families receiving FRL\nwere available for each of the schools during the previous school year. For each family\nparticipating in the pilot study, the parent report of family income and size was used to\ndetermine eligibility for FRL using the federal eligibility levels for the previous school year.\nFor example, a child in a family of five whose annual income was at or below $47,712\nwould qualify for FRL[¬e]""']",,NA,NA,,"['Page 26:\n[¬s]""KITS Group (n = 25)[¬e]""']",25,,"['Page 26:\n[¬s]""SAU Group (n = 14)[¬e]""']",14,,NA,NA,,NA,NA,,"['Page 26:\n[¬s]""KITS Group (n = 25)[¬e]""']",25,,"['Page 26:\n[¬s]""SAU Group (n = 14[¬e]""']",14,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40294945,Peskin (2004) MSR,2004,"['Metacognition and self-regulation', 'EY_Communication and language approaches', 'EY_Self-regulation strategies']",NA,,"['MT_Sept_2021', 'EY_January 2023']",48,"['Page 5:\n[¬s]""Participants consisted of 48 children in Junior Kindergarten,""\n""The control group consisted of 24 children,""\n""The experimental group consisted of 24 children,[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""The control group consisted of 24 children, 11 girls and 13 boys;[¬e]""']",43.75,,NA,NA,,NA,"['Page 5:\n[¬s]"" in eight classrooms in schools situated in low-income neighborhoods of Toronto.[¬e]""', 'Page 6:\n[¬s]"" these low SES children[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""The experimental group consisted of 24 children[¬e]""']",24,,"['Page 5:\n[¬s]""The control group consisted of 24 children,[¬e]""']",24,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""Experimental (n = 24)[¬e]""']",24,,"['Page 11:\n[¬s]""Control (n = 24)[¬e]""']",24,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
