id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN
47063511,Barnett (2008),2008,"['Metacognition and self-regulation', 'EY_Self-regulation strategies', 'EY_Play-based learning']",NA,['EY_January 2023'],PPVT-III ,,"The PPVT-III was administered to all children regardless of their home language to obtain a measure of standard English vocabulary development. The PPVT-III (Dunn & Dunn, 1997) is a 204-item test of receptive vocabulary in standard English. The test is administered by having children point to one of four pictures shown when given a word to identify. T",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.22,,0.1059,,Literacy  reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0125,,0.4275,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313870,Blair (2014),2014,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,['EY_January 2023'],EOWPVT - Self regulation,,post-test EOWPVT is a norm-referenced measure ofvocabulary that assesses the child’s ability to use words and requires the child to access and retrieve words from memory,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1553,,0.076,,Literacy  speaking and listening/oral language,,417,,71.73,,16.9,,297,,69.09,,17.1,,0.0062,,0.3043,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313883,Flook (2015),2015,['EY_Self-regulation strategies'],NA,['EY_January 2023'],Grades—Learning  kindness vs control,,School grades  Approaches to Learning (Children’s grades reflecting performance for the second half of the academic year…   Teachers assigned grades using a 4-point scale with higher scores indicating the child met or exceeded expectations) - – kindness-based curriculum vs control (same smd as the authors reported d),,"['Toolkit primary outcome', 'Other outcome']",,0.5484,,0.2686,,Curriculum  other,,25,,3.55,,0.36,,34,,3.33,,0.42,,0.022,,1.0749,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],
55203434,Ford (2009),2009,"['EY_Communication and language approaches', 'EY_Self-regulation strategies', 'Oral language interventions', 'Metacognition and self-regulation', 'Parental engagement', 'EY_Parental engagement']",NA,['EY_January 2023'],Quantity judgments postest ,,Quantity judgments postest table 1 (mathematics as primary outcome as more conservative effect size compared to pre-reading- SR intervention) ,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.8966,,0.2717,,Mathematics,,30,,87.5,,10.6,,30,,73.3,,19.4,,0.364,,1.4292,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
77945731,Hong (2012),2012,['EY_Self-regulation strategies'],NA,['EY_January 2023'],Problem-Solving,,Problem-Solving I Time 2 (0–10)  RT vs control,,"['Toolkit primary outcome', 'Science primary outcome']",,0.4996,,0.2486,,Science,,35,,8.26,,1.87,,32,,7.09,,2.72,,0.0124,,0.9869,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
38224234,Klauer (1992),1992,"['Metacognition and self-regulation', 'EY_Communication and language approaches', 'EY_Self-regulation strategies']",NA,"['MT_Sept_2021', 'EY_January 2023']",Raven's Progressive Matrices test,,"A standardised test of the level of cognitive functioning. [d is as athors’ corrected d (d ‘corrected’ adjusted for pre-test differences, by deducting the d pre-test from d post-test) with the SE taken from the post-test means/SDs effect size’s SE] ",,"['Toolkit primary outcome', 'Other outcome']",,1.24,,0.59,,Cognitive  reasoning,,NA,,NA,,NA,,NA,,NA,,NA,,0.0837,,2.3963,,Primary outcome,,['Sample: High achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
75313918,Liu (2015),2015,['EY_Self-regulation strategies'],NA,['EY_January 2023'],Raven’s Progressive Matrices - Self Regulation,,"Nonverbal abstract rea- soning ability test (Raven’s Colored Progressive Matrices Test, 36 items)",,"['Toolkit primary outcome', 'Other outcome']",,0.7471,,0.3468,,Cognitive  reasoning,,NA,,NA,,NA,,NA,,NA,,NA,,0.0675,,1.4267,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313894,O'Connor (2014),2014,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,['EY_January 2023'],WJ-III Maths  INSIGHTS vs control,,"Applied Problems subtest from WJ-III (Woodcock - (I used T2 as post-test as this was taken at the end of kindergarten after 10 weeks of intervention (the other measures are at Grade 1  I used the total number of those recruited in K only n=329, split it in half to get treatment and control  - further down it says that half of the children were in treatment, half in attention control, 225 and 210 for all sample including Grade 1)  INSIGHTS vs attention control (Maths as primary outcome as there are statistically significant differences at baseline for reading)",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.0384,,0.1103,,Mathematics,,165.0,,16.99,,4.46,,164.0,,17.48,,17.48,,-0.2545,,0.1778,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313896,Pears (2014),2014,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,['EY_January 2023'],DIBELS- LNF  Self Regulation,,Letter Naming Fluency (LNF) from Dynamic Indicators of Basic Early Literacy Skills (DIBELS)  KITS Group  vs control service as usual (SAU) Group ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2395,,0.335,,Literacy  reading other,,25.0,,13.26,,9.93,,14.0,,10.69,,11.51,,-0.4172,,0.8962,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
40294945,Peskin (2004) MSR,2004,"['Metacognition and self-regulation', 'EY_Communication and language approaches', 'EY_Self-regulation strategies']",NA,"['MT_Sept_2021', 'EY_January 2023']",Metacognitive Verb Comprehension Task (f-test),,"This test was based on the comprehension test in Astington and Pelletier (2003). After preliminary training on how to answer forced choice questions, children were told a story with accompanying pictures and eight questions each of which required differentiation between two metacognitive verbs.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.24,,0.29,,Literacy  reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.3284,,0.8084,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
75313922,Pozuelos (2019),2019,['EY_Self-regulation strategies'],NA,['EY_January 2023'],K-BIT IQ fluid and verbal composite ,,aggregated measure of fluid/matrices and verbal IQ K-BIT Kaufman,,"['Toolkit primary outcome', 'Other outcome']",,0.4783,,0.2499,,Cognitive  reasoning,,33.0,,110.9,,11.93,,33.0,,104.6,,14.02,,-0.0115,,0.9681,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313897,Raver (2011),2011,"['Metacognition and self-regulation', 'EY_Self-regulation strategies']",NA,['EY_January 2023'],PPVT Score posttest table 1,,Peabody picture vocab,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1245,,0.0927,,Literacy  reading comprehension,,238.0,,13.81,,4.3,,229.0,,13.27,,4.36,,-0.0571,,0.3061,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313928,Rueda (2012),2012,"['EY_Self-regulation strategies', 'Metacognition and self-regulation']",NA,['EY_January 2023'], K-BIT Verbal - Self Regulation,,K-BIT (Kaufman Brief Intelligence Test) – Verbal intelligence,,"['Toolkit primary outcome', 'Other outcome']",,0.1215,,0.3386,,Cognitive  other,,18.0,,110.0,,12.9,,17.0,,108.5,,11.1,,-0.542,,0.7851,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
75313930,Schmitt (2015),2015,"['EY_Self-regulation strategies', 'Metacognition and self-regulation']",NA,['EY_January 2023'],WJ-Letter-word identiﬁcation  Self Regulation,,Letter-Word Identiﬁcation subtest of the WJ-III (Woodcock Johnson) – post-test means  self regulation vs control (English speaking participants only),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1143,,0.1472,,Literacy  reading other,,82.0,,323.89,,21.2,,106.0,,321.37,,22.54,,-0.1742,,0.4027,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
