id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ta_desc,ta_role,ta_group_size
47063511,Barnett (2008),2008,['Journal article'],"['Metacognition and self-regulation', 'EY_Self-regulation strategies', 'EY_Play-based learning']","['Toolkit primary outcome', 'Reading primary outcome']",0.22,0.1059,['Post-test unadjusted (select one from this group)'],PPVT-III ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.22,0.1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,1,18,['Nursery school/pre-school'],"['3', '4']",TRUE,80.0,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5 ,360 ,"['Toolkit: Metacognition and self-regulation', 'EY_Toolkit: Play-based learning']",NA,NA,NA
75313870,Blair (2014),2014,['Journal article'],"['Metacognition and self-regulation', 'EY_Self-regulation strategies']","['Toolkit primary outcome', 'Reading primary outcome']",0.1553,0.076,['Post-test unadjusted (select one from this group)'],EOWPVT - Self regulation,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1553,0.076,NA,NA,NA,['Mathematics primary outcome'],0.1496,0.0762,NA,NA,NA,NA,NA,NA,759,29,79,['Primary/elementary school'],"['5', '6']",FALSE,48.5,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",22,5,360,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
75313883,Flook (2015),2015,['Journal article'],['EY_Self-regulation strategies'],"['Toolkit primary outcome', 'Other outcome']",0.5484,0.2686,['Post-test unadjusted (select one from this group)'],Grades—Learning  kindness vs control,With business as usual,['Sample: All'],Curriculum  other,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,6,7,['Primary/elementary school'],['4'],FALSE,37.9,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],12,1,25,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
55203434,Ford (2009),2009,['Journal article'],"['EY_Communication and language approaches', 'EY_Self-regulation strategies', 'Oral language interventions', 'Metacognition and self-regulation', 'Parental engagement', 'EY_Parental engagement']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.8966,0.2717,['Post-test unadjusted (select one from this group)'],Quantity judgments postest ,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],['Reading primary outcome'],1.5095,0.2949,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.8966,0.2717,NA,NA,NA,NA,NA,NA,60,NA,NA,['Nursery school/pre-school'],"['3', '4']",TRUE,100.0,['Wales'],['Individual RCT'],['One to one'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Parents/carers'],38,3,20,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
77945731,Hong (2012),2012,['Journal article'],['EY_Self-regulation strategies'],"['Toolkit primary outcome', 'Science primary outcome']",0.4996,0.2486,['Post-test unadjusted (select one from this group)'],Problem-Solving,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.4996,0.2486,NA,NA,NA,67,NA,18,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Multisite RCT'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],2,2,15,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
38224234,Klauer (1992),1992,['Journal article'],"['Metacognition and self-regulation', 'EY_Communication and language approaches', 'EY_Self-regulation strategies']","['Toolkit primary outcome', 'Other outcome']",1.24,0.59,['Post-test adjusted for baseline attainment'],Raven's Progressive Matrices test,With business as usual,['Sample: High achievers'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,['Nursery school/pre-school'],"['4', '5', '6']",NA,NA,['Germany'],['Individual RCT'],['One to one'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],3 ,5,18,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
75313918,Liu (2015),2015,['Journal article'],['EY_Self-regulation strategies'],"['Toolkit primary outcome', 'Other outcome']",0.7471,0.3468,['Post-test unadjusted (select one from this group)'],Raven’s Progressive Matrices - Self Regulation,With active control,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,1,['Nursery school/pre-school'],"['4', '5']",NA,NA,['China'],['Individual RCT'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Digital technology'],3,4,15,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
75313894,O'Connor (2014),2014,['Journal article'],"['Metacognition and self-regulation', 'EY_Self-regulation strategies']","['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0384,0.1103,['Post-test unadjusted (select one from this group)'],WJ-III Maths  INSIGHTS vs control,With active control,['Sample: All'],Mathematics,['Test type: Standardised test '],['Reading primary outcome'],-0.3344,0.111,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0384,0.1103,NA,NA,NA,NA,NA,NA,329,22,122,['Primary/elementary school'],"['4', '5', '6', '7']",TRUE,87.0,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Research staff', 'Class teachers', 'Parents/carers']",10,5,45,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
75313896,Pears (2014),2014,['Journal article'],"['Metacognition and self-regulation', 'EY_Self-regulation strategies']","['Toolkit primary outcome', 'Reading primary outcome']",0.2395,0.335,['Post-test unadjusted (select one from this group)'],DIBELS- LNF  Self Regulation,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2395,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,NA,['Primary/elementary school'],['4'],TRUE,85.5,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",16,2,120,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
40294945,Peskin (2004) MSR,2004,['Journal article'],"['Metacognition and self-regulation', 'EY_Communication and language approaches', 'EY_Self-regulation strategies']","['Toolkit primary outcome', 'Reading primary outcome']",0.24,0.29,['Post-test adjusted for baseline attainment'],Metacognitive Verb Comprehension Task (f-test),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.24,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,8,['Primary/elementary school'],"['4', '5']",NA,NA,['Canada'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],"['During regular school hours ', 'Evenings and/or weekends']","['Research staff', 'Class teachers', 'Parents/carers']",4,3,not specified ,['Toolkit: Metacognition and self-regulation'],NA,NA,NA
