id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
48091547,Al-Naqbi (2014),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048201,Bailey (2006),"['Toolkit primary outcome', 'Reading primary outcome']",,Post-Inference Test Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048207,Bartelet (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Cito test (Math),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048212,Bell (2015),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Unit 2 Test Scores,['Other outcome'],Secondary outcome(s),Unit 3 Test Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091564,Chao (2015),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Learning Achievement Post-Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091565,Clark (2013),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Unit test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091535,Dadas (1976),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mid-Year Algebra Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048252,Davis (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Texas Reading Primary Inventory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048260,Duffy (2016),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Post test ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048268,Esperanza (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,California Standard Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048273,Flansburg (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,NWEA MAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048274,Flick (2019),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Benchmark Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091499,Foyle (1984) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,social studies researcher made posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57768739,Foyle (1984) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,postest researchers ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
