id,pub_author,pub_year,out_edu_raw,out_edu_type_raw,sch_complet_raw,out_unders_pop_ht,out_unders_type_raw,out_teach,out_teach_type_info,follow_up_raw,out_tit_schl_enrol,out_desc_schl_enrol,out_type_schl_enrol,smd_schl_enrol,se_schl_enrol,out_measure_schl_enrol,out_g1_n_schl_enrol,out_g1_mean_schl_enrol,out_g1_sd_schl_enrol,out_g2_n_schl_enrol,out_g2_mean_schl_enrol,out_g2_sd_schl_enrol,ci_lower_schl_enrol,ci_upper_schl_enrol,out_label_schl_enrol,out_samp_schl_enrol,out_comp_schl_enrol,out_es_type_schl_enrol,out_test_type_raw_schl_enrol,out_tit_ret_ed,out_desc_ret_ed,out_type_ret_ed,smd_ret_ed,se_ret_ed,out_measure_ret_ed,out_g1_n_ret_ed,out_g1_mean_ret_ed,out_g1_sd_ret_ed,out_g2_n_ret_ed,out_g2_mean_ret_ed,out_g2_sd_ret_ed,ci_lower_ret_ed,ci_upper_ret_ed,out_label_ret_ed,out_samp_ret_ed,out_comp_ret_ed,out_es_type_ret_ed,out_test_type_raw_red_ed,out_tit_attend,out_desc_attend,out_type_attend,smd_attend,se_attendance,out_measure_attend,out_g1_n_attend,out_g1_mean_attend,out_g1_sd_attend,out_g2_n_attend,out_g2_mean_attend,out_g2_sd_attend,ci_lower_attend,ci_upper_attend,out_label_attend,out_samp_attend,out_comp_attend,out_es_type_attend,out_test_type_raw_attend,out_tit_abs,out_desc_abs,out_type_abs,smd_abs,se_abs,out_measure_abs,out_g1_n_abs,out_g1_mean_abs,out_g1_sd_abs,out_g2_n_abs,out_g2_mean_abs,out_g2_sd_abs,ci_lower_abs,ci_upper_abs,out_label_abs,out_samp_abs,out_comp_abs,out_es_type_abs,out_test_type_raw_abs,out_tit_time_schl,out_desc_time_schl,out_type_time_schl,smd_time_schl,se_time_schl,out_measure_time_schl,out_g1_n_time_schl,out_g1_mean_time_schl,out_g1_sd_time_schl,out_g2_n_time_schl,out_g2_mean_time_schl,out_g2_sd_time_schl,ci_lower_time_schl,ci_upper_time_schl,out_label_time_schl,out_samp_time_schl,out_comp_time_schl,out_es_type_time_schl,out_test_type_raw_time_schl,out_tit_dropout,out_desc_dropout,out_type_dropout,smd_dropout,se_dropout,out_measure_dropout,out_g1_n_dropout,out_g1_mean_dropout,out_g1_sd_dropout,out_g2_n_dropout,out_g2_mean_dropout,out_g2_sd_dropout,ci_lower_dropout,ci_upper_dropout,out_label_dropout,out_samp_dropout,out_comp_dropout,out_es_type_dropout,out_test_type_raw_dropout,out_tit_ret,out_desc_ret,out_type_ret,smd_ret,se_ret,out_measure_ret,out_g1_n_ret,out_g1_mean_ret,out_g1_sd_ret,out_g2_n_ret,out_g2_mean_ret,out_g2_sd_ret,ci_lower_ret,ci_upper_ret,out_label_ret,out_samp_ret,out_comp_ret,out_es_type_ret,out_test_type_raw_ret,out_tit_grad_comp,out_desc_grad_comp,out_type_grad_comp,smd_grad_comp,se_grad_comp,out_measure_grad_comp,out_g1_n_grad_comp,out_g1_mean_grad_comp,out_g1_sd_grad_comp,out_g2_n_grad_comp,out_g2_mean_grad_comp,out_g2_sd_grad_comp,ci_lower_grad_comp,ci_upper_grad_comp,out_label_grad_comp,out_samp_grad_comp,out_comp_grad_comp,out_es_type_grad_comp,out_test_type_raw_grad_comp,out_tit_school_comp,out_desc_school_comp,out_type_school_comp,smd_school_comp,se_school_comp,out_measure_school_comp,out_g1_n_school_comp,out_g1_mean_school_comp,out_g1_sd_school_comp,out_g2_n_school_comp,out_g2_mean_school_comp,out_g2_sd_school_comp,ci_lower_school_comp,ci_upper_school_comp,out_label_school_comp,out_samp_school_comp,out_comp_school_comp,out_es_type_school_comp,out_test_type_raw_school_comp,out_tit_next_grade,out_desc_next_grade,out_type_next_grade,smd_next_grade,se_next_grade,out_measure_next_grade,out_g1_n_next_grade,out_g1_mean_next_grade,out_g1_sd_next_grade,out_g2_n_next_grade,out_g2_mean_next_grade,out_g2_sd_next_grade,ci_lower_next_grade,ci_upper_next_grade,out_label_next_grade,out_samp_next_grade,out_comp_next_grade,out_es_type_next_grade,out_test_type_raw_next_grade,out_tit_grade_rep,out_desc_grade_rep,out_type_grade_rep,smd_grade_rep,se_grade_rep,out_measure_grade_rep,out_g1_n_grade_rep,out_g1_mean_grade_rep,out_g1_sd_grade_rep,out_g2_n_grade_rep,out_g2_mean_grade_rep,out_g2_sd_grade_rep,ci_lower_grade_rep,ci_upper_grade_rep,out_label_grade_rep,out_samp_grade_rep,out_comp_grade_rep,out_es_type_grade_rep,out_test_type_raw_grade_rep,out_tit_other_outcome,out_desc_other_outcome,out_type_other_outcome,smd_other_outcome,se_other_outcome,out_measure_other_outcome,out_g1_n_other_outcome,out_g1_mean_other_outcome,out_g1_sd_other_outcome,out_g2_n_other_outcome,out_g2_mean_other_outcome,out_g2_sd_other_outcome,ci_lower_other_outcome,ci_upper_other_outcome,out_label_other_outcome,out_samp_other_outcome,out_comp_other_outcome,out_es_type_other_outcome,out_test_type_raw_other_outcome,intervention_type,commercial_mat_prov,homemade_mat_prov,use_material_instruct_provided,dist_freq_info,increased_toilets_info,toilet_pupil_ratio_info,improved_facilities,wash_component_other_info,wash_component_provided_unclear,no_WASH_component,girl_friendly_comp,girl_friendly_other,calendar_track_cycle,hardware_char_other_info,hardware_char_unclear,hardware_char_na,software_char,software_char_focus,software_char_frequency,intervention_dur_info,intervention_dur_na_info,int_deliv,intervention_deliv_printed_sources_info,intervention_deliv_elec_sources_info,intervention_deliv_other_info,int_recip,intervention_recip_other_info,teach_train_comp_info,cash_transfer_comp,health_outcomes_info,health_outcomes_menst_health_info,health_outcomes_sexual_health_info,health_outcomes_pregnancy_info,health_outcomes_other_info,health_outcomes_repro_tract_inf
59412491,Austrian (2020) 1_1,2020,NA,"['Attendance', 'Other']",['Primary education (ISCED Level 1)'],['No'],NA,['No'],NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attendance outcome,Mean and SD for number of days attended out of 60,['Attendance outcome'],0.0625,0.0564,Attendance: Attendance rate,632,627,56,55.6,6.3,6.5,-0.048,0.173,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,School Engagement,"Mean and SD for school engagement, 0-8 score constructed as the number of responses reflecting engagement to eight agree/disagree ",['Other outcome'],0,0.0578,Attendance: Time in school,606,593,6.8,6.8,1.3,1.4,-0.1132,0.1132,Additional educational outcomes,NA,With business as usual,NA,NA,['Hardware'],['Underwear'],['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,['No girl-friendly component'],NA,NA,NA,NA,NA,"['Not applicable, hardware intervention only']",['Information not provided/Unclear'],NA,NA,NA,['Not provided/Unclear'],NA,NA,NA,['Information not provided/unclear'],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],"['Menstrual behaviours/health', 'Sexual behaviours/health']","monitoring or menstrual management, i.e. checking whether there are enough pads",tests on reproductive health and attitudes (no sig. difference between the control and pads only group ,NA,NA,NA
54096835,Austrian (2020) 1_2,2020,NA,['Attendance'],['Lower secondary education (ISCED Level 2)'],['No'],NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Software'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Not applicable, software intervention only']",['Information not provided/Unclear'],['Understanding'],NA,NA,NA,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['No health outcomes recorded'],NA,NA,NA,NA,NA
59412494,Austrian (2020) 1_3,2020,NA,"['Attendance', 'Other']",['Primary education (ISCED Level 1)'],['No'],NA,NA,NA,['Yes'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attendance,Attendance over the 60 day period in which students were monitored,['Attendance outcome'],0.0952,0.0559,Attendance: Attendance rate,656,627,56.2,55.6,6.1,6.5,-0.0143,0.2047,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,School Engagement,School engagement means and SD's from the posttest in which ppts were given a score of 0-8 on questionnaire regarding concentration during etc,['Other outcome'],0.0741,0.0572,NA,633,593,6.9,6.8,1.3,1.4,-0.038,0.1861,Additional educational outcomes,NA,With business as usual,NA,NA,['Combined Intervention'],"['Absorbents', 'Underwear']",['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,not provided but participants were given 25 sessions from over approximately an 18 month period,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],"['Menstrual behaviours/health', 'Sexual behaviours/health']",interviews regarding menstruation management,NA,NA,NA,NA
54096837,Benshaul-Tolonen (2019) 1_1,2019,NA,['Absenteeism'],['Lower secondary education (ISCED Level 2)'],['No'],NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Hardware'],['Absorbents'],['No commercial materials provided'],['Information not provided/Unclear'],one reusable menstrual cup provided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,only provided menstrual cup once and monitored for 10 months,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['No health outcomes recorded'],NA,NA,NA,NA,NA
59412502,Benshaul-Tolonen (2019) 1_2,2019,NA,['Absenteeism'],"['Primary education (ISCED Level 1)', 'Lower secondary education (ISCED Level 2)']",NA,NA,NA,NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absenteeism (Spot-checls),"Mean and SD for absenteeism durin random spot-checks conducted by researchers, sanitary pad group vs control. ",['Absence outcome'],-0.0529,0.1129,Attendance: Absence rate,214,124,0.126,0.144,0.332,0.352,-0.2741,0.1683,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Hardware'],NA,['No commercial materials provided'],"['Yes, instructions provided']",monthly,NA,NA,['Provision of soap or disinfectant'],NA,NA,NA,['No girl-friendly component'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Female students'],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],['No health outcomes recorded'],NA,NA,NA,NA,NA
54005537,Dolan (2014) 1_1,2014,NA,['Attendance'],['Lower secondary education (ISCED Level 2)'],['No'],NA,['No'],NA,['Yes'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attendance (Education only vs control),Attendance (Education only vs control)  Post-treatment means/SD,['Attendance outcome'],0.6751,0.2695,Attendance: Attendance rate,25,35,91.36,83.21,8.31,13.91,0.1468,1.2033,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Combined Intervention'],['Underwear'],['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Information not provided/Unclear '],NA,['Information not provided/Unclear'],['Information not provided/Unclear'],NA,152,approx 5 months,['Not provided/Unclear'],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['No health outcomes recorded'],NA,NA,NA,NA,NA
59412529,Dolan (2014) 1_2,2014,NA,['Attendance'],NA,['No'],NA,['No'],NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attendance,"Attendance  Pads+Educa vs control (Percent of school days attended across sites over time)  Means, SDs post-test (they say that there are no differences in baseline btu don't seems very similar either, non-randomised trial)",['Attendance outcome'],0.4987,0.2159,Attendance: Attendance rate,60,35,90.986,83.21,16.294,13.91,0.0756,0.9219,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Combined Intervention'],"['Underwear', 'Provided but detail lacking/unclear']","['Underwear', 'Provided but detail lacking/unclear']",['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,['Calendar to track cycle'],NA,NA,NA,NA,['Information not provided/Unclear'],['Information not provided/Unclear'],155,NA,['Not provided/Unclear'],NA,NA,NA,['Female students'],NA,['Information not provided/Unclear'],['No cash transfer included'],['Other'],NA,NA,NA,mental health - well being,NA
54096567,Montgomery (2016),2016,NA,['Attendance'],NA,['No'],NA,NA,NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attendance,Pad provision and education vs control in girls' school attendance,['Attendance outcome'],0.0973,0.1391,Attendance: Attendance rate,198,70,64.31,61.62,26.71,29.93,-0.1754,0.3699,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attendance (Ed Only),Education only vs control for girls' school attendance ,['Other outcome'],0.5289,0.1424,Attendance: Attendance rate,184,70,76.56,61.62,27.47,29.93,0.2497,0.808,,NA,With business as usual,NA,NA,['Combined Intervention'],NA,['No commercial materials provided'],['Information not provided/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Information not provided/Unclear '],NA,NA,['Understanding'],['One-off session'],730,NA,['Healthcare worker '],NA,NA,NA,['Female students'],NA,['No training provided'],['No cash transfer included'],['Menstrual behaviours/health'],"measured accurate knowledge about girls' own menstruation, measurements of feelings of shame associated with menstruation after the intervention ",NA,NA,NA,NA
54005533,Oster (2009),2009,NA,['Attendance'],['Lower secondary education (ISCED Level 2)'],['No'],NA,['No'],NA,['No'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,school attendance,attendance on days of menstruation treatment v control,['Attendance outcome'],0.077,0.035,Attendance: Absence rate,NA,NA,NA,NA,NA,NA,0.0084,0.1456,Additional educational outcomes,NA,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Hardware'],NA,['No commercial materials provided'],"['Yes, instructions provided']",NA,NA,NA,NA,NA,NA,NA,['No girl-friendly component'],NA,['Calendar to track cycle'],NA,NA,NA,"['Not applicable, hardware intervention only']",NA,NA,450,NA,['Healthcare worker '],NA,NA,NA,"['Female students', 'Mothers']",NA,['No training provided'],"['Yes, cash transfer included']","['Menstrual behaviours/health', 'No health outcomes recorded']",NA,NA,NA,NA,NA
54005536,Oster (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Hardware'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
