id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
38224168,Adey (1990),1990,['Metacognition and self-regulation'],NA,Piagetian Reasoning Task-Main Experiment (Gain Score),,The main test instruments used were Piagetian Reasoning Tasks. Recently completed reanalysis of the tasks using Rasch scaling has enabled the task item level and the person level to be estimated on the same scale. This permits a greater degree of precision on the ascription of a level to a person.,,"['Toolkit primary outcome', 'Other outcome']",,0.2025,,0.1006,,Cognitive: reasoning,,190,,0.87,,1.03,,208,,0.66,,1.04,,0.0053,,0.3997,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224167,Adey (2002),2002,['Metacognition and self-regulation'],NA,Drawing (ANCOVA),,"This test is based on original Piagetian protocols. It assesses children 's ability to perceive the horizontality of the surface of water in a bottle as the bottle is tilted, and the verticality of a plumb line under similar circumstances.",,"['Toolkit primary outcome', 'Other outcome']",,0.54,,0.1,,Cognitive: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.344,,0.736,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38223978,Aleven (2002) 1_1,2002,['Metacognition and self-regulation'],NA,Geometry Test (ANOVA),,Six test forms were created and assigned them randomly to students to counter- balance for test difficulty. The same forms were used for the pretest and the post-test. Each test form included six problems for a total of 30–33 test items per form. The tests included regular items as well as transfer items.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,2.6,,0.4,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,1.816,,3.384,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Geometry Test (ANOVA),,Six test forms were created and assigned them randomly to students to counter- balance for test difficulty. The same forms were used for the pretest and the post-test. Each test form included six problems for a total of 30–33 test items per form. The tests included regular items as well as transfer items.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,2.6,,0.4,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,1.816,,3.384,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40294883,Aleven (2002) 1_2,2002,['Metacognition and self-regulation'],NA,Geometry Test  (Answer)- Metacognition,,Post-test unadjusted mean score of a Geometry test. Students were asked to compute an unknown quantity in a given geometry problem.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.076,,0.3133,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.538,,0.69,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Geometry Test  (Answer)- Metacognition,,Post-test unadjusted mean score of a Geometry test. Students were asked to compute an unknown quantity in a given geometry problem.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.076,,0.3133,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.538,,0.69,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224142,Alfassi (1998),1998,['Metacognition and self-regulation'],NA,MGRT - Reading Comprehension (posttest means/SDs),,"The comprehension subtest includes 14 short passages of narrative and exposi­ tory text, 60 to 130 words long, followed by several multiple-choice questions. The questions tap understanding of details as well as whether students can integrate information in the passages. At least half the questions cover understanding of inferences and implications suggested by the text. The content of the passages represents the content found in most public schools (e.g., social sciences, natural sciences, and the arts). ",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2315,,0.2544,,Literacy: reading comprehension,,53,,42.29,,13.6,,22,,45.33,,11.37,,-0.73,,0.2671,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,MGRT - Reading Comprehension (posttest means/SDs),,"The comprehension subtest includes 14 short passages of narrative and exposi­ tory text, 60 to 130 words long, followed by several multiple-choice questions. The questions tap understanding of details as well as whether students can integrate information in the passages. At least half the questions cover understanding of inferences and implications suggested by the text. The content of the passages represents the content found in most public schools (e.g., social sciences, natural sciences, and the arts). ",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2315,,0.2544,,Literacy: reading comprehension,,53,,42.29,,13.6,,22,,45.33,,11.37,,-0.73,,0.2671,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38223979,Allen (2008),2008,['Metacognition and self-regulation'],NA,Oregon State Assessment (gain score mean/SDs),,This assessment has been given each year to all Oregon students in grades 4-6. It was designed to measure whether students have mastered the benchmark grade level expectations in reading. Reading passages from a variety of genres are each followed with multiple choice questions.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5385,,0.1822,,Literacy: reading comprehension,,63,,2.29,,5.75,,62,,-0.94,,6.17,,0.1813,,0.8956,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,Oregon State Assessment (gain score mean/SDs),,This assessment has been given each year to all Oregon students in grades 4-6. It was designed to measure whether students have mastered the benchmark grade level expectations in reading. Reading passages from a variety of genres are each followed with multiple choice questions.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5385,,0.1822,,Literacy: reading comprehension,,63,,2.29,,5.75,,62,,-0.94,,6.17,,0.1813,,0.8956,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224037,Allsopp (1997),1997,['Metacognition and self-regulation'],NA,Algebra and Word solving,,Post-test measuring basic algebra equation and word problem-solving ability.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1128,,0.125,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1322,,0.3578,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Algebra and Word solving,,Post-test measuring basic algebra equation and word problem-solving ability.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1128,,0.125,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1322,,0.3578,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38224143,Alvermann (1988),1988,['Metacognition and self-regulation'],NA,Reading Ability (ANCOVA),,Reading passages were taken from two social studies texts used at the subjects' grade level. ach passage was distributed over three pages. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4,,0.25,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.09,,0.89,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,Reading Ability (ANCOVA),,Reading passages were taken from two social studies texts used at the subjects' grade level. ach passage was distributed over three pages. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4,,0.25,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.09,,0.89,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38223819,Anderson (2001),2001,['Metacognition and self-regulation'],NA,Draft outline (Strong justification) - Metacognition,,Post-test mean number of strongly justified assertions in a draft of students' written work. ,,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.424,,0.2679,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,-0.101,,0.949,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38223935,Andre (1978) 1_1,1978,['Metacognition and self-regulation'],NA,Achievement Test (f-test),,"The criterion measure was a 20-item constructed-response- type achievement test. Ten items were constructed for each of the 3 passages, but only 20 items were used for any one student since each student read only 2 passages. One-half of the items assessed passage main ideas and the other half assessed details. Each test item was typed on a separate page and the order of the items was determined ran",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.78,,0.39,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0156,,1.5444,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,Achievement Test (f-test),,"The criterion measure was a 20-item constructed-response- type achievement test. Ten items were constructed for each of the 3 passages, but only 20 items were used for any one student since each student read only 2 passages. One-half of the items assessed passage main ideas and the other half assessed details. Each test item was typed on a separate page and the order of the items was determined ran",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.78,,0.39,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0156,,1.5444,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
