id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
38224168,Adey (1990),1990,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",0.2025,0.1006,['Pre-post gain'],Piagetian Reasoning Task-Main Experiment (Gain Score),With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,8,NA,"['Middle school', 'Secondary/High school']","['11', '12', '13']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],66,0.5 ,70,['Toolkit: Metacognition and self-regulation']
38224167,Adey (2002),2002,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Other outcome']",0.54,0.1,['Post-test adjusted for baseline attainment'],Drawing (ANCOVA),With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,15,22,['Primary/elementary school'],"['5', '6']",FALSE,21.4,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],33,1,35,['Toolkit: Metacognition and self-regulation']
38223978,Aleven (2002) 1_1,2002,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",2.6,0.4,['Post-test adjusted for baseline attainment'],Geometry Test (ANOVA),With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.6,0.4,NA,NA,NA,NA,NA,NA,24,1,NA,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Digital technology'],NA,5,50,['Toolkit: Metacognition and self-regulation']
40294883,Aleven (2002) 1_2,2002,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.076,0.3133,['Post-test unadjusted (select one from this group)'],Geometry Test  (Answer)- Metacognition,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.076,0.3133,NA,NA,NA,NA,NA,NA,41,1,NA,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Digital technology'],33,5,50,['Toolkit: Metacognition and self-regulation']
38224142,Alfassi (1998),1998,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2315,0.2544,['Post-test unadjusted (select one from this group)'],MGRT - Reading Comprehension (posttest means/SDs),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2315,0.2544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,2,NA,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",4,5,45,['Toolkit: Metacognition and self-regulation']
38223979,Allen (2008),2008,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5385,0.1822,['Pre-post gain'],Oregon State Assessment (gain score mean/SDs),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5385,0.1822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,1,10,['Primary/elementary school'],"['9', '10', '11', '12']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],10,2,30,['Toolkit: Metacognition and self-regulation']
38224037,Allsopp (1997),1997,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1128,0.125,['Post-test unadjusted (select one from this group)'],Algebra and Word solving,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1128,0.125,NA,NA,NA,NA,NA,NA,262,3,14,['Middle school'],"['13', '14', '15', '12']",FALSE,28.0,['USA'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],5,3,30,['Toolkit: Metacognition and self-regulation']
38224143,Alvermann (1988),1988,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.25,['Post-test adjusted for baseline attainment'],Reading Ability (ANCOVA),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1,NA,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],.2,1,55 ,['Toolkit: Metacognition and self-regulation']
38223819,Anderson (2001),2001,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.424,0.2679,['Post-test unadjusted (select one from this group)'],Draft outline (Strong justification) - Metacognition,With business as usual,['Sample: All'],Literacy  writing,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,5,NA,['Further education/junior or community college'],['No information provided'],NA,NA,"['UK (Select all that apply)', 'Scotland']",['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)', 'Other (Explain in notes)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],8,1.2 ,120,['Toolkit: Metacognition and self-regulation']
38223935,Andre (1978) 1_1,1978,['Journal article'],['Metacognition and self-regulation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.78,0.39,['Post-test adjusted for baseline attainment'],Achievement Test (f-test),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.78,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,2,['Secondary/High school'],"['17', '18']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],0.4 ,2,50,['Toolkit: Metacognition and self-regulation']
