id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111324,Aarnoutse (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - peer tutoring (poor listening),['Other outcome'],Secondary outcome(s),Reading comprehension - peer tutoring (normal listening),['Other outcome'],Secondary outcome(s),Listening comprehension - peer tutoring (poor listening),['Other outcome'],Secondary outcome(s),Listening comprehension - peer tutoring (normal listening),['Other outcome'],Secondary outcome(s),Strategic listening - peer tutoring (poor listening),['Other outcome'],Secondary outcome(s),Strategic listening - peer tutoring (normal listening),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111325,Aarnoutse (1998),['Other outcome'],Secondary outcome(s),Reading comprehension - oral language (poor listeners),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language (normal listeners),['Other outcome'],Secondary outcome(s),Strategic listening - oral language (poor listeners),['Other outcome'],Secondary outcome(s),Strategic listening - oral language (normal listeners),['Other outcome'],Secondary outcome(s),Strategic reading - oral language (poor listeners),['Other outcome'],Secondary outcome(s),Strategic reading - oral language (normal listeners),['Other outcome'],Secondary outcome(s),Listening comprehension - oral language (normal listeners),['Other outcome'],SES/FSM outcome,Listening comprehension - oral language (poor listeners),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111424,Ahlfors (1979),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Multuple Choice Definition Test ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269765,Allinder (2001) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT-R Passage Comprehension,['Other outcome'],Secondary outcome(s),WRMT-R Word Attack,['Other outcome'],Secondary outcome(s),WRMT-R Word ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111471,Ammon (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test (PPVT),['Other outcome'],Secondary outcome(s),Sentence Imitation Test (SIT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111425,Anders (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Test - Total Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111637,Aram (2004) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,['Writing and spelling primary outcome.'],Secondary outcome(s),Word Writing (Post-test Means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111536,Aram (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111426,Armstrong (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading ability - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717230,Baker (2000),['Other outcome'],Secondary outcome(s),WRMT-R (Word Identification) Post test scores,['Other outcome'],Secondary outcome(s),Oral Reading Fluency (2nd grade) Post test scores,['Other outcome'],Primary outcome,WRMT-R Word Comprehension-Post test scores,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT-R Passage Comprehension-Post test scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111556,Banks (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Total Reading (T-R) scores all grades,['Mathematics primary outcome'],Secondary outcome(s),Total Math (T-M) scores Grade 4,['Other outcome'],Secondary outcome(s),Total Language Arts Scores (T - L ) scores-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111328,Baumann (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,['Other outcome'],Secondary outcome(s),Reading comprehension - error detection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111427,Baumann (2002),['Other outcome'],Secondary outcome(s),Morphemic Transfer Words in a Passage (16)(Comprehension Dependent Measures)-oral language,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Context Transfer Words in a Passage (15) (Comprehension Dependent Measures)-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111428,Beck (1982),['Other outcome'],Secondary outcome(s),Vocabulary - oral language,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111473,Beck (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-(pre-post gain means/SDs)-KG,['Other outcome'],Secondary outcome(s),PPVT-(pre-post gain means/SDs)-Grade 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111329,Bereiter (1985),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test,['Other outcome'],Secondary outcome(s),Nelson-Denny Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111430,Block (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Combined Grades (3 to 6) - Stanford Comprehension Total Scores,NA,Secondary outcome(s),Grade 3 - Stanford Comprehension Total Scores,NA,Secondary outcome(s),Grade 4 - Stanford Comprehension Total Scores,NA,Secondary outcome(s),Grade 5 - Stanford Comprehension Total Scores,NA,Secondary outcome(s),Grade 6 - Stanford Comprehension Total Scores,NA,Secondary outcome(s),Combined Grades (3 to 6) - Stanford Vocabulary Total Scores,NA,Secondary outcome(s),Grade 6 - Stanford Vocabulary Total Scores,NA,Secondary outcome(s),Grade 3 - Stanford Vocabulary Total Scores,NA,Secondary outcome(s),Grade 4 - Stanford Vocabulary Total Scores,NA,Secondary outcome(s),Grade 5 - Stanford Vocabulary Total Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
