id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
38111324,Aarnoutse (1997),1997,['Oral language interventions'],NA,,47,"['Page 8:\n[¬s]"" 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 8:\n[¬s]""A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance.[¬e]""']",24,,"['Page 8:\n[¬s]""A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance[¬e]""']",23,,NA,NA,,NA,NA,,"['Page 11:\n[¬s]""TABLE II. Means and standard deviations on the selection tests for groups and listening level Experimental group Control group Test One Minute Test Mean SD Listening Comprehension Test Mean SD Poor listening level (« = 16) 20.2 5.3 15.3 4.0 Normal listening level (« = 8) 23.0 6.3 25.1 2.1 Poor Normal listening level listening level (B = 15) (n = 8) 21.0 4.4 16.3 3.4 24.4 2.9 27.9 2.2[¬e]""']",24,,"['Page 11:\n[¬s]""TABLE II. Means and standard deviations on the selection tests for groups and listening level Experimental group Control group Test One Minute Test Mean SD Listening Comprehension Test Mean SD Poor listening level (« = 16) 20.2 5.3 15.3 4.0 Normal listening level (« = 8) 23.0 6.3 25.1 2.1 Poor Normal listening level listening level (B = 15) (n = 8) 21.0 4.4 16.3 3.4 24.4 2.9 27.9 2.2[¬e]""']",23,,NA,NA,,NA,NA,,['No'],"['Page 8:\n[¬s]""In order to select experimental and control students, standardised decoding and general listening comprehension tests were administered to 131 9-11 year old students in four special schools for children with specific learning disabilities and pedagogical problems. In The Netherlands this special school type contains many children with severe reading problems (Van den Bos, 1990) in combination with, on average, normal IQs. All schools were from similar socioeconomic districts and situated in urban areas.""\n""A total of 47 students were selected and, per listening level, assigned to the experimental (w = 24) and control (w= 23) groups. The experimental group students consisted of 16 students, who were very poor at decoding and poor at listening comprehension and eight students with a very poor decoding perfor- mance and a normal listening comprehension performance.[¬e]""']",NA,,NA,NA,,NA,NA,
38111325,Aarnoutse (1998),1998,['Oral language interventions'],NA,,95,"['Page 3:\n[¬s]""95 students[¬e]""', 'Page 5:\n[¬s]""one experimental group with poor readers (very poor decoding and poor reading comprehension) and poor listening compre- hension (N = 25), one experimental group with poor readers and normal listening comprehension (N = 23), one control group with poor readers and poor listening comprehension (N = 25), and one control group with poor readers and normal listening comprehension (N = 22).[¬e]""']",,['Mixed gender'],"['Page 3:\n[¬s]""(42 girls and 53 boys)[¬e]""']",44,,NA,NA,,NA,"['Page 3:\n[¬s]""All the schools had a high ""school weight,"" which is a combination of ethnic origin, SES, and parental level of education used by the Dutch government to determine school funding. School weights vary from low (get more money) to high.[¬e]""']",,NA,NA,,"['Page 5:\n[¬s]""This yielded four groups: one experimental group with poor readers (very poor decoding and poor reading comprehension) and poor listening compre- hension (N = 25), one experimental group with poor readers and normal listening comprehension (N = 23), one control group with poor readers and poor listening comprehension (N = 25), and one control group with poor readers and normal listening comprehension (N = 22).[¬e]""']",48,,"['Page 5:\n[¬s]"" This yielded four groups: one experimental group with poor readers (very poor decoding and poor reading comprehension) and poor listening compre- hension (N = 25), one experimental group with poor readers and normal listening comprehension (N = 23), one control group with poor readers and poor listening comprehension (N = 25), and one control group with poor readers and normal listening comprehension (N = 22).[¬e]""']",47,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04[¬e]""']",48 (combined),,"['Page 7:\n[¬s]""TABLE 3. Means and Standard Deviations on the Selection Tests for Groups and Listening Level Test Group Experimental Control Poor listening comprehension (È = 25) Normal listening comprehension (if = 23) Poor listening comprehension (II = 25) M SD M SD M SD Normal listening comprehension (if = 22) M SD One-Minute Test Reading Comprehension Test Listening Comprehension Test 23.32 8. 46 17.42 6. 37 17.40 3. 59 27.30 7. 19 25.57 6. 54 27.26 1. 74 23.08 9. 39 16.68 6. 44 17.24 3. 27 27.27 7. 62 24.05 6. 42 27.36 2. 04[¬e]""']",47,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
38111424,Ahlfors (1979),1979,['Oral language interventions'],NA,,40,"['Page 54:\n[¬s]""(20 per treatment group)[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 54:\n[¬s]""20 per treatment group[¬e]""']",20,,"['Page 54:\n[¬s]""20 per treatment group[¬e]""']",20,,NA,NA,,NA,NA,,"['Page 68:\n[¬s]""N = 20[¬e]""']",20,,"['Page 68:\n[¬s]""(N = 20[¬e]""']",20,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 53:\n[¬s]""A total of 105 students participated in various stages of the study. However, all students missing more than five days of[¬e]""', 'Page 54:\n[¬s]""instruction because of absences were eliminated from the final group, leaving a total of 80 students (20 per treatment group).[¬e]""']","Refers to whole sample not just coded sample, no other information given. Additionally only presents analysed sample size for Int & Cont, not recruited sample size of each group. ",,NA,0,,NA,0%,
47269765,Allinder (2001) OL,2001,['Oral language interventions'],NA,,50,NA,,['Mixed gender'],NA,NA,,5%,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""fluency\nstrategy group (n = 33)[¬e]""']",33,,"['Page 3:\n[¬s]""no-strategy group (n = 16).[¬e]""']",16,,NA,NA,,NA,NA,,NA,33,,NA,16,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,2.94%,,NA,2%,
38111471,Ammon (1971),1971,['Oral language interventions'],NA,,48,"['Page 1:\n[¬s]""Seventy-two children were divided equally into vocabulary train- ing, sentence training, and control groups[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""A sample of 72 children, half boys and half girls, was drawn from seven prekiudergarten classes[¬e]""']",50,,NA,NA,,NA,"['Page 2:\n[¬s]""most of them came from lower-class homes[¬e]""']",,NA,NA,,"['Page 1:\n[¬s]""Seventy-two children were divided equally into vocabulary train- ing, sentence training, and control groups.[¬e]""']",24,,NA,24,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 4:\n[¬s]""(23 SUBJECTS PER GROUP)[¬e]""']",24 reduced to 23 in treatment and contol groups,,NA,4.166,,NA,4.166%,
38111425,Anders (1984),1984,['Oral language interventions'],NA,,62,"['Page 4:\n[¬s]""Sixty-two learning disabled high school students attending a large metropolitan high school served as subjects.""\n"" Each group consisted of 31 subjects.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""Each group consisted of 31 subjects. [¬e]""']",31,,"['Page 4:\n[¬s]""Each group consisted of 31 subjects.[¬e]""']",31,,NA,NA,,NA,NA,,NA,31,,NA,31,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
38111637,Aram (2004) OL,2004,['Oral language interventions'],NA,,71,"['Page 5:\n[¬s]""(38 in each intervention group""\n"" 24 children from two other untreated preschools to serve as a control group""\n"" only 71 of these children completed the posttest measures ""\n"" 35 in joint reading)""\n""All 24 children in the control group completed measures at both the pretest and posttest intervals.[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""boy:girl ratio in the preschools was 18:18 for the joint writing group, 17:18 for the joint reading group, and 11:13 for the control group[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],"There is information about the area of Jaffa, but nothing specific about the participants",,"['Page 5:\n[¬s]""In the present study, to evaluate the effectiveness of these two intervention programs, we randomly sampled 76 children (38 in each intervention group) f[¬e]""']",38,,"['Page 5:\n[¬s]""In addition, we sampled 24 children from two other untreated preschools to serve as a control group.[¬e]""']",24,,NA,NA,,NA,NA,,NA,35,,NA,24,,NA,NA,,NA,NA,,['Yes'],"['Page 5:\n[¬s]""We administered pretests to the 76 children sampled from the intervention preschools (38 children in each of the two intervention programs), but only 71 of these children completed the posttest measures (36 children in the joint writing program and 35 in joint reading).[¬e]""']",NA,,"['Page 5:\n[¬s]""We administered pretests to the 76 children sampled from the intervention preschools (38 children in each of the two intervention programs), but only 71 of these children completed the posttest measures (36 children in the joint writing program and 35 in joint reading).[¬e]""']",8,,NA,8,
38111536,Aram (2006),2006,['Oral language interventions'],NA,,75,"['Page 7:\n[¬s]"" 42 children were randomly sampled from each of the three programs and from the comparison group, yielding a total of 168 children.""\n""12 children could not be assessed because they moved out of town or were absent at the time of the assessment. Table 1 presents the characteristics of the sample (n=156).[¬e]""']",,['Mixed gender'],"['Page 8:\n[¬s]""n for gender: boys/girls 18/19 18/20 24/16 22/19[¬e]""']",51,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],"The paper does not given specific socio-economic or FSM info about the students  however does given an overview of the citiens of Jaffa, where the research was carried out",,"['Page 7:\n[¬s]"" 42 children were randomly sampled from each[¬e]""']",42,,"['Page 7:\n[¬s]"" 42 children were randomly sampled from each[¬e]""']",42,,NA,NA,,NA,NA,,NA,37,,NA,38,,NA,NA,,NA,NA,,['Yes'],"['Page 7:\n[¬s]""42 children were randomly sampled from each of the""\n""programs""\n"" At the end of the school year, 12 children could not be assessed because they moved out of town or were absent at the time of the assessment.[¬e]""', 'Page 8:\n[¬s]""Storybook reading program (n=37)""\n""Alphabetic skills program (n=38)[¬e]""']","Highlighted text is for the sample including all three groups, whereas this analysis is only for two groups. Attrition is 12 overall, but just 9 for the groups in this extraction (42+42)-(37+38). ",,"['Page 7:\n[¬s]""42 children were randomly sampled from each[¬e]""', 'Page 8:\n[¬s]""Storybook reading program (n=37)[¬e]""']",11.904,,"['Page 7:\n[¬s]""42 children were randomly sampled from each[¬e]""', 'Page 8:\n[¬s]""Storybook reading program (n=37) Alphabetic skills program (n=38)[¬e]""']",10.714%,
38111426,Armstrong (2000),2000,['Oral language interventions'],NA,,46,"['Page 4:\n[¬s]""46 sixth graders[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,23,,"['Page 42:\n[¬s]""Each class o f 23 students received 45 minutes o f science instruction daily.[¬e]""']",23,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
39717230,Baker (2000),2000,"['One to one tuition', 'Oral language interventions']",NA,,84,"['Page 9:\n[¬s]"" Students in the final sam- ple were those students who participated in the full 2 years of the evaluation: 43 students in the SMART group and 41 students in the comparison group. A[¬e]""']",,['Mixed gender'],"['Page 9:\n[¬s]""There were 44 female students in the sample and 40 males.[¬e]""']",52.38,,NA,NA,,NA,"['Page 9:\n[¬s]"" The schools represented a diverse range of communities, from low income/large city to working class/moderate size-city to rural.[¬e]""']",,NA,NA,,NA,64,,"['Page 9:\n[¬s]"" 63 assigned to the comparison group. [¬e]""']",63,,NA,NA,,NA,NA,,NA,43,,NA,41,,NA,NA,,NA,NA,,['Yes'],"['Page 9:\n[¬s]""ttrition rates over the 2 years were 33% in the SMART program and 35% in the comparison group[¬e]""']",NA,,"['Page 9:\n[¬s]""ttrition rates over the 2 years were 33% in the SMART program [¬e]""']",33,,"['Page 9:\n[¬s]""n. The original sample-those stu- dents who were tested at the beginning of Grade 1-in- cluded 64 assigned to the SMART program and 63 assigned to the comparison group. ""\n"" Students in the final sam- ple were those students who participated in the full 2 years of the evaluation: 43 students in the SMART group and 41 students in the comparison group. A[¬e]""']",34,
