id,pub_author,pub_year
42025124,Arnold (1996),1996
42025125,Austin (1988),1988
42025487,Barhava‐Mònteith (1999),1999
42024853,Barkley (2000),2000
42059739,Beach (2004),2004
42025129,Bermúdez (1990),1990
42024854,Beveridge (1981),1981
47269778,Brickman (2002) PE,2002
42025132,Busco (1991),1991
47269780,Butler (1991) PE,1991
42025488,Chow (2003),2003
42025489,Chow (2008),2008
42025134,Clegg (1971),1971
42025415,Crain-Thoreson (1999),1999
45336725,Crain-Thoreson (1999) PE,1999
42025417,DeBaryshe (2007),2007
42025436,Doering (1994),1994
42024828,Donachy (1976),1976
38296611,Dorsett (2014),2014
42025516,Erion (1994),1994
42025494,Evangelou (2007),2007
42025517,Fantuzzo (1995),1995
42025509,Fielding-Barnsley (2003),2003
42025495,France (1993),1993
42025140,Glass (1978),1978
45336742,Guastello (2001) PE,2001
42025141,Hampton (1998),1998
42025474,Hannon (1987),1987
42025518,Heller (1993),1993
45336749,Henderson (1982) PE,1982
42025142,Henry (1974),1974
42025212,Henry (1974),1974
42025143,Hewison (1988),1988
42024832,Highberger (1973),1973
42025144,Hirst (1972),1972
38296625,Husain (2016),2016
42025475,Jordan (2000),2000
42025422,Justice (2000),2000
42025439,Kiesner (1997),1997
42064877,Kim (2008),2008
42064876,Kim (2010),2010
42059811,Koh (1982),1982
42025146,Kosten (1997),1997
42025476,Kraft (2001),2001
42025477,Leach (1990),1990
42025499,Lonigan (1998),1998
38296639,Lord (2018),2018
42024838,McCormick (1986),1986
42025500,McElvany (2009),2009
42025441,McGrath (1992),1992
42025150,McKinney (1975),1975
42024898,McQueen (1988),1988
42025519,Mehran (1988),1988
42025151,Meteyer (1998),1998
42025479,Miller (1986),1986
42025520,Miller (1996),1996
38296652,Miller (2016),2016
42025502,Morrow (1992),1992
42025503,Morrow (1997),1997
47269856,Nedler (1971) PE,1971
42025153,Nesbitt (1993),1993
42025480,Niedermeyer (1970),1970
42025154,O’Neil (1975),1975
42025158,Overett (1998),1998
42064885,Pagan (2010),2010
42025159,Peeples (1996),1996
42024842,Phillips (1990),1990
45336777,Phillips (1990) PE,1990
42025450,Pigford (1987),1987
42025522,Powell-Smith (2000),2000
42025506,Rasinski (2005),2005
42025507,Reutzel (2005),2005
42025508,Rolla (2006),2006
42025164,Ryan (1964),1964
42025510,Saint-Laurent (2005),2005
42025511,Saracho (1997),1997
42064891,Seward (2009),2009
42024918,Slater (1986),1986
42059780,St Pierre (2005),2005
42024834,Swinson (1985),1985
42025497,Sylva (2008),2008
42025461,Tamayo (1992),1992
38296694,Tracey (2016),2016
42025513,van Tuijl (2001) 1_1,2001
46325712,van Tuijl (2001) 1_2,2001
42025463,Van Voorhis (2003),2003
42059834,Waksman (1979),1979
42025465,Warrick (2000),2000
42059784,Weisberg (1974),1974
42025466,White (1996),1996
42024940,Whitehurst (1994),1994
42025515,Whitehurst (1994),1994
45336798,Whitehurst (1994) PE,1994
42025425,Whitehurst (1999),1999
42025485,Wilks (1988),1988
42025172,Wise (1972),1972
42025173,Woods (1974),1974
