id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,toolkit_version,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
42025124,Arnold (1996),1996,['Parental engagement'],NA,,NA,86,NA,,['Mixed gender'],NA,49,,44,NA,,NA,NA,,NA,NA,,NA,58,,NA,28,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,There is no mention of attrition but the results section indicates no attrition,,NA,0,,NA,0,
42025125,Austin (1988),1988,['Parental engagement'],NA,,NA,154,"['Page 58:\n[¬s]""The sample consisted of 77 parent-child pairs[¬e]""']",,['Mixed gender'],"['Page 75:\n[¬s]""Fifty-seven percent of the subjects In the project\nwere boys and 43% were girls.[¬e]""']",43,,45,"['Page 58:\n[¬s]""Forty-five percent of the students receive\nfree or reduced lunches.[¬e]""']",,NA,"['Page 75:\n[¬s]""Family income levels for participating families\nranged from below $12,000 to above $42,000. Forty-two\npercent of the families had incomes less than $24,000.\nNearly 30% had incomes from $24,000 to $42,000.\nSeventeen percent of the families had incomes above\n$42,000. Approximately 12% of participating families\nrefused to give income levels for their families.[¬e]""']",,NA,NA,,NA,77,,NA,50,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,,NA,29,,NA,17,
42025487,Barhava‐Mònteith (1999),1999,['Parental engagement'],NA,,NA,781,"['Page 2:\n[¬s]"" 77 six-year-old HIPPY children and 704 six-year-old non-HIPPY children[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]"" In order to preserve confidentiality, children\'s names were deleted with teachers marking the results as referring to a HIPPY or non-HIPPY child. This meant no gender or background information was available for this sample, and so it was not possible to measure if the two groups systematically differed in respect to their demographic characteristics.[¬e]""']",Mixed gender implied but this is the extent of the information.,,NA,"['Page 5:\n[¬s]"" the children from these schools tend to come from low-income households.[¬e]""']",,NA,NA,,NA,NA,,NA,77,,NA,704,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
42024853,Barkley (2000),2000,['Parental engagement'],NA,,NA,158,NA,,['Mixed gender'],"['Page 4:\n[¬s]""Randomi-\nzation within gender was done to insure that relatively equal\nnumbers of each sex were assigned to each treatment group.\nThere were 23 boys and 19 girls in the no-treatment group, 29\nboys and 10 girls in the PT group, 27 boys and 10 girls in the\nSTC group, and 26 boys and 14 girls in the combined group.[¬e]""']",33,,NA,"['Page 3:\n[¬s]""drawn\nfrom an urban school district predominated by low-\nincome families.[¬e]""']",,Table 1 on page 325 provides the parents' social class according to Hollingshead scale,NA,,NA,NA,,"['Page 4:\n[¬s]""(2) parent training only (PT, Nl39)[¬e]""']",39,,"['Page 3:\n[¬s]""no-treatment control (Nl42),[¬e]""']",42,,"['Page 4:\n[¬s]""(3) special treatment\nclassroom only (STC, Nl37),[¬e]""']",37 ,,"['Page 4:\n[¬s]""(4) parent training com-\nbined with special classroom (combined, Nl40)[¬e]""']",40,,"['Page 4:\n[¬s]""parent training only (PT, Nl39)[¬e]""']",39,,"['Page 3:\n[¬s]""no-treatment control (Nl42)[¬e]""']",42,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,,NA,337,"['Page 191:\n[¬s]""368 total N number\n252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""', 'Page 191:\n[¬s]""368 total N number\n252 in the comparison group (12% mortality or 32 students)\n93 in die treatment group (9% mortality or 8 students)[¬e]""', 'Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the\nLCSD Kindergarten Readiness Screening (93 children) received treatment in the\nprogram. Those children, who scored above the cut point on the LCSD\nKindergarten Readiness Screening (244 children) were placed in the comparison\ngroup.[¬e]""']",,['No information provided'],NA,NA,,62,"['Page 192:\n[¬s]""62% of participants were on free and reduced lunch[¬e]""']",,NA,NA,,NA,NA,,"['Page 38:\n[¬s]""A cut score was established and the children who scored below the cut point on the LCSD Kindergarten Readiness Screening (93 children) received treatment in the program.""\n""The sample in this study was limited to children who entered\nkindergarten in the LCSD during the 2003-2004 school year.[¬e]""']",93,,"['Page 38:\n[¬s]""Those children, who scored above the cut point on the LCSD Kindergarten Readiness Screening (244 children) were placed in the comparison group.""\n""The sample in this study was limited to children who entered\nkindergarten in the LCSD during the 2003-2004 school year.[¬e]""']",244,,NA,NA,,NA,NA,,NA,93,,NA,244,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
42025129,Bermúdez (1990),1990,['Parental engagement'],NA,,NA,162,"['Page 7:\n[¬s]""A sample of 82 female and 80 male Hispanic students in the primary grades\nparticipated in the study.[¬e]""']",,['Mixed gender'],"['Page 7:\n[¬s]""A sample of 82 female and 80 male Hispanic students in the primary grades\nparticipated in the study.[¬e]""']",50,,NA,NA,,NA,"['Page 7:\n[¬s]""In addition, these s1udents came\nfrom low socioeconomic backgrounds w[¬e]""']",,NA,NA,,NA,84,,NA,78,,NA,NA,,NA,NA,,NA,84,,NA,78,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
42024854,Beveridge (1981),1981,['Parental engagement'],NA,,NA,40,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10[¬e]""', 'Page 4:\n[¬s]""All 40 children were post-tested[¬e]""']",,['Mixed gender'],"['Page 4:\n[¬s]""20 boys and 20 girls[¬e]""']",50,,NA,NA,,NA,"['Page 3:\n[¬s]""The school’s catchment area is mainly inhabited by unskilled working class\nfamilies of the Registrar General’s Social Class V. The surrounding property is a\nvast sprawling estate built also in the early 1930s and was one of Manchester’s first\nhousing complexes. As a Social Priority Area, it has many of the problems which\ndemand considerable attention by the social services. This area was recently quoted\nas having the highest crime rate throughout the whole of Europe, and offenders are\nsaid to be becoming younger. Psychiatric illness is relatively common, and many\nmothers were treated for depression and neurotic symptoms. Some of the mothers\nhad made suicide attempts. Yet those parents who participated in the project, and\nmany others who wished to become involved, showed a real concern for their children\nand wished a better future for them[¬e]""']",,NA,NA,,"['Page 3:\n[¬s]""group 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20 ,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20 ,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a t[¬e]""']",20,,"['Page 3:\n[¬s]""Forty children, comprising four groups of 10, participated in the research ;\ngroup 1 received the Distar programme only; group 2 received both Distar and the\nPAP; group 3 received the PAP only and group 4 did not receive any planned\nprogramme but merely played with toys for 20 minutes in the company of a teacher.[¬e]""']",20,,NA,NA,,NA,NA,,['No'],NA,"no attrition for the post-test,  1 child per group attrition in the follow-up",,NA,NA,,NA,NA,
47269778,Brickman (2002) PE,2002,['Parental engagement'],NA,,NA,34,NA,,['Mixed gender'],NA,NA,,NA,NA,,NA,"['Page 70:\n[¬s]""The children can be at risk because of\nbeing taught in a second language, having parents who do not have a high\nschool diploma and/or being considered to be in low SES[¬e]""']",,NA,NA,,"['Page 71:\n[¬s]""there were 17 children included in both the treatment group and\nthe control group,[¬e]""']",17,,NA,17,,NA,NA,,NA,NA,,NA,14,,NA,17,,NA,NA,,NA,NA,,['Yes'],"['Page 72:\n[¬s]""At posttest, there were 5 females and 9\nmales in the treatment group[¬e]""']",NA,,NA,17.64,,NA,8.82,
42025132,Busco (1991),1991,['Parental engagement'],NA,,NA,124,"['Page 47:\n[¬s]""A total of 124 LEP students from Tuolumne Elementary[¬e]""']",,['Mixed gender'],NA,the results are reported with some gender differences,,NA,NA,,not on the study sample but the make-up of the area which of course further indicates what the sample more or less is made up,"['Page 47:\n[¬s]""Most of the residents\'\nincomes are below poverty level.[¬e]""']",,NA,NA,,NA,61,,NA,63,,NA,NA,,NA,NA,,"['Page 73:\n[¬s]""Table 3 Results of the Repeated-Measures ANOVA of SABE Scores Including Grade as a Between-Subiects Factor: Descriptive Statistics""\n""N""\n""Treatment""\n""SABE Vocabulary Score""\n""24""\n""24\n24""\n""11\n11""\n""21\n21""\n""1st""\n""Grade""\n""2nd""\n""Grade""\n""3rd""\n""Grade[¬e]""']",NA,,"['Page 73:\n[¬s]""Control""\n""1st Grade""\n""19""\n""19""\n""2nd Grade""\n""3rd Grade""\n""13\n13""\n""20\n20[¬e]""']",52,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
47269780,Butler (1991) PE,1991,['Parental engagement'],NA,,NA,22,NA,,['Mixed gender'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""The parents of twelve of the stu-\ndents volunteered to use the R.A.T. Pack at home.[¬e]""']",12,,"['Page 7:\n[¬s]""The other ten stu-\ndents acted as the Control Group.[¬e]""']",10,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
