id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN
42025124,Arnold (1996),1996,['Parental engagement'],NA,NA,Addison Wesley Maths Grade 3,,Posttest combined Means and SD's for A+B vs C,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.2905,,0.6048,,Mathematics,,9.0,,35.22,,3.31,,4.0,,36.5,,5.69,,-1.4759,,0.8949,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
42025125,Austin (1988),1988,['Parental engagement'],NA,NA,GCRT Reading,,effect size calculated from F-value uploaded to Slack ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3571,,0.1822,,Literacy  reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0,,0.7142,,Primary outcome,,NA,,With business as usual,,NA,,NA,
42025487,Barhava‐Mònteith (1999),1999,['Parental engagement'],NA,NA,Reading Diagnostic Survey ,,Posttest Means and SD's for BURT Word Reading Test,,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.2614,,0.1202,,Literacy  spelling,,77.0,,14.01,,8.93,,704.0,,11.6,,9.24,,0.0258,,0.497,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
42024853,Barkley (2000),2000,['Parental engagement'],NA,NA,WJ Academic Skills (PT vs Control),,"Woodcock Johnson Psychoeducational Test Battery (Woodcock & Johnson, 1984)  includes a number of tests assessing cognitive abilities (intelligence) as well as a separate battery of tests assessing academic knowledge (science, social studies, humanities) and skills (reading, math, spelling). Standard scores are produced for each subtest. Only the academic knowledge and skills tests were used in assessing treatment effects",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.244,,0.2263,,Literacy  reading comprehension,,37.0,,98.4,,11.3,,42.0,,95.2,,14.3,,-0.1996,,0.6877,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,NA,DIBELS,,Regression Initial sounds fluency,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.419,,0.125,,Literacy  decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.174,,0.664,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
42025129,Bermúdez (1990),1990,['Parental engagement'],NA,NA,Reading Achievement,,Posttest means and SD's ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3019,,0.1582,,Literacy  reading comprehension,,84.0,,81.92,,10.28,,78.0,,78.77,,10.5,,-0.0081,,0.6118,,Primary outcome,,NA,,With business as usual,,NA,,NA,
42024854,Beveridge (1981),1981,['Parental engagement'],NA,NA,EPVT   language - Parental Engagement,,EPVT (English Picture Vocabulary Test) (Grp2+Grp3) vs (Grp1+Grp4) - Parental Engag.- (Grp1+Grp4 (control),,"['Toolkit primary outcome', 'Other outcome']",,0.4616,,0.3209,,Literacy  speaking and listening/oral language,,20.0,,31.0,,9.05,,20.0,,26.8,,8.786,,-0.1673,,1.0904,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
47269778,Brickman (2002) PE,2002,['Parental engagement'],NA,NA,Peabody Picture Vocabulary Test ,,"The PPVT-R score, a continuous measure, was used to provide a measure of the children's receptive language development",,"['Toolkit primary outcome', 'Other outcome']",,0.3228,,0.3636,,Cognitive  reasoning,,14.0,,62.43,,20.14,,17.0,,56.53,,15.65,,-0.3898,,1.0353,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,NA,
42025132,Busco (1991),1991,['Parental engagement'],NA,NA,SABE Scores Including Grade as a Between-Subiects Factor,,,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7732,,0.1999,,,,56.0,,0.0,,0.0,,52.0,,0.0001,,0.0,,0.3814,,1.1651,,Primary outcome,,NA,,With active control,,NA,,NA,
47269780,Butler (1991) PE,1991,['Parental engagement'],NA,NA,Holborn Reading Test,,"The students were tested on the Holborn Reading Test (Watts 1944) which is an assessment of ability to read sentences of increasing difficulty with respect to vocabulary, sen- tence structure and comprehension.",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.172,,0.4705,,Literacy  reading comprehension,,12.0,,3.289,,0.0,,10.0,,0.01,,0.0,,0.2499,,2.0942,,,,NA,,With business as usual,,NA,,NA,
42025488,Chow (2003),2003,"['Parental engagement', 'Oral language interventions']",NA,NA,PPCLS posttest Dialogic v control,,Preschool and Primary Chinese Literacy Scale (PPCLS)  posttest Dialogic v control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4584,,0.2663,,Literacy  reading other,,29.0,,30.69,,6.25,,29.0,,27.5,,7.43,,-0.0635,,0.9803,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
42025489,Chow (2008),2008,['Parental engagement'],NA,NA,Chinese character recognition (DR vs Control),,"A 61-item character recognition list and 150 items adapted from the Hong Kong Test of Specific Learning Difficulties in Reading and Writing (HKT-SpLD  Ho, Chan, Tsang, & Lee, 2000) were combined and administered. The items were arranged in order of increasing difficulty, and the children were required to read each character aloud. Children were given the items adapted from the HKT-SpLD if they progressed beyond the 61-item character rec- ognition list. Testing stopped when the child failed to read 15 consecutive items.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.065,,0.23,,Literacy  reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.3858,,0.5158,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
42025134,Clegg (1971),1971,['Parental engagement'],NA,NA,Comprehension,,Posttest adjusted means and SE for experimental vs External Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.734,,0.4656,,Literacy  reading comprehension,,10.0,,30.16,,1.8,,10.0,,25.81,,1.79,,-0.1786,,1.6465,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
42025415,Crain-Thoreson (1999),1999,['Parental engagement'],NA,NA,EOWPVT-R,,Posttest Means and SD's for Parent vs Staff/Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3848,,0.4648,,Literacy  reading comprehension,,10.0,,75.6,,12.1,,9.0,,71.0,,10.6,,-0.5262,,1.2958,,Primary outcome,,NA,,With business as usual,,NA,,NA,
45336725,Crain-Thoreson (1999) PE,1999,['Parental engagement'],NA,NA,EOWPVT-R,,Posttest Means and SD's for Parent Reading vs Staff/Practice,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3889,,0.4253,,Literacy  reading comprehension,,10.0,,75.6,,12.1,,13.0,,70.9,,11.3,,-0.4447,,1.2225,,Primary outcome,,NA,,With active control,,NA,,NA,
42025417,DeBaryshe (2007),2007,['Parental engagement'],NA,NA,TERA-3  - Emergent Reading,,TERA-3 (Test of Early Reading Abilities) - Emergent Reading,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0592,,0.2301,,Literacy  reading other,,51.0,,18.0,,10.6,,30.0,,17.4,,9.0,,-0.3919,,0.5103,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
42025436,Doering (1994),1994,['Parental engagement'],NA,NA,California Achievement Test (Reading),,Posttest means and SD's ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3459,,0.3076,,Literacy  reading comprehension,,22.0,,733.864,,39.795,,21.0,,721.571,,28.844,,-0.257,,0.9488,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
42024828,Donachy (1976),1976,['Parental engagement'],NA,NA,Reynell  Compreh. - Parental Engagm.,,Reynell Developmental Language Scale - Compreh. (GrpA+B vs GrpE+F) - Parental Engagm.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.7165,,0.2584,,Literacy  reading comprehension,,32,,1.135,,0.928,,32,,0.43,,1.014,,0.2101,,1.223,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
38296611,Dorsett (2014),2014,"['Metacognition and self-regulation', 'Parental engagement', 'Extending school time']",NA,NA,KS2 MathEng Combined (inCAS) - Metacognition PETT,,"Pre-test and 6 months delayed post-test age-equivalent score. Combination of three InCAS measures  reading, general maths and mental arithmetic. Combined literacy and numeracy score =(reading score + (general maths score + mental arithmetic score)/2)/2.",,"['Toolkit primary outcome', 'Other outcome']",,-0.141,,0.283,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,-0.6957,,0.4137,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],
42025516,Erion (1994),1994,['Parental engagement'],NA,NA,Correct word/min - Parental Engag.,,"Mean of number of words correctly read per minute-R – PE (use of 1 minute oral reading probes …. When an omission or substitution was made, this error was pointed to immediately & correct response was requested. If the student didn’t know the word/hesitated for 3 secs the word was counted as unknown)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4529,,0.4145,,Literacy  reading other,,12.0,,30.42,,10.86,,12.0,,24.75,,13.2,,-0.3594,,1.2653,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
