id,pub_author,smd_tool,se_tool,pub_year,pub_year_raw_risk,pub_year_risk_value,strand_raw,pub_type_raw,pub_type_risk,pub_type_risk_value,part_assig_raw,part_assig_risk,part_assig_risk_value,eco_valid_raw,eco_valid_risk,eco_valid_risk_value,school_treat_info,school_treat_info_new,school_treat_risk,school_treat_risk_value,int_who_raw,peers,lay persons/volunteers,digital technology,parents/carers,external teachers,teaching assistants,research staff,class teachers,unclear/not specified,int_who_raw_risk_value,class_total_info,class_total_info_new,class_total_info_risk,class_total_risk_value,out_eval_raw,out_eval_risk,out_eval_risk_value,comp_anal_raw,comp_anal_risk,comp_anal_risk_value,sample_analysed_info,sample_size_risk,sample_size_risk_value,out_test_type_raw,out_test_type_raw_risk,out_test_type_raw_risk_value,out_es_type,out_es_type_raw_risk,out_es_type_risk_value,attri_perc_info,attri_perc_info_raw_risk,attri_perc_info_risk_value,clust_anal_raw,clust_anal_raw_risk,clust_anal_risk_value,rand_raw,rand_risk,rand_risk_value,NA_values,Mean,Median,raw_total
42025124,Arnold (1996),-0.2905,0.6048,1996,Medium Risk,2,['Parental engagement'],Dissertation or thesis,Low Risk,3,Random (please specify),Low Risk,3.0,High ecological validity,Low Risk,3.0,1,1.0,High Risk,1.0,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,5,5.0,Medium Risk,2.0,The developer,Medium Risk,2.0,No,Medium Risk,2,86.0,Medium Risk,2.0,Test type  Standardised test ,Low Risk,3.0,Post-test unadjusted (select one from this group),High Risk,1.0,0.0,Low Risk,3,Yes,Medium Risk,2.0,Yes,Low Risk,3,0,2.2666666666666666,2.0,34.0
42025125,Austin (1988),0.3571,0.1822,1988,Medium Risk,2,['Parental engagement'],Dissertation or thesis,Low Risk,3,"Non-random, but matched",Medium Risk,2.0,High ecological validity,Low Risk,3.0,1,1.0,High Risk,1.0,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,4,4.0,Medium Risk,2.0,The developer,Medium Risk,2.0,Yes,Low Risk,3,154.0,Low Risk,3.0,NA,NA,NA,NA,NA,NA,17.0,Medium Risk,2,No,High Risk,1.0,Not applicable,Medium Risk,2,2,2.1538461538461537,2.0,28.0
42025487,Barhava‐Mònteith (1999),0.2614,0.1202,1999,Medium Risk,2,['Parental engagement'],Journal article,Low Risk,3,Retrospective Quasi Experimental Design (QED),Medium Risk,2.0,High ecological validity,Low Risk,3.0,8,8.0,Low Risk,3.0,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,No,Medium Risk,2,781.0,Low Risk,3.0,Test type  Standardised test ,Low Risk,3.0,Post-test unadjusted (select one from this group),High Risk,1.0,0.0,Low Risk,3,No,High Risk,1.0,Not applicable,Medium Risk,2,1,2.2857142857142856,2.0,32.0
42024853,Barkley (2000),0.244,0.2263,2000,Low Risk,3,['Parental engagement'],Journal article,Low Risk,3,Random (please specify),Low Risk,3.0,High ecological validity,Low Risk,3.0,NA,0.0,NA,NA,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3,158.0,Low Risk,3.0,Test type  Standardised test ,Low Risk,3.0,Post-test adjusted for baseline attainment,Low Risk,3.0,0.0,Low Risk,3,No,High Risk,1.0,Yes,Low Risk,3,2,2.6923076923076925,3.0,35.0
42059739,Beach (2004),0.419,0.125,2004,Low Risk,3,"['Parental engagement', 'Phonics', 'Summer schools']",Dissertation or thesis,Low Risk,3,Regression discontinuity,Medium Risk,2.0,High ecological validity,Low Risk,3.0,5,5.0,Medium Risk,2.0,"['Class teachers', 'Teaching assistants']",False,False,False,False,False,True,False,True,False,3.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3,337.0,Low Risk,3.0,Test type  Standardised test ,Low Risk,3.0,Post-test adjusted for baseline attainment,Low Risk,3.0,0.0,Low Risk,3,No,High Risk,1.0,Not applicable,Medium Risk,2,1,2.5714285714285716,3.0,36.0
42025129,Bermúdez (1990),0.3019,0.1582,1990,Medium Risk,2,['Parental engagement'],Journal article,Low Risk,3,"Non-random, but matched",Medium Risk,2.0,Low ecological validity,High Risk,1.0,NA,0.0,NA,NA,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,No,Medium Risk,2,162.0,Low Risk,3.0,NA,NA,NA,NA,NA,NA,0.0,Low Risk,3,No,High Risk,1.0,No/Unclear,Medium Risk,2,4,2.090909090909091,2.0,23.0
42024854,Beveridge (1981),0.4616,0.3209,1981,Medium Risk,2,['Parental engagement'],Journal article,Low Risk,3,"Non-random, but matched",Medium Risk,2.0,High ecological validity,Low Risk,3.0,1,1.0,High Risk,1.0,"['Class teachers', 'Parents/carers']",False,False,False,True,False,False,False,True,False,3.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3,40.0,Medium Risk,2.0,Test type  Standardised test ,Low Risk,3.0,Post-test unadjusted (select one from this group),High Risk,1.0,0.0,Low Risk,3,No,High Risk,1.0,Not applicable,Medium Risk,2,1,2.2142857142857144,2.0,31.0
47269778,Brickman (2002) PE,0.3228,0.3636,2002,Low Risk,3,['Parental engagement'],Dissertation or thesis,Low Risk,3,"Non-random, but matched",Medium Risk,2.0,High ecological validity,Low Risk,3.0,NA,0.0,NA,NA,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3,34.0,Medium Risk,2.0,NA,NA,NA,NA,NA,NA,8.82,Low Risk,3,No,High Risk,1.0,Not applicable,Medium Risk,2,4,2.3636363636363638,2.0,26.0
42025132,Busco (1991),0.7732,0.1999,1991,Medium Risk,2,['Parental engagement'],Dissertation or thesis,Low Risk,3,"Non-random, not matched prior to treatment",Medium Risk,2.0,Unclear,High Risk,1.0,1,1.0,High Risk,1.0,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,8 - Control and Intervention were mixed in the same classes.,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3,124.0,Low Risk,3.0,NA,NA,NA,NA,NA,NA,0.0,Low Risk,3,Yes,Medium Risk,2.0,Not applicable,Medium Risk,2,3,2.1666666666666665,2.0,26.0
47269780,Butler (1991) PE,1.172,0.4705,1991,Medium Risk,2,['Parental engagement'],Journal article,Low Risk,3,"Non-random, not matched prior to treatment",Medium Risk,2.0,High ecological validity,Low Risk,3.0,1,1.0,High Risk,1.0,['Parents/carers'],False,False,False,True,False,False,False,False,False,2.0,NA,0.0,NA,NA,The developer,Medium Risk,2.0,Yes,Low Risk,3,22.0,High Risk,1.0,NA,NA,NA,NA,NA,NA,0.0,Low Risk,3,No,High Risk,1.0,No/Unclear,Medium Risk,2,3,2.0833333333333335,2.0,25.0
