id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN
74069942,Alegre (2019),2019,['Peer tutoring'],NA,['MT_2023 (in progress)'],Algebra scores (7th),,"The students’ academic performance was measured by comparing their marks in the exam of unit 6 (Algebra 1) with the exam of unit 7 (Algebra 2). For both, 7th and 8th grade, Algebra 1 is intended to serve as an introductory unit to algebra contents that students will later use in Algebra 2.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.2691,,0.1286,,Mathematics,,130,,7.22,,1.99,,115,,6.67,,2.09,,0.017,,0.5212,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],
74069943,Aleid (2015),2015,['Peer tutoring'],NA,['MT_2023 (in progress)'],Attainmest Test (PT vs C),,A criterion-referenced attainment test that focused on the mathematics units used in the study was developed by the researcher. ,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.8647,,0.2063,,Mathematics,,57,,4.39,,3.29,,47,,1.74,,2.71,,0.4603,,1.269,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Researcher developed test'],
74069944,Alwi (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74069945,Amaka (2013),2013,['Peer tutoring'],NA,['MT_2023 (in progress)'],HAT ,,An instrument known as Home Economics achievement test (HAT) was used for data collection. The HAT developed by researcher is a thirty multiple choice achievement test on the identified difficult-to-learn Home Economics topics,,"['Toolkit primary outcome', 'Other outcome']",,1.7188,,0.1952,,Curriculum: other,,75,,56.2,,10.5,,70,,40.27,,7.61,,1.3363,,2.1013,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069946,Andriana (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],Mathematics,,"From the results of data processing with SPSS to find differences in students’ learning outcomes in mathematics between those learning with peer tutoring model and those with the conventional learning model, a sig. value of 0.011 was obtained.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.694,,0.2758,,Mathematics,,28,,2.636,,0,,28,,0.011,,0,,0.1535,,1.2345,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],
74069947,Bellen (2017),2017,['Peer tutoring'],NA,['MT_2023 (in progress)'],Academic performance,,"Academic performance was determined using the scores in the test with six units test subjected through expert validation. There are three topics for third quarter, the teacher planned to give two 15- item tests on each topic. For a total of six tests for the entire duration.",,"['Toolkit primary outcome', 'Other outcome']",,2.0373,,0.388,,Combined subjects,,30,,53.47,,10.88,,15,,32.07,,9.05,,1.2768,,2.7978,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069948,Bemboom (2013),2013,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Posttest MAZE table 2,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.985,,0.2702,,Literacy: reading other,,27,,28.81,,5.51,,36,,22.97,,6.1,,0.4553,,1.5147,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069949,Berso (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],Periodic exam peer tutored v non peer tutored,,NA,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,2.6542,,0.2565,,Mathematics,,30,,38.76,,5.92,,120,,24.135,,5.37,,2.1515,,3.1569,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],
61218177,Calhoon (2006) PT,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74069950,Connelly (2010),2010,['Peer tutoring'],NA,['MT_2023 (in progress)'],posttest table 1,,concepts of world war 1,,"['Toolkit primary outcome', 'Other outcome']",,0.0911,,0.2832,,Curriculum: other,,26,,86,,10.32,,24,,85,,11.3,,-0.464,,0.6463,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069952,Dill (2000),2000,['Peer tutoring'],NA,['MT_2023 (in progress)'],Peer criterion v Individual criterionText recall posttest table 1,,text recall,,['Toolkit primary outcome'],,0.0228,,0.2887,,Literacy: reading other,,24,,4.29,,3.36,,24,,4.208,,3.71,,-0.543,,0.5886,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069953,Ding (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Peer tutoring v individual Delayed Posttest table 5,,chemistry lab procedure knowledge,,"['Toolkit primary outcome', 'Science primary outcome']",,0.4956,,0.2541,,Science,,32,,78.06,,10.07,,32,,73.09,,9.74,,-0.0023,,0.9936,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069954,DuPaul (1998),1998,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74069956,Ensergueix (2011) 1_1,2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],Deferred Action Efficiency Table 3,,NA,,"['Toolkit primary outcome', 'Other outcome']",,2.8828,,0.4215,,Curriculum: other,,24,,112.33,,9.43,,24,,80.88,,11.89,,2.0567,,3.7089,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069957,Ensergueix (2011) 1_2,2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],Deffered Action Effciency Spntaneous RPT v Individual Practice table 3,,NA,,"['Toolkit primary outcome', 'Other outcome']",,0.0077,,0.2887,,Curriculum: other,,24,,81,,18.07,,24,,80.88,,11.89,,-0.5581,,0.5735,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069958,Flores (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],F ratio intervention tutees v control table 1,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.13,,0.123,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.8889,,1.3711,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
74069959,Fuchs (2012),2012,['Peer tutoring'],NA,['MT_2023 (in progress)'],CRAB PAL v non PAL Table 4,,Comprehensive Reading Assessment Battery,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3009,,0.1836,,Literacy: reading comprehension,,60,,298.68,,98.71,,60,,269.18,,96.07,,-0.059,,0.6609,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069960,Greene (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],Mathematics fluency,,posttest maths fluency for the tutees vs control,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.7772,,0.3875,,Mathematics,,15,,103.67,,9.18,,14,,96.36,,9.1,,0.0177,,1.5367,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
74069961,Greenwood (1991),1991,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74069962,Gyanani (1995),1995,['Peer tutoring'],NA,['MT_2023 (in progress)'],Verbal & Spatial Ability (Geography),,Posttest F value for overall experimental vs control group for verbal and spatial combined geography test,,"['Toolkit primary outcome', 'Other outcome']",,0.3166,,0.098,,Curriculum: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1245,,0.5087,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069963,Hattie (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],Sunshine Fluency,,Sunchine fluency reading test posttest ES and SE calculated using f value from table 2,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1076,,0.187,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2589,,0.4741,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069964,Johnson (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],Rhythmic reading test,,"posttest musical rhythmic reading test means and sd's for peer tutored and bau groups. No pretest, post-test only design",,"['Toolkit primary outcome', 'Other outcome']",,0.5832,,0.1785,,Arts,,66,,82.09,,31.53,,65,,62.09,,36.51,,0.2333,,0.9332,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069966,Lee (2014),2014,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading skills (posttest),,"This standardized reading test contains four sets of tests (one set for each grade from Grade 3 to 6), with each set parallel in format. The two parallel tests for Grade 3 were used and administered for this study, with one as a pretest and the other as a posttest to assess the effects of PALS implementation. Each test comprised of 25 multiple-choice items where 4–5 items assessed vocabulary and 20–21 item evaluated reading comprehension. Students were given 40 min to complete the test. Cronbach’s alpha was .70 at pretest and .69 at posttest.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4232,,0.1974,,Literacy: reading comprehension,,53,,71.21,,15.24,,52,,64.11,,17.98,,0.0362,,0.8102,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069968,Li (2006) 1_2,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading comprehension (CA vs RS),,"we measured seven separate domains of students’ reading comprehension: understanding specific words, phrases or sentences in the context; identifying specific information or details; summarizing main idea of paragraph(s) or whole text; recognizing the structure or genre of the text; understanding the logic or reasoning in a text; appreciating the mood, emotion of characters or author; recognizing the viewpoint of a character or the author. The content of the reading comprehension tests is in general agreement with most of the tests in reading in use",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5092,,0.1572,,Literacy: reading comprehension,,160,,0.04,,0.86,,56,,0.46,,0.7,,-0.8174,,-0.2011,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069970,Li (2006) 1_4,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading comprehension test (CA vs RS),,"With the reading comprehension tests for 2nd grade students, we intended to measure several aspects of students’ reading comprehension skills, e.g., finding out the meaning of specific words, phrases or sentences from the contexts; understanding the main ideas of paragraphs or the whole texts; recognizing the structure or genre; appreciating the mood or emotion of the characters in the stories, or inferring authors’ purpose to write the texts, etc.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0,,0.1117,,Literacy: reading comprehension,,204,,1.15,,0.5,,132,,1.15,,0.56,,-0.2189,,0.2189,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069972,Li (2012) 1_2,2012,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74069974,Marshak (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Total gain Scores Table 2,,Social Studies school tests,,"['Toolkit primary outcome', 'Other outcome']",,0.8661,,0.1745,,Social Studies,,72,,33,,8.44,,72,,24.72,,10.47,,0.5241,,1.2082,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: School-developed test'],
