id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_desc_tool,out_type_tool,smd_tool,se_tool,out_measure_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,ci_lower_tool,ci_upper_tool,out_label_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_test_type_raw_tool,out_tit_red,out_desc_red,out_type_red,smd_red,se_red,out_measure_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,ci_lower_red,ci_upper_red,out_label_red,out_samp_red,out_comp_red,out_es_type_red,out_test_type_raw_red,out_tit_wri,out_desc_wri,out_type_wri,smd_wri,se_wri,out_measure_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,ci_lower_wri,ci_upper_wri,out_label_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_test_type_raw_wri,out_tit_math,out_desc_math,out_type_math,smd_math,se_math,out_measure_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,ci_lower_math,ci_upper_math,out_label_math,out_samp_math,out_comp_math,out_es_type_math,out_test_type_raw_math,out_tit_sci,out_desc_sci,out_type_sci,smd_sci,se_sci,out_measure_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,ci_lower_sci,ci_upper_sci,out_label_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_test_type_raw_sci,out_tit_fsm,out_desc_fsm,out_type_fsm,smd_fsm,se_fsm,out_measure_fsm,out_g1_n_fsm,out_g1_mean_fsm,out_g1_sd_fsm,out_g2_n_fsm,out_g2_mean_fsm,out_g2_sd_fsm,ci_lower_fsm,ci_upper_fsm,out_label_fsm,out_samp_fsm,out_comp_fsm,out_es_type_fsm,out_test_type_raw_fsm
74069942,Alegre (2019),2019,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Algebra scores_total,Fixed effect for Algebra scores for 7th + 8th grades,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2308,0.1034,Mathematics,0.230765364,0,0,0.1034148,0,0,0.0281,0.4335,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REC_Algebra scores_total,Fixed effect for Algebra scores for 7th + 8th grades,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2308,0.1034,Mathematics,0.230765364,0,0,0.1034148,0,0,0.0281,0.4335,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069943,Aleid (2015),2015,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Attainmest Test_total sample,Fixed effect for all compared groups - REC - Attainmest Test for  PT plus PT+M vs C+M - ,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.865,0.1442,Mathematics,0.865,0,0,0.144228987,0,0,0.5823,1.1477,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REC_Attainmest Test_total sample,Fixed effect for all compared groups - REC - Attainmest Test for  PT plus PT+M vs C+M - ,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.865,0.1442,Mathematics,0.865,0,0,0.144228987,0,0,0.5823,1.1477,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069944,Alwi (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069945,Amaka (2013),2013,['Peer tutoring'],NA,['MT_2023 (in progress)'],HAT ,An instrument known as Home Economics achievement test (HAT) was used for data collection. The HAT developed by researcher is a thirty multiple choice achievement test on the identified difficult-to-learn Home Economics topics,"['Toolkit primary outcome', 'Other outcome']",1.7188,0.1952,Curriculum  other,75,56.2,10.5,70,40.27,7.61,1.3363,2.1013,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069946,Andriana (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],Mathematics,"From the results of data processing with SPSS to find differences in students’ learning outcomes in mathematics between those learning with peer tutoring model and those with the conventional learning model, a sig. value of 0.011 was obtained.","['Toolkit primary outcome', 'Mathematics primary outcome']",0.694,0.2758,Mathematics,28,2.636,0,28,0.011,0,0.1535,1.2345,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mathematics,"From the results of data processing with SPSS to find differences in students’ learning outcomes in mathematics between those learning with peer tutoring model and those with the conventional learning model, a sig. value of 0.011 was obtained.","['Toolkit primary outcome', 'Mathematics primary outcome']",0.694,0.2758,Mathematics,28,2.636,0,28,0.011,0,0.1535,1.2345,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069947,Bellen (2017),2017,['Peer tutoring'],NA,['MT_2023 (in progress)'],Academic performance,"Academic performance was determined using the scores in the test with six units test subjected through expert validation. There are three topics for third quarter, the teacher planned to give two 15- item tests on each topic. For a total of six tests for the entire duration.","['Toolkit primary outcome', 'Other outcome']",2.0373,0.388,Combined subjects,30,53.47,10.88,15,32.07,9.05,1.2768,2.7978,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069948,Bemboom (2013),2013,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Posttest MAZE table 2,,"['Toolkit primary outcome', 'Reading primary outcome']",0.985,0.2702,Literacy  reading other,27,28.81,5.51,36,22.97,6.1,0.4553,1.5147,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],REC_Posttest MAZE table 2,,"['Toolkit primary outcome', 'Reading primary outcome']",0.985,0.2702,Literacy  reading other,27,28.81,5.51,36,22.97,6.1,0.4553,1.5147,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069949,Berso (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_Periodic exam peer tutored v non peer tutored A+B+C+D table 2,,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.6542,0.2565,Mathematics,30,38.76,5.92,120,24.135,5.37,2.1515,3.1569,Secondary outcome(s),['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],TE_PRI_tutored vs non-tutored B (near mastery),periodic examination,"['Toolkit primary outcome', 'Reading primary outcome']",2.2001,0.3314,Mathematics,30,38.76,5.92,30,25.26,6.19,1.5505,2.8496,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TE_Periodic exam peer tutored v non peer tutored A+B+C+D table 2,,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.6542,0.2565,Mathematics,30,38.76,5.92,120,24.135,5.37,2.1515,3.1569,Secondary outcome(s),['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61218177,Calhoon (2006) PT,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069950,Connelly (2010),2010,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_PRI_posttest table 1,concepts of world war 1,"['Toolkit primary outcome', 'Other outcome']",0.0911,0.2832,Curriculum  other,26,86,10.32,24,85,11.3,-0.464,0.6463,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
