id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7
74069942,Alegre (2019),['Other outcome'],Primary outcome,REC_Algebra scores (7th),['Other outcome'],Primary outcome,REC_Algebra scores (8th grade),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC_Algebra scores_total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069943,Aleid (2015),['Other outcome'],Secondary outcome(s),REC_Attainmest Test (PT vs C),['Other outcome'],Secondary outcome(s),REC_Attainment Test (PT+M vs M),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC_Attainmest Test_total sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069944,Alwi (2016),NA,Primary outcome,Reading skills (SA vs Control),NA,Primary outcome,Reading skills (CA vs Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069945,Amaka (2013),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,HAT ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069946,Andriana (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069947,Bellen (2017),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069948,Bemboom (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC_Posttest MAZE table 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069949,Berso (2020),"['Toolkit primary outcome', 'Mathematics primary outcome']",Secondary outcome(s),TE_Periodic exam peer tutored v non peer tutored A+B+C+D table 2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI_tutored vs non-tutored B (near mastery),NA,Secondary outcome(s),TE_tutored v A+C+D ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61218177,Calhoon (2006) PT,NA,Primary outcome,REC_phoneme segmentation fluency posttest,NA,Primary outcome,REC_non word fluency posttest,NA,Primary outcome,REC_oral reading fluency posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069950,Connelly (2010),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,TE_PRI_posttest table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069951,Dean (1990),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,T&T_Cognitive test,['Other outcome'],Secondary outcome(s),TR_SUB_Cognitive test (TR vs Comp),['Other outcome'],Secondary outcome(s),TE_SUB_Cognitive test (TT vs control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069952,Dill (2000),['Toolkit primary outcome'],Primary outcome,REC_Peer criterion v Individual criterionText recall posttest table 1,['Toolkit primary outcome'],Secondary outcome(s),REC_Peer criterion v communnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069953,Ding (2011),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,REC_Peer tutoring v individual Delayed Posttest table 5,NA,Secondary outcome(s),REC_Peer tutoring v collaborative delayed posttest table 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069954,DuPaul (1998),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TE_PRI_Academic performance gain table 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069956,Ensergueix (2011) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,REC_Deferred Action Efficiency Table 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069957,Ensergueix (2011) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,REC_Deffered Action Effciency Spntaneous RPT v Individual Practice table 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
