ID,toolkit_strand,short_title,main_authors,year,main_title,parent_title,parent_authors,type_name,abstract,volume,issue,pages,doi,url,publisher,city,institution
74069942,['Peer tutoring'],Alegre (2019),Alegre Francisco   Moliner Lidon   Maroto Ana   Lorenzo-Valentin Gil   ,2019,Peer tutoring in algebra  A study in middle school,Journal Of Educational Research,NA,"Journal, Article",This study reports the academic benefits of peer tutoring in algebra for middle school students. A total of 380 students enrolled in grades 7th and 8th participated in the study. Two peer tutoring sessions took place during each week (10 weeks). Interactions between peers lasted 20 to 25 minutes for each session. The typology of tutoring was fixed and same-age. A pretest posttest with control group design was used. Statistical significant improvements were reported in the academic achievement variable after the implementation of the peer tutoring program for 7th and 8th grade courses separately and altogether. Over 87% of the students in the experimental group improved their marks. The overall effect size for the experience was reported to be medium (Hedge’s g = 0.48). The main conclusion of this study is that fixed and same-age peer tutoring in algebra may be very beneficial for middle school students.,112,6,693-699,https //doi.org/10.1080/00220671.2019.1693947,https //eric.ed.gov/?id=EJ1237167,NA,NA,NA
74069943,['Peer tutoring'],Aleid (2015),Aleid Mohammed Abdulaziz E  ,2015,Using peer tutoring and manipulatives to improve mathematics education in elementary schools in Saudi Arabia,NA,NA,Dissertation,"The aim of this Randomised Controlled Trial (RCT) study was to research, pilot, test and develop mathematical pedagogies to improve attainment in schools in Saudi Arabia. The pedagogies explored included the use of manipulatives and peer learning. The thesis reports an investigation using a factorial design of the effects of incorporating peer and resource-led learning into teacher pedagogies.\r\nIt examined the effects of using peer tutoring and manipulatives, both separately and together, on the mathematical education of fourth grade students (aged 10 and 11) in elementary schools in AlAhsa city in Saudi Arabia, with regard to (a) attainment in mathematics, (b) attitudes towards learning mathematics, (c) attitudes towards learning partners and (d) the students’ social relationships. Twenty-four classes were randomly chosen and assigned to different groups. One control group of six classes was taught as usual, and six classes were assigned to each of three experimental groups  that is, six each to the manipulatives group, the peer tutoring group and the group using peer tutoring and manipulatives together. Each experimental group undertook a 12-week programme in the fractions and decimals sections of the fourth grade elementary school mathematics curriculum. The research methods and materials were initially developed during a pilot study involving 8 classes of fourth grade students (aged 10 and 11) in elementary schools in AlAhsa city.\r\nThe results of this RCT suggested that the use of peer tutoring and manipulatives, separately and together, significantly affected the mathematical education of those students regarding their attainment, attitudes towards learning mathematics, attitudes towards their learning partners and social relationships. The results also showed that the improvement in the students’ social relationships predicted their attainment scores.\r\nSuggestions for further research into the effects of using peer tutoring and manipulatives, both separately and together, on mathematical education in elementary schools, are also made.",NA,NA,NA,NA,http //etheses.dur.ac.uk/11119/,NA,NA,NA
74069944,['Peer tutoring'],Alwi (2016),Alwi Shahzada Khurram Khan  Rauf Maroof Bin  Soomro Saira   ,2016,Effects of cross and same age peer tutoring on reading attitudes of primary school students,The Sindh University Journal of Education,NA,"Journal, Article","Peer tutoring method was applied to observe its special effects on the success and approach of Learners in the subject of English. The determinations of the study were to measure the success of the learners in the subject of English before the testing, to expose the experimental group to cross age peer tutoring and the control group to conventional teaching to associate the change in the achievement of students participating in peer tutorials and learners who did not contribute in Peer tutoring. The exercise of peer tutoring across many disciplines is increasing to help in appealing learners for active learning process. It is kindly accepted that educational results. Peer shows a special role in kids’ development in accumulation to parents and instructors. However, the larger variability, autonomy and likeness of peer associations offers children the opportunity for a new kind of relational investigation and assessment. A sample of 137 students were taken from one by convince random sampling method selected school of low economic people resident area of Karachi orangi town Karachi. The design of the experimental study was “Pretest-Posttest Nonequivalent Groups Design” which is a form of Quasi-Experimental designs. 52 students from class II and III nominated institute were pretested complete a self-developed accomplishment exam. On the basis of pre- test results and the willingness of the students, paid of students were made on both classes. Students were paired as learning partners during the reading sessions. To determine the implication of the tutoring interference through evaluation of pre- and post-test success of experimental and control groups, descriptive statistics and ANOVA (analysis of Variance with Tukey Ba,b) were used.The Present research result was noted that cross-age tutoring—pairing students in grades II and III – was more positive effect on reading attitudes of the students and the most important gain for students as a result of the research was the self-esteem they developed from the self-worth they experienced. They had a great feeling of being needed.",45,1,161-182,NA,https //www.researchgate.net/publication/342453060,NA,NA,NA
74069945,['Peer tutoring'],Amaka (2013),Amaka Okoye Assumpta  ,2013,Effect of peer tutoring method on students academic achievement in home economics,Academic Journal Of Interdisciplinary Studies,NA,"Journal, Article","The study conducted to find out the effect of peer tutoring institutional method on the academic achievement in Home Economics among secondary school students in Dunukofia L.G.A of Anambra State. Quasi-experimental design was used. All the senior secondary school students in the local government area constituted the population of the study. Four secondary schools out of eight secondary schools was randomly selected, and all the 145 SS1 students offering Home Economics in these four schools were selected and assigned to experimental and control groups. One research question and one hypothesis guided the study. Data on student’s achievement was collected using Home Economics achievement test (HAT). The research question was answered using mean t-test statistics. The results indicated that students taught Home Economics using peer tutoring instructional methods achieved higher than those taught using lecture method, it was recommended that peer tutoring should be used in teaching Home Economics in secondary schools to enhance student’s achievement.",2,5,193,https //doi.org/10.5901/AJIS.2013.V2N5P193,https //www.richtmann.org/journal/index.php/ajis/article/view/610,NA,NA,NA
74069946,['Peer tutoring'],Andriana (2018),Andriana Teguh Rizki  Sabandar Jozua   Syaban Mumun   ,2018,The influence of peer tutoring model on the problem-solving understanding and communication skills of eight grade junior high school students,Journal of Innovative Mathematics Learning ,NA,"Journal, Article","Various efforts to develop education which related to quality of education were overall implemented by the government to enhance quality of education. The implementation of compatible method was an effort to improve learning achievement and accomplish learning goals. Peer tutoring is a group of students who have completed learning material then provide assistance for others who got difficulty in understanding the material. From the research result were obtained, (1) Sig. 0,011 = Ho was rejected means there was difference in students learning result in mathematic lesson by using peer tutoring method compare with conventional learning method  (2) Sig. 0,002 = Ho was rejected means there was difference in problem solving communication skill in mathematic lesson by using peer tutoring method compare with conventional learning method  (3) Sig. 0,043 = Ho was rejected means there was difference in problem solving comprehension skill in mathematic lesson by using peer tutoring method compare with conventional learning method. From the data, it can be concluded that students learning result using peer tutoring method was more effective. It was because, this method demanded students to be more active in learning process either individual or overall.",1,4,345-349,http //doi.org/10.22460/jiml.v1i4.p345-349,https //journal.ikipsiliwangi.ac.id/index.php/jiml/article/view/2014,NA,NA,NA
74069947,['Peer tutoring'],Bellen (2017),Bellen Joy A  Jomoc Amalia B  ,2017,"Supporting struggling grade 8 science students’ motivation, participation and performance through peer-tutoring approach",Annals of Tropical Research,NA,"Journal, Article","Research shows that cognitive and affective abilities among science students can be enhanced using peer tutoring approach. However, peer tutoring approach remains an underutilized peer support (Bond & Castagnera 2006). This study determined the effects of peer tutoring approach in motivation, participation and academic performance of grade 8 students. Using regression discontinuity design, the respondents were non-struggling, struggling who accepted peer tutoring and struggling students who declined peer tutoring. Results showed that struggling students who accepted peer tutoring showed better participation, expertlike perceptions of junior high school science, and exam performance relative to their peers who were not attending the peer tutoring sessions. The results of this study provide evidence to teachers who want to plan targeted peer support for students who are struggling in junior high school science.",39,1,147-157,https //doi.org/10.32945/ATR39110.2017,https //annalsoftropicalresearch.com/supporting-struggling-grade-8-science-students-motivation-participation-and-performance-through-peer-tutoring-approach/,NA,NA,NA
74069948,['Peer tutoring'],Bemboom (2013),Bemboom Christina M  McMaster Kristen L  ,2013,A comparison of lower‐ and higher‐resourced tier 2 reading interventions for high school sophomores,Learning Disabilities Research And Practice,NA,"Journal, Article","The purpose of this study was to compare the effects of peer-mediated versus teacher-directed reading intervention on the reading performance of high school sophomores. Participants (n = 57) from the lowest 25th percentile of their sophomore class in reading were assigned randomly to peer-mediated or teacher-directed intervention. Fifteen to sixteen 25-minute intervention sessions over 12 weeks included listening passage preview, retelling, and main idea questioning. Linear regression revealed statistically significant main effects of intervention on maze selection, with both treatment groups outperforming a nonequivalent control group (ES = .69–1.00). There were no statistically significant differences on oral reading fluency or maze selection between the peer-mediated and teacher-directed groups. Participating in peer-mediated intervention and receiving more minutes of instruction were significantly associated with higher performance on the district reading assessment. Implications for allocating resources to tiered intervention in secondary schools are discussed.",28,4,184-195,https //doi.org/10.1111/LDRP.12020,https //onlinelibrary.wiley.com/doi/10.1111/ldrp.12020,NA,NA,NA
74069949,['Peer tutoring'],Berso (2020),Berso Liezel B  Lorente Richard M  ,2020,Peer tutoring  Exploring the effects on learning grade 9 mathematics,People International Journal Of Social Sciences,NA,"Journal, Article","This descriptive-comparative study aimed to develop session plans with learning activities for peer tutoring on quadratic equations. It involved five classes of Grade 9 students of Bantayan National High School, Tabaco City, Albay, Philippines wherein one class was randomly selected as the peer tutored group while the remaining four classes were considered the non-peer tutored groups. The peer tutoring sessions were conducted during the Independent/Cooperative Learning (ICL) period. The sources of data included the students’ reflection entries, observation notes, responses from focus group discussions, and periodic examination results. Findings showed that there were nine session plans with learning activities developed with the integration of cooperative and contextualized learning approaches. The peer tutors were able to master the lessons since they have the opportunity to study it again and revise what they have learned. They also gained more friends, boosted their confidence, and became more interested and enthusiastic in learning and teaching Mathematics together with their peer tutees. On the other hand, the peer tutees grasped the lessons because their tutor gave immediate feedback to them. They also learned how to cooperate and participate with their group to achieve their goal. It was also showed that the peer tutees were very much engaged and eager to learn during the peer tutoring. These were some of the significant learning experiences of the peer tutors and peer tutees during the conduct of peer tutoring. In terms of performance, based on the results of their periodic examination, the peer tutored group had a better performance than those non-peer tutored groups. The session plans with learning activities for peer tutoring were then concluded to give benefits in the learning experiences and enhanced the Mathematics performance of the learners.",5,3,881-894,https //doi.org/10.20319/PIJSS.2020.53.881894,https //grdspublishing.org/index.php/people/article/view/1279,NA,NA,NA
61218177,['Peer tutoring'],Calhoon (2006) PT,Calhoon Mary Beth  Al Otaiba Stephanie   Greenberg Daphne   King Amber   Avalos Annalise   ,2006,Improving reading skills in predominantly Hispanic Title 1 first-grade classrooms  The promise of peer-assisted learning strategies,Learning Disabilities Research and Practice,NA,"Journal, Article","The purpose of this study was to examine the efficacy of a supplemental peer-tutoring reading program on phonological and reading fluency skills of first graders (N= 78) who were in predominantly Hispanic Title 1 classrooms. Sixty-eight percent of the students were Hispanic, all were English speaking. Six classrooms were randomly assigned to either the peer-assisted learning strategies (PALS) program or a control condition. PALS students participated in a peer-mediated early literacy intervention three times a week for 20 weeks for a total of 30 hours. Reading fluency measures taken at fall, winter, and spring showed statistically significant differences favoring PALS on phoneme segmentation and nonsense word fluency. Additionally, results analyzed by ethnic subgroups (Hispanic and non-Hispanic) revealed a differential pattern of response to PALS intervention. Social validity questionnaires reported that teachers and students viewed PALS in a positive light.",21,4,261-272, https //doi.org/10.1111/j.1540-5826.2006.00222.x,https //onlinelibrary.wiley.com/doi/full/10.1111/j.1540-5826.2006.00222.x?,NA,NA,NA
74069950,['Peer tutoring'],Connelly (2010),Connelly Daniel J  ,2010,"The extent that Classwide Peer Tutoring impacts student motivation, comprehension and academic achievement",NA,NA,Dissertation,"The purpose of this study was to identify the impact that Classwide Peer Tutoring (CWPT) has on student motivation, comprehension and academic achievement. The study examined, through qualitative and quantitative analysis, the benefits that CWPT has on student success, compared to traditional teaching. The procedure compared two seventh-grade classes with similar abilities. One class was taught using traditional, teacher-led methodology, while the other class utilized a CWPT model. A pre and post-test, student survey and an observational journal were incorporated to evaluate the effectiveness of the study. The results of the study indicated that CWPT is effective in enhancing student motivation and utilizes tools that promote comprehension, which are not applicable in a traditional classroom. However, no changes in academic achievement occurred. This suggests that compared to traditional teaching, CWPT is beneficial in stimulating student motivation, but not advantageous for fostering academic growth.",NA,NA,NA,NA,https //www.proquest.com/docview/276041291,NA,NA, Caldwell College
