id,pub_author,pub_year,pub_type_raw,strand_raw,toolkit_version,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,pt_tut_desc,pt_tut_desc_same_age,pt_tut_desc_cross_age,pt_same_age_attainment,pt_cross_age_attainment,pt_tut_from,pt_tut_role,pt_tutee_attain_level,pt_digit_tech,pt_incentive
74069942,Alegre (2019),2019,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2308,0.1034,['Post-test unadjusted (select one from this group)'],REC_Algebra scores_total,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2308,0.1034,NA,NA,NA,NA,NA,NA,NA,1,NA,['Middle school'],"['12', '13', '14', '15']",NA,NA,['Spain'],['Retrospective QED  '],"['Large group/class teaching (+6)', 'Paired learning']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],10,2,22.5,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,NA,['No'],['Not mentioned'],['No'],['No']
74069943,Aleid (2015),2015,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.865,0.1442,['Pre-post gain'],REC_Attainmest Test_total sample,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.865,0.1442,NA,NA,NA,NA,NA,NA,640,8,8,['Primary/elementary school'],"['10', '11']",NA,NA,['Saudi Arabia'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],12,1,30,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to same level of attainment'],NA,NA,['Yes'],['Not mentioned'],['No'],['No']
74069944,Alwi (2016),2016,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,1,NA,['Primary/elementary school'],['No information provided'],NA,NA,['Pakistan'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Peers'],6,3,35,NA,['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],['not matched on attainment'],['Not matched on attainment'],NA,['No'],['Not mentioned'],['No'],['No']
74069945,Amaka (2013),2013,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",1.7188,0.1952,['Post-test unadjusted (select one from this group)'],T&T_HAT ,With business as usual,['Sample: All'],Curriculum  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,['Secondary/High school'],['No information provided'],NA,NA,['Nigeria'],['Retrospective QED  '],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Peers'],4,not specified,not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,NA,NA,['From the same school'],['No'],['Not mentioned'],['No'],['No']
74069946,Andriana (2018),2018,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.694,0.2758,['Post-test unadjusted (select one from this group)'],T&T_Mathematics,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.694,0.2758,NA,NA,NA,NA,NA,NA,56,NA,2,['Middle school'],"['13', '14']",NA,NA,['Indonesia'],['Retrospective QED  '],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Peers'],not specified,not specified,not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,NA,['No'],['Not mentioned'],['No'],['No']
74069947,Bellen (2017),2017,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",2.0373,0.388,['Post-test unadjusted (select one from this group)'],T&T_Academic performance,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,1,NA,['Secondary/High school'],"['13', '14']",NA,NA,['Philippines'],['Regression Continuity  - naturally occurring'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Peers'],10,2,not specified,['Toolkit: Peer Tutoring'],NA,NA,NA,NA,['Not matched on attainment'],['From the same school'],['No'],['Mixed'],['No'],['No']
74069948,Bemboom (2013),2013,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",0.985,0.2702,['Post-test unadjusted (select one from this group)'],REC_Posttest MAZE table 2,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.985,0.2702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57 ,2,NA,['Secondary/High school'],"['15', '16']",FALSE,30.0,['USA'],['Prospective QED'],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",12,1.5,25,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to same level of attainment'],NA,NA,"['Yes', 'No']",['Low attaining'],['No'],['No']
74069949,Berso (2020),2020,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Mathematics primary outcome']",2.2001,0.3314,['Post-test unadjusted (select one from this group)'],TE_PRI_tutored vs non-tutored B (near mastery),With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.2001,0.3314,NA,NA,NA,NA,NA,NA,not specified,1,5,['Secondary/High school'],"['14', '15']",NA,NA,['Philippines'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],"['Research staff', 'Peers']",10,not specified,not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,NA,NA,NA,['No'],['Not mentioned'],['No'],['No']
61218177,Calhoon (2006) PT,2006,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",1.1029,0.2442,NA,REC_phoneme segmentation fluency posttest,,NA,Literacy  decoding/phonics,NA,"['Toolkit primary outcome', 'Reading primary outcome']",1.1029,0.2442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,3,6,['Primary/elementary school'],"['6', '7']",TRUE,75.0,['USA'],['Multisite RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,3,30,NA,"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],"['High attaining', 'Low attaining']",['No'],['No']
74069950,Connelly (2010),2010,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",0.0911,0.2832,['Post-test unadjusted (select one from this group)'],TE_PRI_posttest table 1,With business as usual,['Sample: All'],Curriculum  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,['Middle school'],"['12', '13']",NA,NA,['USA'],['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],6,5,45,['Toolkit: Peer Tutoring'],NA,NA,NA,['not matched on attainment'],NA,NA,['Yes'],['Not mentioned'],['No'],['No']
